Jobtitle,Company,Location,Jobposition,Salary Min,Salary Max,Job Description
GL Account Assistant Manager,"MEGA CLINIC Co., Ltd.","Sathon, Bangkok",Financial Accounting & Reporting,Full time,36000,53000,"About us ร่วมเป็นส่วนหนึ่งกับทีม MEGA CLINIC
MEGA CLINIC เป็นคลินิกเวชกรรมประเภทเสริมความงามที่มีมาตรฐานและการบริการระดับสากล

ในปัจจุบัน MEGA CLINIC มีสาขาทั้งหมด 5 สาขา คือ

1. สยามสแควร์
2. เซ็นทรัลลาดพร้าว
3. ฟิวเจอร์พาร์ค รังสิต 
4. BTS ศรีนครินทร์-ปากน้ำ
5. MRT บางใหญ่-เวสเกท


MEGA CLINIC ทุกสาขามีเครื่องมือและอุปกรณ์ในการให้บริการที่ทันสมัย สะอาด ได้มาตรฐาน มีทีมแพทย์ และทีมงานผู้เชี่ยวชาญระดับมืออาชีพให้บริการ โดย MEGA CLINIC มุ่งมั่นที่จะพัฒนาอย่างต่อเนื่องเพื่อบริการที่ดีตลอดไป

ปัจจุบัน MEGA CLINIC กำลังขยายสาขา มีความต้องการบุคลากรที่มีความสามารถเข้าร่วมงานเป็นจำนวนมาก Qualifications & experience นำส่งภาษีหัก ณ ที่จ่าย ภ.ง.ด. 3 53 54 ภาษีมูลค่าเพิ่ม ภ.พ. 30 36 และภาษีเงินได้นิติบุคล ภ.ง.ด. 50 51 มีความรู้และความเข้าใจเกี่ยวกับมาตรฐานการบัญชี (TFRS for NAPAE และ TFRS) และภาษีอากร ความสามารถประจำตำแหน่ง (Key Competencies) ประสบการณ์ทำงาน (Professional Experiences) เคยมีประสบการณ์ในสายงานทำบัญชี 5 ปีขึ้นไป ในบริษัทที่อยู่ในตลาดหลักทรัพย์แห่งประเทศไทย (ถ้าเคยทำบัญชีบริษัทที่เตรียม IPO จะได้รับการพิจารณาเป็นพิเศษ) สามารถจัดการกับคำถามที่เกี่ยวกับบัญชีและภาษีได้จนทำให้เหลือแต่คำถามซับซ้อนและสำคัญที่จะไปถึงผู้บังคับบัญชา Tasks & responsibilities ควบคุมการทำบัญชีและนำส่งภาษีของบริษัทให้มีประสิทธิภาพและประสิทธิผล วางผังการบันทึกบัญชีให้ถูกต้องตามมาตรฐานการบัญชี และง่ายต่อการบันทึกบัญชี เป็นที่ปรึกษาให้แก่ผู้ใต้บังคับบัญชา Benefits ปรับขึ้นเงินเดือนตาม performance 7%+ Bonus ตาม KPI อาหารกลางวันฟรีทุกวัน สวัสดิการประกันสุขภาพ อุบัติเหตุ สำหรับครอบครัว กินเลี้ยงเป็นประจำปี ทำฟันฟรี กองทุนสำรองเลี้ยงชีพ ตั๋วเครื่องบินไปเที่ยวต่างประเทศ ประกันสุขภาพ ประกันอุบัติเหตุ ประกันชีวิต"
Tax Associate,PKF Holdings (Thailand) Limited,"Sathon, Bangkok",Taxation,Full time,,,"Position Summary This position is for a lawyer to assist clients and support senior associates and/or partners with corporate tax and M&A tax transactions. The lawyer is expected to have strong expertise and legal and tax knowledge in the field, and capabilities in rendering professional advice and managing complex transactions. Areas of Responsibility Legal Practice Advise clients on tax planning and implementation of local and multi-country mergers and acquisitions, joint ventures, entire business transfers, foreign direct investment, cross-border transactions, corporate structure and corporate restructuring, and general corporate and tax secretary/compliance. Assist clients with the appropriate tax structure for mergers and acquisitions, guide the client throughout the process, and negotiate and communicate with the opposing party and their counsels. Prepare, review, and negotiate transaction documentation relating to M&As and Joint Ventures, such as action plans and the timeline, MOU, share subscription agreements, shareholders agreements, asset sale and purchase agreements, joint venture agreements, shareholders agreements for tax efficiency purposes, etc. Conduct, lead, and coordinate tax due diligence reviews. Advise clients on various tax matters in respect of corporate income tax, personal income tax, VAT, specific business tax, stamp duty, excise tax, customs duty, house and land tax, BOI, etc. Advise clients on tax planning for domestic and cross-border transactions and proper structure for doing business in Thailand and other countries. Prepare tax appeals and various letters to the tax authorities. Formulate legal strategies and provide legal opinions and analytical responses to clients, respond to inquiries, conduct management interviews, develop legal guides and complete questionnaires, and act as the primary point of contact for clients. Perform legal and tax research when and as necessary to resolve legal and tax issues, and to determine the appropriate course of action regarding a particular issue/case. Why join PKF Audit (Thailand): Learn from our business leaders and experts. Gain your business and tax knowledge. Improve your technical and soft skills. Work with our international clients located throughout Thailand, with some at management level / business leaders. PKF is the place for you to learn, grow and have fun. We have Thai and foreign partners and directors with many years of experience in multiple industries. They can offer managers knowledge and act as their mentors, to help them grow within the firm. Plus, PKF Thailand is growing. PKF can also provide you with wide variety of opportunities: -        Exposure to international clients and global relationship -        Improve your technical and international knowledge. Learn from the best International training eLearning courses-extensive library of online courses to help develop core skill sets as well as industry/technical-specific knowledge. -        English language training - The PKF English program helps Member Firms communicate more effectively in English, as well as meet the criteria of Members in Good Standing. These are just some of the benefits of joining PKF Audit (Thailand) and we are always looking for new fun things to do with you. PKF Audit (Thailand) Limited. 98 Sathorn Square Office Tower Unit 2812, North Sathorn Road, 28th Fl. Silom, Bangrak, Bangkok 10500 Tel: +66 2 108 1591 Fax: +66 2 108 1599 NO WALK-IN APPLICATION!"
Accounts Receivable Supervisor/หัวหน้าหน่วยบัญชีลูกหนี้,Sodexo Services (Thailand) Ltd.,Bangkok,Accounts Receivable/Credit Control,Full time,,,"Reports To: FINANCE MANAGER Key Result Areas: This position is direct report to FINANCE MANAGER. Maintain proper records of client accounts and Revenue journal Lead team and ensure timely invoicing process as required by different clients and segments Lead team and conduct monthly output VAT reconciliation and prepare for filing Lead team and conduct monthly reconciliation of debtor ledger accounts Lead team on preparing Bi-Monthly AR aging report for Operation and Monthly AR Aging report for Group reporting Proffer recommendations and advice on queries regarding accounts receivable Ensure prompt reply to client and internal feedback Handle internal issues and coordinate with operation in order to ensure timely collection from Clients Ensure daily cash and debtor targets are met Maintain regular contact with clients to ensure proper management of debt Contact debtors through calls, emails or letters to notify them of outstanding invoice Conduct business operations in compliance with standard policies and regulations Commence legal action against debtors in event of halted payment Work with Operation on irrecoverable debts to be written off or they may employ strategies to recover receivables in possible cases Oversee the forwarding of monthly statements to clients to keep them updated on debt collection activities Maintain and ensure the completeness and correctness of withholding received from clients. Key Competencies: Excellent teamwork, organization and communication skills Priority and Efficient Time Management. Strong analytical skills and an eye for detail At least a Bachelor’s Degree in Accounting, Finance, Business, Mathematics or related field Proven track record of making successful credit decisions Familiarity with data entry and analysis The ability to listen to customers and negotiate winning solutions"
Assistant Accounting Manager,Mazars Holding (Thailand) Ltd.,"Sathon, Bangkok",Business Services & Corporate Advisory,Full time,,,"Job Description Prepare management reports for use by client’s management Prepare financial statements for statutory purposes Develop expertise in many different types of accounting and support software, which will likely include NetSuite, Xero, and SAP, as well as reporting software such as Blackline Undertake a variety of problem-solving exercises. Ensure that the accounting services provided by your team are completed on time whilst maintaining a high standard of quality Develop strong client relationships Motivate, develop and train the accountants within your team Improve the efficiency of your team to perform accounting services within budget. Where there are budget overruns, identify the causes and implement solutions Support the preparation of proposals to prospective clients Improve the quality control and internal processes of the Accounting Department Qualification Bachelor Degree in Accounting Minimum 5 years experience in the accounting field preferably with an international company Good command of English Excellent Excel skills Clear aptitude in using accounting software Desire to work in an international environment Highly competent in both written and spoken English Strong knowledge of the Thai Revenue Code CPA, Tax Auditor, or other international accounting qualification will be considered as a plus Strong technical skills, for example: IFRS, US GAAP, cost accounting or financial services Eager to build on existing skills and develop management and leadership skills for a successful career Proactive attitude with proven ability to implement solutions to problems Able to work under pressure and to tight deadlines. Your day to day role will be to help manage a team responsible for providing outsourced accounting services to a portfolio of clients."
Assistant Tax Manager - M&A and tax advisory,Mazars Holding (Thailand) Ltd.,"Sathon, Bangkok",Taxation,Full time,,,"Job Description: The ideal candidate will be assigned to work in the young and dynamic taxation advisory team. The candidate will be provided with opportunities to work on various tax advisory projects, including M&A tax due diligence, M&A tax structuring, transactional tax advice, tax planning, and tax controversy audit support projects. Responsibilities: Work on various tax advisory projects, including: M&A tax due diligence and structuring projects Business combination and business reorganization Tax controversy support Tax health check Tax planning for both corporate and individual clients Tax advice on domestic and cross-border transactions Supervise and coach team members, as well as participate in the firm’s training Prepare/ monitor engagement letters Assist Partner, Directors and Managers to monitor and manage resources Assist Partner, Directors and Managers in marketing activities Qualifications: Bachelor’s degree in Accounting, Law or Economics (a post-graduate degree or CPA is a plus) Minimum 5 years prior experience working in the tax department of an international accounting or law firm, or equivalent experience in the financial services industry Good knowledge of the Thai Revenue Code, double tax treaties, tax rulings and guidelines provided by the Thai Revenue Department Highly competent in both written and spoken English Knowledge of MS Office software Ability to prioritise own work and be flexible and adaptable to changing business and departmental needs People management skills Eager to build on your existing skills and to develop your career Proactive attitude with the ability to implement solutions to problems Able to work under pressure and to tight deadlines. Ability to work both independently and as part of a team with professionals"
Senior Tax Advisor - M&A and tax advisory,Mazars Holding (Thailand) Ltd.,"Sathon, Bangkok",Taxation,Full time,,,"Job Description: The ideal candidate will be assigned to work in the young and dynamic taxation advisory team. The candidate will be provided with opportunities to work on various tax advisory projects, including M&A tax due diligence, M&A tax structuring, transactional tax advice, tax planning, and tax controversy audit support projects. Responsibilities Work on various tax advisory projects, including: M&A tax due diligence and structuring projects Business combination and business reorganization Tax controversy support Tax health check Tax planning for both corporate and individual clients Tax advice on domestic and cross-border transactions Supervise and coach more junior team members, as well as participate in the firm’s training Prepare/ monitor engagement letters Assist Partner, Directors and Managers to monitor and manage resources Assist Partner, Directors and Managers in marketing activities Qualifications: Bachelor’s degree in Accounting, Law or Economics (a post-graduate degree or CPA is a plus) 2+ years prior experience working in the tax department of an international accounting or law firm, or equivalent experience in the financial services industry Good knowledge of the Thai Revenue Code, double tax treaties, tax rulings and guidelines provided by the Thai Revenue Department Highly competent in both written and spoken English Knowledge of MS Office software Ability to prioritise own work and be flexible and adaptable to changing business and departmental needs People management skills Eager to build on your existing skills and to develop your career Proactive attitude with the ability to implement solutions to problems Able to work under pressure and to tight deadlines. Ability to work both independently and as part of a team with professionals"
Finance & Accounting officer (Costing)/เจ้าหน้าที่การเงินและบัยชี (ต้นทุน),"Bridgestone Specialty Tire Manufacturing (Thailand) Co., Ltd.",Rayong,Financial Accounting & Reporting,Full time,,,"Job Description Record Trad Account Payable raw materials (local & oversea). Record import duty & freight expenses. Calculate waste & scrap cost including record in GL Prepare raw materials purchase report and reconcile. Assist in costing team to calculate products cost. Conduct physical inventories and monitor the cycle count program. Perform additional ad-hoc tasks as assigned by the Manager or Finance Director. Qualification Bachelor's degree in Accounting. Experience at least 3-6 years for Cost Accounting or Account field in manufacturing. Have knowledge about Cost System and Accounting Principles. Computer skill with Microsoft Office and Accounting Software with SAP. Good English skill. Good negotiation, Teamwork, Positive attitude, Service mind, and able to work under pressure."
Accountant & Administrative Officer,"KSMC TH CO., LTD.",Bangkok,Accounts Officers/Clerks,Full time,,,"Complete the monthly bookkeeping, including account closing, HR, payroll, accruals, fixed assets, and all aspects of the finance. Prepare monthly Financial Statements including income statement, balance sheet, general ledger, and trial balance, and submit to HQ Office. Prepare and submit Corporate Tax, Income Tax, VAT, WHT declaration (PND 1/3/53/54/50/51, PP 30/36) and Social Security Fund (SSO) Manage operations for the bank accounts, prepare invoices to clients, make payments, and prepare receipts to vendors on time (AR & AP transactions). Being a contact point with third parties, vendors, and other stakeholders as needed. Liaise work and provide all required information/documents to the auditor for the Year-End Financial Statement report. Support Country Manager and other parties for administrative works as assigned. Manage cash projections & ensure sufficient cash flow is available for office operations & planning of funds allocation. Prepare journal entries, reconciliation & generate weekly management reports. Qualification: All Genders aged 25-35 years old, Thai Nationality only Bachelor’s Degree in Accounting with CPD (A MUST) Detailed-oriented, numeric skill, and problem-solving skills. 2-5 years experience with GAAP/IFRS Knowledge Computer skills; proficiency in MS Excel English communication: Basic skill (read & write) Able to use Software Express is an advantage"
เจ้าหน้าที่ภาษีอากร,Bangkok Bank Public Company Limited,"Yan Nawa, Bangkok",Taxation,Full time,,,หน้าที่ความรับผิดชอบ ควบคุมและตรวจสอบความถูกต้องของข้อมูลทางบัญชี แจ้งข้อผิดพลาด และติดตามผลการปรับปรุงแก้ไข รายการของสาขาและสำนักงานใหญ่ ภายในประเทศ เกี่ยวกับภาษีมูลค่าเพิ่ม พร้อมทั้งจัดทำแบบแสดงรายการภาษีมูลค่าเพิ่ม เพื่อนำส่งกรมสรรพากร ดูแล เช็คสอบและนำส่งข้อมูลภาษีหัก ณ ที่จ่ายผ่านระบบ Online (SWC) ของกรมสรรพากร รวบรวม ตรวจสอบ กระทบยอดหนังสือรับรองภาษี ถูกหัก ณ ที่จ่าย กับข้อมูลทางบัญชีของสาขานครหลวง พร้อมทั้งแจ้งข้อผิดพลาด และติดตามผลการปรับปรุงแก้ไขรายการของหน่วยงาน ตรวจสอบ ยื่นแบบแสดงรายการ และชำระภาษีป้าย ภาษีที่ดินและสิ่งปลูกสร้าง ตามพื้นที่ที่ได้รับมอบหมาย ลงรายการผ่านบัญชีเข้าระบบงาน Online จดทะเบียนเปิด/ปิดสาขา และขอหนังสือรับรองภาษาอังกฤษ ของธนาคารต่อกรมสรรพากร รับจองบัตรภาษีจากสำนักธุรกิจตามพื้นที่ได้รับมอบหมาย เพื่อนำไปใช้ชำระภาษีของธนาคาร คุณสมบัติ: การศึกษาระดับ ป. ตรี ขึ้นไป สาขาวิชาบัญชี มีทักษะคอมพิวเตอร์ MS Office ดี (โดยเฉพาะ Excel) มีความรู้ด้านบัญชีและภาษีอากร สามารถทำงานนอกสถานที่และติดต่อหน่วยงานราชการได้ สามารถปฏิบัติงานที่สำนักพระราม 3 ได้ สอบถามข้อมูลเพิ่มเติมกรุณาติดต่อ คุณณมน Tel. 02-296-8356
Accountant/พนักงานบัญชี - JV,"Grande Asset Hotels And Property Public Co., Ltd.","Khlong Toei, Bangkok",Taxation,Full time,,,"หน้าที่ความรับผิดชอบ จัดทำรายการทางบัญชี AP PR GL และสินทรัพย์ของบริษัท บันทึกทะเบียนทรัพย์สิน Fix Asset จัดทำรายงานภาษีหัก ณ ที่จ่าย ยื่นภาษี ภ.ง.ด.3,53,54 และ ภ.พ.36 ผ่านระบบ e-filing ของกรมสรรพากร จัดทำแฟ้มและบันทึกข้อมูลที่เกี่ยวข้องทางบัญชีให้เป็นปัจจุบัน และตรวจสอบเอกสารให้ถูกต้อง งานอื่น ๆ ที่ได้รับมอบหมายจากผู้บังคับบัญชา คุณสมบัติ วุฒิการศึกษาระดับปริญญาตรี สาขาบัญชี ประสบการณ์ในสายงานบัญชี 0-2 ปี ในธุรกิจอสังหาริมทรัพย์ จะได้รับการพิจารณาเป็นพิเศษ สามารถใช้โปรแกรม Microsoft Office (Excel) ในระดับดี ทักษะภาษาอังกฤษ (อ่าน-เขียน) ในระดับดี ใช้โปรแกรมบัญชี Microsoft AX จะได้รับการพิจารณาเป็นพิเศษ"
