Jobtitle,Company,Location,Job Position,Salary Min,Salary Max,Job Description
Full-time and Part-time Teachers for Immediate Start,"Bizznet International Co.,Ltd.",Bangkok,Financial Accounting & Reporting,Full time,,,"Full-time and Part-time Teachers for Immediate Start Posted
 
 8 hours ago We are currently recruiting for both part and full time teaching positions for immediate start. We are looking for enthusiastic, highly motivated, active, responsible and adaptable native speakers to join our already well-established team of foreign teachers. Applicants must be culturally aware and willing to adapt to bring the best possible learning experience to our students. Friendly character and smart appearance a must! We offer competitive rates depending on experience. Part time (German / Spanish / English) minimum rate : 400 THB/month. Full time (European / SA / NES) minimum rate : 30000 THB/month. We have various positions available in Phuket, Pattaya, Chonburi city, Bangkok and many provinces all over Thailand. All nationalities will be considered if qualified. Please send your resume including a recent photograph and scans of qualifications to theofficebangkok@gmail.com . Only shortlisted candidates will be contacted. Send Resume"
พนักงานบัญชี (SCG Accounting Services) ปฏิบัติงานประจำ จ.เชียงใหม่,SCG,Chiang Mai,Taxation,Full time,,,"เนื้องานโดยย่อ: หน้าที่ความรับผิดชอบ: ดูแลและบันทึกข้อมูลทางการเงินที่เกี่ยวข้องกับกิจกรรมธุรกิจของบริษัท ตรวจสอบและประมวลผลข้อมูลการเงิน เช่น รายรับ รายจ่าย ยอดคงเหลือ และสถิติอื่น ๆ จัดทำรายงานการเงินที่เป็นรายเดือน รายไตรมาส หรือรายปี จัดทำรายงานบัญชีที่เกี่ยวข้องกับลูกหนี้ เจ้าหนี้ และรายงานภาษี ติดต่อสื่อสารและสอบถามข้อมูลทางการเงินจากส่วนต่าง ๆ ในบริษัท คุณสมบัติ: จบการศึกษาในระดับ ปวส. สาขาการบัญชี หรือสาขาที่เกี่ยวข้อง มีประสบการณ์ทำงานในตำแหน่งที่เกี่ยวข้อง โดยเฉพาะในงานบัญชีและการเงิน มีความรู้ในเรื่องของหลักการบัญชีทั่วไป ภาษีที่เกี่ยวข้องต่างๆ เช่น ภาษีมูลค่าเพิ่ม (ภาษีซื้อ/ภาษีขาย), ภาษีหัก ณ.ที่จ่าย ภาษีที่เกี่ยวข้องกับนิติบุคคล ความสามารถในการใช้โปรแกรมที่เกี่ยวข้องกับการบัญชี เช่น Microsoft Excel หรือซอฟต์แวร์บัญชีอื่น ๆ สามารถทำงานทีมและสื่อสารได้เป็นอย่างดี ทักษะการแก้ปัญหาและการวิเคราะห์ที่ดี สามารถปฏิบัติงานประจำ ที่ จ.เชียงใหม่ ได้"
พนักงานบัญชี,บริษัท เอ็นพีเอส แอคเคาท์ติ้ง จำกัด,Bangkok,Taxation,Full time,,,"จำนวนอัตรา 10 จังหวัด กรุงเทพ ระดับการศึกษา จบการศึกษาปริญญาตรี สาขาบัญชีโดยตรง รายละเอียด เพศหญิง อายุไม่เกิน 35 ปี จบการศึกษาปริญญาตรี สาขาบัญชีโดยตรง มีความรู้ความเข้าใจและรักงานบัญชี มีความอดทน รอบคอบ ความจำดี มีวินัย ซื่อสัตย์ ตรงเวลา สุขภาพแข็งแรงดี อดทนต่อแรงกดดันได้ดี มีประสบการณ์การปิดงบการเงิน และงานสอบบัญชี มีทักษะการสื่อสารที่ดี สามารถติดต่อสื่อสารกับผู้อื่นได้เป็นอย่างดี ใช้โปรแกรม Express และ FlowAccount ได้ จะพิจารณาพิเศษ ยินดีรับเด็กจบใหม่ สวัสดิการ -โบนัสสิ้นปี -ประกันสังคม -เบี้ยเลี้ยง,เบี้ยขยัน -เงินพิเศษ อื่นๆ -งานเลี้ยงปีใหม่ เวลาทำงาน ประจำ เงินเดือน ตามคุณสมบัติของผู้สมัคร บาท สนใจติดต่อ คุณณัฐวีณ์ ปิติปวีณ์โชติ เบอร์โทร 064-594-4944 เว็บไซต์ - บริษัท เอ็นพีเอส แอคเคาท์ติ้ง จำกัด บริษัท เอ็นพีเอส แอคเคาท์ติ้ง จำกัด
28/64 หมู่บ้านนลินอเวนิว ถ.รามคำแหง
แขวงราษฎร์พัฒนา เขตสะพานสูง กรุงเทพมหานคร 10240 Tel. 064-594-4944 งานกรุงเทพ ประกาศเมื่อ 19 มกราคม 2567"
Manufacturing Specialist I,Seagate Technology (Thailand) Ltd.,Samut Prakan,Audit - Internal,Full time,,,"Head Analysis and Performance Group (HAPG) เป็นแผนกที่ตรวจสอบและวิเคราะห์อาการล้มเหลวของผลิตภัณฑ์หัวอ่านและส่งผลการวิเคราะห์ให้ทีมที่เกี่ยวข้องเพื่อดำเนินการปรับปรุงผลิตภัณฑ์ ทีม HAPG ตั้งอยู่ในสหรัฐอเมริกาและประเทศไทย (โคราชและเทพารักษ์) สามารถทำงานเป็นทีมได้ดี สามารถในการแก้ปัญหาเบื้องต้นได้ ใช้อีเมล์ Microsoft excel ส่งข้อมูลที่ทำงานให้กับหัวหน้าได้ดี สามารถทำงานอยู่ในคลีนรูมและห้องแลบ ทำงานเป็นกะ สามารถทำได้ทั้งกะกลางวันและกลางคืน สามารถใช้เครื่องมือทดสอบผลิตภัณฑ์ตามมาตรฐาน โดยได้รับการแนะนำจากหัวหน้า สามารถใช้Tweezer หยิบโหลดงาน (HGA/SLD) ใต้กล้อง lower power ได้, และต้องปฏิบัติการโดยตรงกับเครื่องมือวิเคราะห์ ส่งข้อมูลที่ได้จากเครื่องมือวิเคราะห์ให้วิศวกรทางเมล์ สามารถทำงานเป็นทีมให้ความร่วมมือในการทำLEAN/KAIZEN ของแผนก มีความรู้เกียวกับ ESD (Electrostatic Discharge) ทำงานภายใต้ความกดดันและส่งงานตรงตามกำหนดเวลา ในขณะที่รักษาทัศนคติเชิงบวกและให้บริการลูกค้าได้เป็นอย่างดี Home to 4,000+ employees, our Teparuk site produces nano-recording heads, a crucial component of the read/write functionality of ahard disk drive. Our Teparuk facility is a fun and active site. Here at work you and your colleagues can grab breakfast, lunch, dinnerand snacks at our 24-7 on-site canteen and coffee shop. Get in a few laps around our running track or enjoy volleyball, ping pong,badminton or football through our on-site gymnasium and fitness center. We also offer music, dance and yoga activities. Enjoy manyon-site festivals and celebrations as well as opportunities to give back to the local community. Location : Teparuk Thailand Travel : None"
บัญชี,บริษัท แร่เบฟเวอเรจ จำกัด,"Pathum Wan, Bangkok",Financial Accounting & Reporting,Full time,,,"บริษัท แร่เบฟเวอเรจ ดำเนินธุรกิจเกี่ยวกับการผลิตและจัดจำหน่ายเครื่องดื่มน้ำแร่ธรรมชาติจากแหล่งวัตถุดิบที่ได้ขึ้นทะเบียนเป็นพื้นที่ชีวมณฑลโดยองค์กร UNESCO Rare Beverage Company engages in the production, distribution, and sale of beverages. Its products include premium mineral water, sparkling water, and other non-alcoholic products. All products derived from unique geographic source where is the natural hot mineral spring water. The company plan operates through the following regional segments including Thailand and Southeast Asia. จำนวนอัตรา 4 จังหวัด เชียงใหม่ ระดับการศึกษา วุฒิปริญญาตรีขึ้นไป สาขาบัญชี หรือสาขาที่เกี่ยวข้อง รายละเอียด วุฒิปริญญาตรีขึ้นไป สาขาบัญชี หรือสาขาที่เกี่ยวข้อง ยินดีรับนักศึกษาจบใหม่ มีความรู้ด้าน SAP, Express และ ERP จะพิจารณาเป็นพิเศษ สามารถใช้ภาษาอังกฤษได้ดี (เขียน, อ่าน) สามารถมาเทรนงานที่อำเภอเชียงดาว จังหวัดเชียงใหม่ได้ สวัสดิการ 1.ประกันสังคม 2.ประกันกลุ่ม 3.การฝึกอบรมเพื่อพัฒนาตนเอง 4.ชุดยูนิฟอร์ม 5.หอพัก (หากต้องประจำที่อำเภอเชียงดาว) 6.โบนัสตามผลงาน เวลาทำงาน ประจำ เงินเดือน 18,000-30,000 บาท สนใจติดต่อ คุณฑิมพิกา พิมพ์พิศคนึง เบอร์โทร 02-180-7111 เว็บไซต์ -"
"AVP, Centralized Operation & Admin",United Overseas Bank (Thai) Public Company Limited (UOB),Bangkok,Taxation,Full time,,,"United Overseas Bank Limited (UOB) is a leading bank in Asia with a global network of more than 500 branches and offices in 19 countries and territories in Asia Pacific, Europe and North America. In Asia, we operate through our head office in Singapore and banking subsidiaries in China, Indonesia, Malaysia and Thailand, as well as branches and offices. Our history spans more than 80 years. Over this time, we have been guided by our values — Honorable, Enterprising, United and Committed. This means we always strive to do what is right, build for the future, work as one team and pursue long-term success. It is how we work, consistently, be it towards the company, our colleagues or our customers. About the Department Job Responsibilities Job Requirements UOB is an equal opportunity employer. UOB does not discriminate on the basis of a candidate's age, race, gender, color, religion, sexual orientation, physical or mental disability, or other non-merit factors. All employment decisions at UOB are based on business needs, job requirements and qualifications. If you require any assistance or accommodations to be made for the recruitment process, please inform us when you submit your online application. Apply now and make a difference."
Cluster AR Supervisor,Luxury Hotels & Resorts (Thailand) Ltd.,Bangkok,Financial Accounting & Reporting,Full time,,,"POSITION SUMMARY Check figures, postings, and documents for accuracy. Organize, secure, and maintain all files, records, cash and cash equivalents in accordance with policies and procedures. Record, store, access, and/or analyze computerized financial information. Classify, code, and summarize numerical and financial data to compile and keep financial records, using journals, ledgers, and/or computers. Prepare, maintain, audit, and distribute statistical, financial, accounting, auditing, or payroll reports and tables. Complete period-end closing procedures and reports as specified. Prepare, review, reconcile, and issue bills, invoices, and account statements according to company procedures. Follow-up and resolve past due accounts and vendor invoices until payment in full is received or resolved. Coordinate tasks and work with other departments; serve as a departmental role model or mentor; assign and ensure work tasks are completed on time and that they meet appropriate quality standards. Report work related accidents, or other injuries immediately upon occurrence to manager/supervisor. Follow all company policies and procedures; ensure uniform and personal appearance are clean and professional; maintain confidentiality of proprietary information; protect company assets. Speak with others using clear and professional language; prepare and review written documents accurately and completely; answer telephones using appropriate etiquette. Develop and maintain positive working relationships with others; support team to reach common goals; listen and respond appropriately to the concerns of other employees. Move, lift, carry, push, pull, and place objects weighing less than or equal to 10 pounds without assistance. Perform other reasonable job duties as requested by Supervisors. Marriott International is an equal opportunity employer. We believe in hiring a diverse workforce and sustaining an inclusive, people-first culture. We are committed to non-discrimination on any protected basis, such as disability and veteran status, or any other basis covered under applicable law. Be begin belong become JW Marriott is part of Marriott International's luxury portfolio and consists of more than 100 beautiful properties in gateway cities and distinctive resort locations around the world. JW believes our associates come first. Because if you’re happy, our guests will be happy. JW Marriott associates are confident, innovative, genuine, intuitive, and carry on the legacy of the brand’s namesake and company founder, J.Willard Marriott. Our hotels offer a work experience unlike any other, where you’ll be part of a community and enjoy true camaraderie with a diverse group of co-workers. JW creates opportunities for training, development, recognition and most importantly, a place where you can pursue your passions in a luxury environment with a focus on holistic well-being. Treating guests exceptionally starts with the way we take care of our associates. That’s The JW Treatment™. In joining JW Marriott, you join a portfolio of brands with Marriott International. Be where you can do your best work,​ begin your purpose, belong to an amazing global​ team, and become the best version of you."
Cluster Account Payable Supervisor,Luxury Hotels & Resorts (Thailand) Ltd.,Phuket,Financial Accounting & Reporting,Full time,,,"POSITION SUMMARY Check figures, postings, and documents for accuracy. Organize, secure, and maintain all files, records, cash and cash equivalents in accordance with policies and procedures. Record, store, access, and/or analyze computerized financial information. Classify, code, and summarize numerical and financial data to compile and keep financial records, using journals, ledgers, and/or computers. Prepare, maintain, audit, and distribute statistical, financial, accounting, auditing, or payroll reports and tables. Complete period-end closing procedures and reports as specified. Prepare, review, reconcile, and issue bills, invoices, and account statements according to company procedures. Follow-up and resolve past due accounts and vendor invoices until payment in full is received or resolved. Coordinate tasks and work with other departments; serve as a departmental role model or mentor; assign and ensure work tasks are completed on time and that they meet appropriate quality standards. Report work related accidents, or other injuries immediately upon occurrence to manager/supervisor. Follow all company policies and procedures; ensure uniform and personal appearance are clean and professional; maintain confidentiality of proprietary information; protect company assets. Speak with others using clear and professional language; prepare and review written documents accurately and completely; answer telephones using appropriate etiquette. Develop and maintain positive working relationships with others; support team to reach common goals; listen and respond appropriately to the concerns of other employees. Move, lift, carry, push, pull, and place objects weighing less than or equal to 10 pounds without assistance. Perform other reasonable job duties as requested by Supervisors. Marriott International is an equal opportunity employer. We believe in hiring a diverse workforce and sustaining an inclusive, people-first culture. We are committed to non-discrimination on any protected basis, such as disability and veteran status, or any other basis covered under applicable law. Be begin belong become JW Marriott is part of Marriott International's luxury portfolio and consists of more than 100 beautiful properties in gateway cities and distinctive resort locations around the world. JW believes our associates come first. Because if you’re happy, our guests will be happy. JW Marriott associates are confident, innovative, genuine, intuitive, and carry on the legacy of the brand’s namesake and company founder, J.Willard Marriott. Our hotels offer a work experience unlike any other, where you’ll be part of a community and enjoy true camaraderie with a diverse group of co-workers. JW creates opportunities for training, development, recognition and most importantly, a place where you can pursue your passions in a luxury environment with a focus on holistic well-being. Treating guests exceptionally starts with the way we take care of our associates. That’s The JW Treatment™. In joining JW Marriott, you join a portfolio of brands with Marriott International. Be where you can do your best work,​ begin your purpose, belong to an amazing global​ team, and become the best version of you."
Group Finance Supervisor,AAPC (Thailand) Limited,"Khlong Toei, Bangkok",Financial Accounting & Reporting,Full time,,,"Last Updated : 17.01.2024 | Viewers 10 Salary : เงินเดือน N/A (THB) Types of employees : ประเภทงาน Full-time เต็มเวลา Area : ปฎิบัติงานที่จังหวัด Education : การศึกษา Bachelor's Degree ปริญญาตรี Experience : ประสบการณ์การทำงาน 1 Year (ปี) Gender : เพศ Male/Female ชาย/หญิง Age : อายุ Not over 40 years old อายุไม่เกิน 40 ปี Unit : จำนวนรับ 1 อัตรา New Graduated : นักศึกษาจบใหม่ No ไม่รับพิจารณา Foreigner : ชาวต่างชาติ No ไม่รับพิจารณา Disabled : ผู้พิการ No ไม่รับพิจารณา Night shift : ตำแหน่งงานกะดึก No ไม่ใช่ Job Qualifications ข้อกำหนด EDUCATION BACKGROUND, CERTIFICATE/LICENSING - Bachelor degree in Finance and Accounting or any other related field of knowledge. PROFESSIONAL EXPERIENCES - At least 1 - 3 years experience in related field. - Computer skills in MS-Office (Word, Excel, Outlook) and Software (SUN / OPERA / MICROS) Welfare สวัสดิการ - Public Holiday - Vacation Leave - Group Insurance - Social Security - Provident Fund - Service Charge - Day off for Birthday - Food Allowance - other benefit .... Contact ข้อมูลติดต่อ Panida Pansiri (Group Talent & Culture Supervisor) Mercure & ibis Erawan Thailand - Head Office
The Erawan Group PLC.
2 Sukhumvit Rd., Klongtoey
Bangkok 10110 Thailand เว็บไซต์ : www.theerawan.com/en/our_business/hotels_resorts อีเมล์ : เบอร์โทรศัพท์ :"
FP&A - Analyst II,Seagate Technology (Thailand) Ltd.,Samut Prakan,Audit - Internal,Full time,,,"Factory support FP&A drives a sustainable increase in shareholder value through effective business partnering, planning, and reporting that enabling our partners to make optimal business decisions while fulfilling our fiduciary responsibilities. Prepare the Scrap weekly and monthly financial reporting and analysis Handle financial budgeting in quarterly basis Perform spending accrual and allocation journal entries Support adHoc request related to works as required Know your customer's expectations and drive actions to meet them Able to work under pressure Good at interpersonal skills Be a team player and fast learner Good command of English Knowledge in accounting functions Office 365 SAP Home to 4,000+ employees, our Teparuk site produces nano-recording heads, a crucial component of the read/write functionality of a hard disk drive. Our Teparuk facility is a fun and active site. Here at work you and your colleagues can grab breakfast, lunch, dinner and snacks at our 24-7 on-site canteen and coffee shop. Get in a few laps around our running track or enjoy volleyball, ping pong, badminton or football through our on-site gymnasium and fitness center. We also offer music, dance and yoga activities. Enjoy many on-site festivals and celebrations as well as opportunities to give back to the local community. Location : Teparuk Thailand Travel : None"
