Jobtitle,Company,Location,Jobposition,Salary Min,Salary Max,Job Description
Secretary to Vice President - (TMT Head Office: Samrong),"TOYOTA DAIHATSU ENGINEERING & MANUFACTURING CO., LTD.","Phra Pradaeng, Samut Prakan","PA, EA & Secretarial",Full time,,,Job Description : Time schedule arrangement for Vice President Support Vice President for all facilities and documentaries preparation. Perform other administrative tasks as required Co-ordinate activities as required by Management Qualifications : Female (Thai nationality only). Bachelor Degree or above in related field Good command in English (TOEIC score at least 600 ** MUST ) Good command both of spoken and written in English Ability to multi-task and work under pressure Strongly service minded
Executive Assistant to the CEO (Mid-level position),"Aura Bangkok Clinic Co., Ltd.","Sathon, Bangkok","PA, EA & Secretarial",Full time,35000,52000,"Position Overview: The Executive Assistant to the CEO at Aura Bangkok Clinic plays a vital role in providing essential support to Mr. Jetbodin Prakoonsuksapan (Fame), the CEO. This mid-level position offers an opportunity to learn and grow within the organization while assisting with various administrative and personal tasks. Please research his profile online prior to applying this job. Key Responsibilities: Administrative Support: Assist in maintaining the CEO's calendar, scheduling meetings, and managing appointments. Handle incoming emails, phone calls, and other communications under supervision. Help prepare reports, presentations, and documents as needed. Handle some legal documents related to the company's business. Personal Assistance: Support in personal errands, including apartment rents and bill payments. Assist in coordinating personal travel arrangements and managing logistics. Maintain discretion when handling personal matters. Communication Support: Act as a communication liaison, conveying messages between the CEO and team members. Provide support in organizing meetings, including agenda preparation and minute-taking. Qualifications: A bachelor's degree in any field. (Preferably with good math and English skills.) Strong organizational skills, multitasking abilities and attention to detail. Ability to handle tasks with discretion and confidentiality. Excellent communication skills in both Thai and English. (TOEIC > 700 preferred.) 1 - 3 years of work experience recommended. Additional Information: The Executive Assistant will have the opportunity to develop their skills and grow within Aura Bangkok Clinic. This role is ideal for individual interested in a career in executive support and administration. At Aura Bangkok Clinic, we believe in nurturing talent and providing opportunities for growth. The Executive Assistant will be encouraged to learn and contribute to the success of the organization. As a member of our team, you'll have the chance to build a rewarding career path within Aura Bangkok Clinic."
Senior Executive Assistant to the CEO,"Aura Bangkok Clinic Co., Ltd.","Sathon, Bangkok","PA, EA & Secretarial",Full time,75000,100000,"Position Overview: The Senior Executive Assistant to the CEO at Aura Bangkok Clinic is a key role responsible for providing high-level support to Mr. Jetbodin Prakoonsuksapan, the CEO. This position requires a seasoned professional with extensive experience in executive support and a proactive approach to managing both personal and professional tasks. Key Responsibilities: Company Secretary: Act as the Company Secretary according to SEC and SET regulations, including publishing key information to the public. Coordinate and document executive and board of director meetings, including preparing meeting agendas and follow-up actions. Maintain the CEO's complex calendar, scheduling meetings and appointments. Handle all incoming communication, prioritize correspondence, and draft responses. Prepare reports, presentations, and documents related to Aura's business activities. Entrepreneurial Mindset: Demonstrate a proactive and innovative approach to problem-solving and decision-making. Identify opportunities for process improvements and operational efficiencies. Collaborate with the CEO to explore new business ventures and strategies. Financial Acumen: Keep abreast of discussions and initiatives related to math and finance initiated by the CEO. Assist in financial analysis, data interpretation, and presentation of financial information. Collaborate with the CEO in financial planning and strategic decision-making. Personal Assistance: Manage personal affairs, including apartment rents, bill payments, and personal appointments. Oversee and coordinate personal travel arrangements, ensuring a seamless experience. Assist in planning and organizing personal events and vacations. Handle confidential and sensitive information with the utmost discretion. Communication and Liaison: Serve as a primary point of contact between the CEO and internal/external stakeholders. Ensure effective communication within the organization and with external parties. Act as a bridge between the CEO and other team members. Mentoring and Leadership: Provide guidance and mentorship to the Junior Executive Assistant. Assist in training and onboarding of new team members when necessary. Qualifications: Bachelor's degree in any field with outstanding GPA from top-tier university. 4 - 8 years of work experience recommended. Strong leadership skills, an entrepreneurial mindset, and the ability to engage in discussions related to math and finance. Proven experience as an executive assistant to senior executives. (Preferred, but not required.) Strive for perfection in all aspects of responsibilities, ensuring a high level of accuracy and attention to detail. Maintain impeccably organized records and documentation. Exceptional organizational and multitasking abilities. Excellent communication skills in both Thai and English. (TOEIC > 800 or IELTS > 6.0 preferred.) High level of integrity and discretion in handling confidential information. Proficiency in office software and communication tools. Additional Information: The Senior Executive Assistant is expected to bring a wealth of experience, a proactive entrepreneurial mindset, and a perfectionist approach to supporting Mr. Fame Jetbodin P. in both personal and professional matters. This role will require meticulous attention to detail and a dedication to achieving the highest standards of excellence in all responsibilities. Please research his profile online prior to applying this job. Furthermore, at Aura Bangkok Clinic, we believe in fostering a culture of growth and advancement. The Senior Executive Assistant's future career path within the company is limitless. There are opportunities to progress into management and executive-level roles, reflecting our commitment to nurturing talent and promoting from within the organization. As a member of our dynamic team, the Senior Executive Assistant will have the chance to shape their career and contribute to the long-term success of Aura Bangkok Clinic."
HR Coordinator,"Aura Bangkok Clinic Co., Ltd.","Sathon, Bangkok",Administrative Assistants,Full time,20000,24999,"Overall values: Passionate in Aura. Strong passion in bringing a high-quality medical service to everyone at a reasonable price. Always stay in a fast-paced, revenue-driven work environment. Always analyze and optimize on-the-go. We are bringing the aesthetic industry towards a new break through, there will be many obstacles. Persevere through all of them. We value high-growth employees and reward them handsomely. Evaluate and give constructive feedback your team to support high-growth career path. Excellent presentation skill with strong logical thinking. Excellent management skill. Always plan ahead. Always have backup plan. Strong can-do attitude. Always strive only for the best. Always go beyond expectation. Always set an almost impossible goal. Never settle for an easy one. Purpose of the position: To provide assistance and services to the Human Resources department to ensure the smooth functioning of various HR processes. Key Responsibilities: Process employee data, updating company policies and assisting in the hiring process. Manage fundamental administrative tasks, procurement, and document-related responsibilities. Process reimbursement claims for administrative and staff expenses. Take on the role of an Office Manager, overseeing office supplies including F&B, stationery, meeting rooms, etc. Supervise the maid team, overseeing scheduling, quality control, inventory management, communication, and performance evaluation. Support the day-to-day activities of People Team. Key Qualifications & Skills: Bachelor’s degree in any field. Fresh graduates are welcome. Good computer literacy, including MS officeprogram, e.g. Word, Excel, etc. Strong attention to detail, Problem solving and Analytic skill. Excellent interpersonal, organizational, and time management skill. Good communication skills in spoken and written both Thai and English. Ability to work collaboratively within a team in a fast-paced environment. Life at Aura Semi-flexible Office hour: 9.30-18.30 Smart Casual Dress Code 2-min walk from BTS Chongnonsi (Sathorn) Positive-energetic teammates Free lunch Unlimited snacks and drinks Annual vaccination Premium Health and Life insurance High yield, high pop up Provident Fund plan Child Education Benefits Clinic service for free or at great cost Extra Benefits to keep your Professional Look and Feel Fit Special member price with Fitness first and Virgin Active Thailand Entertainment zone; Nintendo switch, PS, Board games etc. Shower room with hotel amenities Luxury massage chair to keep office syndrome away Sleep box, take a rest and get up with fresher energy and much more! Explore us at IG: life.at.aura"
Admin @ Café Shop [Contract 1 year],"Siam Paragon Development Co., Ltd.","Pathum Wan, Bangkok",Administrative Assistants,Full time,,,"Join the Culinary Revolution Siam Rivea Company Limited, a member of Siam Piwat Group, an operator of “Blue by Alain Ducasse” restaurant and ""Blue by Alain Ducasse Bakery Boutique "" is hiring for a new luxury café concept. Located in the heart of the city, Rajchaprasong area, The grand opening is slated for beginning of February 2024 PRIMARY RESPONSIBILITIES: Responsible for all Operation, Good receiving & ordering, and HR activities in fine dining restaurant QUALIFICATIONS: Thai nationality, Aged not over 30 years old, Bachelor’s Degree in Hospitality, Business Administration, or related fields Have direct experiences as a Admin or Support in food & beverage, culinary or related professional area Strong in MS Office (Word, Excel, PowerPoint) Strong command of both spoken and written in English Interested person may send your resume via APPLY NOW or Phone: 084-438-3279 (K.Pilailak)"
Sales Support Specialist,"Sala Daeng Co., Ltd.","Pathum Wan, Bangkok",Client & Sales Administration,Full time,,,"Location: Phloenchit, Bangkok, Thailand Responsibilities: Assist the sales team with the creation and management of sales documentation, including proposals, contracts, and presentations using Google Docs, Sheets, and Slides. Coordinate and schedule meetings, product demonstrations, and client visits for the sales team. Maintain accurate records of sales activities, client interactions, and sales performance in our CRM system. Collaborate with the sales team to track sales targets, analyze sales data, and generate sales reports to facilitate informed decision-making. Respond to client inquiries and address their needs in a timely and professional manner. Liaise with internal departments, such as finance and operations, to ensure smooth coordination and execution of sales activities. Keep up-to-date with industry trends, product offerings, and competitor activities to better support the sales team. Utilize project management tools such as Monday.com or Basecamp to ensure efficient and organized collaboration. Requirements: Bachelor's degree in Business Administration, Marketing, or a related field. Minimum of 3 years of experience in a sales support, sales coordination, or administrative role, preferably in the IT or software industry. Strong understanding of the sales process, with experience in SAP and/or Oracle NetSuite solutions being a plus. Excellent verbal and written communication skills, with proficiency in English being a plus. Proficient in Google Workspace (Docs, Sheets, Slides), Microsoft Office Suite, and CRM systems. Experience with project management tools such as Monday.com or Basecamp. Detail-oriented, organized, and able to prioritize tasks in a fast-paced environment. Exceptional problem-solving skills and a strong team player. Benefits and Perks: Annual overseas company trip and additional company outings. Budget for health checkups, fitness, and other wellness activities. Comprehensive medical coverage, including IPD and OPD doctor visits. Flexible working hours to accommodate work-life balance. Complimentary drinks and snacks to fuel your productivity. To apply, please submit your resume and a cover letter highlighting your relevant experience and interest in the position. We thank all applicants for their interest; however, only shortlisted candidates will be contacted for an interview."
HRM Officer,Selic Corp Public Company Limited,"Nong Khaem, Bangkok",Consulting & Generalist HR,Full time,,,"Prepare manpower Carry out recruiting, interviewing, and selecting personnel. Survey training plans and create short, medium, and long term plans and check and evaluate training results. Including training recordings. Study curriculum information, design and create curriculum. As necessary and appropriate. Contact and coordinate Course organization Training institutions and preparing equipment and other things for training. Answer the phone from outside and internal coordination. Perform other tasks As assigned Qualification Bachelor's degree Human Resource Management, Management or related fields Experience working in personnel, recruiting and training for not less than 1 year. Able to use basic computer programs: Word, Excel, Powerpoint Have human relations enthusiastic and good coordination"
Purchaser Admin/ Purchasing Admin (Fresh Graduates Are Welcome)...,"Bonjour Fusion Co., Ltd.","Vadhana, Bangkok",Administrative Assistants,Full time,17000,22000,Job Descriptions รับผิดชอบ การจัดซื้อและจัดจ้างสินค้าบริการต่างๆ พร้อมทำการวิเคราะห์รวบรวมข้อมูลสินค้าให้ได้คุณภาพครบถ้วน ถูกต้อง และทันเวลา รวมทั้งราคาที่เหมาะสม ให้สอดคล้องกับงบประมาณที่ตั้งไว้ของฝ่าย / แผนกที่ขอจัดซื้อ และจัดจ้างนั้น ๆ Qualifications Skill: คอมพิวเตอร์ธุรกิจ ทักษะภาษาอังกฤษ ทักษะในการเจรจาต่อรอง ทักษะที่จำเป็น มีความละเอียดรอบคอบ มีมนุษยสัมพันธ์ พร้อมทั้งมีพื้นฐานความเข้าใจเกี่ยวกับการทำงานร่วมกันเป็นทีม วันหยุดประจำสัปดาห์ 2 วันต่อสัปดาห์ มีลาพักร้อนเพิ่มเติมให้ ยินดีรับนักศึกษาจบใหม่ Benefits วันหยุดประจำสัปดาห์ 2 วันต่อสัปดาห์ ปรับเงินเดือนตาม Performance วันลาพักร้อน ประกันสังคม ค่าอาหารกลางวัน โบนัสตามผลประกอบการ สถานที่ทำงาน ร้านอาหารตั้งอยู่ระหว่าง BTS ทองหล่อ และ BTS เอกมัย เดินทางสะดวก
Operations Executive,Beyond Books,Bangkok,Administrative Assistants,Full time,23000,25000,"Title: Operations Executive Reports to: Course Manager / Managing Director Location : Phutthabucha 34, Bangmod, Thungkhru Responsibilities : Create and co-ordinate all student portfolios of students in all courses within the deadline. Support company-related documentation related to operations, finance (attendance and invoicing) and general administration. Being responsible for ordering, organizing, and distributing resources to coaches. Supporting certificate creation, printing, and distribution. Assist in creating drives/folders for teachers to upload videos and attendance files including attendance Google sheet. Work with the Course manager and Course Executive to ensure all teachers are maintaining attendance, progress reports, and session notes weekly. Work with Course manager to coordinate and communicate course details to Managing Director including but not limited to : final presentation dates that need to be communicated to school/parents resources that need to be printed (books for creative writing) certificates that need to be printed Matters related to student performance or attendance. Represent Beyond Books at orientations, meetings, sales meetings when required. Supporting the Managing Director with administrative matters including but not limited to coach liaison, client liaison and liaising with other parties. Assisting with day-to-day administrative tasks to support the Managing Director in all capacities. Teaching Experience candidate only : May include teaching classes or assisting with classes where required with an availability of 5 days a week. Notes: Course Manager/Assistant course manager does not communicate with clients or parents directly. All communication to clients/parents to go through the Managing Director. Course Manager acts as a liaison between coach(es) and Managing Director. This is a constantly evolving job description, there may be responsibilities outside this job-scope to be taken up from time to time that could cause this job description to be amended based on the agreement of both parties."
Overseas Sales Assistant/เจ้าหน้าที่ประสานงานขายต่างประเทศ,"Thailand Anthracite Co., Ltd.","Huai Khwang, Bangkok",Client & Sales Administration,Full time,,,"Support Sale from Oversea Especially Keep good communication with customers and vendors Issue Document Production work and other sales documents Manage delivery, tracking, identify delivery issues and problem solving  and other duties as assigned Coordinate and resolve problems with relevant departments to meet customer needs."
