Jobtitle,Company,Location,Job Position,Salary Min,Salary Max,Job Description
ธุรการ/ธุรการ ฝ่ายบัญชี,BANGKOK PERCUSSION COMPANY LIMITED,Samut Sakhon,Administrative Assistants,Full time,13000,19999,คีย์ข้อมูลตามที่ได้รับมอบหมาย ตรวจสอบเอกสารและข้อมูลอย่างละเอียด รับของ
Litigation Admin,"Ascend Group Co., Ltd.","Phra Khanong, Bangkok",Administrative Assistants,Full time,,,"Job Description -    จัดการเอกสารตามจำนวนที่ได้รับมอบหมายเพื่อใช้ประกอบการฟ้องเพื่อส่งไฟล์เอกสารให้สำนักงานทนายนอก -    ตรวจสอบอีเมล์ที่มีการปิดบัญชี -    ตรวจสอบเลขเก็บสถานะคดีที่มีการพิพากษาแล้วเพื่อใช้ในการยื่นอายัดเงินเดือน และส่งให้สำนักงานกฎหมาย -    เตรียมเอกสารเพื่อส่งให้สำนักงานกฎหมายดำเนินการยื่นเรื่องอายัดเงินเดือนภายใน 7 วัน -    เตรียมข้อมูลไฟล์รายงาน NCB เพื่อส่งให้ทีมที่เกี่ยวข้องรายงานให้ธนาคารแห่งประเทศไทย -    ติดต่อประสานงานหน่วยงานภายในและหน่วยงานที่เกี่ยวข้อง Requirements - จบการศึกษาปริญญาตรี - ยินดีพิจารณานักศึกษาจบใหม่ -  มีทักษะในการเรียนรู้งานอย่างรวดเร็ว -  มีทักษะ Microsoft Office โดยเฉพาะ Excel -  หากมีประสบการณ์ LMS, LOS, MAMBOO, Backoffice Portal, Google Drive, FAS/Collection จะพิจารณาเป็นพิเศษ -  มีทักษะในการเจรจาประสานงาน - หากมีประสบการณ์ด้านงานกฎหมายหรือธนาคาร -  เข้ากับผู้อื่นได้ดี และมี Mindset ที่ดีในการทำงานเป็นทีม -  สามารถทำงานแบบ Hybrid ได้"
Program Manager/Program Advisor/ผู้จัดการโครงการ,National Democratic Institute for International Affairs (NDI),"Pathum Wan, Bangkok",Administrative Assistants,Full time,,,"JOB DESCRIPTION NDI works with democrats and democratic institutions in every region of the world to build political and civic organizations, safeguard elections, promote citizen participation, strengthen openness and accountability in government. Founded in 1983, the National Democratic Institute for International Affairs (NDI) is a nonprofit, nonpartisan organization working to strengthen and expand democracy worldwide. Headquartered in Washington, D.C., NDI maintains offices in over 65 countries on four continents. In Thailand, NDI implements programs designed to facilitate interaction between citizens and Members of Parliament at the national level; and, CSOs, political parties and elected representatives at the local level. NDI seeks committed and qualified candidates for the position of Program Manager or Program Adviser to implement program activities and perform tasks for programs managed by NDI in support of the House of Representatives of Thailand and to the Bangkok Metropolitan Administration. The position reports to the NDI Resident Director. To perform this job successfully, an individual must be able to conduct each essential duty and possess the required skill set and experience. The requirements listed below are representative of the knowledge, skills and/or abilities required. Reasonable accommodations may be made to enable individuals with disabilities to perform essential functions. ESSENTIAL DUTIES AND RESPONSIBILITIES Leads the development and drafting of proposal and work plan formulation and takes part in the overall strategic planning process. Leads the development and contributes to the design of program activities according to grant objectives. Oversees implementation of workshops, consultations and other activities related to program objectives. Serves as key contact with the local partners to include, government officials, parliamentarians and staff, provincial contacts and civil society groups. Provide updates, reports and critical analysis of Thailand political situation to Resident Director as needed. Oversees logistical and administrative support needed for implementation of activities. Ensures programmatic goals are achieved and reporting requirements are adhered to. Monitors performance and deliverables in assigned programs. Monitors assigned program budgets. Responsible for managing the reporting process at the direction of the Resident Director and in coordination with the M&E officer. Oversees weekly, monthly and quarterly reporting and works with Resident Director, local staff and the DC team to fulfill donor reporting requirements. Assists the Resident Director and NDI DC staff with the review and editing of reports. Attends relevant meetings, presentations and conferences in order to keep up to date on the latest political develops and information on the region and/or partners. Maintains relationships with key partners in civil society, government and political parties. Conducts verbal and written translation as needed. Travels to program implementation areas and provide technical assistance as needed. Performs other duties as assigned. EDUCATION AND/OR EXPERIENCE University degree in political science, international relations, law, human rights, public administration, social science, or related subject; graduate degree in a similar discipline is preferred. Minimum of eight years relevant work experience related to implementation of governance programs. Work experience in diplomatic missions (Embassies), international development agencies (USAID, DFID, AusAID, SIDA, DANIDA etc.), and international non-governmental organizations (NGOs) is strongly preferred. REQUIRED SKILLS AND ABILITIE Experience in supporting international development programs and familiarity with donor reporting requirements preferred (i.e. USAID, DFID, or SIDA). Experience in conducting political analysis and report writing. Ability to manage multiple tasks simultaneously. Strong interpersonal skills and demonstrated ability to communicate clearly, effectively, and with cultural sensitivity. Excellent oral and written communication skills in English and Thai required. Experience in working with national and local government institutions or political parties, and familiarity with the political situation in Thailand preferred. Skills on social media management preferred. Experience with Word, Excel, Google Apps (Gmail, Calendar, Drive, etc.), and PowerPoint required; Access preferred. This position is open to Thai nationals only. The anticipated start date will be in March 2023. The position is full-time and based in Bangkok. Interested candidates should send a CV and letter of interest by January 21, 2024. Only short-listed candidates will be contacted, and suitable candidates may be contacted before the deadline."
Office Manager,"Lasermed Co., Ltd.","Khlong Toei, Bangkok",Administrative Assistants,Full time,25000,29999,"Responsibilities: Organizing maintenance company to keep the office clean and in good condition. To coordinate and take care of customers and clients. Handling of coordinate to office suppliers and ordering new relevant stuff and appliances as required. Handling of all related administrative tasks as required. Reporting office progress to the management and working with them to improve office operations and  procedures. Any jobs assigned. Qualifications: Bachelor's Degree or higher in Management or related fields At least 1 years’ experience in managerial level Self-motivated, open-minded, and innovative thinking Strong in problem solving, good communication skills Enable to work under pressure Excellent/ Good command in English both written and spoken will be advantage Excellent hands-on knowledge using MS office"
Document Control (Junior Level) / New graduate are welcome...,Enfourtech Corp. Ltd.,"Huai Khwang, Bangkok",Administrative Assistants,Full time,,,"Review, verify and follow-up documentation as required by our specifications and schedule. Managing documents with manufacturer while also ensuring their accuracy, quality and integrity. Support designated procurement specialists as required. Duties and responsibilities: Expediting of submission and review of vendor documentation. Contact suppliers by e-mail or telephone to verify production schedule, adherence to engineering specifications and required delivery date. Communicate as necessary to correct any delays. Ability to communicate effectively by phone and in group discussions Contact suppliers to requisition material within scope of authority. Maintain assigned department and project documentation files. Assist with other procurement functions as required by supervision. Reviewing, checking and editing technical documents Manage the documentation within timeframe Control all aspects of project documentation on multiple simultaneous projects Produce and maintain Document Progress Reports to client Ensure all documentation provided is as per Client quality formatting requirements. Formatting may include correcting templates, fonts and style, pagination and numbering and other activities that may be required to achieve a client’s documentation requirements Create Document Control and correspondence folders for individual projects. Work in strict co-operation with the Project Plant Manager to ensure project progress status integration Ad hoc duties as required to assist the project team Qualification: Bachelor degree in any field. Good command of English Proficient in communication, both written and oral Able to communicate in English and computer literacy. Ability to prioritize, manage time well, multitask and troubleshoot. Hands-on experience with Microsoft Office and Adobe PDF products Self-management and initiative An attractive salary and other fringe benefits will be offered to the right candidate. Resume will be treated in strictest confidence, and should contain full detail of qualifications, working experience, together with one recent photo and send to: Enfourtech Corp . Ltd . 202 Le Concorde Tower 7 th Fl . Rajchadapisek Rd . Huaykwang Bangkok 10320 Thailand . Tel : 66 ( 0 ) 2 6942322 Fax : 66 ( 0 ) 2 6942323 www . enfourtech . com"
"Admin Assistant - F&B (Basic salary 16,000 baht - 19,000...","Shen Yuan Foodstuffs Co., Ltd.","Sathon, Bangkok",Administrative Assistants,Full time,,,"JOB HIGHLIGHT Mon – Fri: 9am – 5pm วันจันทร์ - วันศุกร์ 09.00 - 17.00 น Basic salary increment after 3 mths probation ปรับเงินเดือนขั้นพื้นฐานเมื่อผ่านการทดลองงาน 3 เดือน Year-end performance bonus โบนัสสิ้นปีขึ้นอยู่กับผลงาน Annual company trip or DnD งานเลี้ยงอาหารค่ำประจำปีของบริษัทหรือการเดินทาง Office Location: Lumpini Place Sathon RESPONSIBILITIES Tend to customer queries (calls, text, email, social media messages) Issue quotation/invoice/delivery order Liaise with accounts for invoice and transactions and filing of VAT and proper book filing of documents Assist with stock take in cold room for deliveries Handle B2C online order (Shopee and Grabmart) Issue quotations to customers Data Entry REQUIREMENTS Min 2 years’ experience in Administrative Able to communicate in basic English จะต้องสามารถสื่อสารภาษาอังกฤษได้ Preferably from F&B industry Interested applicants are invited to submit your detailed CV and Apply Now. We regret that only shortlisted candidates will be notified."
HR & GA Staff (20K – 25K) (SDG-101809),"RGF HR Agent (Thailand) Co., Ltd.",Prachin Buri,Administrative Assistants,Full time,,,"Duties & Responsibilities: Responsible for HRM, HRD and GA. Handle recruitment process, development plan, company benefit etc. Follow up company regulations. Support HR Manager to handle performance management such as bonus, salary increment, promotion etc. Other task as assigned. Necessary Skill / Experience Bachelor's Degree in any field At least 2 years’ experience about HR&GA from any manufacturing industry Daily conversational - middle level of English (for internal communication) Able to use MS Office Languages skills English : Conversational Japanese : None Workplace Area: Prachinburi Working Hour :  8:00-17:00(Mon-Fri, Sat; about 1 time/month, depends on company calendar) About the Benefit Salary: 20,000–25,000THB Social Insurance Annual health check Provident Fund Uniform Monetary assistance About the allowance Meal allowance Diligent allowance Transportation allowance OT allowance About the company Business Type: Manufacturing Products: Engine Bearings, Bushings and Thrust Washers, Special Bearings, EGR Valves and Actuators, Aluminum Die-Cast Products, Precision Dies, Plastic Products HOW TO APPLY *** Please submit your resume with recent photo , your current & expected salary , and reference: HR & GA Staff (20K – 25K) (SDG-101809) To *** Any query regarding this Job or application method, please call Tel. 033-154-333 4/222 Harbor Office Building, 5th Floor, Unit 5A04, Moo.10 Sukhumvit Road, Tungsukla, Siracha, Chonburi 20230   (ใบอนุญาตเลขที่ น.ชบ 03/2561) Website: www.rgf-hragent.asia [link removed] and find us on Facebook: RGF Thailand"
"Secretary and Administrative Officer (Bangna Area, Bangkok)...","Sulzer (Thailand) Co., Ltd.","Bang Na, Bangkok",Administrative Assistants,Full time,20000,34999,"We are looking for a high caliber candidate to join our team based in Bangkok, Thailand. Secretary and Administrative Officer (Bangna Area, Bangkok) Objective : To provide administrative support to ensure efficient daily operation within an organization. In the means while, to provide quality customer services for all internal and external clients. Responsibilities: Ensure functionality of necessary office equipment and requisitioning new equipment and supplies as needed. Support budgeting and book-keeping procedures. Prepare monthly expense claims of office and a superior. Confer with F&A dept to help make payments, process incoming invoices, and verify receipts. Ensure claims and receipts of employee are in accordance with Sulzer policy and accounting system. Assisting HR department with personnel databases. Coordinates and undertakes booking of travel, accommodations, catering, events, special functions and meetings as required. Maintain and update customer databases weekly e.g. CRM. . Performs reception duties as required including answering telephone enquiries. Undertakes other duties as assigned by a superior. Requirements: Bachelor’s Degree in any field of studies. Good command of English. New graduate is welcome Attention to detail, thorough when performing task. High level of service mind and a good team player. Ability to work independently with minimal supervision. High integrity and reliability. Interested candidates please send in your resume, a recent photograph and specify your expected salary to Apply Now. Only shortlisted candidates will be notified."
House Moving Coordinator (Japanese Speaking),"Yamato Unyu Thailand Co., Ltd.","Suan Luang, Bangkok",Administrative Assistants,Full time,,,"House Moving Coordinator (Japanese Speaking) Job Descriptions : Responsible for finding new customers and take care of old customers. Advising customers on the company's services to achieve sales targets and create customer satisfaction. For all moving job, house visit survey, Create a quotation, to attend packing, collection and delivery on job site. Qualification : • Bachelor's degree • Have an experience in Sale • Expert Japanese Speaking Benefits for position * Language allowance (If Any) English allowance : Max 4,000 THB/Month depend on TOEIC Score Japanese allowance : Max 6,000 THB/Month depend on JLPT Score Benefits : Social security Provident fund Annual health check Overtime Language allowance Diligence allowance Group insurance Annual leave holiday Annual salary adjustment Bonus Uniform Sickness benefit (OPD)"
HR Recruitment,YIC Asia Pacific Corporation Limited,"Khlong Toei, Bangkok",Administrative Assistants,Full time,,,"Job  Details 1. ดำเนินการควบคุม จัดทำ ปรับปรุงและจัดเก็บประวัติพนักงาน 2. ดำเนินการสรรหาและว่าจ้างบุคลากรให้กับบริษัทในเครือ 3. จัดทำและติดตามเอกสารประเมินผลทดลองงาน 4. สรุปรายงานประจำเดือนต่อผู้บังคับบัญชา 5. เข้าร่วมกิจกรรมด้านคุณภาพ ความปลอดภัยและอื่นๆ ตามนโยบายของบริษัทฯ 6. อื่นๆที่ได้รับมอบหมายจากบริษัทฯ PRR: 83123 Qualification •วุฒิปริญญาตรี สาขา ทรัพยากรมนุษย์, การบริหารจัดการ หรือสาขาอื่นๆที่เกี่ยวข้อง •ผลสอบวัดระดับภาษาอังกฤษตั้งแต่ 550 คะแนนขึ้นไป •สามารถใช้โปรแกรม Microsoft Office ได้ดี •มีทักษะในการสื่อสาร และประสานงาน •บุคคลิกภาพดี อัธยาศัยดี เข้ากับเพื่อนร่วมงานได้"
