Jobtitle,Company,Location,Job Position,Salary Min,Salary Max,Job Description
Trade Middle Office Associate – Import,The Hongkong and Shanghai Banking Corporation Limited,Bangkok,Other,Full time,,,"If you’re looking for a career where you can make a real impression, join HSBC and discover how valued you’ll be. Whether you want a career that could take you to the top, or simply take you in an exciting new direction, HSBC offers opportunities, support and rewards that will take you further. HSBC Global Trade and Receivables Finance is committed to helping companies of all sizes from every part of the world grow their business across borders. Offering a comprehensive range of forward-thinking supply chain and traditional trade solutions, the business has been repeatedly recognized by the industry’s most prominent publications and associations with numerous awards for its strength in combining innovation and service excellence with end-to-end customer solutions. We are now inviting qualified individuals to join this team in the role of Trade Middle Office Associate - Import Principal responsibilities Handle & Process Import Transactions and Financed Transactions as per guideline & rules (i.e. UCP600 / URC522 / Bank Policy, etc.) including but not limited to checking import bills and handling back to back documentary credit applications, amendment applications and transfers, etc. Ensure processing Import Transactions and Financed Transactions as per Department Service Level Agreement. Provide Excellent service to every customer in term of transaction handling and technical guidance, etc. Management Information & Reports: Ensure all local and regional reporting of GTRF BKH is completed in a timely and accurate manner in conjunction with BKH FIN, Customer Group, ASP GTRF, Bank of Thailand and AMLO requirements. Backup/support Team members and assignments. Qualifications - External Bachelor’s degree in any related field. At least 3-5 year working experience in International Trade and have good knowledge of International Trade (UCP600). Strong customer service minded, interpersonal & communication skill, and PC skills. Ability to handle multiple tasks independently with excellent attention to detail and work well under pressure. Positive attitude towards teamwork. Good command of spoken and written English."
Balance Sheet Risk Monitoring Officer,"Siam Commercial Bank Public Co., Ltd.","Chatuchak, Bangkok",Corporate Finance & Investment Banking,Full time,,,"Job Summary: We are seeking for a detail-oriented and experienced professional to join our team as a Balance Sheet Risk Monitoring Officer. The ideal candidate will be responsible for monitoring and analyzing the liquidity risk of the organization, ensuring compliance with established policies, and contributing to the development of effective risk management strategies. Job Description: Monitor daily liquidity positions, assess adequacy of liquid assets and address potential gaps Develop and maintain accurate cash flow forecasts to anticipate liquidity needs Analyze historical cash flows to identify trends and potential liquidity risks Prepare regular reports on liquidity positions, trends and variances for senior management team Implement liquidity risk policies, conduct stress tests and collaborate with cross-functional teams for effective liquidity risk management, leveraging technology and quantitative methods. Qualifications: Master's degree in Finance, Economics, Risk Management, or related fields Minimum 3 years of experience in liquidity risk monitoring or a related field in financial industry Knowledge of financial markets, liquidity metrics and risk management principles. Strong analytical and problem-solving skills with attention to details Familiar with regulatory requirements related to liquidity risk and proficiency in data analysis tools and financial modeling"
Senior Business Development Manager (International Banking Business),"Siam Commercial Bank Public Co., Ltd.","Chatuchak, Bangkok",Banking - Corporate & Institutional,Full time,,,"Job Summary: Senior Business Development Manager role is mainly responsible for developing the business strategy and expand the business in assigned countries to maximize the customer base and profits. Job Description: Develop the business strategy of his/her responsible countries, along with International Business Function Head, Strategist to ensure such business plans are approved by appropriate approval authority Expand business of Thai corporates or SME to connect with respective countries with a focus on growing the business volume, customer base and income by exploring and identifying business opportunities and develop new clients in the respective countries to be in line with strategies and policies of International Banking and with acceptable risk and return Review & monitor credit applications and credit portfolio of the respective countries Be responsible as representative for each respective country to present the credit case to Credit Committee or Executive Committee (if needed), together with interface and establish good working relationships with key stakeholders at HO and each respective countries Be responsible for HO as a representative in the respective chamber, i.e., TCBC, Myanmar Business Council, etc. Qualifications: A minimum of 7 years’ experience in banking industry with a strong background in corporate banking, financial institutions, and relationship management Strong understanding in credit products and familiar with rules and regulations of banking services Experiences in planning the business model in CLMV markets is advantageous Strong leadership skills with ability to provide coaching and guidance to the team, strong analytical and systematic thinking, communication and presentation skill and ability to manage complex projects and multi-task Enthusiastic to relocate to CLMV countries for 2-3 years"
Compliance Officer/เจ้าหน้าที่ฝ่ายกำกับดูแลการปฏิบัติงาน,"Sawakami Asset Management (Thailand) Co.,Ltd.","Sathon, Bangkok",Compliance & Risk,Full time,,,"Industry: Financial industry / Mutual Fund Location: Thai CC Tower building (nearby BTS Surasak) Compliance Officer ( Full Time, 1 position) Duties and Scope: 1. Monitor the regulations and laws related to the company. 2. Consult and advise, prepare policies and manuals to be able to perform regulations and laws correctly. 3. Assess compliance risks with procedures, advise and monitor internal control measures. 4. Monitor/review compliance with internal rules and laws. 5. Prepare audit report. 6. Educate employees about laws and regulations. 7. Maintain and observe company’s principle and norms and strictly follow the company’s policy. 8. Others as assigned by Head of Compliance. Requirements: 1. Bachelor’s degree in area beneficial areas. 2. 2-5 years experience in compliance, risk management, internal control, operation control, audit function or related functions. Experience in asset management company is advantageous. 3. Well-organized, detail-oriented, mature and excellent interpersonal and communication skill. 4. Experience in Policy & Procedure writing and arrangement. 5. Experience in Compliance of AML/PDPA. If you have any inquiries, please do not hesitate to call 089-922-8062 (Weerawan)"
เจ้าหน้าที่สนับสนุนและบริการงานสินเชื่อ (Service Officer) - พื้นที่ต่างจังหวัด,Bangkok Bank Public Company Limited,"Sathon, Bangkok",Credit,Full time,,,เจ้าหน้าที่สนับสนุนและบริการงานสินเชื่อ (Service Officer) พื้นที่ต่างจังหวัด หน้าที่และความรับผิดชอบ: รับผิดชอบงานด้านเอกสารของสินเชื่อลูกค้า ตั้งแต่รวบรวม จัดเก็บแฟ้มข้อมูลและเอกสารข้อมูลของลูกค้า ติดตาม และตรวจสอบข้อมูลต่างๆของสินเชื่อลูกค้า บันทึกข้อมูลสินเชื่อของลูกค้าลงในระบบ ตอบข้อซักถามและให้คำแนะนำ รับเรื่องร้องเรียนจากลูกค้า และดำเนินการปฏิบัติงานด้านเอกสารที่เกี่ยวข้อง ให้บริการ ประสานงาน สร้างความสัมพันธ์กับลูกค้า ติดต่อประสานงานกับหน่วยงานต่างๆภายในธนาคาร คุณสมบัติ: ยินดีรับนักศึกษาจบใหม่ ปริญญาตรี (สาขาวิชาบริหารธุรกิจ บัญชี การเงิน การตลาด เศรษฐศาสตร์) สามารถใช้ Microsoft Excel ได้เป็นอย่างดี บุคลิกภาพดี มีใจบริการ แก้ปัญหาเฉพาะหน้าได้ดี รับแรงกดดันได้ ตรงต่อเวลา สถานที่ปฏิบัติงาน: พื้นที่ต่างจังหวัด สามารถสอบถามข้อมูลเพิ่มเติมได้ที่ คุณนิติพนธ์  โทร. 085 481 2111
Executive Trainee,TISCO Financial Group Public Company Limited,Bangkok,Other,Full time,,,"In addition to the positions outlined above we also seek to recruit Executive Trainees to work in Retail Banking. For these positions we welcome applications from young and talented individuals who have completed a  Master's degree in Finance, Management, Accounting, Marketing, Economics, Computer Science (i.e. MIS,CIS, Engineering or E - commerce) or in other subjects related to the financial services industry, preferably from a reputable, well - recognized and prestigious university in Thailand and/ or abroad. The successful candidates must be willing to make a long-term commitment to the financial services industry and strive to become future leader of TISCO group. Qualification: - 0-2 years’ experience, new graduates are welcome. - Dynamic, passionate and self driven individual who possesses exceptional  leadership potential - Excellent analytical and conceptual skills - Professional appearance, outgoing, energetic with strong interpersonal and  communication skills - Have the ability to manage projects, build / maintain good relationships with  clients, and work independently as well as in a team environment"
สินเชื่อธุรกิจ SME (AO-L) ปฏิบัติงานที่ จังหวัดสมุทรสาคร,Krung Thai Bank PCL,Samut Sakhon,Banking - Business,Full time,,,"ตำแหน่ง เจ้าหน้าที่อาวุโส / เจ้าหน้าที่ สินเชื่อธุรกิจ SME (AO-L) ปฏิบัติงานที่ จังหวัดสมุทรสาคร หน้าที่ความรับผิดชอบ 1. อำนวยความสะดวกด้านเอกสารการขอสินเชื่อแก่ลูกค้า 2. ตรวจสอบความถูกต้องของเอกสาร ให้เป็นไปตามนโยบายของการอำนวยสินเชื่อ 3. จัดเตรียมเอกสาร ตรวจสอบความถูกต้องของเอกสารสัญญาสินเชื่อ และควบคุมระยะเวลาในการจัดเตรียมเอกสารตามที่ธนาคารกำหนด 4. สร้างความสัมพันธ์กับผู้บริหารระดับกลางของลูกค้า เพื่อสร้างโอกาสในการต่อยอดผลิตภัณฑ์ 5. สร้างความสัมพันธ์กับลูกค้าเดิม และประสานงานร่วมกับทีมงานของลูกค้า โดยดูแลการเบิกจ่ายเงิน และการชำระหนี้ของลูกค้าให้เป็นไปตามเงื่อนไข และระยะเวลาที่กำหนด รวมทั้งแจ้งรายละเอียดเอกสารสำหรับต่ออายุวงเงินสินเชื่อ 6. จัดเตรียมเอกสารต่างๆ ให้กับ RM โดยสามารถบ่งชี้ถึงความเสี่ยงในระดับสูงที่เกิดขึ้นได้ 7. สนับสนุน RM สำหรับการตรวจสอบ Portfolio เช่น การใช้วงเงิน และวัตถุประสงค์การใช้วงเงิน เป็นต้น คุณสมบัติ 1.วุฒิการศึกษาระดับปริญญาตรีขึ้นไป ด้านบริหารธุรกิจ การบัญชี การเงิน เศรษฐศาสตร์ การตลาด หรือสาขาวิชาที่เกี่ยวข้อง 2. มีความรอบรู้ในผลิตภัณฑ์และบริการต่างๆ ของธนาคาร 3. มีความรับผิดชอบ และมีมนุษยสัมพันธ์ดี 4. มีทักษะในการติดต่อสื่อสาร 5. มีความสามารถในการใช้ภาษาอังกฤษ 6. มีความรู้ด้านการขายและการตลาด สอบถามรายละเอียดเพิ่มเติม : คุณญาธิป 084 075-8551 ""ผู้สมัครสามารถอ่านและศึกษานโยบายความเป็นส่วนตัวของธนาคารกรุงไทย จำกัด (มหาชน) ที่ https://krungthai.com/th/content/privacy-policy ทั้งนี้ธนาคารไม่มีเจตนาหรือความจำเป็นใดๆ ที่จะประมวลผลข้อมูลส่วนบุคคลที่มีความอ่อนไหว รวมถึงข้อมูลที่เกี่ยวข้องศาสนาและ/หรือกรุ๊ปเลือด ซึ่งอาจปรากฏอยู่ในสำเนาบัตรประจำตัวประชาชนของข้าพเจ้าแต่อย่างใด ดังนั้น กรุณาอย่าอัปโหลดเอกสารใดๆ รวมถึงสำเนาบัตรประจำตัวประชาชน หรือกรอกข้อมูลส่วนบุคคลที่มีความอ่อนไหวหรือข้อมูลอื่นใด ซึ่งไม่เกี่ยวข้องหรือไม่จำเป็นสำหรับวัตถุประสงค์ในการสมัครงานไว้บนเว็บไซต์ นอกจากนี้ กรุณาดำเนินการให้แน่ใจว่าได้ดำเนินการลบข้อมูลส่วนบุคคลที่มีความอ่อนไหว (ถ้ามี) ออกจากเรซูเม่และเอกสารอื่นใดก่อนที่จะอัปโหลดเอกสารดังกล่าวไว้บนเว็บไซต์แล้วด้วย"""
Night Shift Customer Service (Chinese Speaking)/ 夜班运营,"INPAY (THAILAND) CO., LTD.","Phasi Charoen, Bangkok",Supervisors/Team Leaders,Full time,35000,52000,"None-sales  position Qualifications feature : Bachelor's Degree and above in: Finance/Economics/Accounting or related major(s); Experience in Financing/Banking is highly preferred. Regulated to work in Thailand without VISA and work permit Equivalent to a bachelor's degree or higher in finance/economics/accounting. or related fields Experience working in finance/banking will be given special consideration Recruitment requirements: Admission requirements : Flexibility to work in different shifts including weekends Excellent communication skills Resilience and the ability to cope under pressure Language requirements: Chinese speaker. English is a plus+ Flexible to work in shifts. including weekends Have excellent communication skills Have patience and the ability to deal with pressure. Job Description Job details : Wage : 35,000-75,000 baht/month + allowances + Incentive Working Hours: 06:00pm - 3:00am (6 days per week) Net-Banking operations of major African banks; Proceed transactions on InPays Payment Gateway System; Handle customer complain via Email, Telegram & WhatsApp; After-sales customer services; Other duties assigned by supervisor. Carrying out internet banking operations of African banks Carry out transactions on the InPays Payment Gateway system (Payment Gateway System) Help/take care of customer complaints via email, Telegram and WhatsApp. See after-sales customer service Able to perform other duties assigned by the supervisor Job offers Welfare and various allowances : Decent + incentive meals&snacks Professional training and career development Working experience in a culturally diverse environment Appropriate diligence allowance + meals and snacks professional training and career development Experience working in a multicultural environment."
Business Investment Support,Bangkok Bank Public Company Limited,"Sathon, Bangkok",Corporate Finance & Investment Banking,Full time,,,"จัดข้อมูลการลงทุนของธนาคารให้เป็นปัจจุบัน เพื่อรองรับในการพัฒนา Database System ตลอดจนทดสอบความถูกต้องของระบบงาน และดูแลบริหารจัดการ Database System เป็นไปตามเวลาที่กำหนด และ สามารถใช้งานได้ถูกต้อง ประสานงานกับหน่วยงานที่เกี่ยวข้อง และ Innohub เพื่อจัดทำ ปรับปรุง พัฒนา Database System ตามแผนงานที่กำหนดไว้ สรุปรายละเอียดการลงทุนของธนาคารนำส่งให้สายสินเชื่อ เพื่อควบคุมให้การให้สินเชื่อ ลงทุน และก่อภาระผูกพันของธนาคารให้อยู่ในเกณฑ์ที่ธนาคารแห่งประเทศไทยกำหนด จัดทำบันทึกแจ้งฝ่ายบริการโอนเงินต่างประเทศดำเนินการโอนเงินเพื่อชำระค่าหุ้น / หน่วยลงทุน ให้แก่บริษัท / กองทุนที่ธนาคารลงทุน จัดทำบันทึกแจ้งฝ่ายหลักทรัพย์บริการดำเนินการซื้อ / ขาย, โอน / รับโอน หลักทรัพย์ที่จดทะเบียนใน / ต่างประเทศ ติดต่อประสานงานกับบริษัท / กองทุน ที่ธนาคารลงทุน รวบรวมรายละเอียดการโอนเงิน / รับเงิน เพื่อสามารถดำเนินการได้ภายในระยะเวลาที่กำหนด งานอื่นๆ ตามได้รับมอบหมาย คุณสมบัติ วุฒิการศึกษา : ระดับ ป.ตรี ขึ้นไป  สาขา การเงิน บัญชี บริหารธุรกิจ  เศรษฐศาสตร์ หรือสาขาอื่นๆ ที่เกี่ยวข้อง สามารถใช้ภาษาอังกฤษได้ดีทั้งการพูด อ่าน เขียน มีทักษะคอมพิวเตอร์ MS Office ดีมาก  โดยเฉพาะ Excel Working Location: Operating at Silom Head Office If you require more information: please contact Khun Waraporn Tel. 085-4814111"
Financial & Credit Support Officer - สายลูกค้าธุรกิจรายใหญ่,Bangkok Bank Public Company Limited,"Sathon, Bangkok",Credit,Full time,,,หน้าที่และความรับผิดชอบ : รับผิดชอบงานด้านเอกสารของสินเชื่อลูกค้าธุรกิจรายใหญ่ ตั้งแต่รวบรวม จัดเก็บแฟ้มข้อมูลและเอกสารข้อมูลของลูกค้า ติดตาม และตรวจสอบข้อมูลต่างๆของสินเชื่อลูกค้าธุรกิจรายใหญ่ บันทึกข้อมูลสินเชื่อของลูกค้าธุรกิจรายใหญ่ลงในระบบ ตอบข้อซักถามและให้คำแนะนำ รับเรื่องร้องเรียนจากลูกค้า และดำเนินการปฏิบัติงานด้านเอกสารที่เกี่ยวข้อง ให้บริการ ประสานงาน สร้างความสัมพันธ์กับลูกค้าธุรกิจรายใหญ่ ติดต่อประสานงานกับหน่วยงานต่างๆภายในธนาคาร คุณสมบัติ : ยินดีรับนักศึกษาจบใหม่ จบการศึกษาระดับชั้นปริญญาตรี สาขาวิชาบริหารธุรกิจ บัญชี การเงิน การตลาด เศรษฐศาสตร์ สามารถใช้ Microsoft Excel ได้เป็นอย่างดี บุคลิกภาพดี มีใจบริการ แก้ปัญหาเฉพาะหน้าได้ดี รับแรงกดดันได้ ตรงต่อเวลา สถานที่ปฏิบัติงาน: สำนักงานใหญ่สีลม สามารถสอบถามข้อมูลเพิ่มเติมได้ที่ คุณนิติพนธ์  โทร. 085 481 2111
