Jobtitle,Company,Location,Job Position,Salary Min,Salary Max,Job Description
Assistant Vice President Interior Design/ผู้ช่วยผู้อำนวยการออกแบบตกแต่งภายใน,"Grande Asset Hotels And Property Public Co., Ltd.","Khlong Toei, Bangkok",Interior Design,Full time,,,หน้าที่รับผิดชอบ บริหารจัดการ ทำหน้าที่เป็นหัวหน้าส่วนงานตกแต่งภายในทุกโครงการของ บริษัทฯ ให้สำเร็จภายในเวลาและงบประมาณที่กำหนด ตรวจสอบ ควบคุมคุณภาพงาน และควบคุมงบประมาณในการตกแต่งภายใน ในขั้นตอนการออกแบบให้สอดคล้องกับนโยบายของบริษัทฯ ศึกษาวิเคราะห์แบบ และ BOQ วางแผนการก่อสร้าง วางแผนการจัดซื้อ จัดจ้าง เตรียมงาน ณ สถานที่ก่อสร้าง ประสานงานกับผู้ออกแบบ และ ผู้เกี่ยวข้อง และถ่ายทอดข้อมูลที่ถูกต้อง จัดทำข้อมมูลความคืบหน้า และข้อเสนอแนะเพื่อการประชุมผู้บริหาร คุณสมบัติ วุฒิปริญญาตรี หรือโท สาขาตกแต่งภายใน หรือ สาขาอื่นที่เกี่ยวข้อง มีประสบการณ์อย่างน้อย 15 ปี ในด้านการบริหารงานตกแต่งภายใน มีความเป็นผู้นำ สามารถแก้ไขปัญหา และ ตัดสินใจได้อย่างถูกต้อง มีทักษาการเจรจาต่อรองที่ดี
Feasibility Design Engineer,"BECIS SEA Management Co., Ltd.",Bangkok,Other,Full time,,,"BECIS is a leading Energy as a Service (EaaS) provider to high quality commercial and industrial customers. With the EaaS model, BECIS group leverages on its deep technical expertise and strong balance sheet to finance, develop, design, construct and operate onsite complex energy solutions through long-term contracts to help our industrial customers meet their energy cost reduction, sustainability, and resiliency goals. These solutions include onsite solar projects, bioenergy projects and various energy efficiency projects across geographies with significant presence in Thailand, Indonesia, India, Malaysia, Philippines, Vietnam, Cambodia and China. "" Empower Our Future ""! Together, we can make a positive impact on the environment! Job Title           : Feasibility Design Engineer Location          : Bangkok, Thailand This position will report to Feasibility Design Manager., working in Business Development Department, will have the opportunity to be exposed to various and challenging missions. Key Responsibilities Support the Sales team by preparing all technical, financial, and commercial-related materials to meet the needs of the prospects. Prepare answers to solar PV tenders. Conduct the technical studies (feasibility, preliminary design, etc.) including load profile analysis, PVSyst simulation, AutoCAD preliminary PV Layout, and all related calculations for solar PV power plants in self-consumption. Prepare and propose a business plan and a commercial offer based on the results of the technical feasibility studies. Prepare the commercial proposals in relation to the agreed business plan. Coordinate with sales team, attend technical clarification meetings with the prospects when needed. Coordinate with internal teams and subcontractors to request and follow-up on relevant tasks to be performed. Participate in regular internal meetings to discuss the status of projects, project resources, commercial and technical strategic approach, and other needs. Organize and maintain documents related to projects to ensure better follow-up, and compliance with ISO 9001 quality management system. Identify and assess the economic viability of new technologies. Qualifications/Skills/Experience Bachelor’s degree of Electrical Engineer 1-2 years’ experience in the same industry or related field Experience in Solar Energy is a plus. AutoCAD and SketchUp are required. Office Suite (Excel – VBA is a plus, Word and PowerPoint). Problem-solving skills Communication ability with team and other department Adaptability, Autonomy, Self-reliance, Proactivity Curiosity and motivation to learn. Ability to communicate in English is a must. Benefits of Working with BECIS Opportunity to build a career with a growing organization that leads and drives new and innovative initiatives in renewable energy in Asia. Be part of a diverse, multinational, and multicultural team. Competitive salary and benefits package. As a job applicant, your personal data will be collected and used by us for the following purposes, and we may disclose your personal data to third parties where necessary for the following purposes: Assessing and evaluating your suitability for employment in any current or prospective position within the organization; and Verifying your identity and the accuracy of your personal details and other information provided. By submitting your application to us, you consent to the collection, use and disclosure of your personal data, and such consent will remain valid until such time it is being withdrawn by you in writing. BECIS is a strong advocate of workforce diversity, an Equal Opportunity/Affirmative Action Employer and does not discriminate based on any legally protected status or characteristic: Minority/Female/Sexual Orientation/Gender Identity/Disability/Veteran."
Senior / Junior Graphic Designers,RKD Company Limited,"Vadhana, Bangkok",Graphic Design,Full time,24000,35000,"rkd retail/iQ is a leading awarded international retail & brand design agency based in bangkok with offices in shenzhen and shanghai let’s join us! Calling all dazzling, young and talent graphic designer, who always thinks outside the box, love shopping, in-trend, fashionable and open-minded! let’s have some fun with us! Senior / Junior Graphic Designers good skill and strong portfolio in brand logo brand visual identit graphic communications infographic developments. character design developments (preferred but not required) experience in retail are preferred but not required. open-minded and always think outside the box. understanding and communicate in english is preferred but not required. Portfolio is required*** Let us hear from you at Apply Now. RKD Company Limited Young Place Building, 118/63 Sukhumvit 23, Klongtoeynue, Wattana, Bangkok 10110 Tel. 02-2586747"
Graphic Designer หรือ Senior Graphic Designer,"ALB Sports Management Co.,LTD.",Bangkok Metropolitan Region,Graphic Design,Full time,,,จุดเด่นบริษัท - ไม่ต้องเข้า Office ทุกวัน - เราชอบทำงานเป็นทีม - เราคือเวทีที่พร้อมให้คุณแสดงฝีมือได้เต็ม รายละเอียดงาน - ออกแบบและสร้างสรรค์ชิ้นงานต่างๆ คุณสมบัติ - ประสบการณ์ในงาน Graphic Design อย่างน้อย 1 ปี - ตำแหน่งจะขึ้นอยู่กับคุณสมบัติของผู้สมัคร สำนักงานตั้งอยู่ที่ : สุขาภิบาล 5 (ซอยวัชรพล) สอบถามข้อมูลเพิ่มเติมได้ที่ สิรวุฒิ - 081-198-2292 Line id: wetscw อีเมล : hr@albsports.co.th
"Artwork Designer ENGLISH for gift boxes, user manuals and photo taking",Supra Foto-Elektronik-Vertriebs-GmbH Representative Office,Chon Buri,Graphic Design,Full time,,,"We are again hiring new employees in Thailand to support our global team. Job Highlights Nice friendly team International working environment Flexible working Job Description Responsibilities: Create gift box artworks, user manual artworks according to our client CIs. All artworks must be created in English only. Take product photos and ambiente photos Requirements: Very good command of both written and spoken English Familiar with InDesign graphic software Ability to learn and strictly follow each client CIs Keen to learn new things and further develop yourself in an international company. Open for a friendly, humourous but demanding working atmosphare Accurate and detail oriented working style Good team player and able to work independently High level of communication and interpersonal skills Package: Good competitive salary package Company insurance program (Health, Dental, Life) Voluntary yearly bonus Monday to Friday job No Saturday work, no Sunday work, no public holiday work 40 hours week (start between 8-10 a.m., leave 5-7 p.m., 1h flexible lunch break) 10 days annual leave p.a. Parental, Maternity leave Full company support to develop own skill-set and personal career development Big desk, much space, nice + modern office friendly, humorous but demanding working atmosphere"
Graphic Designer (Contract 1 Year),Tencent (Thailand) Company Limited,"Phra Khanong, Bangkok",Graphic Design,Full time,,,"Tencent Thailand offers unique opportunities to grow with an industry-leading company while enjoying the benefits of creating and starting new business. Currently, we are looking for a candidate in the role of Graphic Designer located in Bangkok, Thailand. Tencent Thailand is dedicated to developing internet platforms with quality content for our users’ lifestyles making the online world safe, enjoyable, and educational. Our leading products include, but not limited to, Sanook.com the number 1 portal in Thailand, WeChat, and Tencent Games. At Tencent, we aim to fulfill the needs of our audiences, partners, and advertisers with diverse and innovative platforms. We seek highly motivated individuals to join us as we continue our journey to create new products, services, and opportunities in Thailand, a hub of innovation and business for Southeast Asia. Job Description/Scope: Create Key visual, digital graphics, layouts, landing page, logos and icons, illustrations, advertisements, and many other forms of visual communication.by using relevant design tools. Assist the team members to choose the right style, attractive graphics, images, and other visual elements to adapt them according to the objectives of the project. Assist and review the overall performance of design team member to improve quality of designing Complete the project work within the timeline and estimated budget Work in collaboration with colleagues across different departments Maintain a strong understanding of design principles, color theory, and typography to produce visually cohesive and engaging interfaces. Qualifications: Proven experience as a Graphic Designer with a strong portfolio showcasing your work Proficiency in graphic design software such as Adobe Creative Suite (Photoshop, Illustrator, InDesign) Knowledge of social media platforms and their design requirements. Strong understanding of design principles, typography, and color theory. Excellent creativity and ability to generate innovative visual concepts. Strong communication skills and the ability to collaborate effectively within a team. Detail-oriented, with the ability to meet deadlines in a fast-paced environment All applications will be treated strictly confidential. Only short-listed candidates will be notified. Tencent (Thailand) Company Limited 8 T One Building, 10th, 11th and 12th Floor (Unit 4-5), Soi Sukhumvit 40, Sukhumvit Road, Phra Khanong, Khlong Toei, Bangkok 10110 TEL. 02-833-3000 FAX. 02-833-3113"
Packaging Engineer,"Thai Honda Co., Ltd.","Lat Krabang, Bangkok",Industrial Design,Full time,,,"Job Description Design packaging drawing the data by engineering program. Improve and develop the packaging design process for efficiency. Rectify the deficiencies resulting from packaging design. Trial & test packaging design for new parts. Qualification Bachelor degree in Engineering or Packaging related field. Have experience at least 3 year on process. Good command of English (TOEIC score 550 up) Proficiency and expertise in using MS office Tools (Word, Excel, PowerPoint), CAD or Solidworks. Enthusiastic and Quick learner Well self-planning and organization skills. Proactive working and Positive Thinking. Strong interpersonal, communication and negotiation skill. Thai Honda Co., Ltd. 410  Ladkrabang Industrial Estate , Chalongkrung road., Lumplatue , Ladkrabang , Bangkok 10520 Tel.023260641 – 9 ext. 1235"
Brand Manager - Oysho and ZARA Home,"DFC (Thailand) Co., Ltd.","Pathum Wan, Bangkok",Fashion & Textile Design,Full time,,,"The Brand Manager is responsible for driving top line performance, full profit and loss accountability, consistent operational excellence and brand compliance across all stores. Ensure all team members are trained and developed to deliver the business plan and sales targets. Ensure a continuous review and update to all policies and procedures whilst ensuring compliance with Group Internal Audit guidelines and minimize business risk. Actively develops and implements strategic business plans to ensure a profitable business operation. The job holder is responsible for the customer experience within all stores to reflect the brand values and customer promise. Delivering Top Line Performance and Profitability Sets overall guidelines for margin exploitation by product area and ensures processes are established to analyze margin deviation. Develops a global commercial strategy (short, medium and long term). Defines the store layout through all product categories (adjacencies and product mix) according to brand guidelines. Setting and delivery of operational standards for all stores in visual merchandising, stock availability, customer service and security whilst ensuring brand integrity. Ensure all team members are trained and developed to deliver the business plan and sales targets. Financial & Business Planning Own and develop the brand operations strategy (Strategic Plan). Construct, implement, monitor and control the approved budget and operational costs for all stores. Enforce company operating procedures to maintain accurate inventory, system integrity and profit protection across all stores. Drive cost saving initiatives and efficiencies throughout retail operations by challenging existing processes. Working alongside GM-HR to ensure manpower costs are closely monitored and productivity levels maximized. Review and where necessary revise and or amend the standard operating procedures as per business requirement and in line with Group Internal Audit. Review all internal audit reports when published and support the store manager in compiling recommendations and updates to Group Internal Audit. Review all store internal audit reports and implement necessary corrective action required. Corporate & Brand Promote brand and corporate values throughout the operations team. Ensure consistent ways of working across all stores. Ensure stores comply with all legislation, regulation and corporate governance. Regularly and proactively communicates with the brand to establish and maintain a strong working relationship and partnership. In partnership with the brand, work with the principle to resolve issues and deliver opportunities for the delivery of current and future commercial priorities. People Recruit the ‘Best in Class’ sale associates to ensure delivery of ‘Top Line’ sales. Working alongside GM-HR to deliver targeted people solutions to enhance employee engagement and compliance to HR policies and local legislation. Coach and mentor all store managers and ensure robust succession and training plans are in place for each store. Evaluate and develop all high potential employees. Act as a role model for the Al-Futtaim Way and brand specific behaviors. Business Growth & New Markets Managing market entry and store opening projects with corporate and principal provided resources, ensuring compliance to legislation and brand requirements. Responsible for all strategic operational plans including new territories. Qualification Minimum Qualifications and Knowledge: College or University level graduate. Minimum Experience: Retail fashion experience is preferred although a passion for fashion is a MUST. Job-Specific Skills: Strategic planning and analytical skills, All Microsoft Office Programs. Behavioral Competencies : Strong communication skills, confident decision maker, leadership skills and strategic thinker. Keeps up to date with the latest trends and brands, Strong sales focus and eager to learn."
Graphic Designer,"Talaypu Natural Products Co., Ltd.","Vadhana, Bangkok",Graphic Design,Full time,,,"Job Description ออกแบบ และ จัดทำ Graphic design สำหรับสื่อ Online และ Offline , Motion Graphic , Multi Media , VDO Presentation และงานกราฟฟิคอื่นๆ ตามที่ได้รับมอบหมาย มีความเข้าใจในการตลาดออนไลน์ ชำนาญในการออกแบบภาพตามขนาดของช่องทางออนไลน์แต่ละช่องทาง เช่น Facebook / Instagram / Website / Twitter / Google Ad. / LINE หรือ ช่องทาง e-commerce เช่น LAZADA / SHOPEE ออกแบบสื่อออฟไลน์ จัดทำคู่มือการขาย แคตตาล็อก โบรชัวร์ สื่อสิ่งพิมพ์ทางการตลาดต่างๆ หรือ งานอื่นๆ ตามที่ได้รับมอบหมาย ออกแบบดีไซน์ผลิตภัณฑ์สินค้าใหม่ ถ่ายภาพสินค้าและดีไซน์การจัดวาง Job Requirements จบการศึกษาระดับปริญญาตรีในสาขาที่เกี่ยวกับการออกแบบดีไซน์ หรือ สาขาอื่นๆ ที่เกี่ยวข้อง ประสบการณ์ทำงาน 3 ปีขึ้นไป เกี่ยวกับกราฟฟิค ดีไซน์ หรือ เอเจนซี่ โฆษณา สามารถใช้โปรแกรม Photoshop , Illustrator ได้อย่างคล่องแคล่ว สามารถใช้โปรแกรม Adobe Premiere, Light Room, After Effects หรือ Motion Graphic ได้จะพิจารณาเป็นพิเศษ มีความกระตือรือร้น มีความครีเอทีฟ สามารถคิด วิเคราะห์ นำเสนอแนวทาง และสร้างสรรค์ผลงานเองได้ ตามบรีฟที่ได้รับมอบหมาย"
Graphic Designer/นักออกแบบกราฟิก,Prompt Design,"Bueng Kum, Bangkok",Graphic Design,Full time,,,"หน้าที่ความรับผิดชอบ ประชุมร่วมกับทีมเพื่อหาไอเดียใหม่ๆ ออกแบบงานที่ได้รับมอบหมาย (packaging, identity, etc design) พัฒนาการรูปแบบและความสามารถในการทำงานให้มีประสิทธิภาพมากขึ้นอยู่ตลอด คุณสมบัติ วุฒิการศึกษาระดับปริญญาตรี มีประสบการณ์ด้าน Graphic Designer อย่างน้อย 1 ปี จะพิจารณาเป็นพิเศษ ยินดีรับพิจารณานักศึกษาจบใหม่ (Welcome fresh graduates) มีความ ชำนาญพิเศษ ในการวาดภาพ digital painting หรือ ถ่ายภาพ หรือ retouch มีความ ชำนาญ สามารถใช้ photoshop และ illustrator มีความคิดสร้างสรรค์ ชอบความท้าทาย และเรียนรู้สิ่งใหม่ๆอยู่เสมอ มีมนุษยสัมพันธ์ดี กรุณาแนบผลงานมาเพื่อประกอบการพิจารณา"
