Jobtitle,Company,Location,Job Position,Salary Min,Salary Max,Job Description
Process Engineer (Tire Product) Junior Staff,"Bridgestone Tire Manufacturing (Thailand) Co., Ltd.","Mueang Chonburi, Chon Buri",Mechanical Engineering,Full time,31000,35000,"Qualifications & experience Bachelor degree in Mechanical, Electrical, Chemical Engineering or Chemical Science or other related field Preferable to have experience 0- 3 years in Manufacturing field. Good command of both spoken and written in English Toeic >450 Can use Excel for summary & analysis Can use Powerpoint for summary&presentation Able to work under pressure, Enthusiastic, Fast learner, Good working as a team, Anlytical thinking, Probluem soving, Logical thinking Tasks & responsibilities Undertake the development and design of truck and bus tires. Enhance process capability within the tire assembly process. Implement measures to reduce waste and scrap in the tire assembly process. Engage in collaboration with the Bridgestone Asia Pacific technical center to innovate new products and enhance manufacturing processes at the plant. Benefits ค่าล่วงเวลา ค่าเช่าบ้าน เงินสนันสนุนค่าภาษา รถรับส่ง ข้าวเปล่าฟรี ค่ารักษาพยาบาลประกันกลุ่ม"
Sales Officer/เจ้าหน้าที่แผนกขาย,UNIPRES (THAILAND) COMPANY LIMITED,"Vadhana, Bangkok",Automotive Engineering,Full time,22000,26000,"Responsibilities : Making sale quotation as company price structure. Price compared with cost validate margin. Cost saving calculation as part structure changed. In-charge cooperate to CR activity with internal & external. Cost reduction progress report to Sales & Purchase Superior Updated & Download data and price input on internal system and customer systems. Other Presentation or report or document as superior assignment. Response to customer requirement, Survey, Submit document. Maintain relationship with customer for making of good satisfaction. Qualifications : Bachelor's degree in Industrial Engineering, Economics, Management Business Administration or other related fields 1 years’ experience in filed Sales or Purchase automotive business experience will be an advantage. Good command in English Good interpersonal and communication skills Good team player, highly organized and can work under pressure and time limit. Self-motivated and flexible good attitude. Good computer skills especially Excel, Word and Power Point Especially Excel Formula   A: Basic calculation SUM, Average, Count, Subtotal etc. B: Basic rearranged data V lookup and Pivot table function. Have knowledge of automotive body parts / the order system of Nissan will be advantage"
(Jr./Sr.) Quality Engineer- Pathumthani,"Fabrinet Co., Ltd.","Khlong Luang, Pathum Thani",Electrical/Electronic Engineering,Full time,40000,54999,"Responsibility : Plan, control, and ensure product and process quality in an ISO development and manufacturing environment in accordance with business system/quality principles; Conduct employee business system and quality training Assist with communication to customers on quality matters, Interface with customer quality representatives Drive product reductions proactively in the product development process Collect and analyze data to assess product and customer specific levels for improvement programs Work with Engineering and Production to handle non-conforming material, root cause analysis and mistake proofing Conduct periodic quality system and process audits to ensure conformance to processes and procedures Conduct/facilitate continuous improvement events ***Knowledge of Wire bond or Die bond will be advantage*** *** Urgently*** Qualification : Bachelor's degree or higher in Engineer field At least 3 years experience in Quality Engineer or related field. Manufacturer of Electronics for Automotive is preferable or SMT Process . Knowledge of  ISO 9001, IATF 16949 Requirement, Internal Audit, FMEA, APQP, PPAP, SPC, Control Plan, 8D, Acceptance Sampling Plan, Minitab and IPC-A-600 is prefer. Good command of English.We offer attractive compensation, benefits packages and career opportunities to the successful candidates. Interested applicants, please share your resumes in English via click ""Quick Apply"" Human Resources Department Fabrinet Company Limited Human Resources Department Fabrinet Company Limited 5/6 Moo 6 Soi Khunpra, Phaholyothin Road, Klongnung, Klongluang, Patumthani 12120, Thailand. Tel. (662) 524-9600 ext. 6471 Website : www.fabrinet.com [link removed]  [link removed]"
Technical Engineer,Berli Jucker Cellox Limited,"Bang Phli, Samut Prakan",Mechanical Engineering,Full time,,,"หน้าที่และความรับผิดชอบ วิจัย และพัฒนาปรับปรุงคุณภาพ และกระบวนการผลิตผลิตภัณฑ์ ให้ดี ยิ่งขึ้น ประสานงานในการพัฒนาผลิตภัณฑ์โดยร่วมมือทดลองกับพนักงานฝ่ายต่างๆที่เกี่ยวข้อง วิเคราะห์ข้อมูลที่เกี่ยวข้องกับกระบวนการผลิต สเปคสินค้า วิธีปฏิบัติงาน และวัตถุดิบเพื่อลดความสูญเสีย นำเสนอการพัฒนาสินค้าจากการศึกษานวัตกรรมใหม่ นำเสนอแนวทางลดต้นทุนโดยการปรับปรุงกระบวนการผลิต และแสวงหาผู้จัดหาใหม่ สรุปผลและวิเคราะห์ข้อมูลการผลิต สื่อสารผลการพัฒนากระบวนการผลิตและสินค้าให้ฝ่ายผลิตและผู้เกี่ยวข้องนำไปปฏิบัติได้อย่างถูกต้อง จัดทำจัดเก็บข้อมูลที่เกี่ยวข้องกับกระบวนการผลิตสินค้าใหม่ จัดทำเอกสารและรายงานต่าง ๆ ที่เกี่ยวข้องกับกระบวนการผลิตและงานด้านวิศวกรรม คุณสมบัติ วุฒิการศึกษา สาขา วิศวกรรมศาสตร์ และ ที่เกี่ยวข้อง มีประสบการร์ในการวางแผนการผลิตในโรงงานอุตสาหกรรม 1- 5 ปี มีความรู้ในระบบคุณภาพ เช่น ISO 9001, ISO 14001 ,ISO 45001, GMP, HACCP etc. มีทักษะในการใช้งานคอมพิวเตอร์ โดยเฉพาะ Microsoft Excel และ SAP เป็นอย่างดี อ่าน พูด และเขียนภาษาอังกฤษได้ดี มีทักษะในการคำนวณที่ดี มีมนุษยสัมพันธ์ และสามารถทำงานกับหน่วยงานที่เกี่ยวข้องรวมทั้งเจรจาต่อรองได้ดี สามารถวิเคราะห์ข้อมูลและแก้ไขปัญหาได้ดี สามารถลำดับความคิดเป็นขั้นตอนได้ดี มีความอดทนและรอบคอบในการปฏิบัติงาน ประจำที่โรงงานบางพลี ถนนบางนา-ตราด กม.19"
Engineer - Paint Material,"TOYOTA DAIHATSU ENGINEERING & MANUFACTURING CO., LTD.","Bang Bo, Samut Prakan",Mechanical Engineering,Full time,,,"Job Description : Paint/finishing design for Mass production vehicle New plant color development Localize material development Qualifications : Any gender ( Thai National only ) Age not over 32 years old Bachelor’s degree or higher in Automotive, Chemical, Industrial, Mechnical, Material Engineering and related field GPA not less than 2.5 Good command Thai and English communication (TOEIC score at least 600) 1-8 years of working experience in automotive material engineering field, paint/organic material technology would be an advantage. Experience in PowerBI, Macro, Powerautomate, Powerapp etc. Good analytical and problem-solving skills with teamwork Good attitude and willing to learn new things wtth self motivation Let us find you easier by apply on our website: https://www.toyota.co.th/career/career"
Process Engineer,Autoliv (Thailand) Ltd.,Chon Buri,Industrial Engineering,Full time,,,"Responsibilities :- •Responsible for standardized methods of working /planning in the process engineering within the MC. •Support APS (Autoliv Production System) implementation, active participation in APS workshop activity •Support the APDS process. •Responsible for process documentation preparation and revision (Flow chart, PFMEA, Control plan, work instruction) •Ensure new launch on time and within budget. •Responsible for process release and trial build •Responsible for new jig and fixture implementation •Support new line set up. Candidate Qualifications :- •Minimum bachelor degree or equivalent (Engineering related) •3-5 years work experience (Preferably Automotive) •Mechanical/ Electrical/ Manufacturing/ Industrial Engineering background •PLC preferable •Good English – Oral and Written •Good command in English both written and verbal (Minimum 550 TOEIC score). •Knowledge of lean manufacturing preferable. Please send your applications together with a comprehensive resume ,expected salary and resent photo to: HUMAN RESOURCES DEPARTMENT AUTOLIV (THAILAND) LTD.  . 700/415 Moo7 Tambon Donhualoh, Amphure Muang,Chonburi 20000 Tel. 038-456000 Fax. 038-456006 Contact Us : https://lin.ee/myWuOYp [link removed]"
R&D Process Engineer (Paper and Pulp),deSter Company Limited ,Prachin Buri,Mechanical Engineering,Full time,,,"Responsibilities Research and develop new sustainable materials and products which is business related develop requirements with help of Operations manager and HGS R&D team. Improve existing products manufacturing with better production efficiency and cost reduction and maximum levels of profitability for the company. Implements new process technology in terms of process and materials and products in line with expectations of company and guideline from operations Manager which is already in the pipeline. Initiative to find out new technics and materials to support the factory and overall deSter products range with proper coordinate actions together external supplier and internal team With cooperation with Operations Manager proposes and objectives for the new development and investment program in line with cost saving program implementation. Responsible to manage the project each time with proper time frame and target. Qualifications Bachelor or above in pulp and paper technology, engineering or related fields. Minimum 1 years of R&D experience in paper and pulp for Food packaging service industry. Strategy and leading the project. Good communication & Presentation skill. Different paper and pulp materials knowledge. Engineering and R&D skill. Word, Excel, PowerPoint. Good communication in English both orally and in writing with excellent communication. Working 5 days per week."
Vehicle Design Engineer (TDEM Head Office: Bang Bo),"TOYOTA DAIHATSU ENGINEERING & MANUFACTURING CO., LTD.","Bang Bo, Samut Prakan",Industrial Engineering,Full time,,,"Job Description: Design and development of Upper Body and Chassis. Study for current model VA and warranty Support new business study Qualifications: Bachelor Degree in Engineering ( Automotive, Mechatronics, Aerospace, Mechinical ) or related field GPA not less than 2.50 [for engineer] Good command in English (TOEIC score at least 600 is a must ) Experience in CATIA would be an advantage Self-Motivation, Adaptive and Positive personality JP languages skill would be an advantage Let us find your resume easier: https://www.toyota.co.th/career/career"
Mechanical Engineer (Waste to Energy),Kaeng Khoi Power Generation Company Limited,Bangkok,Other,Full time,,,"Job Responsibilities: Design and develop mechanical components and systems for diverse power plant types (e.g., fossil fuel, nuclear, renewable). Analyze plant power generation requirements and perform mechanical load calculations. Review evaluates for selecting and specifying mechanical equipment for turbines, boilers, condensers, and auxiliary systems. Develop detailed mechanical drawings, layouts, and piping diagrams for construction and operation. Perform thermal analysis of power plant components, including heat transfer calculations and optimization. Review design and analyze fluid flow systems for water, steam, and other working fluids. Conduct piping stress analysis and ensure compliance with pressure vessel codes. Job Qualifications: Bachelor’s Degree or higher in Mechanical Engineering or a related field. At least 5 years’ experience in power plant design, electrical system engineering, or power system analysis. Strong understanding of power plant mechanical systems, including turbines, boilers, condensers, piping systems, and auxiliary equipment. Proficient in using mechanical engineering software tools (e.g., SolidWorks, Creo, ANSYS Fluent, Flow master). Experience with relevant mechanical engineering codes and standards (e.g., ASME Boiler and Pressure Vessel Code, ASME Piping Codes). Fluent in English verbal, written, computer, and technical communication and presentation skills, including proficiency in Microsoft Office. Experience in power generation, renewable energy, solar, hydropower, gas and infrastructure & utilities would be an advantage. Ability to travel/ work upcountry and abroad for unusual. Fluent in English both written and verbal (Minimum 750 TOEIC score) Goal–Oriented, Unity, Learning, Flexible."
Procurement Engineer,"Sure Filter (Thailand) Co., Ltd.",Samut Sakhon,Other,Full time,20000,29999,"รายละเอียดงาน พัฒนาสินค้าตามที่ฝ่ายการตลาดของบริษัทต้องการ พัฒนาสินค้าร่วมกับวิศวกรของบริษัทแม่ ประสานงานกับ Supplier ต่างประเทศที่เกี่ยวกับอุปกรณ์หรือชิ้นส่วนสำหรับสินค้า ติดตามปัญหาเรื่องคุณภาพของผลิตภัณฑ์ร่วมกับวิศวกรคุณภาพ ติดต่อประสานงานกับลูกค้ากลุ่ม OE สำหรับการพัฒนาสินค้า จัดทำคู่มือการทำงาน Procedure,WI,Flow Chart การพัฒนาสินค้า ปฏิบัติงานตามนโยบายและคำสั่งของ GM"
