Jobtitle,Company,Location,Job Position,Salary Min,Salary Max,Job Description
IT Internal Auditor,Bangkok Airways Public Company Limited,Bangkok,Other,Full time,,,"Work Location: Head Office (Chatuchak, Bangkok) Job Responsibilities Identify of existing systems and to evaluate future development of IT processes to ensure that controls is effective and adequate in accordance with the relevant standards. Perform audit planning and IT audit projects by yearly basic. Included clearly objectives and audit programs. Preparing annual audit plans to examination and monitoring to follow that plan. Identify and communicate IT audit findings and recommendations to manager due to prepare audit report. Monitoring and coordinate with clients to help performance improvement. To follow the recommendation along with effective and efficient objectives and targets of the company within a proper period and changing situation. Present an improvement method from the IT fact finding. To apply practical procedures. To provide advice and consult to owner processes in case of problems with control and procedure. Carry out all necessary audit planning and define and develop the procedure of business process/project that fit the company. Conduct and suggest all the necessary policy and strategy with manager. Qualifications Bachelor’s Degree in Information Technology. Minimum 2 years of experience. Good appreciation of research, planning and IT technical concepts e.g. Microsoft Project, Balanced Scorecard, and the program of Corporate Management and database management. Good skills in Computer Software and Application, Planning and IT Audit. English proficiency TOEIC 550 or above."
Senior Software Tester/Software QA Engineer,"1Moby Co., Ltd.","Wang Thonglang, Bangkok",Testing & Quality Assurance,Full time,46666,69999,"Job Summary: You will be responsible for designing test scenarios for software usability, running these tests, and preparing reports on the effectiveness and defects to the production team. Job Description: Design test case and implement system test. Record/analyze test results and provide feedback to the development team. Perform reporting the defect to the bug tracking system. Coordinate with software engineers to solve software errors. Develop project-related documents such as user acceptance test documents and user manuals. Coordinate and facilitate the User Acceptance Test. Provide guidance and support team members. Qualifications: Bachelor’s degree in Computer Engineering, Computer Science or related field. Have at least 3 years direct experience in Software Testing. A proactive, team player with ability to work in dynamic environments. Able to understand system and application logic quickly. Understand the fundamentals of the test level (Unit/API/UI tests). Experience in agile methodology (standup meeting, scrum, sprint) would be a plus. Self motivation and self development with new technology release. Learn more about us: http://www.1moby.com [link removed]  [link removed] https://www.1moby.com/software-studio/ [link removed]  [link removed]  [link removed]"
Senior System Analyst,i3 Gateway Company Limited (Head Office),"Bang Rak, Bangkok",Business/Systems Analysts,Full time,,,"Job Description Gathering, validating and documenting business requirements. Understand User requirement in both of business and Technical perspective Deploy, maintain, and troubleshoot core applications, including application servers, associated hardware, endpoints, and databases Design Technical Specification eg. Software Design Spec, Interface Spec, System Diagram and Architecture including system design e.g., Workflow, ER-Diagram, Data Dictionary etc. Analyze Exisitng System and impact for development of new systems Work with Technical Team to improve the exisitng system and Architecture. Qualification 4+ years experience for System Analyst or relevant Skill. Bachelor’s degree in Computer engineering and Computer science. Proven ability to assess business needs and translate them into relevant solutions Strong understanding and knowledge of the principles and practices associated with database maintenance and administration Experience installing, configuring, documenting, testing, training, and implementing new applications and systems Experience in MySQL, SQL server, MariaDB, NginX, Jenkin and DBA skill. Excellent Problem-solving skills, Analytical skills, Leadership, management skills and Good documentation skills Proficiency of Scrum/Agile development methodologies Fluently in the process of Software Development"
IT Asst. Manager/Manager,"Toyota Material Handling Warehouse Solutions (Thailand) Co., Ltd.","Bang Phli, Samut Prakan",Management,Full time,,,"Job Description : IT Support & Maintenance –  IT Infrastructure (On-Site & On-Cloud) – IT Application Support (ERP & In-House app) IT Project Management – System analysis & implement – New hardware & software implement Qualifications : – Microsoft Navision or Microsoft Dynamic Business Central Knowledge – Programming & debugging skills (any language) – MS Windows Server, AD and Network skill – MS Office intermedia level (Advanced level will be adv.) – English fair (Good will be adv.)"
Customer Experience (UIH),"Benchachinda Holding Co., Ltd. (United Information Highway Co., Ltd.)",Bangkok,Telecommunications,Full time,,,"Job Description เข้าไปแก้ไขในการ ติดตามและจัดการระบบข้อมูลบริการของลูกค้ารายสำคัญ เพื่อให้ทีม NOC, CC สามารถ Support บริการ Solution ของ Service ต่าง ๆ ของลูกค้าได้ ร่วมพัฒนาระบบ Monitor ทั้งส่วนของ Network Infrastructure, และ Network Monitoring Tool ต่าง ๆ เพื่อให้ใช้ได้กับทุก Technology การเชื่อมต่อ และใช้ได้กับลูกค้าทั่วไปได้ คิดหาแนวทางการพัฒนา Standard Report เพื่อ Support ลูกค้ารายต่าง ๆ ได้ เข้าร่วมประชุมลูกค้ารายโปรเจค เพื่อจัดหา Solution การ Monitor ที่เหมาะสมสำหรับลูกค้ารายนั้น ๆ เพื่อส่งต่อให้ทางทีม Support เข้าร่วมและสนับสนุนการจัดเตรียม Monthly Meeting กับ CC, NOC เพื่อเตรียมทำ Improvement ในเรื่องของ Repeat Fault, Long Outage และรับ ฟัง Requirement หรือประเด็น Issues ต่าง ๆ เพื่อหาแนวทางปรับปรุงแก้ไข เป็นที่ปรึกษาทีมภายในและภายนอกองค์กร รวมถึงลูกค้าเพื่อสร้าง Service ที่เหมาะสม สำหรับการให้บริการลูกค้าที่พิเศษมากขึ้น และผลักดันให้เป็น Standard จัดทำ Training  หรือร่วมทำ Training กับทีม Product หรือ ทีม Implement เพื่อส่งต่อและอัพเดตข้อมูลทางด้านเทคนิค และ Process ให้กับทาง NOC เพื่อให้สามารถ Support ลูกค้าได้ เข้าไปมีส่วนร่วม take action ในการแก้ไขปัญหา Big Impact, Major Incident โดยเป็นเหมือนตัวหลักในการ Update และรับฟังลูกค้าและหาแนวทางแก้ไขในเหตุการณ์ใหญ่ Qualification วุฒิการศึกษาขั้นต่ำ ปริญญาตรี ทางด้านวิศวกรรมศาสตร์ทางด้าน โทรคมนาคม ไฟฟ้า หรือ คอมพิวเตอร์ หรือสาขาที่เกี่ยวข้อง มีทักษะในการนำเสนองาน การเจรจาต่อรอง ทั้งด้านงานขาย งานบริการหลังการขาย ให้กับลูกค้าได้ มีความยืดหยุ่นในการทำงานและการแก้ไขปัญหาเฉพาะหน้า เพื่อสามารถนำส่งบริการที่เหมาะสมให้กับทางลูกค้าได้ทันเวลา มีความสามารถในการทำงานเป็นทีม สามารถทำงานร่วมกับหน่วยงานอื่น พาร์ทเนอร์และลูกค้าได้ มีความรู้ ความสามารถทางด้าน IP Service, Routing Protocol, Security ทางด้าน WAN, LAN, WiFi, IoT Solution มีประสบการณ์ทางด้านการ Configure อุปกรณ์โครงข่ายเช่น Router, Core Switch, Firewall, SDWAN จะได้รับการพิจารณาเป็นพิเศษ มี Certificate ทางด้าน network ในระดับ CCNA หรือ CCNP จะได้รับการพิจารณาเป็นพิเศษ"
Front End Developer,TUNGTHANASIN COMPANY LIMITED,"Bang Bua Thong, Nonthaburi",Web Development & Production,Full time,,,พัฒนาหน้าเว็บไซต์ หรือแอพพลิเคชั่นตามแบบดีไซต์ที่ได้รับมาด้วยภาษาที่เกียวข้อง เช่น HTML CSS nuxt.js react.js ประสานงานกับดีไซน์เนอร์ และ SA เพื่อออกแบบขั้นตอนการทำงานของระบบ ออกแบบ UX/UI ตาม Req ที่ได้รับมา ทำงานร่วมกับ API Programmer เพื่อเชื่อมต่อ API กับหน้า Frontend เขียนเอกสาร หรือผังงานเพื่ออธิบายการทำงานของระบบ
Project Manager/ผู้จัดการโครงการ,"Avalant Co., Ltd.","Sathon, Bangkok",Engineering - Software,Full time,,,"Summary: “ We are expanding our digital platform and service development team. If you have a passion for new technology with leadership skill for project and ready to grow with  Digital Company We need you to be part of the team !” Job Descriptions: - Plan the procedure of the project and set objectives for team. - Set a clear strategy for working and manage. - Assess risk and prevent issue during project. - Manage projects outcome. - Follow up task and coordinate with team. Qualifications: - Bachelor's degree or higher in Computer Science, Information Technology or related fields. - Have experience in project management related to Software, ERP, Network or Infrastructure above 2-5 years. - Understanding Agile and Waterfall methology for Project Management. - Good Communation and negotiation skills. - Able to communicate in English. - Experience in project with implementing software, ERP, Web/Mobile app, is plus."
Backup System Administrator,ATA IT (National Bank of Canada Group),"Sathon, Bangkok",Engineering - Network,Full time,,,"We are looking to recruit Backup System Administrator ATA-IT Limited- the subsidiary of National Bank of Canada (NBC). Currently, we are looking for System Administrator to join our team. We are looking to see you be a member of National Bank of Canada. Job Description Administer and maintain backup solutions, including Dell Networker, Datadomain, Commvault, and TSM. Implement and manage backup policies to meet business recovery objectives. Configure and optimize backup processes to and from AWS S3 storage. Collaborate with Storage System Administrators to ensure seamless integration with storage solutions. Monitor and troubleshoot IBM Enterprise SAN switches for data transport. Proficient in storage protocols (iSCSI/CIFS/NFS/SMB) and VMware VSAN/Datastores. Conduct regular audits and tests of backup processes to ensure reliability. Perform routine maintenance, updates, and troubleshooting of backup infrastructure. Collaborate with cross-functional teams for backup architecture and engineering projects. Provide expertise in backup-related incidents, problem resolution, and continuous improvement. Perform other related duties as assigned. Provide on-call support Willingness to work a flexible schedule. Qualification Bachelor’s Degree in Computer Science, Computer Engineering, Information Technology or equivalent fields. 3+ years of experience in backup and recovery operations. Experience with Dell Networker, Datadomain, Commvault, TSM, and AWS S3. Strong understanding of storage protocols and VMware storage solutions. Excellent analytical and troubleshooting skills. Detail-oriented with a focus on data integrity and security. Effective communication and collaboration skills. Relevant certifications in backup technologies (Dell EMC, Commvault) are a plus. Good command of English to contact with international team. What you will get from ATA IT 14 days’ vacation in first year Health insurance for staff & families Life insurance Dental fee for staff & families Provident fund Annual Party Annual Health Check Monetary Assistance (Childbirth, Funeral, Marriage) Monthly Activities- Staff Birthday & Company Activities Work from Home policy"
Middleware System Administrator,ATA IT (National Bank of Canada Group),"Sathon, Bangkok",Engineering - Network,Full time,,,"We are looking to recruit Middleware System Administrator ATA-IT Limited- the subsidiary of National Bank of Canada (NBC). Currently, we are looking for System Administrator to join our team. We are looking to see you be a member of National Bank of Canada. Job Description Administer, configure, and maintain IBM Middleware technologies, including IBM WebSphere Application Server (WAS), IBM Internet HTTP Server (IHS), WebSphere MQ, WebSphere Message Broker, WebSphere Enterprise Service Bus (WESB), and WebSphere Process Server. Install, upgrade, and apply patches to middleware components to ensure system reliability and security. Manage and optimize Apache and Tomcat servers for web applications. Develop and maintain shell scripts (bash/ksh/perl/python) for automation and system monitoring tasks. Collaborate with development teams to troubleshoot middleware-related issues and provide solutions. Monitor system performance, troubleshoot problems, and implement solutions for continuous improvement. Implement and maintain security configurations and best practices for middleware environments. Participate in capacity planning and scalability assessments to ensure optimal system performance. Provide on-call support and respond to incidents promptly, ensuring minimal downtime. Stay current with industry trends and best practices in middleware administration. Perform other related duties as assigned. Willingness to work a flexible schedule. Qualification Bachelor’s Degree in Computer Science, Computer Engineering, Information Technology or equivalent fields. 3+ years of experience in middleware system administration. Proficiency in IBM Middleware technologies (WAS, IHS, WebSphere MQ, Message Broker, WESB, Process Server). Experience with Apache, Tomcat, and scripting languages (bash/ksh/perl/python). Strong problem-solving and troubleshooting skills. Familiarity with system monitoring and automation tools. Detail-oriented with a focus on system reliability and security. Effective communication and collaboration skills. Relevant certifications in IBM Middleware technologies are a plus. Good command of English to contact with international team. What you will get from ATA IT 14 days’ vacation in first year Health insurance for staff & families Life insurance Dental fee for staff & families Provident fund Annual Party Annual Health Check Monetary Assistance (Childbirth, Funeral, Marriage) Monthly Activities- Staff Birthday & Company Activities Work from Home policy"
!IT-Business Analyst (24 Shopping),CP ALL PUBLIC COMPANY LIMITED,"Pak Kret, Nonthaburi",Business/Systems Analysts,Full time,,,"ลักษณะงาน : ศึกษากระบวนการทำงานและระบบการทำงานปัจจุบันของ User ในเชิงลึกและวิเคราะห์ความต้องการในระบบงานเพื่อพัฒนาระบบและกระบวนการให้ได้ตรงตามความต้องการของ User ออกแบบระบบงานและกระบวนการทำงานโดยจัดทำ Prototype , Workflow และเอกสารที่เกี่ยวข้องโดยละเอียดเพื่อเป็นข้อตกลงในการพัฒนาระบบกับ User และ Vendor บริหารจัดการความต้องการที่มีการเปลี่ยนแปลงและวิเคราะห์ผลกระทบที่เกิดขึ้นได จัดทำเอกสารสำหรับการทดสอบ (UAT) ตรวจสอบ ทดสอบ และควบคุมระบบงานให้ตรงตามความต้องการที่ได้ตกลงกับ User ได้อย่างครบถ้วน จัดทำเอกสารที่เกี่ยวข้องกับการเก็บความต้องการ รายละเอียดในคุณสมบัติของระบบ การวิเคราะห์และออกแบบระบบ อบรมการใช้งาน บำรุงรักษาและดูแลระบบงานอย่างละเอียด ควบคุม ดูแลมาตรฐานการใช้เทคโนโลยีสารสนเทศในระบบที่พัฒนาให้เป็นไปในแนวทางเดียวกับนโยบายการดำเนินงานของบริษัทกำหนด มาตรฐานงานของระบบคอมพิวเตอร์ทั้งหมด ทั้งฮาร์ดแวร์ ซอฟท์แวร์ และระบบเครือข่าย ฯลฯ ให้เหมาะสมกับการดำเนินธุรกิจของบริษัท ประสานงานกับทาง Vendor ทั้งไทย และ ต่างประเทศ เพื่อให้งานสำเร็จลุล่วงไปด้วยดี งานอื่น ๆ ที่เกี่ยวข้องตามที่ได้รับ คุณสมบัติ : ปริญญาตรี-โท สาขา คอมพิวเตอร์ , IT หรือสาขาที่เกี่ยวข้อง มีประสบการณ์ในงาน BA ไม่น้อยกว่า 3 ปี สามารถใช้ภาษาอังกฤษในการทำงานได้ในระดับดีมาก มีทักษะในการบริหารโครงการ การวิเคราะห์หาสาเหตุ และคิดเชิงระบบ สำนักงานหลัก อาคาร The Tara (แจ้งวัฒนะ)"
