Jobtitle,Company,Location,Job Position,Salary Min,Salary Max,Job Description
Sales Executive/พนักงานขาย,"Rachayok Co., Ltd.",Bangkok,Sales - Pre & Post,Full time,25000,34999,"พนักงานขายเคมีและบริการทำความสะอาด บริษัท ราชาโยค จำกัด เราเป็นผู้ผลิตเคมีภัณฑ์และให้บริการทำความสะอาดครบวงจรมามากกว่า 40 ปี เราจัดส่งพนักงานกว่า 5,000 คน ให้แก่หน่วยงานต่างๆ เช่น โรงแรม โรงพยาบาล โรงงาน ห้างสรรพสินค้าชั้นนำ มหาวิทยาลัยต่างๆ ทั่วประเทศ ผ่านทางสาขาของเรา 9 สาขา ที่กระจายอยู่ทั่วประเทศ Job Responsibilities: ขยายยอดขายทางด้านเคมีและการให้บริการทำความสะอาด แก่ โรงแรม โรงพยาบาล โรงงาน office building หรือหน่วยงานอื่นๆ ที่ต้องการผลิตภัณฑ์และบริการทำความสะอาด ทั้งในและนอกกรุงเทพ เพิ่มยอดลูกค้า หาลูกค้าใหม่ ตามเป้าที่วางไว้ โอกาสการเติบโตทั้งรายได้และตำแหน่งสูง รายได้ดี เป็นผู้สร้าง & หัวหน้าฝ่ายขาย Qualifications การศึกษาขั้นต่ำ ปริญญาตรี ต้องมีประสบการณ์การทำงานอย่างน้อย 3 ปีในด้านการขาย สามารถสื่อสารภาษาอังกฤษได้ มีทักษะการสื่อสารและการเจรจาต่อรองที่ดี ต้องมีรถยนต์และใบขับขี่ (BKK & พื้นที่ส่วนกลาง) เราต้องคนที่ที่จะมาช่วยขยายงาน รักการขาย มีประสบการณ์ในการขายสินค้าหรือบริการให้กับ โรงแรม โรงพยาบาล โรงงานอุตสาหกรรม โดยเฺฉพาะการบริการทำความสะอาด จะได้รับการพิจารณาเป็นพิเศษ หากมาจากบริษัท ที่ขายสินค้าและบริการประเภทเดียวกัน จะได้รับการพิจารณาเป็นพิเศษ Compensation: ตามตกลง แล้วแต่ประสบการณ์ , เงินเดือน  start ที่ 25,000-30,000 + commission ตามยอดขาย Location: 143,145,147 สิรินธร ซอย 7 ถนน สิรินธร บางพลัด บางบำหรุ กทม 10700"
Application Consultant (ERP & EPM)/Hybrid Working,Triforce Global Solutions Limited,"Bang Rak, Bangkok",Engineering - Software,Full time,,,"Job Responsibilities: Responsible for the full implementation of our Financial Accounting, ERP or EPM application software (Financial modules, Budgeting & Planning, Financial Consolidation, etc.) including requirement collection, system build, training, UAT and support of the customers. Qualifications: Able to work in Thailand and can speak Thai fluently Bachelor Degree or higher in Business, Accounting, Information Technology or Related Fields 3 years of working experiences in implementing ERP Accounting module or EPM software or as a super user. Service-minded, self-motivated & fast learner Excellent problem solving, analytical, negotiation and presentation skills. Able to work in international environment and communicate in English very well We offer the opportunity to join a strong corporate culture and be part of the success of our growing company. If you’re enthusiastic about joining our team, please send your application and state your expected salary to: Triforce Global Solutions Limited 19 Floor, Paso Tower, 88 Silom Road Bangrak, Bangkok 10500"
Senior DevOps Engineer,Talance,Bangkok,Engineering - Software,Full time,,,"About the job We are looking for a DevOps Engineer to work with our clients from many industries (Software & Technology, IT Consulting, Fintech, US-based startups, and More). Apply today, We offer a free Resume Building service . As a DevOps Engineer, the candidate will maintain and optimize production infrastructure, collaborate with software engineers, and propose solutions for new customers, ensuring service stability and efficiency. Job Description Design, implement, and manage cloud-based infrastructure to ensure high availability, scalability, and security of the platform Develop and maintain CI/CD pipelines to automate the software development lifecycle, ensuring rapid and reliable release of features and updates Implement monitoring tools to track system performance and optimize for peak efficiency Create documentation about all processes and deployments that are properly compliant with standards and regulations Provide technical support to users and internal teams, and conduct training sessions for new tools or processes Stay updated with the latest DevOps tools and technologies, and explore new solutions to enhance the performance and capabilities of the platform Qualification 2+ years of experience in a Software Developer role 1+ years of experience in a DevOps role Experience with cloud platforms (AWS, Azure, GCP) for designing and maintaining availability and scalability Experience with CI/CD tools (Jenkins, GitLab CI/CD, CircleCI, Travis CI.) Experience with containerization technologies (Docker, Kubernetes) Highly skilled in leading teams or managing large projects. Measured by project size or team size Continuous learning and adaptability to new technologies Excellent communication, collaboration, analytical, and problem-solving skills The expected salary ranges from 60,000-130,000 Baht based on your experience. Apply now for new opportunities and our team will contact you back later."
Full-Stack Developer (React Native),"360 Quality Management Co., Ltd.","Huai Khwang, Bangkok",Engineering - Software,Full time,,,"Responsibilities - Working with an agile team to develop, test and maintain applications and services to support business requirements. - Working alongside with UX/UI for a complex and continuous application design development. - Manage individual / project priorities, project timeline and deliverables to ensure quality solutions are delivered. - Contribute to continuous improvement of software development best practices. Qualifications - Experience in both of front-end and backend development - Experience in JavaScript frameworks especially NextJS, React-Native, NestJS - Experience in database design - Experience using Git and have a good understanding of Git workflow. - Experience working in Agile Scrum teams and productivity tools like Jira or related. - Exceptional problem solving and learning skills. - Excellent communication skills and an ability to convert business requirements to code and explain complex concepts to the business. Location: The Nine Tower nearby MRT Rama9 Working Style - Flexible time 09.00 - 18.00 - Hybrids days (WFH 3 days per week) Perk/Benefits - Salary based on Experience + performance bonus - Annual Leave 15 days and Personal Leave 10 days - Annual Company Outing Trip - Group insurance (Cover for OPD/IPD, accident), Eyeglasses/Contact Lens, and Dental claim"
System Analyst,"Cube SoftTech Co., Ltd.",Bangkok,Engineering - Software,Full time,,,"About the job Cube SoftTech Co., Ltd.’s clients are the leader companies in many business fields. We are now looking for a professional IT Staff to join our professional team for delivering high quality software to our customer. Job Descriptions Gather and analyze requirement from user. Design software documentation and design Diagram such as Sequence diagram, Flow chart, ER Diagram, SRS. Coordinate closely with developer during system development. Communicate with Developer teams in business and technical terms Review coding and design Database & system. Qualifications Bachelor’s degree or higher in Computer Science , Computer Engineer or any related fields At least 2  years of experience as a System Analyst. Hands on experience with software development and documentation such as Functional Spec ,ER, Sequence Diagram, Data Flow Diagram, etc. Ability to explain technical details Experience in Developer will be consider as a plus. Good communication skill in listening, speaking, reading and writing. Professional with good attitude and service mind. Knowledge of database. Knowledge of programming Java, Javascript, PHP, C#.Net adventage. Benefits & Welfare: Five-day work week Flexible working hours Provident Fund Dental insurance Life insurance Medical insurance Performance bonus Company Outing Annual Leave (start at 10 days/year) Diligence allowance IT training course www.cubesofttech.com [link removed] http://www.facebook.com/CubeSoftTech [link removed]"
"(Senior, Mid) Innovation Backend Engineer","Hugeman Consultant  Co.,Ltd.","Phaya Thai, Bangkok",Engineering - Software,Full time,,,"Here you’ll get to: • Design, develop, and implement innovative, high-quality backend solutions that align with the organization's overall goals and objectives. • Collaborate with cross-functional teams, including product owners, frontend engineers, and designers, to ensure seamless integration of backend systems with frontend applications. • Provide technical leadership and guidance to intermediate and junior backend engineers, fostering a culture of collaboration and continuous learning. • Stay current on industry trends, competitor activities, and best practices in backend development, applying relevant insights to inform the organization's initiatives. • Optimize backend performance, scalability, and reliability, implementing best practices in data management, security, and system architecture. • Conduct code reviews, ensuring adherence to established coding standards and best practices. -Troubleshoot and resolve complex technical issues, working closely with team members and stakeholders to identify root causes and implement effective solutions. • Mentor and support backend team members, promoting their professional development and growth. What You'll Need: • Bachelor's degree in Computer Science, Computer Engineering, or a related field. Master's degree is a plus. • 5+ years of experience in backend development with a strong portfolio showcasing innovative and visually appealing backend solutions. • Extensive experience in software development, with a focus on backend systems and APIs. • Proficient in server-side technologies, such as Node.js, Golang • Strong understanding of database technologies and proficiency in writing efficient database queries. • Deep knowledge of web development concepts, including, REST, and JSON, as well as familiarity with microservices architecture. • Experience in optimizing backend performance, scalability, and reliability, including caching mechanisms and load balancing techniques. • Ability to conduct thorough code reviews, ensuring high code quality, maintainability, and adherence to established standards. • Proven track record in troubleshooting and resolving complex technical issues, with a strong problem-solving mindset. • Excellent leadership and communication skills, with the ability to mentor and guide other team members effectively. • Strong passion for innovation and staying up to date with the latest industry trends and technologies. It’s Great If You Have: • Experience with the Go programming language at least 3 years • Knowledge/understanding of DevSecOps CI/CD pipelines, event-driven systems, distributed systems, pub/sub, enterprise software security, and GRPC • Extensive experience with software engineering best practices (eg. software testing, TDD, SOLID, clean architecture, code reviews, Containerization, DevSecOps, design documentation, 12 Factor Apps) • Experience building cloud-native scalable applications (Docker, Kubernetes, Kafka, Redis, Elasticsearch and etc.) • Experience in building and optimizing large-scale microservices to support high performance with low latency. • Experience in working in a startup company"
IT Compliance,Bank of Ayudhya Public Company Limited,"Yan Nawa, Bangkok",Business/Systems Analysts,Full time,,,"Job Descriptions/Responsibilities: Undertaking quality control process on testing tasks of each Department of Compliance Division to be in accordance with sound practice Managing data to support testing taka of each Department of Compliance Division by providing accessibility, centralization and all necessary stuffs related to regulatory requirement. Handing Compliance’s project in relation to information technology to ensure that all retrieved data and information are accuracy and on time Give advice to Business Units concerning to IT Risk,IT Security and/or relevant requirements Responsible for any other activities as per Management's assignments Also, the responsibilities include the fostering role in development /enhancement Compliance related IT infrastructure to keep pace with FINTECH era. Qualifications: Bachelor’s Degree or higher in Computer Engineering, Computer Science, IT, Risk Management or Accounting, Finance Minimum 6-8 years of experience with in IT and Digital Risk Management, IT Audit, IT Security, IT Compliance within Banking/Financial services and products Strong leadership and people management Ability to work closely and build trust with senior management Planning and execution skills Good communication in English"
Senior Data Analyst,"Greenline Synergy Co., Ltd.","Suan Luang, Bangkok",Management,Full time,,,"Responsibilities: Understanding the business requirements to formulate the problems to solve and restrict the slice of data to be explored. Performing cleansing, processing, and validation on the data subject to analyze, in order to ensure its quality. Exploring and visualizing data using BI tool (especially Power BI) Works closely with Data Engineer teams and all business units to develop strategy for long-term data analytics methodology. Identifying patterns and trends in data sets and analysis processes. Provides consulting and analytic services to all stakeholders. Qualifications: Bachelor’s degree or higher in Computer Engineering, Computer Science, Information Technology, Applied Statistic or related field. At least 5 years’ experience in data management, data analytics field. Experience with BI tools such as Power BI and Tableau (especially Power BI) Working experience in Healthcare industry would be an advantage. Strong interpersonal and communication skills. Self-motivated, good analytical, and problems solving skills. Ability to complete milestones and work toward multiple deadlines simultaneously. Excellent multitasking skills and task management strategies. Working Location : Thanya Park, Srinakarin Road (Suanluang)"
Solutions Developer (ServiceNow),"IT One Co., Ltd.","Phaya Thai, Bangkok",Engineering - Software,Full time,,,"Coding Java or Python to enhance new features on ServiceNow Platform. Monitor health, usage, and overall compliance of ServiceNow and its applications. Assist in building and maintaining internal technical documentation, manuals, policies, and processes. Understand how ServiceNow can enable the client to become more efficient and configure the platform to achieve measurable benefits. Coordinate application and platform upgrades. Configure and maintain SLA, catalog items and their associated workflows. General support, administration and maintenance of ServiceNow platform and associated applications. Working closely with IT and business partners to configure and improve core platform capabilities in accordance with ITIL best practices. Qualifications: Bachelor's degree, majoring in IT, Computer Science, Computer Engineering, or related field. At least coding skill in Java or Python (The ideal candidate must use programming to enhance new features on ServiceNow Platform) Knowledge in ServiceNow, ITSM, ITIL will be first to consideration Able to communicate in English New Graduates are welcome IT One Benefit: Fixed Bonus 1 month Performance Bonus Flexible Benefit Annual leave 15 days/ year Fitness First membership Provident Fund Health insurance (include legal wife/husband/children) Life insurance Annual Health Check Up “Please note that by entering the information into this site, you explicitly consent and allow IT One to collect and process your personal data (including but not limited to name, mobile phone number, personal identification etc.) for the purpose of applying for the job. The information you provided will also be kept and shared with IT One internal stakeholders for job application purposes. The protection of your personal data is very important to IT One.  IT One is committed to keeping your personal data secured, and processing it in accordance with, applicable data protection laws and our internal policies, https://www.accenture.com/us-en/careers/life-at-accenture/privacy-policy [link removed]” Interested candidates, please send your full CV in English, certificate, recent photo, and expected salary to: Human Resources Department Tipco Tower, 21st- 22nd Floor, 118/1 Rama VI Road, Phaya Thai, Bangkok, 10400 Website: https://www.itone.co.th/ [link removed] Facebook: https://www.facebook.com/Itone.co.th/ Linked: https://www.linkedin.com/company/it-one/"
Senior Engineer (IOS/ Android Developer),Tencent (Thailand) Company Limited,"Phra Khanong, Bangkok",Engineering - Software,Full time,,,"Tencent Thailand offers unique opportunities to grow with an industry-leading company while enjoying the benefits of creating and starting new business. Currently, we are looking for a candidate in the role of Senior Engineer (IOS / Android Developer ) located in Bangkok, Thailand. Tencent Thailand is dedicated to developing internet platforms with quality content for our users’ lifestyles making the online world safe, enjoyable, and educational. Our leading products include, but not limited to, Sanook.com the number 1 portal in Thailand, WeChat, and Tencent Games. At Tencent, we aim to fulfill the needs of our audiences, partners, and advertisers with diverse and innovative platforms. We seek highly motivated individuals to join us as we continue our journey to create new products, services, and opportunities in Thailand, a hub of innovation and business for Southeast Asia. Job Description/Scope: Work with the business and gather requirements and specifications. Develop, build, test and maintain mobile applications. Brainstorm new ideas, improve UX/UI and fix bugs. Perform troubleshooting and resolving of production issues Write presentation-tier HTML/CSS/JavaScript, using libraries and plug-ins where necessary Ensure optimization of the mobile applications developed Work closely with the Mobile Architects, UX/UI Designers and other team members Qualifications: Experienced candidate: having at least 7 year of hands-on experience developing and implementing mobile applications. Experience in mobile web development using Swift, HTML, CSS, JavaScript, Android Studio Knowledge and/or experience in Android / iOS development Good understanding of UI/UX concepts for mobile devices. Good working experiences in C / C++ / C# / Java or other Object-oriented programming Experience in local testing using Appium, Cucumber or SeeTest for native app testing tools Familiarity with publishing of beta app through TestFlight / HockeyApp. Familiarity with Agile/Scrum delivery methodology; rapid prototyping is a plus. Ability to work creatively with an analytical mindset in a problem-solving environment Ability to work in a fast paced and dynamic Client environment All applications will be treated strictly confidential. Only short-listed candidates will be notified. Tencent (Thailand) Company Limited 8 T One Building, 10th, 11th and 12th Floor (Unit 4-5), Soi Sukhumvit 40, Sukhumvit Road, Phra Khanong, Khlong Toei, Bangkok 10110"
