Jobtitle,Company,Location,Job Position,Salary Min,Salary Max,Job Description
Supply Chain Executive (Admin),"Global Jet ECommerce (Thailand) Co., Ltd.",Bangkok,Import/Export & Customs,Full time,,,"Job Description: Data entry outbound orders: Input outbound orders details in ERP’s system for 3PL operation and coordinate with 3PL processing Return products management: Coordinate with 3PL of return products from customers by cases and create return orders in ERP’s system for 3PL Damage and Loss Claim: Coordinate with internal stakeholders for damage and loss claim case to process claim with 3PL Other tasks: Develop other tasks as assigned by supervisor Improvement: Initiate solutions for continuous improvement Qualifications: Bachelor degree or above in Supply Chain Management, Logistics or any related field Fresh graduated with enthusiastic mind is welcome English/ Chinese with clear communication ability is advantage Proficiency in Microsoft office especially Excel Comfortable with Admin task such as Documents, Report, Coordinator"
Logistic Director,Zuellig Pharma Ltd.,Samut Prakan,Management,Full time,,,"Develop Operations strategy to align with country and corporate direction. Collaborate seamlessly with counterparts in regional head to drive standardization across all aspects. Establishes annual goals and objectives, (including stretch targets) in coordination with corporate objectives, and manages performance to ensure attainment. Ensuring that principal and customers' expectations (internal & external) are met or exceeded. Business risk and contingency management. Prepares and manages the distribution centre budget, both for operating expenses and capital expenditure. Continuously improves operations to meet with the agreed service levels as indicates by key performance indicators. Manage inventory and establishes controls to ensure operations is operating at the highest level of performance based on key performance metrics. Focuses on continuous service and cost improvement (Pipeline of Value) Reviews, analyses and authorizes resource requirements (managing, equipment, systems, etc) of distribution centre operations. Promotes compliance to standard operating procedures and Quality Management initiatives. coach and develop team to strengthen their skills and empower team to drive for success via leading by example. Performs specific tasks assigned by the Head of Operations, Distribution and MDD Qualifications Minimum of Bachelor's degree in Engineering, Science, Logistics or related field Minimum 15 years' experience in supply chain, logistic and distribution Change management skills Organizational development: structure and performance management Budget development and cost management Service standard improvement and communication with Principals"
Inventory Operations (Cosmetic)/เจ้าหน้าที่บริหารสต๊อกสินค้า,Betime beauty house,"Bang Kho Laem, Bangkok","Warehousing, Storage & Distribution",Full time,,,"รายละเอียดงาน : รับผิดชอบดูแลและบริหารจัดการสต๊อกสินค้า Brand Charmiss (Cosmetic) หน้าที่งาน รับผิดชอบตรวจสอบยอด Stock สินค้าในคลังสินค้า ตรวจสอบความถูกต้องของรายงานสินค้า และแก้ไขปัญหาความผิดปกติของรายงานสินค้าคงเหลือ และรับให้ตรงกับสินค้าที่มีอยู่จริง ปรับปรุงรายการสต๊อกรายสัปดาห์ คลังภายในและคลังฝากขาย กระทบยอด, วิเคราะห์ความเคลื่อนไหว, จัดทำรายงานสต๊อก / ทรัพย์สินรายไตรมาส และให้คำปรึกษาเกี่ยวกับสินค้าคงเหลือ รับรอง แก้ไขและตรวจสอบจำนวนสินค้าคงคลังที่มีจำนวนคลาดเคลื่อนให้ถูกต้องตามจำนวนจริงที่มีอยู่ให้เป็นไปตามหลักเกณฑ์ของทางการบัญชี กำกับดูแลระดับจำนวนสินค้าวัสดุคงคลัง ขั้นต่ำ ต้องมีการจัดการสั่งซื้อ ขอซื้อ เพื่อให้มีสินค้าและวัสดุเพียงพอต่อการใช้งาน จัดแผนงานตรวจนับสินค้าคงเหลือและประสานงานกับทีมภายใน สาขาคู่ค้า เพื่อตรวจสอบและแก้ไขผลต่างสินค้าคงเหลือจากการตรวจนับ ประเมินความเสี่ยงและลู่ทางในการทุจริตของพนักงาน และรายงานต่อฝ่ายที่มีส่วนเกี่ยวข้อง เพื่อหาแนวทางป้องกันและแก้ไขร่วมกัน งานอื่นๆ ตามที่ได้รับมอบหมาย ทักษะ/ความรู้/ความสามารถ มีทักษะด้านการคิดวิเคราะห์ มีความละเอียดรอบคอบ มีความรู้พื้นฐานกฎหมายที่เกี่ยวข้องกับสินค้าคงเหลือและการวิเคราะห์ Inventory WMS, ERP, SAP (จะพิจารณาเป็นพิเศษ) มีทักษะคอมพิวเตอร์ MS Office ในระดับดี โดยเฉพาะ Excel มีความสามารถในการทำตัวเลขรายงานต่างๆ ได้ดี มีความรับผิดชอบ ในการทำงานสูง และ สามารถทำงานภายใต้สภาวะกดดันได้ มีประสบการณ์ในการบริหารสต๊อกหลาย SKU (จะพิจารณาเป็นพิเศษ) คุณสมบัติ ปริญญาตรี สาขาที่เกี่ยวข้อง ประสบการณ์ 2 ปีขึ้นไป สามารถพัฒนาทักษะและความรู้ตัวเองจนกลายเป็นระดับอาวุโสได้"
Warehouse & Logistic Supervisor,Ash Asia International Limited,Bangkok,"Warehousing, Storage & Distribution",Full time,40000,55000,"About Ash Asia (Company description) ASH Asia was founded in 2009 by marketing experts with the objective of bringing the best of undiscovered lifestyle electronics and accessories to Southeast Asia. We specialize in brand guardianship and distribution in consumer electronics. Marshall is our biggest and exclusive brand, the other brands include Adidas Headphones and Urbanears. From our offices in Bangkok, Ho Chi Minh, Hanoi, Kuala Lumpur, and Phnom Penh, our playful and slightly crazy team of young and talented people build and manage brands with incredible success. OUR CULTURE - WE HAVE OUR OWN P.O.P CULTURE Passionate. Open. Playful. Three simple words that best describe who we are. Qualification 2-3 years experience in Warehouse and logistic Bachelor Degree in logistic field is a strong plus English communication skill is highly required Job Description ● Warehouse and logistics process development according to the requirements or issues raised by stakeholders and customers by each country to meet their expectation and requirement ● Regularly analyze the order to cash process, operations and costs to lead improvement plans for achieving cost savings, process efficiency and customer satisfaction by process and system development including new sourcing of local warehouse and logistics vendor if necessary ● Providing the instruction materials and training for all relevant parties after new process implementation and standardize the work &amp; operation process and product rework instructions to ensure 3PL practices the same standard ● Ensure all stakeholders are informed and trained in relevant processes, including order deadlines and lead times, to expedite both internal and external practices and achieve customer satisfaction ● Verify and submit the monthly operational costs claimed by 3PL warehouses and logistics vendors. Ensure expenses claims are submitted on time and the cost allocation is done correctly in the appropriate business unit and sales channel. ● Regularly monitor and control the KPI performance with 3PL warehouses and logistics vendors to ensure the result is achieved and maintained the budget and the best practice sharing"
QA Staff (Internal auditor/ External audit support),"BRIDGESTONE AIRCRAFT TIRE MANUFACTURING (THAILAND) CO., LTD.",Chon Buri,Quality Assurance & Control,Full time,,,"Job description and responsibilities : To support External audit by nation aviation authority FAA, CAAT, EASA, CAAS, CAAV, CAAC, PCAA, CAAP. Implement, Maintenance and improvement the QMS “Quality Management System” with compliance with part 145 regulations. Maintenance and revise the MOE, RSQCM, Quality manual related with NAA. Provide in-house training for all quality related courses (e.g. Part 145 Civil Aviation Regulations, Human Factors etc.). Maintain all relevant civil aviation authority documents (e.g. personnel roster, training records, training certificate, qualification package, Nominate person). Internal auditor for compliance audit , Product audit, self evaluation. Establish, control and review the training program manual to ensure compliance of the organization with Part 145 regulatory requirements. Control authorization process for all authorized persons. Support external audits carried by competent authorities and certification body. Perform internal audit to ensure compliance of the organization with the Part 145 regulatory requirements and AS9110 standard. Perform other jobs assigned by management. Contact competent authority on part 145 or relevant recruitment matters. .Prepare application package for initial approval / renewal / Change of scope of approval Qualification: Bachelor’s Degree in Aerospace Engineering / Business Aviation, or related fields. Proficient in English language (listening, speaking, reading, and writing). TOEIC score 500 up. Male or female with the age of 26 years up. Having experiences at least 4 years in quality management system audit (obtaining AS9110C training certificate will be an advantage). Having experiences at least 2 years in aeronautical industry Having knowledge in Part 145 aviation regulations or similar requirements is preferable. Having knowledge of Civil Aviation Bureau Approval system (e.g. CAAT, FAA, EASA etc.) is preferable Ability to work under pressure and limited timeframe. Having training and public speaking skills."
Influencer Management,"Aura Bangkok Clinic Co., Ltd.","Sathon, Bangkok",Management,Full time,,,"Overall values: Passionate in Aura. Strong passion in bringing a high-quality medical service to everyone at a reasonable price. Always stay in a fast-paced, revenue-driven work environment. Always analyze and optimize on-the-go. We are bringing the aesthetic industry towards a new break through, there will be many obstacles. Persevere through all of them. We value high-growth employees and reward them handsomely. Evaluate and give constructive feedback your team to support high-growth career path. Excellent presentation skill with strong logical thinking. Excellent management skill. Always plan ahead. Always have backup plan. Strong can-do attitude. Always strive only for the best. Always go beyond expectation. Always set an almost impossible goal. Never settle for an easy one. Responsibilities: Develop a comprehensive year plan for the use of KOL in Aura. Set and allocate KOL budget to maximize the company's long-term value. Research and identify KOLs that are representative of Aura's across multiple social platforms to support marketing goals. Create, design and communicate the content guideline and requirement to KOLs to ensure that all marketing plan are effective. Support KOLs at any time in completing their tasks on time and communicate with KOLs regularly Monitor Influencer performance and work closely to achieve target and KPIs Provide detailed monthly report on all scope of work to marketing manager. To succeed in this role, you need to have: Degree in any bachelor. At least 1 year of experience in PR, Marketing or related. Basic skill in Microsoft Office. Engaged in Social Media platforms and stay up-to-date with market trends. Have a passion for managing and developing campaign. Good interpersonal skills and a team player. Be a creative person and think out of the box Eager to learn and improve skills. Life at Aura Semi-flexible Office hour: 9.30-18.30 Smart Casual Dress Code 2-min walk from BTS Chongnonsi (Sathorn) Positive-energetic teammates Free lunch Unlimited snacks and drinks Annual vaccination Premium Health and Life insurance High yield, high pop up Provident Fund plan Child Education Benefits Clinic service for free or at great cost Extra Benefits to keep your Professional Look and Feel Fit Special member price with Fitness first and Virgin Active Thailand Entertainment zone; Nintendo switch, PS, Board games etc. Shower room with hotel amenities Luxury massage chair to keep office syndrome away Sleep box, take a rest and get up with fresher energy and much more! Explore us at IG: life.at.aura"
MATERIAL PLANNING (Senior - Supervisor Level),"V. Sirikan Autoparts Co., Ltd.","Min Buri, Bangkok","Purchasing, Procurement & Inventory",Full time,,,"RESPONSIBILITIES: Monitor and analyze inventory level both in Warehouse & DC on daily basis to maintain the level of inventory to enough for sales. Analyze inventory level for making forecast for issuing purchase in order to receive inventory on time. Coordinate and execute product order schedule for assigned jobs using ERP systems. Analyze data to determine opportunities to decrease inventory level without impact to customer service levels. Collaborate with internal related party to determine and apply appropriate forecasting, ordering, inventory, and replenishment. Monitor assigned areas to ensure product delivery dates meet as planned. Review and change to maintain accuracy data setting in master. Create Identify and coordinate advance notice to Sales, input and resolution of product shortages or overages. QUALIFICATIONS: Bachelor's degree or higher in business administration, logistics management or supply chain. Proven 5 years’ working experience in Warehouse or DC operations and management- quality rule and FIFO rule. Experienced in inventory with logistic environment. Competence in Microsoft Excel (Required: Vlookup, Pivot Table, Excel Chart) and ERP system. Knowledge in quality system and WMS. Good command of English, able to communicate effectively. Good communication and negotiation skills. Proactive and able to work under pressure."
Demand Planner,Rich Sport Public Company Limited,Bangkok,"Purchasing, Procurement & Inventory",Full time,,,"Qualifications & experience Bachelor's degree in related fields Strong experience in demand planning for at least 3-4 years in data analysis, retail or brand, business planner. Knowledgeable in MS Office, proficient in excel including Macro Analytical skill, Self-driven Can-do attitude, Works as a team player, Good organizational and time management skills Tasks & responsibilities Prepare Sales analysis, Forecast and Plan in order to Supply by product category, by subcategory, by channel by store and by size Plan OTB by category and suggest buying plan Monitor inventory level for supporting carryover and seasonal items Create Report Stock Month on hand , Stock ratio in every store Increase product efficiency by suggest to rotate stock by size and by items Alert low stock / over stock by overview and by product category, by size suggest to increase volume or discontinue products Alert and control product margin from budget : Report initial margin , blended discount Analyze product trend from sales data and Top sellers& Bottom sellers by category by channel Work with cross-functional teams, including Brand, Sales teams, Marketing team to gather information and customers insight"
Planning Engineer,Akara Resources Public Company Limited,Central > Others,"Production, Planning & Scheduling",Full time,,,"Setup and implement processes for developing the daily, weekly, and monthly maintenance plan. Establish and report Maintenance shut down work performance and major equipment repair work. Coordinate with internal teams and subcontractors to request and follow up on relevant tasks to be performed. Manage the quality of work to ensure the standards and specification. Create and maintain work orders and requisitions (materials, equipment, and services) in Pronto. Confirm that parts, specialized tools, equipment, and labor are available prior to releasing work orders. Lead the maintenance planning team in shutdown planning and run the shutdown planning meetings. Ensure that all projects are delivered on-time. Liaise with other departments to provide the best planning and work outcomes possible. Carry out the weekly KPI report and any other reporting required. Other tasks as assigned. Qualifications: Bachelor's degree in Mechanical Engineer or any related field. At least 2 years experience as maintenance planner or project management (CIL process plant experience would be advantage). Basic level of English is required (Communication, read and prepare documents), good command in English is a plus. Good computer literacy (MS Office, project & outlook). Any project management certifications are advantage (optional). Problem solving, negotiation and risk management capabilities. Ability to effectively communicate with all staff and display a high degree of respect to all personnel. Please submit your updated CV together with your current and expected salary, only shortlisted candidates will be contacted."
Planner,Mektec Precision Component (Thailand) Ltd.,"Bang Pa-in, Ayutthaya","Production, Planning & Scheduling",Full time,,,"1.Monitors, analyzes and updates the production plans of assigned customers’ products, based on changed data from concerned Departments, (e.g. Production, MKD, EGD, FCD, etc.), reflecting the up-to-date customers’ requirements, through data in the computerized MFG/Pro systems. 2.Coordinates the transfer of raw materials the transfers from warehouse to production area and finished goods from production area to warehouse. 3.Coordinates and supports concerned staff, (e.g. QAD, Logistics, etc.), and customers, in finding satisfactory resolution(s) on quality of raw materials, finished products’ delivery schedule, etc. 4.Coordinates and plans pre-production test of new production process/model with concerned staff, in order to minimize impact on mass production schedule. 5.Monitors and updates inventory control plan. Qualifications Bachelor Degree in any field. 3 years in manufacturing planning/ raw material management Able to use computer programs Good command of English"
