Jobtitle,Company,Location,Job Position,Salary Min,Salary Max,Job Description
Customer Service & Logistics Coordinator,Dana Spicer (Thailand) Ltd.,Rayong,"Production, Planning & Scheduling",Full time,,,"Reports to: Customer service &Logistic Supervisor Division/location: Materials Department, Rayong Plant Responsibilities: Provide smooth exporting of goods from Thailand and manage to be arrived on time and service quality at the lowest cost. To manage shipment routing together with freight forwarder to get improvement in lead time and cost. Provide outstanding customer service by addressing inquiries, concerns, and complaints related to our products, and services. Monitor customer order received, communicate with the internal operation team to ensure the order processing smoothly and complete on time delivery. Handle escalated customer issues, ensuring prompt and effective resolution while maintaining a high level of professionalism. Monitor and analyze sales revenue projection, weekly optimize achievement rate, identify potential risks. Provide the solution to recover the situation or close the gap. Manage export shipments and ensure timely availability of shipping documents including packing lists, commercial invoices, bill of landing, import / export documents, etc. Run and review open order report for daily review and follow-up of committed customer requested date with the customer. To evaluate the performance of the logistics company in terms of price, service -quality and on-time performance. Support information to evaluate logistics 3rd party KPI. Generate reports on customer service performance, presenting findings to management and making recommendations for continuous improvement. To analyze transportation mode and packaging to reduce logistics cost and improve packaging type to meet with standard or requirement. Collect information concerning export & import policy, regulations and operation procedure then communicate within the company about those changes and orientation if necessary. Daily conference with all freight forwarders to ensure pick up part on time and delivery as customer requirement. Manage/monitor shipment to arrive on time if any delay/problem quick feedback must require and looking for best solution to solve the problem. Performs other duties as assigned by the Customer service & Logistics supervisor to ensure ‘Continually exceed our customer’s increasing expectation.’ Others Job Assignment Required Qualification: Bachelor’s degree or higher in Business Administration, Logistics or other Experiences 5 years in Customer service & Logistics/ Freight forwarder Customer service process, Import & Export Process and Customs Process Good command of English Good attitude and good team player Able to work under pressure"
Quality Assurance/ Senior Quality Assurance,"Advance Sterilization Co.,Ltd ",Chon Buri,"Production, Planning & Scheduling",Full time,,,"Job Description Responsibilities Review dose testing and verification for new products to ensure that they meet the required sterilization dose levels. Develop and maintain quality control procedures for the electron beam irradiation process, including system calibration and monitoring, to ensure consistent and reliable irradiation results. Provide technical guidance and advice to customers on electron beam irradiation processes, protocols, and best practices.  Help them navigate any technical challenges or questions related to the irradiation services. Identifying and addressing quality issues and implementing corrective actions in collaboration with production and operations teams. Qualifications 3- year experience in quality assurance, radiation safety or technical sales. Bachelor's degree or higher in engineering, science in related field such as irradiation, nuclear, material sciences. Exceptional communication and interpersonal skills to effectively interact with customers and cross-functional teams. Demonstrated ability to work independently and take proactive ownership of project timelines Have strong analytical and problem-solving skills Good computer literacy skills, knowledge in Microsoft office. Good command of spoken and written English Knowledge in ISO13485 is a plus. Be able to work in Banbueng, Chonburi"
Production Shift Supervisor – Foundry,"Maxion Wheels (Thailand) Co., Ltd.",Saraburi,Management,Full time,,,"Responsibilities: Oversee the operations target (Safety, %Fallout, %OEE, Output, and processing cost) of the production department and in charged with managing supervisor, team leader on the production line in order to ensure they all work together as a team and follow procedure. The role including ensure that all products are produced with utmost efficiency and quality, according to planned protocols using the appropriate technology. Duties: 1. Problem solving all steps in the process, and seeking improvement in procedures wherever necessary and able to determine from where in the production line a problem originates, such as issues with machinery needing to be fixed, cleaned or redesigned, or if the operator is not adhering to the proper steps in manufacturing. 2. Provide the training to the team leader, supervisor and operators on safety and quality assurance procedure / work instruction / standard work. 3. Planning time to develop new procedures / work instruction / standard work in order to improve the current process and coordinate with engineering team to ensure the new product will meet all production target when mass production. 4. Develop process improvements and implement cost reduction initiatives to effectively utilize equipment and materials in order to maximize production output and reduce processing cost. 5. Prepares the KPIs weekly reports, A3 Problem solving by collecting, analyzing, and summarizing information and trends in order to achieve operations target. 6. Keeps machines operational by coordinating with maintenance team and repair services; following manufacturer's instructions and established procedures; requesting special service. Qualifications : Bachelor degree in Mechanical engineering, industrial engineering, metallurgical engineering or equivalent with experience. At least 3 - 5 years of operations or engineering work experience. PC applications (PowerPoint, Excel, Minitab, Database) QC 7 tools, Lean, 5S, Safety, Visual control and line balancing Program or software related"
Marketing/การตลาด,THE FACE SHOP COMPANY LIMITED,"Vadhana, Bangkok",Management,Full time,,,"Job description วิเคราะห์แนวโน้มทางการตลาด คู่แข่ง เก็บข้อมูลและสร้างฐานลูกค้า วางแผนกลยุทธ์ กำหนดทิศทางการขายและบริการ และจัดทำโปรโมชั่น บริหารจัดการภาพลักษณ์ของแบรนด์และสินค้า ให้เป็นที่ยอมรับและเข้าถึงกลุ่มเป้าหมาย บริหารจัดการ นำทีมได้ ดูแลรับผิดชอบสื่อโฆษณาต่างๆ ทั่งออฟไลน์และออนไลน์ ประสานงานกับหน่วยงานต่างๆ นำเสนอ สรุป ประเมินผลกิจกรรมทางการตลาด อื่นๆตามที่ได้รับมอบหมาย Qualification: วุฒิปริญญาตรี ขึ้นไป ด้านการตลาดหรือสาขาที่เกี่ยวข้อง มีประสบการณ์ด้านการตลาด3-5 ปีขึ้นไป บุคลิกภาพดี ,มีมนุษย์สัมพันธ์ดี สื่อสารภาษาอังกฤษได้ ,และสามารถ นำเสนองานได้ มีความสร้างสรรค์ วิเคราะห์ตลาดได้ สามารถเดินทางออกต่างจังหวัดได้เป็นครั้งคราว"
Auditor,TUV Rheinland Thailand Ltd.,"Lat Krabang, Bangkok",Quality Assurance & Control,Full time,,,"Conduct the management system audit such as ISO9001, ISO14001, ISO 45001, IATF 16949, ISO 27001, ISO 14064 or Sustainability Standards (Carbon Footprint or RSPO) at client's organizations Assess the compliance and suitability of the client's management systems. Communicate audit results, both verbally and in written Qualifications Bachelor's Degree or higher in Engineering, Science or related fields. At least 4 years of professional experience (full time) in manufacturing, QA, Engineering (for ISO9001, ISO14001, ISO 45001, ISO 27001, ISO 14064). At least 6 years of professional experience (full time) in automotive industry (for IATF 16949 auditor) Having IRCA registered Lead Assessor training certificate - preferable. Qualified as an auditor from CB – preferable Able to travel within Asia and up-country. All applicants shall have good command of read, written and spoken English and computer literacy. We offer attractive salary commensurate with experience and abilities, career development opportunities and generous fringe benefits such as health, life and accident insurance, annual bonus and provident fund to the successful candidate. Interested person can submit resume, recent photo and expected salary to: Human Resources Department TÜV Rheinland Thailand Ltd. Global Technology Assessment Center Ladkrabang Industrial Estate 123/1, Floor 1-2, Soi Chalongkung 31 Lamplatew, Ladkrabang, Bangkok 10520"
Brand Manager (FMCG),Adecco Recruitment (Thailand) Limited,Bangkok,Management,Full time,,,"About the company The company stands as a prominent player in the FMC product industry, recognized for its flagship herbal shampoo brand, which holds the top position in Thailand. Alongside this, the company boasts other product categories such as kid personal care, healthcare, and food supplements. Looking ahead, the company has ambitious plans to quadruple its size and secure a listing on the SET. This involves expanding the brand portfolio to cater to various appealing Thai consumer segments with the introduction of Thai Natural brands. We are seeking Brand Manager as following positions. 1)    Brand Manager, Heath care and food supplement 2)    Brand Manager, Personal care Location: Close to BTS station Responsibilities: Collaborate with owners/senior management to propose and gain approval for Marketing & Investment plans, encompassing brand positioning, product portfolio, channel strategy, and activity planning, all geared towards achieving sales targets. Outline NPD and EPD projects for the in-house Product Development team, ensuring the delivery of captivating products to our target customers. Partner with the in-house Digital/E-Commerce team and external creative & media agencies to execute compelling brand communication and product launch campaigns. Collaborate with the in-house Design team on Packaging, POSM, and Digital materials to enhance the impact of brand communication in the market. Evaluate brand performance and manage the marketing budget in accordance with the agreed-upon plan. Guide ABMs in executing the brand's day-to-day operational activities. Requirements: Possess a minimum of 5 years of work experience in marketing within a prominent FMCG company. Hold a bachelor’s or master’s degree in Marketing or a related field. Previous experience and a successful track record in launching new brands and products would be advantageous. Demonstrate creativity and stay abreast of the latest trends and best practices in Thai Consumer Goods. Exhibit strong Project Management and Interpersonal skills. Have a proficient command of English and computer literacy in Microsoft Office. Display enthusiasm for driving Thai Consumer Brands. Benefits Five-day work week (Flexible working hours) Provident Fund 3-15% (company supports 3-6%) Dental care Health-Check-up Life insurance Medical insurance Performance bonus Annual leave 14-18 days For more information and confidential discussion, please contact K Nicha via 093-7197456"
Inventory Planning Officer (Python & Power BI skill),Big C Supercenter Public Company Limited,"Phra Khanong, Bangkok",Other,Full time,,,"Job Descriptions Advocate for ensuring the forecast process is adhered to by all cross functional team members by following identified forecasting principles Analyze and derive all demands at aggregated & granular level for normal sales, promotion, special and seasonal activity using appropriate techniques and tools. Sense-check for any abnormal, erroneous figure Interpreted the outcomes, discuss, and agree with stakeholders for effective demand planning and replenishment plan to SCIM team for in-time delivery to DC and stores. Provide statistical analysis, insight to support the impact as Qualifications Bachelor Degree of Supply Chain, Logistic, Economics, Mathemetic and other relate filed Have experience in Inventory Planning, Promotion Planning & Allocation 2 Years Excellent for Excel (Pivot, Vlookup),Python, Powert BI Good Analytic skills"
Procurement - Supply chain,ThaiNamthip Corporation Limited,"Lak Si, Bangkok",Other,Full time,,,"วิเคราะห์การดำเนินการจัดซื้อ จัดหา จัดจ้าง จัดซ่อม บริการและจำหน่ายเครื่องจักรระบบและอุปกรณ์ต่างๆ เพื่อให้ได้สินค้าตามความต้องการของผู้ซื้อ สำรวจ และติดต่อร้านค้าเพื่อหาสินค้า มีคุณภาพ บริการตรงเวลา และราคายุติธรรม ออกเอกสารใบสั่งซื้อ เพื่อเสนอผู้มีอำนาจอนุมัติ ติดตามสินค้ากับผู้ส่งมอบ เพื่อให้ผู้ใช้ได้รับสินค้าตามความต้องการ สรุปรายงานการสั่งซื้อ เป้าหมายต่างๆ และการต่อรองประจำเดือน เพื่อรายงานผู้บังคับบัญชา ปฏิบัติงานตามนโยบาย เป้าหมาย และตามที่ได้รับมอบหมาย ให้เป็นแนวทางเดียวกัน เพื่อให้บริษัทได้รับผลประโยชน์สูงสุด ติดต่อประสานงานกับฝ่ายต่างๆ ในองค์กร และต่างประเทศ สำหรับวัสดุ และบริการที่หน่วยงานต่างๆ ต้องการ Qualifications: ปริญญาตรี สาขาวิศวกรรมศาสตร์ สาขาวิทยาศาสตร์ สาขาบัญชี สาขาสถิติ หรือสาขาอื่นๆที่เกี่ยวข้อง มีประสบการณ์การทำงานทางด้านจัดซื้อ หรือที่เกี่ยวข้อง อย่างน้อย 3 ปี สามารถวิเคราะห์ข้อมูลด้านจัดซื้อได้ มีทักษะในการติดต่อสื่อสารและการเจรจาต่อรองที่ดี มีมนุษยสัมพันธ์ที่ดี มีใจรักในงานบริการ ซื่อสัตย์ มีทักษะในการใช้คอมพิวเตอร์ (Ms. Word, Excel, PowerPoint) ได้เป็นอย่างดี มีทักษะในการสื่อสารภาษาอังกฤษ (ฟัง พูด อ่าน และเขียน) ได้ Please send your resume, stating expected salaries, together with a recent photograph by clicking ""Apply Now"" ThaiNamthip Corporation Limited 214 Moos 5 Vibhavadirangsit Road, Tung Song Hong, Laksi, Bangkok 10210, Thailand ทางบริษัทฯ จะติดต่อกลับผู้สมัครที่มีคุณสมบัติตรงตามตำแหน่งงานเท่านั้น"
Head of Sales (Real Estate Agency),"ESTATES PERFECT CO., LTD.","Huai Khwang, Bangkok",Management,Full time,,,หน้าที่ความรับผิดชอบ สร้างเป้าหมายการขายโดยการคาดการณ์และพัฒนาเป้าหมายการขายประจำปีสำหรับยอดขาย คาดการณ์ปริมาณการขายและกำไรสำหรับผลิตภัณฑ์ปัจจุบันและที่กำลังจะมีขึ้น เตรียมการวางแผนเชิงกลยุทธ์ในการเจาะตลาดใหม่และสร้างจุดแข็งในตลาดที่มีอยู่ ขับเคลื่อนและรักษาประสิทธิภาพการขายผ่านตัวแทนบุคคลที่สาม สร้างและรักษาความสัมพันธ์ที่มีอยู่/ใหม่กับตัวแทนอสังหาริมทรัพย์ในประเทศ ให้คำปรึกษา แก้ไขปัญหา และจัดการปัญหาทั้งหมดที่เกี่ยวข้องกับลูกค้า เช่น การโอนสิทธิ์ การคืนเงินให้กับลูกค้า ริเริ่มและดำเนินการโรดโชว์อสังหาริมทรัพย์ในให้กับบริษัทซึ่งส่งผลให้เกิดการขายตรง ดูแลและบริหารค่าคอมมิชชั่นให้กับพนักงานฝ่ายขาย จัดทำรายงานรายวัน รายเดือน รายไตรมาส และรายปีแก่ผู้บริหารระดับสูงเกี่ยวกับการขาย การตลาด และกิจกรรมทางธุรกิจ ฝึกอบรมพนักงานฝ่ายขายให้มีความพร้อมอยู่เสมอ ดูแลงานบริการฝ่ายขายให้เป็นที่ประทับใจต่อผู้มาติดต่อ คุณสมบัติ ปริญญาตรีหรือสูงกว่า มีประสบการณ์การขายอย่างน้อย 5-8 ปีในอสังหาริมทรัพย์  หากมีประสบการณ์มาจาก Agency จะพิจารณาเป็นพิเศษ มีทักษะในการพูดและเขียนภาษาอังกฤษได้ จำเป็นต้องมีทักษะความเป็นผู้นำ ทักษะการสื่อสาร การแก้ปัญหา และทักษะการวางแผน ความเชี่ยวชาญด้านเครื่องมือวิเคราะห์ข้อมูลจะได้รับการพิจารณาเป็นพิเศษ ทำงาน จันทร์ถึงศุกร์  หยุด เสาร์ อาทิตย์ เวลาทำงาน 9.00-18.00 น สถานที่ทำงาน : อาคารวรสมบัติ MRT พระราม 9
Marketing Manager/ผู้จัดการฝ่ายการตลาด,"Destination Eats Co., Ltd.",Surat Thani,Management,Full time,,,"Main Job Description: Developing marketing strategy, media plan, marketing budget and event planning. Manage the productivity of the marketing plans and projects Develop and implement marketing communication campaigns (online/offline), marketing activities and promotions to support sales team to achieve the target sales and maximize brand exposure Develop and update clients’ database every week. Be the brand ambassador for your respective brand Coordination of outlets street promotion activities, and submitting feedback to the Weekly & monthly reports to the Brand Managing Director Develop budget and measurements to ensure maximize Branding investment budget for Thailand Manage corporate and brand information – website, Facebook, Instagram etc. Develop content and communication materials (Point of sales materials, catalog, premium, etc.) Arrange company events Any assignment from CEO and Managing Director of each brand Core Competencies: Team Player - Develops a positive, respectful, productive and professional work environment through positive connections with others and treats all associates and vendors with respect and dignity Talent Coach - Continuously develops the competencies of both self and others; identifies needs for top talent while managing root cause for underperforming employees Customer Focus - Delivers legendary service that meets and exceeds all customers' expectations and leverages the voice of the customer to consistently improve service, standards, cleanliness, quality, and friendliness Results Driven - Consistently meets and exceeds goals, exhibits professional courage and innovation to drive the business forward Business Acumen Creates and communicates a persuasive vision, competitive winning strategies, and ensures store and individual goals are aligned with company goals Knowledge, Skills, Abilities: General knowledge in full service restaurant operations/ hospitality industry At least 5 years of related experience Strong organization and planning skills Strong operational skills in a customer-service & hospitality environment Excellent interpersonal and communication skills Passion for sales and for achieving targets and objectives Ability to handle confidential and sensitive information Ability to manage changing priorities"
