Jobtitle,Company,Location,Job Position,Salary Min,Salary Max,Job Description
Property Consultant (Agent),Ananda Development Public Company Limited,Bangkok,Residential Sales,Full time,,,"Job Descriptions: Search for property information from the property owners (houses and condos) by gathering detailed property data such as pictures, floor plans, and conveniences. Contacting customers to present properties (houses and condos) with the ability to analyze customer needs and propose properties that align with their requirements. Serve as a mediator and negotiating on either party's behalf by managing transactions between property owners and purchasers, such as purchase agreements, property transfer certificates, etc. Providing pre- and post-purchase/sale services and advice with the goal of increasing customer satisfaction and sustaining positive customer and investor relationships. Generating opportunities for buying and selling through diverse channels and monitoring the preferences of potential clients. Handling unanticipated situations with politeness and skill. Other job assigned by the supervisor. Required Qualifications: Bachelor’s degree or above in any field. At least 1-2 years of experience in Sales with Real Estate’s housing business. Have knowledge about properties and market mechanisms, and continually develop oneself in line with innovations in the real estate industry. Passionate about Sales and understand how to close deal with customers. - Must be able to travel to each inventory projects. Understanding of loan and financing, especially for Real Estate Housing products will be an advantage."
SENIOR/ SALES MANAGER,"Richmont's (International) Co., Ltd.","Sathon, Bangkok",Other,Full time,,,"We have an immediate vacancy for a Senior / Sales Manager at our office in Sathorn, Bangkok, connected by a bridge to the new Saint Louis BTS Station. J ob Description New development and secondary market property sales. Day-to-day dealings with property developers and Thai and foreign property buyers. Follow-up sales and after-sales services with clients and colleagues. Managing a small team of sales executives. Qualifications Previous experience of 3+ years as a real estate broker, or in project sales & marketing for a large Thai developer is essential. Excellent customer service skills and a positive attitude are essential. School or university educated overseas is a definite plus. All candidates must be prepared to occasionally work outside office hours, and during evenings or on weekends if required. Occasional travel overseas may also be required. Candidates must be well-organized, exceptionally presentable, and speak and write fluent English. Remarks A basic salary is negotiable depending on qualifications and experience, Annual performance bonus Health Insurance Dental Insurance Mobile phone allowance. A generous commission structure increases potential earnings to THB100,000++ per month."
Team Lead of Surveyor,TMBThanachart Bank or ttb / ทีเอ็มบีธนชาต หรือ ทีทีบี,"Chatuchak, Bangkok",Residential Leasing & Property Management,Full time,,,"Job Scope Mange team to take asset survey, asset valuations, and prepare appraisal reports of all asset type for new customers, review, foreclosed property and bank’s collateral in accordance with internal and BOT’s regulation. Provide consultancy support and advice in related to appraisal area for AAD staff and BU in value chain. Other task as assigned. Job Qualifications Minimum 7-10 years experiences with financial institutions or valuation companies in area of property valuation or relevant experiences. Bachelor or Master Degree in Property Valuation/ Real Estate Management/ Civil Engineering/ Construction Management/ Law or related areas. Possess initiative, managerial skill and strategic planning Ability to manage team of appraisal surveyors Knowledge on the Bank of Thailand’s regulations and other relevant laws/ regulations in which involved in property valuation Good communication and interpersonal skills Computer literacy with analytical and logical thinking"
Proposal Lead,บริษัท ไทยนิปปอน สตีล เอ็นจิเนียริ่ง แอนด์ คอนสตรัคชั่น คอร์ปอเรชั่น จำกัด,Chachoengsao,"Commercial Sales, Leasing & Property Mgmt",Full time,,,"Job Summary : Review Tender Documents, coordinate and review/edit input from variety of stakeholders, document template management in line with Customer form but also Lead preparation of proposals in liaison with Bid Leads, monitor progress of the bidding work activity, compile with proposal documents requirement and preparation of pricing compile, check that there is no error or inconsistency, and oversight that the estimates are consistent with the capture bidding plan strategies and also lead / participate bidding meeting. Bid Leads also shall have experience in costing/estimation work as well such as price calculation, cost allocation, cost analysis and other in order to estimate cost associated and collaborate with other Division for smooth bidding manner. Responsibilities : Review Tender documents including review of the Instructions to Bidder’s (ITB), Scope of Work, key Contract Dates, Commercial price forms and terms of payment, as a minimum Distribute the Tender documents to concerned parties, prepare brief Bid Key Feature and lead / participate Bid / No Bid Meeting Establish the Bid Organization charge / Bid Schedule / Bid Document responsibility Matrix and distribute, communicate to Bid Management Team to provide the proposal inputs Monitor Bidding progress, expedite Bid Management Team to provide information input according to schedule & plan and highlight any concerns to Sr. BDPP Executive Officer, Proposal Manager and Bid Manager Participate Bidding Meeting such as Bid Weekly Meeting / Bid risk Assessment Meeting and Cost Review Meeting during Bidding period Perform initial review the scope of work/specification and propose bid clarification Contribute to facilitating problem resolution and work/bidding improvement Combined Clarification request from Bid Management Team and submit to customer after review by Bid Manager, distribute clarification responses received from Customer and summary of clarification to Bid Management Team Initial review and Combine Bid Cost estimation input from Bid Management Team, check there are no errors, inconsistencies, oversights of price form. Also give advice Bid Management Team for cost allocation and/or any risks associated with pricing breakdown Coordinate, review and/or edit technical documents input from Bid Management Team in proper format according to Customer requirement. Also prepare the technical document which is response by Proposal Division Combined all Bid Documents from Bid Management Team and made Bid Proposal package ready for submission Review and evaluate cost estimate and compare cost/quotation from vendor or relevance Division Capability to preparation cost estimate and collaborate with other Division to lead and/or gathering cost and information for bidding project Manage Bid Pricing for all bidding project Preparation compare and analyze cost estimate from past historical data and/or other relevance market information Prepare the Price Approval Sheet and request for TNS Top Management Approval (where is applicable) Conduct Handover meeting in case successful Bidding and review Hand over of the bidding documents check list Qualifications: Bachelor's Degree in Engineering or related fields. Minimum 5 years of experiences related to the job function Able to work multi-task and meet strict deadlines Capability to preparation cost estimate, cost comparison and cost analysis other shall refer to attached job description Has experience related to proposal work function and cost estimation competency with related field oil&gas or onshore plant Good Skills in MS Office (Word, Excel, Power point) / Adobe Acrobat (PDF). Knowledge of Oil and Gas industry. Knowledge of normalization and benchmarking. Knowledge of cost budgets, forecasts, general factors and ratios. Good in English, English Interview Location: Bangpakong Office, Chachoengsao"
Sales Advisor - Thonglor,Noble Development Public Company Limited,"Vadhana, Bangkok",Other,Full time,,,"Responsibilities: Selling and presenting products professionally to clients Service customer end to end process. Coordinate with customer and financial institution. Provide weekly, monthly report of selling. Handling transfer period Coordinate with other departments Other duties as assigned. Qualifications: Bachelor Degree in any field. 1 – 2 Years Experience in sales, especially property developer is an advantage. Strong Communication skills with strong business related knowledge. Good Command of English skills. Highly self motivated and ambitious in achieving goals. Good personality, smart looking and well-groomed. Service minded. Proficiency in Microsoft Office. Having Toeic score is advantage (minimum 400) 5 working days *** All positions requited strong creativity, human relation and team working spirit. *** Prior experience in property business will be an advantage. The company offers successful candidate vary competitive remuneration and opportunity for growth. Please send application letter with full resume stating present and expected salary together with a recent photo to: Noble Development Public Company Limited 1035 Noble Building, Ploenchit Rd., Pathumwan, Bangkok 10330 Tel: 02-251-9955 Ext. 1920 (Applications will be held in strict confidence.) Only shortlisted candidates will be contacted"
พนักงานฝ่ายขายอสังหาริมทรัพย์,"TED PROPERTY GROUP CO., LTD.","Khlong Toei, Bangkok",Other,Full time,20000,29999,****รบกวนอ่านเงื่อนไขคุณสมบัติผู้สมัครก่อนกดสมัครงาน**** - ให้บริการลูกค้าในการจอง - ดูแลบริหารจัดการงานขายทั้งก่อนและหลังเพื่อสร้างความพึงพอใจ - ศึกษารายละเอียดของสินค้า คู่แข่ง - ให้บริการลูกค้าในการทำสัญญา - ประสานงานกับลูกค้าและสถาบันการเงิน - ประสานงาน ใน/นอก บริษัท - ทำแผนการขายเสนอผู้บริหาร - สถานที่ทำงานโซนลาดพร้าว หรือ เส้นสุขุมวิท - วิ่งทำงานได้ 2-3 site - มีความเป็นผู้นำ รู้จักการแก้ปัญหา - ดูแลลูกค้ารายเก่า สรรหาลูกค้ารายใหม่พร้อมดูแลการขายรักษายอด - สื่อสารและปฏิบัติการตามแผนการตลาดของบริษัท - ทำงานกับกับผู้บริหาร vendor และ ลูกค้าได้ - คิด วิเคราะห์ วางแผนกลยุทธ์ในการขายเพื่อเพิ่มยอดขาย ** ปฏิบัติงาน 6 วัน (หยุดวันธรรมดา) **
General Manager,Savills (Thailand) Limited,"Pathum Wan, Bangkok","Commercial Sales, Leasing & Property Mgmt",Full time,,,"ESSENTIAL DUTIES & RESPONSIBILITIES Setting the building management plan and report directly to Board of Committee and Juristic Person Recruiting, Selecting and Training site officers. Monitoring the management and facilitating the service provided to co-owners / tenants / residents and visitors. Delegating duty and responsibility, supervising and controlling the operation of building technicians and building attendants. Controlling and supervising the safety of the building. Monitoring of cleaning for common area and surroundings of the building. Supervising the use of common area and properties by tenants / tenants co-employees / co/owners and residents. Collecting common expensed / utility expenses / other service charges from co-owners / tenants / residents and requesters of services. Examining the daily / weekly / and monthly report the are Initially verified by the Technician Supervisor and Building Supervisor. Supervising the arrangement of equipment and tool. Controlling the preparation of list of equipment and filing list Inspecting and supervising the internal and external fitting out of the unit or tenant areas. Examining and controlling the daily and monthly income and expenditure. Issuing regulations and rules approved by the board of committee or landlord Engaging agreements or contracts that are approved by the board of committee or landlord. Purchasing and procuring necessary equipment and accessories for the building and common areas. The procurement must be approved by the board of committee or landlord and then contracting the suppliers to prepare comparison for each purchase. Maintaining the equipment and accessories of common areas and general properties to be in a good condition and preparing preventive maintenance plan for each structural system. Maintaining and repairing the equipment and accessories of common areas. Preparing finance and account report and bank statement. Summoning the monthly meeting of board of committee and landlord. Holding meeting of building management to discuss the problems arisen in the building on a weekly basis. Arranging any activities approved by the board of committee and landlord. Filing and proceeding legal action against the unlawful contracts / agreement related with the building management and presenting to the board of committee and landlord for approval. Coordinating with sup-contractors, government and private agencies for related activities. Proceeding other activities approved by board of committee and landlord. Being representative in promoting the activities or projects of the company. Inspecting, developing and improving the building areas approved by the board of committee or landlord. Qualification Any Nationality Higher or Bachelor’s degree in Management or any related field. Minimum 5 years experience in Property Management or related professional area. Strong leadership skills and interpersonal with good background presentation. Maintain a strong relationship to support property operation and goals. Emphasizes guest satisfaction during meetings and focuses on continuous improvement Written and verbal communication skills, demonstrated leadership and supervisory abilities are required. Good command of both spoken and written English. Computer skills in MS Office or PMS (Property Management System) v  Must be able to work under pressure."
AVP / VP to Director - Marketing – Luxury Real Estate (English Speaking),Property Perfect Public Company Limited,"Huai Khwang, Bangkok","Commercial Sales, Leasing & Property Mgmt",Full time,120000,160000,"Job Descriptions: To analyze market situation, trend, prices, legal requirement, and other related matters to advise customers and company To develop long-term and short-term Integrated Marketing plan to serve customer development targets within budget To response for project strategy plan and executive promotion Qualifications: Good personality and business looks. Bachelor or higher degree in any fields. at least 10 years’ experience in leading Sales team and Marketing Strategies Must work in sales or marketing position in residential, commercial property or luxury real estate company. Has good knowledge in local or International real estate in Thailand Has solid experiences in implementing sales/marketing strategy to increase sales volume Good command of English ( A Must) Able to inspire trust and confidence in clients and buyers. Location : MRT Phra Ram 9 Station สนใจสมัครด้วยตนเอง หรือส่งจดหมายพร้อมประวัติ/รูปถ่ายและหลักฐานการสมัครงานที่สายงานทรัพยากรมนุษย์ โดยกด ปุ่ม ""สมัครงาน (Apply Now) 100/1อาคารวรสมบัติ ถ.พระราม9เขตห้วยขวาง กทม.10320"
Project Manager (Infrastructure)/ผู้จัดการโครงการ,Civil Engineering Public Company Limited,"Chatuchak, Bangkok",Residential Leasing & Property Management,Full time,,,"หน้าที่รับผิดชอบ 1. งานวางแผน (ก่อนเริ่มโครงการ) • ร่วมประชุมกับผู้บริหารระดับสูงเกี่ยวกับวัตถุประสงค์ของโครงการ รวมทั้งศึกษาโครงการและผลกระทบที่อาจเกิดขึ้น เพื่อ เตรียมความพร้อมด้านบุคลากร เครื่องจักร และสถานที่ • ตรวจสอบและอนุมัติ • ศึกษาแบบที่ใช้ในงานก่อสร้าง • ศึกษาขอบเขตของงาน (Scope of Work) ในสัญญา • ศึกษาปริมาณงานและราคา (BOQ) ในสัญญา • ศึกษาข้อก าหนดในการก่อสร้าง (Specification) • พิจารณาความเหมาะสมของ Scope ด้านบุคลากรของโครงการ (ผังบุคลากรของโครงการ) • อนุมัติแปลนพื้นที่ Site งานตามที่ได้ข้อสรุปจากผู้บริหาร (หลังจากการเซ็นสัญญากับผู้ว่าจ้าง) • อนุมัติแบบแปลน (Layout) ใน Camp • วางแผนการเตรียมเครื่องจักรในการเปิด Camp รวมทั้งเตรียมวัสดุที่ต้องใช้ในการก่อสร้าง Camp • อนุมัติ Shop Drawing และเคลียร์แบบก่อสร้าง • อนุมัติ As Built Drawing รายละเอียดที่แท้จริง เพื่อส่งมอบให้ผู้ว่าจ้าง 2. จัดหาทรัพยากร (หลังจากการประมูลงานได้และตกลงราคากับผู้ว่าจ้าง) • กำกับดูแล และจัดหาวัสดุที่ต้องการใช้ในการด าเนินการก่อสร้าง • กำกับดูแลการก่อสร้าง Camp (โดยการด าเนินการเองหรือหา Sub-Contractor) • กำกับดูแลการสร้างบ้านพัก และสำนักงานชั่วคราวให้กับผู้ว่าจ้างพร้อมอุปกรณ์อ านวยความสะดวกให้แล้วเสร็จตาม เงื่อนไขของสัญญา 3. งาน Survey • ศึกษาแบบจากคู่สัญญาที่ได้สรุปกับผู้ว่าจ้าง • กำกับดูแลการสำรวจหาหมุดหลักฐานในการอ้างอิงใหม่ (แบบแปลนใหม่จากผู้ว่าจ้าง) • ตรวจสอบรายละเอียดของงาน เพื่อเปรียบเทียบกับแบบแปลนที่ได้รับ เพื่อตกลงกับผู้ว่าจ้างให้ตรงกันว่าจะใช้แนวทาง ปฏิบัติใด • สรุปงาน Survey แบบแปลนเปรียบเทียบกับความจริงหน้างานให้ตรงกับรูปแบบของผู้ว่าจ้าง 4. งานก่อสร้าง • บริหารจัดการงานโตรงการในทุกๆส่วนงาน (Monitoring) ให้มีการดำเนินงานราบรื่น และสำเร็จภายใต้ต้นทุนและ ระยะเวลาที่กำหนด • ประสานงานแก้ไขปัญหาทางด้านนโยบายร่วมกับเจ้าของงาน • ตรวจสอบและอนุมัติพื้นที่ก่อสร้างจากผู้ว่าจ้างเพื่อเข้ามาดำเนินงานตามสัญญา • อนุมัติการจัดจ้างเจ้าหน้าที่ • อนุมัติใช้วัสดุ เครื่องมือ และอุปกรณ์ที่ใช้ในการควบคุมและตรวจสอบการก่อสร้างทั้งหมด • ตรวจสอบการติดตั้งอุปกรณ์ Safety (ป้าย, Barrier, สัญญารณไฟกระพริบ, ป้ายแนะนำชั่วคราว, ป้ายเตือน, ป้ายบังคับ) ตามจุดต่างๆ ที่สามารถมองเห็นได้ชัดเจน และตรงกับงานที่รับผิดชอบ • ตรวจสอบการ Clearing พื้นที่ในการก่อสร้าง เช่น การถางหญ้า การเตรียมพื้นที่ • ตรวจสอบและควบคุมการดำเนินการก่อสร้างจนจบโครงการแบบแปลน • ร่วมตัดสินใจแก้ไขปัญหาในสถานการณ์ฉุกเฉิน • ตรวจสอบและให้ Feedback รายวันและรายสัปดาห์ 5. Staff Management • ดูแลและควบคุมการขาด ลา มาสาย ของผู้ใต้บังคับบัญชา • ควบคุมดูแลให้พนักงานอยู่ในกฎระเบียบ ข้อบังคับของบริษัท • พิจารณาผลการปฏิบัติงานของลูกน้องเพื่อการปรับต าแหน่งและปรับเงินเดือน • การประชุมภายใน (Internal Meeting / Communication) เพื่อแจ้งข่าวสาร นโยบายรวมทั้งสอนงาน • การจัดสรรบุคลากรและก าลังคนให้เหมาะสมกับงาน ( HR Load Balancing) 6. KPI Monitoring & Controlling • ติดตาม ประเมินผล ควบคุมการดำเนินงานของหน่วยงานที่รับผิดชอบให้ได้ตามเป้าหมายทั้งระยะสั้น และระยะยาวที่ กำหนดไว้ • จัดประชุมเพื่อติดตามและทบทวนผลการปฏิบัติงานของหน่วยงานที่รับผิดชอบเป็นประจำทุกเดือน 7. Knowledge Transfer • กำหนดแผนการพัฒนาความรู้ และศักยภาพของบุคลากรในหน่วยงานอย่างต่อเนื่อง เช่น การจัดฝึกอบรม การส่งเสรมการ สอบ Certification เป็นต้น • สอนงานและให้คำปรึกษาแก่ผู้ใต้บังคับบัญชา เพื่อพัฒนาความรู้ความสามารถ และใช้ศักยภาพของตนอย่างเต็มที่ รวมถึง การแนะนำทางเลือกในการตัดสินใจต่างๆ"
"Senior Assistant Manager, Awards Business","AllProperty Media Co., Ltd.","Khlong Toei, Bangkok","Commercial Sales, Leasing & Property Mgmt",Full time,,,"Make A Real Difference at PropertyGuru. Real Aspirations. Real People. Real impact. About the Role: You will be working with the Awards business which is the part of PropertyGuru Group. The PropertyGuru Asia Property Awards is the leading industry awards programme rewarding only the region’s finest real estate. Celebrating its 15th year in 2020, the series covers more than a dozen key markets across Asia Pacific with stand-alone gala dinners and awards ceremonies in nine countries. The regional grand final, held at the end of the year, is the highlight of the region’s real estate calendar, which brings together the finest developers from each market to compete for the ‘Best in Asia’ honours. The Awards series has an unparalleled reputation for being credible, fair and transparent, with an independent judging body, which comprises luminaries representing all real estate sectors, and a trusted awards supervisor from BDO in every market. Simply, the PropertyGuru Asia Property Awards is the gold standard in Asian real estate. Reporting to the Head of Awards Operations, the Senior Assistant, Judging and Entries, to co-ordinate all aspects of the awards entry and judging process and ensure credible, effective and consistent protocols and processes are followed across all markets in the PropertyGuru Asia Property Awards regional series. Responsibilities: Report to the Head of Judging and Entries. Manage all aspects of entry for the Asia Property Awards. Liaise and maintain relationships with judges panel. Arrange meetings and distribute minutes of meetings. Arrange and manage project inspections both domestic and international. Liaise with clients and local representatives. Maintain an online entry system and assist with entry queries and questions as required. Keep criteria and judges' sections of asiapropertyawards.com up to date. Coordinate with the event team for organizing award galas and other events etc. Travel internationally as required. Requirements: Bachelor's Degree in a related field. Excellent written and spoken English, TOEIC score up to 650 3-5 years of work experience in related field. Organizational skills and attention to detail Communication and interpersonal skills Problem-solving skills Proficiency in database and project management tools, especially Microsoft Office and OneDrive Ability to multi-task and work under consistent deadlines Can-do attitude, enthusiastic and open-minded Be flexible to travel both domestically and internationally with the team and on your own Be able to work as a team Leadership skills"
