Jobtitle,Company,Location,Job Position,Salary Min,Salary Max,Job Description
"Sales Executive 2 Positions (Salary 35,000 – 45,000)",MOCAP Limited,"Phaya Thai, Bangkok",Account & Relationship Management,Full time,30000,44999,"Job Description To explore and approach new prospects and/or to submit a general presentation of MOCAP to the prospects. To arrange the meeting (1st visit) to introduce MOCAP services to the client, gather requirements, and proceed to the related departments. To prepare the sales document (proposal or quotation), propose and present to the client including follow up the progression and feedback from the client. Coordinate with related departments after the project has been awarded, conduct the kick-off meeting, manage, and follow up the project until its launch. To retain the existing clients and explore new opportunities for upselling and cross-selling. To be the representative of MOCAP to discuss any business issues with the client. To work and support the sales team members with the experiences and knowledge to achieve the goal together. Qualifications Education: Bachelor's Degree and above in any related field (Prefer: Business, IT, Art English). Good command of English (At least a good command of Speaking and Listening). Presentation and communication skills 6. Microsoft Office; Word, Excel, PowerPoint. Marketing and business management knowledge (preferred). Planning management and analyzing skills (preferred). Experience: Minimum 1 year upper in Sales Experience (Customer service or IT solutions experience is an advantage). Benefits: Salary / Salary Increment / Promotion Variable Bonus (based on the company and individual performance) Social Security Fund Diligent Allowance OT, Special Incentive for a special holiday Transportation Allowance (by shift and position) Annual Leave, Public Holiday Group Health Insurance/ Personal Accident Group Insurance (by position) Funeral Assistance Skill Development and Training Birthday Gift Company Activities Contact Person: Human Resources Department 475 Siripinyo Building, 11st Floor, Sriayudhaya Rd., Thanonphayathai, Rajthevi, Bangkok 10400 Phone number: 0-2203-9073 Homepage: http://www.mocap.co.th [link removed]"
Sales and Marketing Manager (Motorcycle Products),"Pacemax Motorsport Co.,Ltd.",Bangkok,Management,Full time,,,"Job Descriptions; Develop Sales and Marketing strategy in order to achieve brand’s target. Monitor sales volume, market share, revenues and cost against budget and adapt plans to improve the sales performance of the product. Forecast annual sales; projecting expected sales volume for existing and new products; placing order Being a contact point for dealers, strategic partners and vendor Monitor, analyze, and evaluate market trend, consumer behavior and competitor activities to identify market opportunities for the products. Developing team through motivation, counseling and product knowledge education Ensure that the operational process is efficient. Liaise with team to design and develop marketing campaigns and ensure that they are well executed and deliver results as desired. Regular management reporting Qualifications: Degree in Marketing, Business Administration, Communication, and other related fields. At least 5 years of experience of management role Willing to travel nationwide Proficient in excel and analytical tools. Active, energetic, result driven, easily to adapt with changes, creative, and good interpersonal skill. Passion for motorcycle and motorsport is a plus"
Business Development Manager,Qashier,Bangkok Metropolitan Region,New Business Development,Full time,,,"Want to be part of the fastest growing startup that is at the intersection of Retail, Fintech and Data? Qashier is looking for an amazing Business Development Manager to support our growth! We are a dynamic and fast growing team that is excited about commerce, retail and payments, and the opportunity to transform these industries with data and technology. We are looking for passionate individuals that can spearhead the growth of the company through the generation of new leads and acquiring of new merchants . If you have knowledge and/or keen interest in the area of point of sale, payment systems and B2B sales, this role might be for you. Kindly note that this role is a 100% outbound role. ﻿ ﻿Responsibilities﻿ Generating new leads and sales opportunities through cold calls and emails, direct sales, referrals main goal here is to be creative (and daring) in your approach! Recommending the best solution to merchants and closing deals: You'll act as a trusted adviser with each merchant, working with them to establish their business goals and recommending the best solution to achieve those goals. Assist with onboarding of new merchants: Onboarding of new merchants involve setting up and deploying the Qashier system according to each merchants requirements. As the initial point of contact, you'll be working closely with the Account Management team to onboard new merchants according to their requirements.﻿﻿ Requirements﻿ Diploma/Degree in any field 2+ years of experience in B2B sales, merchant acquisition and/or POS and payments systems Experience in startups, retail or F&B sector is an advantage Passionate about technology, fintech and the retail space, with the right attitude and desire to grow your career Strong interpersonal skills and readiness to go the extra mile for our merchants Outgoing with good bilingual oral skills needed to communicate with our merchants Highly driven and energetic individuals with a strong willingness to learn ﻿ Why join Qashier? Be at the forefront of a fast-growing startup in an exciting sector. Qashiers innovative platform combines the latest developments in Cloud technology, Payments and Data to transform the Retail and F&B industries. You'll play a crucial role on the growth of a revolutionary product that will become a key platform behind successful retail businesses in the region.Amazing growth and learning opportunities. We are a tight knit team where everyone grows together. Well continuously work with you to refine your strengths and strengthen your weaknesses to further your personal and career development.Make a strong impact with your work. You'll be working directly with hundreds of small businesses across the region where the work that you do will make a direct impact to the success of these businesses.Attractive compensation and uncapped commissions. About Qashier Qashier ( qashier.com ) powers SMEs with a technology platform that combines a smart POS terminal and integrated payment acceptance with a diverse app store of both in-house and third party business applications. By pairing technology with a strong commitment to merchant success, Qashier helps retail and F&B businesses increase revenue, streamline operations, and create loyal customers."
Alpinestars Sales and Marketing Manager,"Pacemax Motorsport Co.,Ltd.",Bangkok,Account & Relationship Management,Full time,,,"Job Descriptions; Develop Sales and Marketing strategy in order to achieve brand’s target. Monitor sales volume, market share, revenues and cost against budget and adapt plans to improve the sales performance of the product. Forecast annual sales; projecting expected sales volume for existing and new products; placing order Being a contact point for dealers, strategic partners and vendor Monitor, analyze, and evaluate market trend, consumer behavior and competitor activities to identify market opportunities for the products. Developing team through motivation, counseling and product knowledge education Liaise with advertising agency to design and develop communication campaigns and ensure that they are well executed and deliver results as desired. Regular sales and marketing performance report to management. Qualifications: Degree in Marketing, Business Administration, Communication, and other related fields. At least 10 years of sales experience Strong English proficiency is a must Strong analytical skills. Able to use Microsoft tools such as excel, PowerPoint etc. Willing to travel Active, energetic, result driven, easily to adapt with changes, creative, and good interpersonal skill. Passion for motorcycle and motorsport is a plus"
Regional Industry Manager - Finished Lubricant,Brenntag Pte Ltd,Bangkok,Account & Relationship Management,Full time,,,"Develop and grow Finished Lubricants business in Asia Pacific region profitably by managing the relationship with key suppliers, assist BU Director on business expansion opportunities and ensure that country BUs are aligned with internal and supplier’s strategy to achieve the relevant KPIs. Take the lead on managing the relationship with our key suppliers, oil majors, ensuring alignment in all aspects of the business.  This includes Sales, Marketing, Organizational matters and Engineering Services. Perform regular business reviews with country BUs as well as with Key Suppliers to ensure that the business is on the right trajectory to meet the Full Year targets. Monitor competitors’ pricing and marketing activities and work with Key Suppliers to respond accordingly, if needed, to ensure that Brenntag’s offer stays competitive. Responsible for defining countries’ commercial excellence KPIs and ensuring that the BU meets the set targets.  This includes lead/ lag indicators, inventory level, working capital turn, over due account receivables, unit GP by product line, etc… Ensure country business managers maintain an active and sufficient pipeline of new business opportunities for all product lines in order to achieve the year’s target. When needed, assist country BU Director on developing expansion opportunities Provide market intelligence, market trends and performance reports to key suppliers and country BU Share best practices and application growth ideas across the region Qualifications Education : Bachelor’s Degree Level in relevant field. Experience : Minimum 10 years Sales & Marketing experience or relevant work experience in Lubricants industry with minimum 3 years in work involving supplier management Others : - Able to work effectively in the absence of daily direct supervision Able to communicate and work effectively at executive, mid-level management and operating levels and customer organizations Strong analytical skills with an understanding of profit and loss statements Strong interpersonal skills able to work effectively in a multi-culture environment Able to travel as required to achieve business objectives Proficiency in English is essential, fluent in any SEA language is an added advantage Effective communication and presentation skills Strong customer and supplier orientation"
อารีย์//Sales and Marketing Executive ยินดีรับผู้ไม่มีประสบการณ์ขาย,Salesworks Limited (The Singular Group (ARI)),Bangkok,Account & Relationship Management,Full time,20000,30000,"URGENTLY REQUIRED!!! Sales and Marketing Executive Responsibilities: Supporting broader sales Implementing ethical sales techniques with enthusiasm and integrity Coordinating tactical advancements towards daily operations Expand client acquisition Able to be taught the ability to lead, manage and motivate a team รายละเอียดงาน - ปฏิบัติกิจกรรมการขายในรูปแบบ Event Marketing, Business Marketing - การพรีเซนต์ลูกค้าที่บูธ หรือ ตามหน่วยงาน องค์กร ร้านค้า และเจ้าของธุรกิจต่างๆ - ประชาสัมพันธ์ข้อมูล โปรโมทสินค้า และปิดการขายให้กับลูกค้าแบรนด์ชั้นนำต่างๆของเรา - เรียนรู้และพัฒนาตัวเองทั้งด้านบุคลิกภาพและทักษะการสื่อสาร - ทำงานในพื้นที่จังหวัดกรุงเทพ (ออกขายต่างจังหวัดระยะสั้นได้ พิจารณาเป็นพิเศษ) - ไม่ใช่งานแนว Organize จัดฉาก ยกบูธ - ไม่ใช่งานนั่งโต๊ะ นั่งหน้าคอม หรืองานเอกสาร Requirements: Minimum Bachelor’s Degree in any field (fresh graduates are welcome) Hard working and willing to learn Good interaction with people Positive mind Able to travel both locally and overseas for training will be an additional advantage คุณสมบัติผู้สมัคร วุฒิปริญญาตรีขึ้นไปหรือเทียบเท่า ไม่จำกัดสาขา ยินดีพิจารณานักศึกษาจบใหม่ ไม่จำเป็นต้องมีประสบการณ์ (มีระบบการสอนงานให้) ยิ้มแย้ม กระตือรือร้น ร่าเริง ตื่นตัวอยู่ตลอดเวลา ชอบพูดชอบคุย ชอบเข้าหาคน ทัศนคติดี กล้าแสดงออก มีความมั่นใจ ชอบทำคอนเทนต์ มีความคิดสร้างสรรค์ สามารถทำงานเป็นทีมได้อย่างดี ชอบระดมสมอง ระดมความคิด สามารถเข้าหาลูกค้าได้ง่าย ไม่เขินอาย รู้จักการโน้มน้าว มีไหวพริบดี ชอบการทำงานนอกสถานที่ ชอบความท้าทาย สามารถรับมือกับแรงกดดันและคำปฏิเสธได้ หากมีประสบการณ์ทางด้านการขาย จะพิจารณาเป็นพิเศษ ชอบทำคอนเทนต์ มีความคิดสร้างสรรค์ Benefits : A highly charged, motivated and fun environment Attractive income and incentives plus bonuses Excellent traveling opportunities for trainings and activities all provided by the company On-going training with one-on-one support all the way Career progression based on performance We have all the tools to help you polish all your hidden potential Send your resume to: HR Department The Singular Group Limited (Ari) อาคารเสนาบดี 1 ชั้น 1 ซอยพหลโยธิน 11 ถนนพหลโยธิน แขวงพญาไท เขตพญาไท กรุงเทพมหานคร 10400 Tel: +66 02-8533564 , +66 88 2696517 Facebook : https://www.facebook.com/thesingulargroup www.thesingulargroup.co.th"
Warehouse Supervisor,Louis Vuitton (Thailand) S.A.,"Bang Phli, Samut Prakan",Account & Relationship Management,Full time,,,"Job Responsibilities: Client orders & shipment monitoring (retail & digital) Ensuring all receiving and outbound manifesting process are done in a timely manner Monitoring that delivery schedule is on track and within the lead time for Standard Delivery and Premium Delivery Coordinating with logistic team on outbound shipments (end of season, rebalance, defective, etc) Ensuring all delivery details are completed in terms of delivery address and contact number before manifesting in Metapack and Detrack and beforehand to couriers Communicating with logistic partner’s operation team and ensuring they follow all the guidelines, packaging, delivery schedule, and acting for adhoc requests Ensuring all packaging are sufficient and accommodating to guidelines Taking care of Daily Cycle Count Process Being responsible for monthly delivery report combining E-Retail and Retail shared to Zone/Local team Being responsible for monthly performance review with service vendors: sharing of feedback received from clients/Customer Service and operational issues such as delays or damages Being a support team member to client-front activities Reporting directly to local and zone Logistics Managers Desired Characters: Communication skills Customer service centric Creative and innovative Driven and energetic Team player Problem solving skill"
BI Supervisor,"Hi - Q Food Products Co., Ltd.","Bang Phli, Samut Prakan",New Business Development,Full time,,,หน้าที่ความรับผิดชอบ 1. มีความเข้าใจในกระบวนการจัดการข้อมูล (ETL) มีประสบการณ์และมีส่วนร่วมในกระบวนการ  วิเคราะห์ความต้องการในการออกแบบและพัฒนาซอฟต์แวร์ 2. มีความเข้าใจในกระบวนการการดำเนินงานทางธุรกิจ 3. มีทักษะในการสื่อสารที่ดี สามารถทำงานเป็นทีม 4. สามารถแก้ไขปัญหาเฉพาะหน้าได้ดี คุณสมบัติ 1. อายุ 25 ปีขึ้นไป 2. จบการศึกษาระดับปริญญาตรีหรือสูงกว่า สาขา Computer Science 3. ประสบการณ์ในสายงานอย่างน้อย 3 ปี 4. มีความเข้าใจในกระบวนการจัดการข้อมูล ( ETL) 5. มีประสบการณ์ในกระบวนการวิเคราะห์ความต้องการในการออกแบบและพัฒนา ซอฟท์แวร์ 6. มีความเข้าใจในกระบวนการดำเนินงานทางธุรกิจ 7. มีทักษะการสื่อสารที่ดี สามารถทำงานเป็นทีม 8. สามารถแก้ไขปัญหาเฉพาะหน้าได้ดี ึ
Sales Executive (SCM - Parts Control) 1 Position,"Nissan Trading (Thailand) Co., Ltd.","Pathum Wan, Bangkok",Account & Relationship Management,Full time,,,"Job Descriptions: Part delivery, PO issue, customer support, basic data support for QA/NG issue, summarize all sales reports Prepare customers' shipment start from customer's order receiving, PO issue, supplier's shipment receiving, delivery part to customers Generate PO and forecast to supplier for stock preparation Monitor daily shipment schedule to avoid delay delivery or inventory shortage Packaging control Support customers' request as window person Coordinate with related parties to fulfill all customer requirements In case of QA/NG issue, need to cooperate with QA team and supplier to solve problem for customers Monthly report for Sales/Purchasing/Transportation/Logistics result and forecast Qualification: Bachelor's degree in Major Business Administration, Supply Chain Management or related field 2-3 years working experience in automotive industries or production planning Good command of English (TOEIC scores at least 600) Good interpersonal communication skills, compromise and service mind, positive thinking, strong negotiation skills with proactive and work well under high pressure to meet deadlines Computer literary, preferable in Excel and PPT Working Place: Nissan Trading (Thailand) Head Office (Pathumwan, Bangkok) Interested applicants please submit your application letter, resume, a recent photo and expected salary to Ms. Reudeemas: Human Resources Department NISSAN TRADING (THAILAND) CO., LTD. 891/1 Siam Motors Bldg., 10th, 14th Fl. Rama 1 Rd., Pathumwan, Bangkok 10330. Tel: 02-216-2051 Ext. 604"
Sales Executive/เจ้าหน้าที่ฝ่ายขาย,"SCSI Co., Ltd.",Bangkok,Sales Representatives/Consultants,Full time,,,"Duties & Responsibilities: Responsible for target clients and access new accounts by serving high quality of product and service. Prepare, plan, and represent IT product / project to existing / new clients. Achieve annual sales & profit targets and deliver customer satisfaction. Coordinate with partners, suppliers, including internal stakeholders. Take charge of generating report, proposal document, and any related selling report as required. Qualification: Bachelor’s Degree in Business Administration, Marketing, IT or any related fields. Experience in Sales, IT Projects, Telesales or Marketing is preferable. Able to use Microsoft Office. Fluent in English Communication skills with negotiation skills. Honest, fast self-learning, positive thinking, and pro-active. Good communication and interpersonal skills."
