Jobtitle,Company,Location,Job Position,Salary Min,Salary Max,Job Description
Sales Executive (Automotive Part),"Asian Leaders Career Recruitment Co., Ltd.",Bangkok,New Business Development,Full time,30000,34999,"Sales Executive (Automotive Part) Business: Manufacturing Location: Chamchuri Square Building Working days & hours : Mon – Fri (8.30 AM – 17.30 AM) Requirements Experience in Automotive market minimum 2 Years. Good in English. Good communication and negotiation skill. Able to work under high pressure. Have own car and Driver license. Able to travel up-country and overseas. Job Description To prepare and achieve sale budget base on assigned accounts. To support sale report and sale analysis as assigned. To support all customers requirement in every aspects. To Cooperate between customers and factory in order to achieve all customers target and request. To seek new opportunities for expand the business. To support sale assistant/sale coordinator team for any matter regarding delivery problems. To strategize marketing plan and market research as assigned. Interested in this position, Click ""APPLY"" or Call 093-6268378 (Pan) for more information"
IoT Developer,KDDI (THAILAND) LTD.,"Pathum Wan, Bangkok",New Business Development,Full time,,,"Position: IoT Developer Level: Senior - Assistant Manager Open: 1 positions Salary: Based on experience and company structure Responsibilities; IoT DX Presales engineering - Product Planning & Development / Project Management Project Management / Coordination Assisting and Supporting Project Manager and stakeholders Designing and controlling the project schedule Preparing presentations to update senior management on the project's progress Organising project meetings and record minutes Legal communication support with Legal team(in-house and other legal advisory) Management for arrange project, legal related documentations DX -&IoT Product Planning & Development Developing and executing sales and marketing strategies by both product-out and market-in to grow business Designing, Maintaining and updating sales, marketing and business, product development documentation Assisting with marketing and promotional projects Collaborating with management on sales goals Develop IoT solution/service Presales role (Get customer requirement directly and develop service/solution) Company issues, others Suggest Group Leaders, Directors and other Managers ONLY for workflow improvement at whole the company when needed Any ad-hoc support , requested by line managers Qualifications; Work experiences in ICT Industry (3-5years) Experience for IoT / DX proposal implementation Proven working experience or high potential as Project Manager, Project Coordinator, Carrier Relations Executives or Assistant Manager at Product Planning & Development Department. In-depth understanding of Business, Product Development management procedures and departmental and legal policies To understand the basic of factory IoT (Collect data and then modify it by gateway, store and display data for improvement) Having experience OT (Operation Technology), so that can understand and propose how to collect / proceed the data from the production machine. (Understand PLC's ID maps and ladder program would be better) Ability to manipulate large amounts of data and its analysis High potential & high motivated to challenge in new & develop service model. Strong communicate in English both writing and speaking For whom who interested ""Click Apply Now"" and inform your ""Salary Requirement"" Ref: 23"
Sales and Brand Manager (Frette-Luxury Bedding),Euro Creations Public Company Limited ,"Vadhana, Bangkok",New Business Development,Full time,,,"This position will lead you to an exciting career full of opportunities for advancement and travel in the luxury sector! Main Responsibilities: Create a branding and marketing strategy and plan to increase brand awareness and sales. Contribute to sales & brand management  include activities aimed at increasing sale out and  customer perception (brand status, awareness, and image campaigns). Determine product sale and market opportunities; analyze and evaluate marketing trends, consumer behavior, and competitor activity. Monitor, review, and report on all sale and brand activities, and implement a sale strategies  planning. Receive product information and brand marketing information from the supplier and update the product price list. Manage sales & marketing materials up-to-date in each channel Manage the stock presentation to ensure that it corresponds to the stock in the warehouse. Other works as assigned by Superior. Qualifications: Be interested in working in High-end Sales & Brand Management as well as working in a “Customer First” environment Graduated in Business Management, Marketing, or related Working experience in sale management and brand management  with luxury product  at least 5 years. Working experience in  dealing with luxury products (especially textile, fashion or bedding line), or taking care of high-end customers. Experience in preparing paperwork such as presentations, proposals, quotations and etc. Passion for home decoration and interior design. Being passionate and energetic about the brand Good command of English and Computer literacy (Ms. Word, Ms. Excel & Ms. Power-Point). Excellent interpersonal skills, maturity, pro-active and credible personality. Required proven background in managing a team of at least 3 years To become a member of our team please write in with a full resume, stating your present and expected salary, and enclosing a recent photograph to the address below: Euro Creations Public Company Limited Contact: Human Resources Department 1050 Soi Sukhumvit 66/1, Sukhumvit Road, Bangjak, Phrakanong, Bangkok 10260 Tel : 02-744-9624-5 Fax : 02-744-9731 Mobile : 085-484-4943 Website: http://www.eurocreations.co.th/ [link removed]"
Digital Business Partner,"Thaioil Energy Services Co., Ltd.",Chon Buri,Account & Relationship Management,Full time,,,"Location : Sriracha, Chonburi Responsibilities Product define and initiate: Actively discuss with BUs to understand expectations, pain points and business requirement and its functionality for new initiatives Gather, collect, analyze and refine requirements from BUs, Summarize requirement for technical solutions May suggest features/ functionality for initiative Prioritize the requirements based on business value and risks Option to suggest strategic partners based on their credential (work together with strategic/contract partnership officer) Understand SAP business process and align to business requirement Product development: Represent BUs/users to explain/clarify the requirement to development team Engage and communicate users, business function/departments and stakeholder regularly to provide feedback on development and ensure on business priority Collaborate with project manager to ensure business/user and stakeholder value based on the requirement is delivered Participate in change management and change control process to evaluate change requests (if any) Option to support business departments/users during UAT to ensure requirements are met Product management: Communicate with business functions/users and stakeholders on a regular basis to provide feedback on the progress of the implementation Analyze user response and satisfaction survey Consolidate value realization from BUs to portfolio planning officer Evaluate lifecycle of products Collaborate with business departments to maintain product vision and requirement backlog regularly throughout product lifecycle Collaborate with business departments to conduct product continuous improvement and roadmap which can improve seamless experience and optimize number of applications Collaborate with business departments and facilitate Small Work Items (SWI) initiations Proactively identify solutions for recurring incidents Qualifications : Bachelor's degree in a relevant field; certifications in endpoint management and security are advantageous. Bachelor's degree in business administration, Engineering, Management or related fields 3-5 years' experience in broad of business functions In depth knowledge of diverse business functions and principles Strong organizational and time management skills with the ability to produce accurate, quality information within agreed timescales. Desire to work in business transformation and change environments also driven by information systems/ organizational strategy Welfare Medical Insurance Accidental Insurance Long Service Emblem Co-operative Club & Activities All Positions Required Good command of English and computer literacy Interested candidates should submit the application with recent photo, resume, academic transcript, ID card, English proficiency test result (TOEIC) and any other supporting documents on https://careers.thaioilgroup.com/ Contact : Recruitment Team Thaioil Energy Services Company Limited 42/1 Moo1 Tung- Sukla, Sriracha, Chonburi 20230 Tel: 038-359-000 Ext.19821 -19828 Website : www.thaioilgroup.com [link removed]"
Sales Executive (Logistics Business) - Cold Chain Express,Fuzepost Company Limited,"Lak Si, Bangkok",Account & Relationship Management,Full time,,,"Report to : Managing Director Working Location : Bangkok   (Lak Si) Key Roles and Responsibilities Mastermind business growth strategies to help meet organizational goals and objectives. Looks for opportunities to grow a business, whether through partnerships or new initiatives, and works to take advantage of those opportunities. Oversee branding and marketing endeavors to ensure all efforts are aligned with business goals. Works with other department heads to determine company goals and KPIs. Analyses sales and other reports that give insight into how a company can make adjustments to improve performance. Assesses risks and makes recommendations based on a thorough analysis of all factors involved in a business situation. Understand existing customer relationships and their requirements to ensure they are being met. Attend networking events and build industry connections in order to facilitate business growth. Negotiate new projects and contract terms with new clients. Communicates with parties in a contact so that all understand the terms, particularly a contract’s financial aspects. Collaborate with and coordinate diverse teams (marketing, sales, customer service, etc.) Developing goals for the development team and business growth and ensuring they are met. Perform other related duties as assigned. Qualifications Bachelor's Degree in Business Administration, Management, Communication Art, Marketing Advertising or similar relevant field. Prefer candidate from FMCG ,FOODSERVICE & HORECA Work under result oriented Hunter skill as find new customers professional selling & advance negotiation Understand supply chain 3-5 years’ experience as Sales, Business Development and Sales Commercial in supply chain or logistics background. Proficient in Microsoft Office Suite or related software. Good verbal and written communication and interpersonal skills."
ผู้จัดการฝ่าย/แผนกพัฒนาผลิตภัณฑ์และวิชาการ (Feed Ingredients & Additives)...,"INTEQC GROUP (LAB INTER CO., LTD.)",Samut Sakhon,New Business Development,Full time,,,"สร้างและร่วมสร้างโครงการใหม่  ผลิตภัณฑ์ใหม่ ตลาดใหม่ เทคโนโลยีใหม่ เพื่อการเจริญเติบโตขององค์กรอย่างต่อเนื่องและมั่นคง  ร่วมสร้างระบบและกระบวนการดำเนินการทางธุรกิจ กำหนดกลยุทธ์และแผนงานในระดับองค์กร สามารถวิเคราะห์สถานการณ์ อันจะมีผลกระทบต่อธุรกิจ การตัดสินใจและร่วมปรับเปลี่ยนกลยุทธ์เพื่อให้สอดคล้องกับสถานการณ์ได้อย่างฉับไว รายละเอียดงานและหน้าที่ความรับผิดชอบ กำหนดนโยบาย วิธีการ ร่วมพัฒนาและนำเสนอผลิตภัณฑ์ใหม่ให้องค์กร บริการวิชาการแก่ลูกค้ารวมทั้ง ติดตาม ตรวจสอบและร่วมจัดแผนการทดลอง ทดสอบผลิตภัณฑ์กับพนักงาน และหรือ ลูกค้า พัฒนาแนะนำผู้อื่นเพื่อปรับปรุงระบบงานและกระบวนการทำงานรวมทั้งสนับสนุนงานวิชาการ และการสื่อสารงานวิชาการ สนับสนุน ส่งเสริม ร่วมจัดทำกิจกรรมทางวิชาการอื่นๆ กับฝ่ายตลาดและขาย เช่น จัดสัมมนา ออก booth วิเคราะห์และนำสิ่งใหม่ๆมาใช้เพื่อเสริมสร้างประสิทธิภาพการทำงานของหน่วยงานเพื่อพัฒนาและนำเสนอผลิตผลิตภัณฑ์กับพนักงานขาย เพื่อส่งเสริมการตลาดและการขาย สามารถนำนโยบาย กลยุทธ์ วิธีการใหม่ๆ ร่วมพัฒนาและนำเสนอผลิตภัณฑ์ใหม่ให้องค์กร สามารถสอน / แนะนำบริการวิชาการแก่ลูกค้ารวมทั้ง ติดตาม ตรวจสอบและร่วมจัดแผนการทดลอง ทดสอบผลิตภัณฑ์กับพนักงาน และหรือ ลูกค้า แนะนำ ให้คำปรึกษาผู้อื่นเพื่อปรับปรุงระบบงานและกระบวนการทำงานรวมทั้งสนับสนุนงานวิชาการ และการสื่อสารงานวิชาการ งานหรือโครงการอืนๆ ตามที่ได้รับมอบหมาย ความรับผิดชอบตามตำแหน่งงานและหน้าที่ Finance => รับผิดชอบด้านยอดขายรวม / ปริมาณการขาย / %GP Customer => จำนวนลูกค้า / ลูกค้าใหม่ / New Products Process => Visit ลูกค้า / การเขียนรายงาน Learning & Growth => ทำโครงการ / พัฒนาทีมงาน คุณสมบัติ ปริญญาตรี -ปริญญาเอก  สาขาวิทยาศาสตร์ , สัตว์แพทย์ ,เภสัชกร , สัตวบาล , สัตวศาสตร์  หรือสาขาอื่นที่เกี่ยวข้อง ประสบการณ์ 10 ปีขึ้นไป สื่อสารภาษาอังกฤษ และใช้คอมพิวเตอร์ได้ดี มีทักษะในการเจรจาต่อรอง  การคิดวิเคราะห์ ประสานงาน   รักงานบริการ มีความกระตือรือร้น ความอดทน  ขยัน"
Sales Assistant Supervisor (HSK 5) **Please see more detail via email,"PERSOLKELLY HR Services Recruitment (Thailand) Co., Ltd.","Bang Na, Bangkok",New Business Development,Full time,35000,44999,"Location: 400m from BTS Si Iam (Yellow Line) Duties: Establishing new business, and maintaining existing, relationship with customer. Searching for new clients who could benefit from your products in a designate region Visit potential client and making technical presentation and demonstrating how a product will meet client needs Managing and interpreting customer requirements and solving clients’ problems Calculating client quotations and negotiating to close sales by agreeing terms and conditions Price analysis benchmarking with competitors and other, set strategy on future Increase the profitability coordinate and drive the cost reduction activity Coordinate with other functions including HQ for completing the client requirement and sales activities Preparing reports and communicate to internal management and sub affiliated companies Liaising with other members of the sales team and support in Sales planning activity Supporting marketing by attending trade shows, conference, Exhibition show, and other marketing events Qualifications: Bachelor’s degree or higher in Business Administration, Engineering, or Marketing At least 5 years in Sales Engineering or OEM Sales field Chinese proficiency (Must possess HSK 5 or 6) Good English (Equivalent to TOEIC 600+) Computer literacy: Microsoft Office (Word, Excel, PowerPoint) Hold driving license and company car will be provided Remark : Only shortlist candidates will be contacted *All applications will be treated in strict confidence. All material submitted in connection with your application will become part of our confidential recruitment files. We regret that only shortlisted candidates will be notified. **By submitting your curriculum vitae or personal data to us in connection with your job application, you are deemed to have read and agreed to the terms of our Privacy Policy, and consented to the collection, use and disclosure of your personal data by us and our affiliates, in accordance with our Privacy Policy. Please visit www.persolkelly.co.th for a copy of our Privacy Policy. If you wish to withdraw your consent, please drop us an email to let us know. CONTACT: PERSOLKELLY HR Services Recruitment (Thailand) Co., Ltd."
Sales Manager (Interior Design) (60K–80K) (SDG-101759) ผู้จัดการฝ่ายขาย...,"RGF HR Agent (Thailand) Co., Ltd.","Khlong Toei, Bangkok",Account & Relationship Management,Full time,,,"<Job responsibilities> Finding prospecting clients via phone calls, email, connections, etc. Maintain close contact with clients/partners at various levels, senior management, operations, and correspondent people to ensure continuing closure of sales. Achieving target sale KPI by monthly and quarterly Pitching projects as requested Presenting the company’s products and services Forecasting sales and providing business solutions to the company Creating sales report monthly Performs miscellaneous job-related duties as assigned <Necessary Skill / Experience > Bachelor's degree Bachelor’s Degree in any field (Marketing, Business, Interior is plus) 5 years experience in Sales and Account Management in Interior design and office furniture, and others Able to communicate in English (With Japanese Managing Director and Customers) Management skills Strong negotiation skills <Detail> Attitude “Can do it” Can work under pressure No need to own a car <Preferable Skill / Experience> From Interior management Language Skill English level : Conversational Japanese level : None Workplace Area: BTS Phrom Phong Working Hour: 9:00-18:00(Monday - Friday) About the Benefits 60,000–80,000THB About the company Product & Service: Interior design and office furniture, etc. Business Type: Construction / Home Building;Building Materials / Interior; HOW TO APPLY FOR A JOB, *** Please submit your resume with recent photo, your current & expected salary and reference: Sales Manager (Interior Design) (60K–80K) (SDG-101759) *** any query regarding this Job or application method, please call Tel. 02-021-0333 689 BHIRAJ TOWER at EmQuartier, 23rd Floor, Room No. 2304-2306 Sukhumvit Road, North Klongton Sub-District, Vadhana District, Bangkok 10110 Website: www.rgf-hragent.asia [link removed] and find us on Facebook: RGF Thailand [link removed]"
Senior Sales Manager (Paper & Cartonboard),"360 Quality Management Co., Ltd.",Bangkok,New Business Development,Full time,90000,119999,"Our client is one of the leading European companies that trades paper, pulp , cartonboard, and containerboard products and solutions to customers in various countries, regions, and continents. They have built a reputation on trust, expertise, and transparency. The great individuals who work with and represent them are testimony to all what they stand for. As a result of the hard work, creative solutions, and varied skills of their employees, they’ve been able to grow their business into a global leader in trading and provide solutions for their partners in the printing, packaging and related industries. Responsibilities - Responsible for exploring, developing new opportunities, new products, new customers, and new suppliers - Achieving growth and hitting sales targets by successfully managing the sales team - Designing and implementing a strategies sales plan that expands company's customer base and ensure its strong presence - Build and promote strong, long-lasting customer relationship by partnering with them and understanding their needs - Present Sales, revenue, expenses reports, and realistic forecasts to the management - Identify emerging markets and market shift to find new sales opportunities while fully aware of new products and competition status - Handling and resolving customer complaints and managing relationship in best possible way as senior professional - Overseeing and directing performance of the sales team Functional Competencies - Ability to set sales targets and achieve them effectively - Excellent interpersonal, customer service, and communication skills - Strong analytical skills to identify trends and sales patterns - Ability to design and implement a successful sales strategy - Ability to guide and mentor sales representatives - Planning, organization and problem-solving skills - Advanced time management skills"
Assistant Business Development Manager/ผู้ช่วยผู้จัดการแผนกขายและพัฒนาธุรกิจ,"Textile Gallery Co., Ltd.","Khlong San, Bangkok",Management,Full time,35000,44999,"Responsibilities - Responsible for market research to find out the market trends for business opportunity. - Taking care of sales and developing the sales team. - Manage sales costs for maximum efficiency. - Explore new sales channels for growing up company's revenue. Qualification - Bachelor's degree of any related fields. - 3-5 years experience in business development, sales and marketing at management level. - Have the ability to analyze and develop a business strategy. - Leadership skill, Pro-active and Sales-Oriented."
