Jobtitle,Company,Location,Job Position,Salary Min,Salary Max,Job Description
PT& IPC Support ( Temporary 1 Y),"Beiersdorf (Thailand) Co., Ltd.","Bang Sao Thong, Samut Prakan",Quality Assurance & Control,Contract/Temp,,,"Main Accountabilities; ➢ To support the In Process Control implementation program Compounding, Filling & Packing to deliver quality product Review the current production process to identify potential defect caused by Man, Machine, Material, Method From the potential defect, establish the control process to ensure the compliance to regulations and applicable requirements Monitor the performance of in process control and determine opportunities for improvement Being a core team to investigate quality non-conformance and deviation to identify the potential root causes, develop corrective & preventive action ➢ To support for deployment of Quality Management system into the in process control in Compounding, Filling & Packing and monitor the effectiveness of the program Understand the Quality Management System (QMS) and deploy the In process control plan, internal audit program to support QMS - Communicate to Production team regarding the requirement implementation Monitor the effectiveness of the deployment program ➢To support improvement project and related testing for Compounding, IPC Filling & Packing and IPC Project Knowledge & Experience; Diploma or Bachelor's degree GMP in cosmetic or medical knowledge is preferred - Cosmetics or pharmaceutical industries Skills English (Writing and speaking) is required MS Office People Managemen"
Technical Sales Support - Food & Beverages,Muntons Plc Representative Office,Bangkok,Food Technology & Safety,Contract/Temp,,,"Technical Sales Support (6-month contract) Job Purposes: Working closely with Technical Sales Support Supervisor to drive consumer led foods and beverages development. Facilitating all R&D activities from concept through to launch, meeting all internal and external requirements. To stay abreast of current and emerging consumer food and ingredient trends and translate these into relevant food products for our customers. Duties and responsibilities: Efficiently plan and conduct a range of development projects including produce application samples that deliver attractive, profitable products within a set timeline. Evaluate ingredients, lab and trial scale samples to ensure it is within acceptable range. Apply and ensure all relevant laws and regulations along with company and customer policies and practices pertaining to food standards, preparation, and hygiene. Summarize experiment results and bring up concerns when elevate to plant trial scale. Manage ingredient and lab supplies stock. Maintain lab equipment functionality and set up maintenance programmes. To facilitate some projects and factory trials, a degree of flexibility will be required, reflecting the working hours within the business. To fulfil this role, training will be provided on areas identified as required. Skills required: Bachelor’s degree in Food Science, Product development or relevant fields Have basic knowledge of GMP, HACCP, Food regulations and food handling with sensory evaluation skills. Hands-on food lab equipment skills Independent, a proactive approach, with the initiative to work with minimum supervision. Effective Thai and English communication, to liaise with colleagues and customers. Good organizational skills and the ability to prioritize work. Good keyboard skills and thorough knowledge of MS Office computer applications. Working hours: 08.30 -17.00, Monday-Friday Location: 25th Floor Sorachai bldg., Soi Sukhumvit 63, Bangkok Salary & Benefits: Negotiable Please send your CV indicated an expected salary and latest salary to following contact. kullaya.piriyesyangkul@muntons.co.th Tel. +6689-939-2129 , +662-787-8901 www.muntons.com Your information would be kept confidentially and secure. Issued on 22.01.2024 , valid until 20.02.2024"
Regulatory Affairs Specialist - Medical Devices Consultancy,Andaman Medical (Thailand) Ltd.,"Bang Rak, Bangkok",Biotechnology & Genetics,Full time,35000,50000,"We Are Looking for Applicants Residing in Thailand. Andaman Medical is a young and fast-growing Medical Device Regulatory Affairs & Market Access consultancy. We specialize in the registration, authorized representation, importation, master distribution, quality assurance and compliance of medical device and in-vitro diagnostics (IVD) in Southeast Asia. Our clients are among the world’s leading Medical Device and IVD Manufacturers. Our dedicated experts are located in various SEA countries including Malaysia, Singapore, Thailand, Philippines, Vietnam, Cambodia and Indonesia. Position Overview This position requires a very high level of autonomy to support Andaman Medical in achieving regulatory goals and objectives. The Regulatory Affairs Specialist is to proactively support the organization in achieving the necessary regulatory submissions needed for our clients and to develop and maintain worldwide regulatory knowledge. Essential Job Functions Regulatory Affairs: Investigating whether the Health Product is a medical device requiring registration with MOH, determining its risk classification and its route of submission. Preparing and submitting documents related to Initial, Renewal, Variations/Change Notification of medical devices, follow-up until approval process. Promptly inform manufacturer is there’s any feedback from Authority to ensure successful product registration. Communicating with customers in respond to their regulatory concerns. Maintain regulatory database for the Company. Preparation of Regulatory Intelligence Report by carrying out proper research relating to the regulatory intelligence topic. Monitoring emerging trends regarding industry regulations to determine potential impact on internal projects and providing and drafting regulatory updates to Marketing Manager. Assist sales team in discussion with client on regulatory related matters (when required). Developing and maintaining Standard Operating Procedures, local working practices, regulatory affairs policies and procedures to ensure that regulatory compliance is maintained or enhanced. Liaising with external parties on matters relating to Indonesia medical device regulatory requirements. Carry out the reporting of post-marketing activities with Authority such as mandatory problem reporting, field safety correction action, recall and others. Ensuring the awareness on obligations to comply with regulatory requirements and any other applicable statutory requirements and any decision thereof made by top management throughout the establishment and supply chain. Requirements At least a Bachelor’s Degree, Post-Graduate Diploma, Professional Degree, Biology, Chemistry, Pharmacy/Pharmacology, Biotechnology, or equivalent. At least 1 year experience in the medical device industry, especially in regulatory or any related industry. Experience in transacting with NBTC in securing approval for Bluetooth connectivity devices would be an advantage"
Technical Specialist Food Ingredient Department (Bakery and Meat Expert),"VIV Interchem Co., Ltd.","Khlong Toei, Bangkok",Food Technology & Safety,Full time,35000,50000,"Job Description Identify potential customers and develop new business opportunities in the bakery and food processing industries Build and maintain relationships with existing customers Provide technical expertise and support to customers on the use and application of our chemical solutions Develop and deliver presentations and technical training to customers Collaborate with internal teams, including R&D and operations, to develop and improve our product offerings Monitor industry trends and provide market feedback to inform product development and sales strategies Manage sales data, including customer interactions, sales reports, and market research Qualifications Bachelor's degree in chemistry, food science, or a related field At least 3 years of experience in technical sales or a related field, with a focus on the bakery and food processing industry Deep understanding of bakery and food chemistry and processing, including knowledge of food additives, enzymes, and chemical reactions Excellent communication and customer service skills, with the ability to build and maintain strong relationships with customers Strong problem-solving and analytical skills, with the ability to understand complex technical information and provide solutions to customers Self-motivated with a strong work ethic and the ability to work independently or as part of a team Willingness to travel to customer sites and attend industry conferences as needed Proficiency in Microsoft Office Own vehicle and driving license * Working-time 8.15 am – 5.15 pm * Location near by BTS – Ekamai (headquarter of Viv interchem)"
Clinical Research Associate II (CRA II) - Hybrid Work,"Clinixir Co., Ltd.",Bangkok,Biological & Biomedical Sciences,Full time,,,"Responsibilities: In collaboration with the study team (i.e. CRAs, SSU, PM), collect, track, maintain and reconcile essential documents and study trial files, according to the requirements of ICH GCP, local guidelines and Clinixir/ Sponsor SOPs. Co-ordinate and track transfer of data and documents between site, Clinixir and i.e. CRF pages, data queries and essential document transfers as per sponsor Set up and maintenance of tracking systems to track study progress as by the Project Manager (PM) i.e. CRF & query flow, safety reports, CTMS, regulatory documents, contact records etc. Provide written and verbal site updates on study progress to the PM according to the study requirements/timelines. Co-ordinate distribution of study supplies to clinical sites, including tracking of clinical trial supplies (i.e. study drug, CRFs, IBs, Protocols, lab kits) according to study requirement. Ensure safe and orderly storage of study materials at Clinixir, and present stock reports as requested by the PM. Draft site essential documents from document templates i.e. Form FDA 1572, Disclosure Forms, Contract, etc. using version control and of documents as per Clinixir SOPs. Co-ordinate circulation of drafts for and approval by the project team. Ensure that Sponsor and investigator obligations are being met and are in compliance with applicable local regulatory requirements and ICH-GCP guidelines. Co-ordinate printing & distribution of protocols, Investigator Brochures (IB), Safety Reports for ethics/ regulatory submission as requested. Under guidance, and in collaboration with the study team (i.e. CRAs/ PM), track the reporting of study SAEs to the relevant stakeholders, i.e. Regulatory Authorities, Investigators, Sponsor according to the clinical monitoring plan. Implements and monitors clinical trials to ensure sponsor and investigator obligations are being met and are compliant with applicable local regulatory requirements and ICH-GCP guidelines (section 5.18). Specific duties include: Site Selection: Assesses the qualification of potential investigative sites during feasibility and site selection visits. Ethics & Regulatory Submission: In collaboration with the SSU, study CRAs and Regulatory Operations Group, prepare site essential documents, and assist with facilitating the ethics and regulatory approval processes. Study Initiation: Initiates clinical trials at investigative sites. Ensure the site has all supplies to perform the trial. Assist in organizing and participate in Investigator Meetings as appropriate. Monitoring Visits: Completes monitoring activity documents as required by Clinixir SOPs or other contractual obligations. Ensuring regulatory, ICH-GCP and/or Good Pharmacoepidemiology Practices (GPP) and protocol compliance. Maintains a working knowledge of ICH/GCP Guidelines or other applicable guidance, relevant regulations, and Clinixir SOPs/processes. Patient Safety: Under the guidance of the PM, assist with ensuring rights & wellbeing of trial participants are protected, including consent form checks, patient eligibility confirmation, protocol compliance including investigational product compliance, and review of Adverse Events/SAEs. Where appropriate may assist with ensuring safety issues are reported to the sponsor promptly as detailed in the Clinical Monitoring Plan. Data Collection: Reviews and verifies accuracy of clinical trial data collected, ensures CRF data are completed correctly and transmitted to the client, either onsite or remotely. Ensures data queries are completed appropriately and promptly in accordance with Clinical Monitoring Plan. Site Documentation: Review site files and ensure all documentation is present and complete in accordance with Clinical Monitoring Plan. Investigational Material: Assesses IP accountability, dispensation and ensures IP is appropriately stored including reconciled as detailed in the Clinical Monitoring Plan as well as compliant at the investigative sites. Attends Investigator Meetings and/or sponsor face to face meetings. Participates in and may lead global clinical monitoring/project staff meetings (inclusive of Sponsor representation, as applicable) and attends clinical training sessions according to the project specific requirements. Escalates site and trial related issues per Clinixir SOPs, until identified issues are resolved or closed. In-house support for submission of regulatory packages to ethics committees and/or competent authorities. In-house support for site budget and clinical trial agreement (CTA) process. Performs other work-related duties i.e. administrative support as assigned Performs other work-related duties i.e assigned by Project Management Participate in activities of Clinixir Company, including presentation at internal meeting. Ensures all required training is completed and documented. Evaluates compliance with regard to Clinixir systems and processes. Extensive travel may be required (more than 75%). Qualifications: BSc. in Pharmacy, life sciences (or equivalent) with at least 2 years (for CRA II) site management & Monitoring experience of pharma or clinical research industry. Experience conducting Site Selection, Initiation, Routine Monitoring and Close Out Visits Demonstrate knowledge of Thai and international clinical research regulations and guidelines such as ICH-GCP. Willing to learn, positive attitude. Excellent communication, presentation, interpersonal skills, both written and spoken in Thai and English Able to perform successfully under pressure while prioritizing and handling multiple projects or activities Able to work as a team and independently. **Hybrid Work & Flexible Working Hour** Clinixir Office, 173/18 Asia Centre Building (BTS Chongnonsi)"
Environment Officer,"Beko Thai Co., Ltd.","Ban Khai, Rayong","Environmental, Earth & Geosciences",Full time,,,"Supporting to tracking new legal on environmental and work environment along with the summarized and assessed the consistency of legal and relevant regulations Supporting to improve the work standards and environmental impact in accordance with the legal and regulations related to the company Checking the operation does not affect the environment, advice, practice the legal as required Control of pollution arising from the activities that not to affect the health of employees in the company and the external community Provide program for monitoring environmental quality along with follow-up measurements and report to management Coordinate to follow up the correction, situation which is not in accordance with the relevant legal and regulations Operation management and monitoring system for industrial waste treatment and disposal Provide technical advice and support the development and efficient practices Conduct relevant environment system audit. Perform environmental management system as assigned by the supervisor Understanding and having strong knowledge of Corporate Social Responsibility Policy. Understanding and encouraging, supporting the Occupational Health / Safety and Environment Policy. Understanding and complying with the International Organization for Standardization Policy (ISO 9001 /ISO45001/ISO14001, 14064-1, LCA, BSCI/GCOC) Other as assignment WORK EXPERIENCE REQUIREMENTS: 1-3 years’ experience with environmental industry. Work experience in control, monitor and improve pollution treatment system, wastewater treatment, air and industrial waste management. Experience in follow up, monitor and improve working environment. Have knowledge and experience about the environmental management system (ISO14001) system to manage occupational health and safety (OHSAS18001) EDUCATION REQUIREMENTS: Bachelor’s Degree or higher in Occupational Health, Safety and Environment or any related field"
นักเคมี (วิจัยและพัฒนา),"J.B.P. International Paint Co., Ltd.","Phasi Charoen, Bangkok",Chemistry & Physics,Full time,,,"รายละเอียดงาน ค้นคว้า วิจัย พัฒนา ปรับปรุงคุณภาพของสินค้า และกระบวนการผลิตให้ได้ผลิตภัณฑ์ที่มีคุณภาพที่ดีขึ้นและการผลิตที่มีประสิทธิภาพ ค้นคว้า / วิจัยและพัฒนาผลิตภัณฑ์ใหม่ ร่วมวิเคราะฟ์ปัญหาในโรงงานที่เกี่ยวข้องกับคุณภาพของสินค้าและกระบวนการผลิตในกรณีที่ฝ่ายผลิตและฝ่ายควบคุมคุณภาพไม่สามารถวิเคราะห์หรือแก้ปัญหาได้ ค้นคว้าหาวัตถุดิบทดแทนเพื่อให้มีจำนวนวัตถุดิบที่เป็นตัวเลือกมากขึ้นและสามารถลดต้นทุนการผลิตหรือต้นทุนสินค้าได้ รายงานผลการปฏิบัติงานเสนอต่อผู้บังคับบัญชาตามสายงาน คุณสมบัติผู้สมัคร ประสบการณ์ด้านการทำงาน : 1 ปีขึ้นไป สามารถใช้คอมพิวเตอร์พื้นฐานโปรแกรม MS Word, Excel ได้ มีมนุษย์สัมพันธ์ดี บุคลิกดี มีความเป็นผู้นำ สามารถทำงานร่วมกับผู้อื่นได้ สามารถรับแรงกดดันได้ดี"
R&D Specialist,"NTP Trinity Co., Ltd.","Pak Kret, Nonthaburi",Laboratory & Technical Services,Full time,,,"NTP Trinity Co., Ltd. is a leading innovator in the chemical industry, our main product is Water-Based Adhesive, Hot Melt Adhesive & Flexography Ink, dedicated to pushing the boundaries of science to create cutting-edge products. We are seeking a highly skilled and motivated Research & Development Specialist to join our dynamic team. If you are passionate about advancing technology, have a strong background in chemical research, and thrive in a collaborative environment, we invite you to apply. Job Description Conduct Research: Lead and conduct research projects to develop new chemical products or enhance existing ones. Product Development: Collaborate with cross-functional teams to develop and optimize chemical products that meet market demands. Working closely with production teams to scale up successful formulations for manufacturing. Documentation and Reporting: Maintain accurate records of experiments, procedures, and results. Following ISO 9001, ISO 14001 and our ERP procedures. Quality Assurance: Ensure products meet quality standards and regulatory requirements. And identify and address any issues related to product quality or performance. Innovation and Continuous Improvement: Drive innovation within the R&D department, exploring new methodologies and technologies. Qualification Bachelor's or Master's degree in Chemistry, Chemical Engineering, or related field. 3-5 years of hands-on experience in chemical research and development within the industry. Strong understanding of chemical processes, formulations, and analysis techniques. Proven track record of successfully leading R&D projects and delivering results. Excellent analytical, problem-solving, and critical thinking skills. Effective communication and collaboration skills, with the ability to work in a team environment. Familiarity with relevant regulatory requirements and quality standards. Good command of English"
"Technical Service Engineer - TPE ,Chemicals Business",The Siam Cement Public Company Limited (SCG),"Bang Sue, Bangkok",Chemistry & Physics,Full time,,,"Summary : Technical Services involves product offerings and technical advisories to facilitate market expansion. Effective management of claims, complaints, and irregular products to optimize profitability. Cultivating strong relationships with customers and partners to foster collaborative growth. Additionally, proactive collection of Voice of Customer (VOC) insights, monitoring of market trends and competitor movements for identifying and capitalizing on emerging business prospects. Responsibilities: Support BU activities for market expansion ie. provide product knowledge, technical advisory, product approval, claim and complaint and etc under supervision. Monitor market & industry trend, competitors movement and regulations to conduct product benchmarking Collect VOC to generate and develop opportunities exploration, idea generation, concept for further NPD/NAD/PI projects under supervision Explore and maintain the relationship with key customers Be a member of the NPD/NAD/FI non-NPD program/project to achieve key deliverables on-time Qualifications: Master's or Bachelor's degree in Polymer Science, Chemical Technology, Chemical Engineering, Chemistry or related. Achieved a minimum GPA of 2.7 for Undergraduate and 3.3 for Post-graduate studies. Good communication in both spoken and written English (required TOEIC at least 550) Having Experience in polyolefin or plastic business is a plus. Have a commercial sense and marketing knowledge. Good handle under pressure management situations. Good communication skills and ability to practice negotiation/selling skills. Collaborative and good people management skills to manage relationships and achieve committed goals."
Data Scientist/นักวิทยาศาสตร์ข้อมูล,"Mitr Phol Sugar Corp., Ltd.","Phra Pradaeng, Samut Prakan","Mathematics, Statistics & Information Sciences",Full time,,,"Role and Responsibilities Analyze and formulate business problems into practical analytics solutions Manage to have all necessary data available timely Design model validation and model maintenance based on Analytics Modeling Process Framework Develop analytics models and solutions by using predictive analytics, statistics, optimization, machine learning, optimal sampling, experimental design and/or other techniques Research on new cutting-edge technology & techniques in Deep Machine Learning, Artificial Intelligence, Re-enforcement Learning or related technical fields Work closely with business teams and IT solution architecture team to ensure delivering practical analytics solutions on time Qualifications and Education Requirements Minimum 2 years of related experience on data analytic, data science, machine learning, etc. Bachelor’s, or Master’s degree in Data Science, Engineering, Statistics, Mathematics, Operations Research or equivalent with at least 1 years of work experience Advanced knowledge of machine learning and big data analytics. Familiarity with unstructured data, NLP, Text Mining, Graph Theory, Deep Learning. Technical Skills: Python, R, Tableau, SQL. Experiences with Hadoop, PySpark, Hive, Scala, Kafka, Impala etc. Strong passion and ability to ask relevant business questions to the business team in order to provide the analytical suggestion Proactive personality with initiative, resourceful, enthusiasm, and able to think on his own idea"
