Jobtitle,Company,Location,Job Position,Salary Min,Salary Max,Job Description
"Sales Manager/Director OEM (Skincare , Makeup)/ผู้บริหารฝ่ายขาย...","Comets Intertrade Co., Ltd.","Prawet, Bangkok",Chemistry & Physics,Full time,70000,119999,"รายละเอียดงาน ดูแลยอดขาย และ ความสัมพันธ์ระหว่างบริษัทกับลูกค้า ให้สามารถแข่งขันการพัฒนาปรับปรุงผลิตภัณฑ์เดิม นำเสนอโครงงานการจัดแผนปรับปรุงผลิตภัณฑ์ พัฒนาทีมขายของบริษัทฯ ให้อยู่ในสถานะเป็นผู้นำทางการตลาด การออกแบบผลิตภัณฑ์ใหม่ ศึกษาและวิเคราะห์ความเป็นไปได้ของโครงการ 3 ด้าน ด้านการออกแบบ ด้านการตลาด และด้านการผลิต ศึกษาค้นคว้าแนวโน้ม (Trend) ทางการตลาตในอนาคต และคู่แข่ง ศึกษาข้อมูลความต้องการของผู้บริโภคในอนาคตกับการเปลี่ยนแปลง แนวโน้ม และโอกาส โดยร่วมกับฝ่ายการตลาด ศึกษาข้อมูลวัตถุดิบ วัสดุ ทางเลือกที่เหมาะสมและสร้างโอกาส คุณสมบัติผู้สมัคร วุฒิการศึกษาระดับปริญญาตรี ขึ้นไป สาขา การจัดการ การตลาด หรือ วิทยาศาสตร์เครื่องสำอาง ,สาขาวิทยาศาสตร์ หรือสาขาอื่นๆที่เกี่ยวข้อง มีความรู้และประสบการณ์เกี่ยวกับการผลิตในอุตสาหกรรมเครื่องสำอาง อย่างน้อย 5 ปีขึ้นไป มีประสบการณ์การทำงานด้านการขาย อย่างน้อย 5 ปี ขึ้นไป มีประสบการณ์หัวหน้างาน 3 ปี / บริหารอย่างน้อย 3 ปีขึ้นไป โดยมีสถานที่ปฎิบัติงาน ดังนี้ บริษัท คอมเม็ทส์ อินเตอร์เทรด จำกัด // บริษัท ไอซีที แมนูแฟคเจอริ่ง จำกัด สถานที่ปฏิบัติงาน : Comets Head Quarter Building , MRT Srinakarin38 Officer Hour : วันจันทร์ - ศุกร์ เวลา 8.30 น. – 17.30 น. สนใจสอบถามรายละเอียดที่: ฝ่ายทรัพยากรบุคคล LINE OFFICIAL : @cometsgrouphr"
Assistant Manager R&D/ผู้ช่วยผู้จัดการส่วนวิจัยและพัฒนาผลิตภัณฑ์,ICHITAN GROUP PCL.,Ayutthaya,Laboratory & Technical Services,Full time,,,- วางแผนพัฒนาและปรับปรุงผลิตภัณฑ์ให้ทันตามแผน - วางแผนการพัฒนาผลิตภัณฑ์ให้มีศักยภาพ - ควบคุมขั้นตอนวิธีการดำเนินงานพัฒนาและปรับปรุงให้สอดคล้องกับระบบการจัดการบูรณาการ และถูกต้องตามกฎหมาย - ทบทวนต้นทุนสูตรการผลิตเปรียบเทียบต้นทุน เพื่อปรับปรุงและลดต้นทุน - ทวนสอบวิธีการ สถานที่และอุปกรณ์การจัดเตรียมวัตถุดิบที่ใช้ให้มีความเหมาะสม - ติดตามการทำงานของผู้ใต้บังคับบัญชาให้เป็นไปตามแผนที่กำหนด - ติดตาม ทบทวนการดำเนินการต่างๆของกระบวนการออกแบบและพัฒนาให้เป็นไปตามที่กำหนด - งานอื่นๆตามที่ได้รับมอบหมาย
Trainee ด้านอาหารและโภชนาการ,"Wuttithammaporn Co., Ltd.",Phuket,Food Technology & Safety,Full time,,,หน้าที่ความรับผิดชอบ เตรียมอาหารตามเมนูของบริษัทฯ ให้เพียงพอและทันตามเวลา เตรียมอาหารตามเกณฑ์มาตรฐานของบริษัท ดูแลอุปกรณ์และเครื่องมือเครื่องใช้ต่างๆ ให้อยู่ในสภาพพร้อมที่จะใช้งาน ดูแลความสะอาดภายในครัวและดูแลการจัดการเรื่องการใช้วัตถุดิบ งานอื่นๆ ตามที่ได้รับมอบหมาย คุณสมบัติ ระดับการศึกษา : ปริญญาตรี ประสบการณ์(ปี) : 0 - 1 มนุษยสัมพันธ์ดี มีไหวพริบ มีทักษะการแก้ไขปัญหาเฉพาะหน้าที่ดี มีความซื่อสัตย์ และรับผิดชอบต่อหน้าที่ที่ได้รับมอบหมาย พร้อมเรียนรู้และพร้อมในการจดจำสูตรอาหาร สามารถทำงานเป็นกะได้ ตารางงานยืนหยุ่นได้ หากมีประสบการณ์การทำงานด้านกุ๊กอาหารจะพิจารณาเป็นพิเศษ สวัสดิการ ค่าตอบแทนพิเศษ ประกันสุขภาพ ค่าทำงานล่วงเวลา เงินโบนัสตามผลงาน ประกันสังคม ตามข้อตกลงของบริษัท ติดต่อบริษัท :Orchidacea Resort 210 ถ. โคกโตนด ตำบล กะรน อำเภอเมืองภูเก็ต ภูเก็ต 83100 เบอร์ผู้ติดต่อ : 0848576648
Quality Control (QC)/การควบคุมคุณภาพ,"Lifepack Co., Ltd.",Chachoengsao,Chemistry & Physics,Full time,,,"จำนวน 3 อัตรา วุฒิการศึกษา: อนุปริญญาตรี ขึ้นไป สาขา: วิทยาศาสตร์, เคมี และ สาขาที่เกี่ยวข้องกับการตรวจสอบคุณภาพ ประสบการณ์: หากมีประสบการณ์ด้านโรงพิมพ์Gravure จะพิจารณาเป็นพิเศษ หน้าที่รับผิดชอบ: -การตรวจคุณภาพม้วนฟิล์มขาเข้า -การตรวจคุณภาพสีขาเข้า -การตรวจคุณภาพระหว่างกระบวนการผลิต -การตรวจสอบม้วนตรวจก่อนส่งมอบสินค้าให้ลูกค้า -งานเอกสารที่เกี่ยวข้องกับการควบคุมคุณภาพ วัน, เวลาปฏิบัติงาน: จันทร์-เสาร์ 08.00-17.00"
Food Export QC/QA specialist/ฝ่ายควบคุมคุณภาพสำหรับการส่งออกอาหาร,"TD Inter-Supplies Co.,Ltd.","Bang Bua Thong, Nonthaburi",Food Technology & Safety,Full time,,,"Role and Responsibilities Inspection and testing: Conduct thorough inspections of all incoming food goods, ensuring they meet established quality standards. Perform various tests on food products to verify their safety, quality, and compliance with relevant regulations. Address any quality issues with suppliers and work on corrective actions. Related documents compliance: Review and verify the accuracy of Certificates of Analysis (COA) for each product, ensuring they match product specifications. Ensure that all food products comply with the destination country's regulations and standards. Regulatory compliance: Stay updated on international food safety and quality standards, including those specific to the destination countries. Implement and maintain compliance with food safety standards like HACCP, GMP, etc. Customer liaison: Communicate with customers regarding product specifications, quality concerns, and certification requirements. Address customer complaints related to product quality and take appropriate actions. Risk management: Identify potential risks in the export process and develop strategies to mitigate them. Conduct regular audits to ensure compliance with quality standards and regulations. Qualifications Bachelor’s degree in food science or related field. Good command of English. Minimum 1-2 years of experience in Food export or related field (Fresh Graduate is also encouraged to apply) Qualifications Bachelor’s degree in food science or related field. Good command of English. Minimum 1-2 years of experience in Food export or related field (Fresh Graduate is also encouraged to apply)."
Technical Service Engineer,"Universal Process Chemicals and Equipment Services Co., Ltd.",Rayong,Chemistry & Physics,Full time,,,"Responsibilities • Provides on-site customer service for limited product/application/system offerings in accordance with the service plan. Documents all work and service, including evaluation of plant personnel test results, chemical application rates, chemical and test reagent inventory levels, and program deficiencies/corrective action required. Assists sales personnel in maintaining compliance with the Service Quality. • Diagnoses, repairs or adjusts equipment and trains customers in these procedures. Adjusts chemical dosages/applications when necessary at full service accounts. Requires creativity and ingenuity in devising solutions to customer problems and the ability to operate independently with minimal supervision. • Performs basic start up services, preventive maintenance, and basic general services on Company’s product/application/systems offerings. • Complete required field documentation and reports and electronically transmit appropriate completed reports (i.e., job related field service report, expense report, etc.) in a timely fashion as dictated by Company policy and departmental procedures. This includes Service Reports. • Assists with on-site customer training utilizing Operating Training materials at assigned accounts. Documents customer training using personal service reports. • Assessing customer needs and suggesting appropriate products and technical services, responding to customer enquiries, contacting prospective customers and building positive relationships that will generate future sales and repeat business. • Responsible for all aspects of safety on the job, including the operation and maintenance of assigned company vehicle, the compliance with U-ProChem Safety, and the shipping of analytical samples. • Able to travel as required. Requirements • Minimum Bachelor degree with major in Chemical Engineering, Environmental Engineering, Related Engineering Degrees or related Chemistry Science Degree. • 2-4 years related experience and the ability to successfully interact with customer personnel. Knowledge of chemical, mechanical, electrical, and plumbing systems and computer skills required. • Minimum of two years of repair, troubleshooting, or field service experience. • Must adhere to the Company's and customers' safety, alcohol, and drug policies. • Must have and maintain a valid driver's license and insurability for travel related coverage. • Must possess good communication skills, verbal and written. • Ability to work flexible hours and travel as required."
Quality Control (QC)/การควบคุมคุณภาพ,"Lifepack Co., Ltd.",Chachoengsao,Chemistry & Physics,Full time,,,"จำนวน 3 อัตรา วุฒิการศึกษา: อนุปริญญาตรี ขึ้นไป สาขา: วิทยาศาสตร์, เคมี และ สาขาที่เกี่ยวข้องกับการตรวจสอบคุณภาพ ประสบการณ์: หากมีประสบการณ์ด้านโรงพิมพ์Gravure จะพิจารณาเป็นพิเศษ หน้าที่รับผิดชอบ: -การตรวจคุณภาพม้วนฟิล์มขาเข้า -การตรวจคุณภาพสีขาเข้า -การตรวจคุณภาพระหว่างกระบวนการผลิต -การตรวจสอบม้วนตรวจก่อนส่งมอบสินค้าให้ลูกค้า -งานเอกสารที่เกี่ยวข้องกับการควบคุมคุณภาพ วัน, เวลาปฏิบัติงาน: จันทร์-เสาร์ 08.00-17.00"
Researcher/นักวิจัย,"HEALTH INNOVISION CO., LTD.","Phasi Charoen, Bangkok",Chemistry & Physics,Full time,25000,54999,"รายละเอียดงาน การพัฒนาและวิจัยด้านเคมีวิเคราะห์ เคมีวัสดุศาสตร์ เคมีอนินทรีย์ และนวัตกรรมด้านเครื่องมือแพทย์ การพัฒนาระบบมาตรฐานการวิเคราะห์ GC-MS และ LC-MS การพัฒนาระบบมาตรฐานห้องปฏิบัติการและระบบมาตรฐาน ISO ที่เกี่ยวข้องกับเครื่องมือแพทย์ 4. การวิจัย Clinical Research อื่นๆที่ได้รับมอบหมาย คุณสมบัติ ปริญญาตรี หรือ ปริญญาโท มีความรู้ด้านเคมีวิเคราะห์ , เคมีวัสดุศาสตร์และพอลิเมอร์ , เคมีอินทรีย์หรืออนินทรีย์ มีประสบการณ์ด้าน Clinical Verification & Validation มีใจรักในการสร้างนวัตกรรมและเทคโนโลยีใหม่ๆ มีประสบการณ์ 1-2 ปี ขยัน พร้อมเรียนรู้สิ่งใหม่ๆ"
Lab Operations Manager/supervisor,IncreBio,"Sathon, Bangkok",Laboratory & Technical Services,Full time,,,"We are looking for energetic _supportive-mindset_ **LAB OPERATIONS MANAGER/SUPERVISOR** to join our RESEARCH OPERATIONS team. For those who have experience related to laboratory operations, if the thing that makes you smile in the lab is when your team has achieved their goals because of your support—you may be the one that we are looking for. **What you will do** - Ensure the laboratory is kept clean, safe, and orderly for everyone to work safely and happily. - Oversee daily operational and organizational laboratory responsibilities—from managing laboratory inventory, routine equipment sterilization and maintenance, to scheduling calibration/preventative maintenance. - Manage Laboratory consumable & supplies and coordinate with vendors for purchase order and deliveries. - Continuously observe, measure then propose operational improvements for safety, efficiency and quality in the laboratory. - Set up and prepare chemical reagent/ culture media and lab equipment as required. - Hands on, maintain and standardize HPLC to ensure HPLC working properly. - Lead a team of Lab Operators & Technicians to ensure the smooth operation of the laboratory. **Why join us?** - Matched industry standard salary, comparable to Thailand's best companies to work with - Real + challenging R&D work with a laser-like focus on commercialization at a global impact scale - Strong startup culture where speed is key, no hierarchy, no old-school politic in the organization—built for new generations **Perks & Benefits** - Personal health & entertainment perks. - Health & Life Insurance. Dental allowance. - Snack bars & Friday Happy Lunch. - Flexible working hours (no clock-in, clock-out as we trust in our team). - Extra holidays during Songkran & New Year. - Online learning credits on EdX, Coursera, Khan Academy - ** BS in Microbiology, Biochemistry or related science fields.**: - ** 0-2 Years Working Experience**: - ** Minimum undergrad GPA of 2.7 or equivalent**: - ** A great-supporter mindset to help and assist others to work happily**: - Able to multitask and handle multiple assignments at the same time. - Always active, self-initiated and keep looking to improve things around you - Strong general microbiology/biochemical laboratory skills - Enjoy handling on Microbiology testing and other laboratory works - Experience in handling HPLC equipment & troubleshooting is a strong plus - Understanding of ISO17025 is a plus - Able to adapt and thrive in a rapid pace & quick changing environment. - Good team-play spirit with a willingness to listen and communicate with others."
"Senior Application Technologist (Savory), Thailand",Symrise Ltd.,Bangkok,Food Technology & Safety,Full time,,,"**About Symrise AG** Symrise is a global supplier of fragrances, flavors, food, nutrition, and cosmetic ingredients. Its clients include manufacturers of perfumes, cosmetics, food and beverages, pharmaceuticals and producers of nutritional supplements and pet food. Its sales of € 3.8 billion in the 2021 fiscal year make Symrise a leading global provider. Headquartered in Holzminden, Germany, the Group is represented by more than 100 locations in Europe, Africa, the Middle East, Asia, the United States and Latin America. Symrise works with its clients to develop new ideas and market-ready concepts for products that form an integral part of everyday life. Economic success and corporate responsibility are inextricably linked as part of this process. Symrise - always inspiring more **Senior Application Technologist (Savory), Thailand**: - This position will be responsible to demonstrate expert level ability in raw materials, seasoning ingredients, functionality and compatibility, stability and regulatory requirement to develop and adjust seasoning formulation needed for various product categories (Snacks/Culinary) to meet customer requirements. This role will be reporting to Technical Manager for Research & Development and Application, based in Thailand._ **The Position**: - Prepare seasoning samples for key & strategic customer as per project brief requirements e.g. proactive, reactive, customer visits and innovation day. - To create new or modify existing seasoning to meet customer requirements, internal testing needs or new technology development for multiple seasoning types. - Actively involved in Raw Materials harmonization - Liaise with Purchasing Team to source raw materials for use in seasoning for specific project requirements - Collaborate with cross-functional teams such as Category Managers, Sales, Internal Technical Team, SCI, R&T and other departments as necessary - Lead resolving potential issues associated with production & supply chain & addressing customer complaints - Build knowledge & awareness of customer & competitor brands & consumer preferences - Maintain a safe, clean and organized working environment in accordance with EHS policies and hold others accountable for following these guidelines, and participate in designing the rules which are required - Provide technical assistance & organize workshops for internal & external customers - Knowledge, understanding & incorporation of Symrise technology & technical competences - Degree in Food Science / Food Technology or related field - Minimum 8-12 years experience in savory categories (snack/culinary) - Experience in seasoning creation is an added advantage - A strong team player and highly adaptive in multicultural & functional environment - Able to work within time frame and limited resources - Independent and willingness to travel on short/ medium assignments - Proficient in presentation, time management and project management skills Job Reference: SG00797"
