Job_Title,Company,Location,Job_Position,Job Position,Salary Min,Salary Max,Job_Description,Tag
Social Media Officer (Performance Analyst - SEO/SEM),Betagro Public Company Limited,"Lak Si, Bangkok",Art Direction,Full time,16000.0,29999.0,"Job Purpose มีหน้าที่ในการดูแลจัดการและรวมถึงการโต้ตอบใน Social Media ทุกช่องทาง ของทุกทีมใน Betagro Ventures Responsibilities 1. Develop creative and engaging social media strategies. 2. Manage the day-to-day handling of all social media channels such as LinkedIn, Facebook, Instagram, TikTok and YouTube, adapting content to suit different channels 3. Create engaging multimedia content (and/or outsource this effectively) across multiple platforms 4. Develop, launch and manage new competitions and campaigns that promote your organization and brand 5. Form key relationships with influencers across the social media platforms 6. Monitor, track, analyze and report on performance on social media platforms using tools such as Google Analytics and Facebook insights 7. Research and evaluate the latest trends and techniques in order to find new and better ways of measuring social media activity 8. Analyze competitor activity 9. Handle all E-commerce orders from customers in all channels ( Facebook, line official, line my shop, IG, Shopee, Lazada ) 10. Co-ordinate those E-commerce orders with Betagro Deli (shop-front) to deliver the order to end-consumers Qualifications 1. Bachelor's Degree in Marketing, Communication Arts or related field 2. Having knowledge in Social Management and experiences using Facebook, Instagram, TikTok, Youtube, etc. 3. Well communication both in Thai and English 4. Team player and details oriented 5. Work well under pressure","Advertising,Arts & Media"
Digital Designer/Digital Designer,บริษัท ดับบลิวพีพี มาร์เก็ตติ้ง คอมมูนิเคชั่นส์ (ประเทศไทย) จำกัด,"Khlong Toei, Bangkok",Art Direction,Full time,,,"DIGITAL DESIGNER Overview: Creation and delivery of a range of cross-platform digital work. This can be anything from responsive sites and emails to banners, mobile/tablet apps and  microsites. It involves working closely with Creatives, UX and Developers. The role could involve taking a simple hand-drawn scamp or an interactive wireframe and turning into a digital campaign or website. Responsibilities: • Staying on track with emerging digital trends and culture, attending events and engaging with       the wider digital creative community. • Proven understanding of typography, layout, color and grid structures. • High attention to detail. • Mainly Work alongside Creative Directors, Art Directors and Copywriters, Front End Developers. • Responsible for the full project lifecycle from brief and pitch to usability and build. • Spot any flaws or issues in designs and make corrections and improvements to enhance user experience Skills and Qualifications: • Conceptualize Art for Print and Digital Designs. • Perform and Test designs for usability and quality. • Generate high-quality graphics and animations. • Knowledge of design fundamentals, Create prototypes and Mock-ups. • Make necessary improvements to existing designs prototypes including adaptations. • Adept at the various Adobe software that would help in web development and graphic design. • Basic knowledge and understanding on digital production including Website UI, Social Platform specifications. • Knowledge on interactive designs and motivate them to perform better experiences on website or other online platforms. • Utilize customer experience to ensure enhancements comply to strict usability guidelines and user-centric best practices. • Develop Animation/Motion on digital platform. • The ability to think conceptually and visualize strategic decisions • Usability on Graphic Tools such as Photoshop, Illustrator and/or other Adobe creative suite software.","Advertising,Arts & Media"
Brand Marketing Supervisor,"Hi - Q Food Products Co., Ltd.","Bang Phli, Samut Prakan","Media Strategy, Planning & Buying",Full time,,,"Job Description 1. ดำเนินการตามแผนกลยุทธ์ด้านการตลาดของทางผู้บริหารให้ตรงกับกลุ่มเป้าหมาย 2. ศึกษาและวิเคราะห์ความต้องการของตลาด คู่แข่ง ตลอดจนพฤติกรรมผู้บริโภคอย่างสม่ำเสมอ 3. ติดตามและประเมินผลของการออกแบบสินค้าใหม่ แคมเปญ และกิจกรรมทางการตลาด 4. วางแผนการตลาดทั้ง above the line และ below the line ให้สอดคล้องกับกลยุทธ์ของผู้บริหารและสามารถวัดผลได้ 5. มีความรู้ความเข้าใจดัชนีชี้วัดความสำเร็จ เช่น engagement, reach, and conversion rates เพื่อวิเคราะห์ประสิทธิภาพของ content 6. อัพเดต Social trend ได้อยู่สม่ำเสมอ รูปแบบ content ที่แบรนด์จะต้องจับตามกระแส เพื่อที่จะสร้างความโดเด่นให้กับแบรนด์ได้ พร้อมทั้งวิเคราะห์กลยุทธ์ และติดตามคุ๋แข่งว่ากำลังทำอะไร 7. มีความหยืดหยุ่นในการรับ project ใหม่ที่ได้รับมอบหมายได้และสามารถทำได้ในเวลาที่ตกลง Flexible and responsible for new projects. คุณสมบัติ 1. ปริญญาตรี ด้าน Bachelor's degree in Marketing, Communications, Digital Media, or a related field. 2.มีความคิดสร้างสรรค์ ทำงานอย่างเป็นระบบระเบียบ และคิดนอกกรอบเพื่อพัฒนา และสร้างจุดจดจำให้กับแบรนด์ได้ 3. มีประสบการณ์ 2-3 ปีในการทำ ทำการตลาดของแบรนด์ FMCG หรือ อาหารสัตว์เลี้ยง 4. มีการทำงานเป็นทีม และมีความยืดหยุ่นในการทำงาน 5. มีความกระตือรือร้นในสายงาน Digital marketing สนใจที่จะจับเทรนอยู่ตลอดเวลา","Advertising,Arts & Media"
Copywriter/ Social Copywriter,"CJ WORX CO., LTD.","Sathon, Bangkok",Art Direction,Full time,25000.0,37000.0,"As a Copywriter, you are storyteller who love get a client’s advertising brief and turn ideas into beautiful and compelling content that grab the attention of the target audience. You will be part of creative team as well as work directly alongside with Art Director in creating, visualizing and executing concepts for the digital advertising. If you are motivated by challenge brief, we’d like to meet you because you will be working across a range of media and formats in a variety of different industries clients such as Automobile, Banking, FMCG, Entertainment, Real estate, Mass media, etc. To be successful for this role, you should stay update to latest trends, product, and design and technology insights to find new ways to speak to your audience with your idea. Qualifications Bachelor in Communication Arts, Journalism, Interactive Arts and Media or related fields At least 1-3 years experience as a Copywriter or similar role in advertising agency Strong conceptual idea and Solid knowledge of digital landscape What you’ll do Meeting with Client service team to clear objectives for an advertising campaign of clients Understanding target audience and finding target insight Brainstorming with Art Director in order to develop and execute campaign or/and Always on content Presenting initial idea and concept visually to social media manager, media team, client service team to ensure the campaign meet client objective Presenting completed ideas and concepts to clients for an approval Writing copy for a variety of media, especially in online media platform Accurately edit and proofread copy as needed Work closely with Social media manager to create Impact creative campaign and prioritize the workload","Advertising,Arts & Media"
Digital Creative - Copywriter,"Brilliant & Million Co., Ltd.","Pathum Wan, Bangkok",Journalism & Writing,Full time,,,"We are seeking a motivated and savvy Copywriter to develop our campaign or idea headline & scripts also content that needs in a fast-paced work environment. You will work with a team of Strategic Planner to develop and curate compelling and engaging copywriting materials for our audience. Your primary duties will include Creative strategy, proofreading and editing, analyzing readership data, and developing our content strategy. To succeed as Copywriter, you should be a creative and communicative multitasker with exceptional project and time management skills. You should be punctual, perceptive, and detail-oriented with a great mind for developing and realizing the vision of the campaign. To excel in this role, you will have experience in developing and editing ad copywriting, as well as excellent communication and organizational skills. A Bachelor's Degree in English or a related field is special consideration. Copywriter Responsibilities: Supervise a team of writers and coordinate with freelance contributors Proofread and edit spelling, grammar and syntax Ensure that copy meets the company or client's needs Organize, modify and update existing content Verify content and information Work with the art director or graphic design team to ensure a user-friendly experience Collaborate with co-workers and come up with fresh, creative content ideas, keeping our audience in mind Manage a busy workload according to deadline Analyze data and analytics, and seek to increase reader engagement and retention Knowledge of SEO and industry best practices Understand in major social media platform such as Facebook, Instagram, Twitter, Line, Youtube and Tiktok Copywriter Qualifications: Bachelor’s Degree in Communications Advertisement, Journalism, English or related field Writing, copy editing, and proofreading experience Good communication and interpersonal skills Proficient in Microsoft Office and Social Media platforms","Advertising,Arts & Media"
Graphic Designer,"P.C.L. INTER CO., LTD","Bang Khun Thian, Bangkok",Art Direction,Full time,20000.0,30000.0,"บริษัทกําลังขยายกิจการจึงมีความต้องการรับพนักงานเพิ่มเติมที่พร้อมจะเติบโตไปกับองค์กร Job Description: ออกแบบงานกราฟฟิคดีไซน์ artwork สําหรับคอนเท้นท์ online บน social media และ marketplace ต่างๆ (FB, TikTok Shop, Lazada, Shopee) ร่วมกันคิดและวางแผนคอนเท้นท์และการทำงานกับ Marketing, CEO และทีมบริหาร (บรรยากาศเป็นกันเอง สามารถแลกเปลี่ยนความคิดเห็นกันได้ตลอดเวลา) ออกแบบ artwork สื่อต่างๆ ทั้งรูปแบบ digital และงาน print ร่วมวางแผนผลิต content รูปภาพ/วิดีโอ สามารถนําเสนอไอเดียและออกแบบ Packaging ได้หลากหลาย เช่น กล่อง ขวด กระปุก ฉลาก ป้าย ฯลฯ สําหรับสินค้าของบริษัท สามารถถ่ายรูปสินค้า, retouch สินค้าเพื่อนําไปใช้ในช่องทางออนไลน์ได้ ทํา motion graphic ได้ (จะพิจารณาเป็นพิเศษ) Requirements ไม่จํากัดวุฒิการศึกษา (เพียงแค่มี Portfolio ที่โดดเด่นและทักษะที่จําเป็น ทางทีมงานจะรับพิจารณา) มีประสบการณ์ 1-2 ปี ขึ้นไป ในสายงานที่เกี่ยวข้อง ขยัน มีความรับผิดชอบ มุ่งมั่นที่จะพัฒนาตัวเองอยู่เสมอ มีความคิดสร้างสรรค์ สนใจในสินค้าเกี่ยวกับความสวยงาม (haircare, skincare, makeup) สามารถใช้โปรแกรม Photoshop / Illustrator ได้อย่างเชี่ยวชาญ ทํา motion graphic ได้ (จะพิจารณาเป็นพิเศษ) มีความรับผิดชอบ และสามารถจัดการงานให้มีผลลัพท์ที่ดีในระยะเวลาที่กำหนดได้ ต้องนํา Portfolio มานำเสนอให้ทางผู้สัมภาษณ์พิจารณาในวันสัมภาษณ์ Office Hours: จันทร์ - ศุกร์ (8.00-17.30) เวลาทํางานยืดหยุ่น เข้างานสายได้ เลิกงานดึกได้ work from home ได้ แต่ต้องมีความรับผิดชอบในการผลิตชิ้นงานทันระยะเวลาที่กําหนด สวัสดิการ: สิทธิวันลาพักร้อน 6 วัน / ปี ประกันสังคม ปรับเงินเดือนประจําปีตามผลงาน โบนัสประจําปีตามผลงาน กินเลี้ยง/Outing บริษัทตามเทศกาล สถานที่ทํางาน (ในกรณีไม่ work from home): บริษัท พี.ซี.แอล อินเตอร์ จํากัด 340/6 ถ.บางขุนเทียน-ชายทะเล (ติดศาลเจ้าแม่กวนอิม) แขวงแสมดำ เขตบางขุนเทียน กทม.10150 รายได้: 20,000-30,000 บ/เดือน (ตามความสามารถ) วิธีการสมัคร : ส่ง Portfolio , Resume และ เบอร์โทรติดต่อ ผ่านแพลตฟอร์ม Jobsdb หรือมายัง info.pclinter@gmail.com","Advertising,Arts & Media"
"Graphic Designer/Photographer/กราฟฟิคดีไซเนอร์, ตากล้อง","CHAOKHUNTHONG DESIGN STUDIO CO., LTD.","Bang Yai, Nonthaburi",Art Direction,Full time,16000.0,24000.0,"HILMYNA Brand ภายใต้การดำเนินงาน CHAOKHUNTHONG DESIGN STUDIO CO.,LTD เปิดบ้านต้อนรับน้องๆ กราฟฟิค ช่างภาพ นิสัยดี 1 ตำแหน่ง เงินเดือน 17,000-25,000฿ ขึ้นอยู่กับประสบการณ์ และความสามารถ ทำงานโซนนนทบุรี บางใหญ่ รถไฟฟ้าสายสีม่วงสถานีแยกบางพลู JD : - ออกแบบกราฟฟิคสื่อ และcontentต่างๆ - ถ่ายภาพ, VDO, Packshot - ออกแบบงานเพื่อนำเสนอลูกค้า - วาง Artwork รู้จักเราเพิ่มขึ้น www.hilmynabrand.com https://www.facebook.com/hilmynahandmade สนใจส่งProfile/CV มาเลยตามอีเมลด้านล่าง ** เขียน topic ว่า สมัคร กราฟฟิค Qualification 1. จบ ป ตรี สาขาใดก็ได้ แต่ต้องAi, Ps, ตัดต่อวิดีโอเป็น 2. ถ่ายรูปสวย หากมีอุปกรณ์ จะมีค่าอุปกรณ์ให้ และได้รับพิจารณาเป็นพิเศษ 3. ยินดีต้อนรับทุกคน ไม่จำกัดเพศสภาพ 4. นิสัยดี มีทัศนคติบวก 5. มีความรับผิดชอบ ตรงต่อเวลา สวัสดิการ & กฏระเบียบ >> 1. ทำงาน จ.-ศ 09.30-18.30 หยุด เสาร์-อาทิตย์ 2. ถ้างานเยอะ หลัง 18.30 มีโอที ตามกฎหมาย 3. โบนัสประจำปีทุกปี ขึ้นเงินเดือนทุกปี 4. ประกันสังคม 5. ไม่จำกัดวิธีการแต่งกายใดๆ 6. ลาพักร้อน เริ่มต้น 6 วัน","Advertising,Arts & Media"
Merchandising & Infrastructure Assistant Manager,Com7 Public Company Limited,Bangkok,Other,Full time,,,"Job purpose Responsible for Designing and implementing visual merchandising guideline for Apple products in retail channels. Ensure the guideline is implemented and executed properly upon standard Job Description Establish, evaluate, and execute visual guidelines and cropping specifications in collaboration with the Brand to align with the visual merchandising strategy across all business channels. Uphold high standards and collaborate with the retail team to guarantee an impeccable in-store image. In charge of planograming and scaling  for all format and update displays to promote new product launches and reflect key consumption periods Forecast, ordering and maintenance of POSM and work with cross functional team to ensure timely execution of display and any updates according to brand guidelines Work closely with retail operations and operation standard team to ensure all guidelines are executed as planned Collaborate with Expansion team for any shopfit concern in terms of store design that might effect store merchandising appropriateness, or any maintenance concern that affects merchandising ambient Ensure store team understand how to use and maintain store readiness e.g. price sign, digital signage, dcota network etc. Own end to end for store readiness as Apple standard, build maintenance, fixture, demo units , digital content and infrastructure systems Qualifications Bachelor's degree in Fine arts, fashion or any related field 3+ years of experience in Visual merchandising or store design Good command in English Background in merchandising or interior design with knowledge of design software (Photoshop, Illustrator and/or AutoCAD) will be advantageous. Possess can-do attitude and strong communication skill Background in Project management Ability to work independently in a fast-paced working environment with tight deadlines","Advertising,Arts & Media"
Graphic Designer/(กราฟฟิค ดีไซน์เนอร์),PANUS INTERFOODS,"Bang Kapi, Bangkok",Art Direction,Full time,20000.0,29999.0,"รายละเอียดการทำงาน ออกแบบสื่อต่างๆ ทั้ง online และ offline ของแบรนด์ ตามบรีฟจากทาง Marketing และ Sale มีความคิดสร้างสรรค์ผลงานให้มีความแตกต่างภายใต้แบรนด์ดิ้งที่กำหนด ออกแบบงานกราฟฟิค ทั้ง Offline (POSM เช่น โปสเตอร์, โปรโมชั่น, เมนู, และสื่อต่างๆ) และ Online (Facebook, Instagram, Youtube, Line, Tiktok) หรืออื่นๆ ตามที่ได้รับมอบหมายเป็นอย่างดี พัฒนา Artwork ให้มีคุณภาพในรูปแบบของข้อความ รูปภาพ หรือคลิปวีดีโอเพื่อส่งเสริมภาพลักษณ์ของแบรนด์ต่างๆ รวมถึงสื่อประชาสัมพันธ์อื่นๆ ดูแล Artwork สำหรับประชาสัมพันธ์ต่างๆของเเต่ละ Content ให้เป็นไปตามทิศทางที่กำหนด โดยทำงานรวมกับทีม Digital Marketin/Content Creator เข้าใจความต้องการของกลุ่มเป้าหมาย (กลุ่มลูกค้า แบรนดิ้ง และแนวทาง guideline จากบริษัทและลูกค้า) ในรายละเอียดการจัดทำเครื่องมือเพื่อสื่อสารการตลาด ปฏิบัติงานถ่ายรูป และสร้างสรรค์สิ่งใหม่ ๆ ที่เกี่ยวกับการสื่อสาร ร่วมคิดไอเดียจากทีม Digital Marketing / Brand เพื่อสร้างคอนเท้นต์ กระตุ้นความสนใจในช่องทาง social media ต่างๆ ทุกช่องทาง วิเคราะห์ข้อมูล Data Analytics หลังบ้านสื่อออนไลน์กับทีม Marketing และนำเสนอแนวทางพัฒนาได้ ถ้าสามารถถ่ายภาพ,  VDO / Short VDO หรือตัดต่อได้ รับพิจารณาเป็นพิเศษ ดูแลเว็บไซต์ของบริษัท อัพเดทข้อมูลลงเว็บ (wordpress) ประสานงานเรื่องการผลิตชิ้นงาน กับทาง suppliers ที่เกี่ยวข้อง ประสานงานร่วมกับทีมการตลาด พร้อมสนับสนุนกิจกรรมส่งเสริมการขาย งานออกแบบอื่นๆที่ได้รับมอบหมาย คุณสมบัติผู้สมัคร ระดับการศึกษาปริญญาตรี สาขาศิลปกรรมศาสตร์ นิเทศศิลป์ การออกแบบ หรือสาขาที่เกี่ยวข้อง มีประสบการณ์ด้านการออกแบบสื่อการตลาด สื่อสิ่งพิมพ์ และสื่อโฆษณาประเภทต่างๆตั้งแต่ 2 ปีขึ้นไป มีทักษะในด้านโปรแกรม Adobe Photoshop, Adobe Illustrator ถ้าหากมีทักษะในโปรแกรม Adobe Lightroom,After Effects ,Adobe Premiere, Sketch Up, 3D Max เพิ่มเติม  รับพิจารณาเป็นพิเศษ ทัศนคติ และไหวพริบดี ขยัน อดทนและมีความละเอียดรอบคอบ มีประสบการณ์ทำงาน 0-3 ปี (ยินดีรับนักศึกษาจบใหม่) สามารถใช้โปรแกรม Adobe XD, Photoshop, Illustrator, InDesign หรือเครื่องมืออื่นๆ ที่เกี่ยวเนื่องกับงานออกแบบได้เป็นอย่างดี มีความรู้ ความเข้าใจการวาง Layout ของสื่อหลาย ๆ รูปแบบ หากสามารถถ่ายรูป ถ่ายวีดีโอ ตัดต่อคลิปวีดีโอเพื่อลงสื่อต่างๆ ได้ จะได้รับการพิจารณาเป็นพิเศษ หากมีประสบการณ์ทางด้านการออกแบบแบรนด์หรือโฆษณา จะได้รับการพิจารณาเป็นพิเศษ มีความคิดสร้างสรรค์ สามารถอธิบายถึงหลักการและแนวคิด รับความคิดเห็นต่างๆ เพื่อนำไปปรับปรุงผลงานให้บรรลุเป้าหมาย มีความรับผิดชอบสูง ละเอียดรอบคอบ มนุษยสัมพันธ์ดี สามารถทำงานเป็นทีมได้ (Teamwork) มีความอดทน กระตือรือร้นและรักความท้าทายใหม่ๆ พร้อมที่จะเรียนรู้สิ่งใหม่อยู่เสมอ (Growth Mindset) สถานที่ทำงาน ประจำออฟฟิศ Panus interfoods ตั้งอยู่ที่ ซ.รามคำแหง 8 แยก 10 หรือ ซ.พระรามเก้า 37 (จอดรถในซอยได้) รายได้ 20,000 - 30,000 บาท/เดือน","Advertising,Arts & Media"
Marketing Manager (Residential),SINGHA ESTATE PUBLIC COMPANY LIMITED,"Chatuchak, Bangkok",Art Direction,Full time,,,"(Marketing Communication) Responsibilities:- Product placement & product development: Thorough market survey to identify trends, demands, and gaps in the market. Create products that align with market demands. Developing Marketing Strategies: Create comprehensive marketing strategies that highlight the unique selling points (USPs) of Singha Estate's residential properties. This includes identifying the key features, amenities, location advantages, and lifestyle benefits that set the properties apart from competitors. Brand Building: Establishing and maintaining a strong brand identity Collaborate with the branding team to ensure consistent messaging and visual identity across all marketing materials. Establish a strong brand presence that resonates with the target audience and builds trust. Promotions and Campaigns: Creating and executing marketing campaigns to achieve goals such as to raise awareness, support sales, build brand. (develop advertisements, planning events, etc. to reach out to potential customers and monitoring the campaign's performance.) Online Presence: Understanding how to maintain strong online presence. This includes understanding how to manage website, social media profiles, and other digital marketing efforts. Social Media and Online Presence: Managing a company's online presence, including social media platforms and websites. Using these channels to interact with customers. Content Creation: Creating valuable and relevant content (such as blog posts, videos, infographics) that engages the target audience and builds brands. Lead Generation and Sales Support: Working closely with sales teams to generate leads and provide them with the necessary marketing materials and insights to close deals effectively. Data Analysis: Analyzing the effectiveness of marketing campaigns and initiatives using data and metrics. Market & Trends Monitoring: Staying updated on the marketing movement, latest trends and innovations in both real estate and marketing. Budget planning and evaluation: Ensuring effective allocation of resources and achieving financial goals. Qualification:- Bachelors required (Communications or business preferred). MBA or relevant advanced degree preferred. A minimum of 8 year experience in communication development Experience in Adverting agency in role of Creative or Account Management or Strategic Planner. Must be able to generate input or lead execution for art direction & creative development. Good personality and coordination skill. Initiative, Proactive, Result and customer oriented Strong leadership, good team player, trustworthiness, reliability, and maturity.","Advertising,Arts & Media"
