Job_Title,Company,Location,Job_Position,Job_Type,Salary Min,Salary Max,Job_Description,Tag
Claim Officer,"Changan Auto Southeast Asia Co., Ltd.","Khlong Toei, Bangkok",Supervisors/Team Leaders,Full time,,,"Job Descriptions: Responsible for reviewing the claim documents submitted by Thai dealers (settlement review) and ensuring the normal development of the claim business of Thai dealers. Responsible for assessing risks in the claim process, provide feedback, and timely control and mitigate risks to avoid the retention of claims and the failure to realize the transfer of claim costs. Responsible for managing old parts tracking, repairing, and managing scrap in dealerships. Responsible for conducting regular inspections of old parts in dealerships. Responsible for summarizing claim data, calculating claim costs, formulating claim cost statements, and providing the basis for financial payments. Responsible for submitting internal claim deduction information to Changan Group and track the progress of Changan Thailand's claim with Changan Group. Complete Other tasks assigned by leader. Qualifications: Bachelor's degree in marketing, business administration or relevant fields. 2 years of working experience in claim commissioner experience, familiar with knowledge and skills related to automobile claim management. Knowledge of automobile industry, computer application, financial and legal knowledge. Excellent cross-team communication and coordination skills, strong sense of responsibility. Strong ability to work under pressure, can effectively solve problems. Good interpersonal and communication skills. Proficiency in using Microsoft Office. Proficiency in written and oral communication skills in Thai and English.",Call Centre & Customer Service
Sales Associate,"J. Choo (Thailand) Co., Ltd.","Pathum Wan, Bangkok",Supervisors/Team Leaders,Full time,,,"Responsibilities Deliver consistent, friendly and responsive service to customers at all times Achieve sales targets and contribute to the growth of sales Communicate confidently the unique selling points and the benefits of the product Use product knowledge to provide mix and match ideas to maximize the sales value Requirements Minimum 1 year relevant experience in fashion retail industry Good command of spoken English Service oriented, good communication and interpersonal skills Self-motivated, mature and team player Graduates with part time experience in fashion retail industry will also be considered We offer attractive remuneration package, on-the-job training and career advancement to the right candidate. Interested parties please send your full resume with latest and expected salary through the below ""Apply Now"" button or to: - 28th Floor The Offices at Central World 999/9 Rama I Road Pathumwan Bangkok 10330 Tel +66 2264 5811 / +66 2252 1326 ext 22 (Personal data collected will be treated in strict confidence and used for recruitment purpose only)",Call Centre & Customer Service
Call Centre Reservation Agent – Thai Speaking,Allegiance Marketing (Thailand) Ltd.,"Vadhana, Bangkok",Supervisors/Team Leaders,Full time,20000.0,30000.0,"Responsibilities: Answer all incoming calls in a friendly, energetic, and efficient manner. Obtain the necessary information from guests to input reservations. Assist guests regarding hotel facilities, destinations, and Accor loyalty program in an informative and helpful way. Providing solutions and recommendations Offering a personalized and customized reservations experience Ensure revenue is maximized by up-selling guest rooms and recommending hotel facilities Assisting and resolving any guest complaints in a timely and professional manner to the best of your ability. E mails handling for Reservations and Customer service activities Other related duties could be assigned as needed Qualifications: The ideal candidate will have experience in a customer service setting, hotel/resort reservationist, front desk agent, or equivalent work experience. Native in Thai (Verbal/Written) and proficiency in English Verbal/Written is necessary. Effective in following and achieving department sales goals. Computer literate in Microsoft Window applications required. Excellent communication skills, pleasant phone manner, excellent time-management skills, and the ability to multi-task several systems at once. Strong interpersonal and problem-solving abilities Highly responsible & reliable Ability to work well under pressure in a fast-paced environment Ability to work cohesively as part of a team Ability to focus attention on guest needs, remaining calm and courteous at all times Flexible working hours. Location: S-Metropolis Building, 22nd Floor, near BTS Phrom Phong, take exit number 3 Please send updated resume, recent photo with expected salary by APPLY NOW. For more information, please contact HR department at 02 659 4658 Only shortlisted candidates will be contacted",Call Centre & Customer Service
Customer Service and Administrator officer/เจ้าหน้าที่ประสานงานลูกค้า,"Siam Motors Co., Ltd. (Siam Music Yamaha Co., Ltd.)","Prawet, Bangkok",Customer Service - Call Centre,Full time,,,Help and support administrative work and documents Customer support for repairing product Issue quotation for repair product to customer Follow up customer confirm repairing product and get back product wen finished repairing. Coordinate with relevant departments both inside and outside the company. Take care and manage necessary documents within the company Able to work at Prawet/ Suan Luang/ Onnut,Call Centre & Customer Service
ลูกค้าสัมพันธ์,"Mitsu Auto City Co., Ltd.",Bangkok,Supervisors/Team Leaders,Full time,10000.0,15000.0,Qualifications & experience ประสบการณ์ 1ปี Tasks & responsibilities สามารถใช้คอมพิวเตอร์เบื้องต้นได้ดี มีความรับผิดชอบในหน้าที่ มีทัศนคติที่ดีต่องค์กร มีความซื่อสัตย์ต่อการทำงาน Benefits ประกันสังคม ตรวจสุขภาพประจำปี,Call Centre & Customer Service
Customer Service Representative & Logistics - Hybrid work,"HR Power Solution Recruitment Co., Ltd.",Bangkok,Supervisors/Team Leaders,Full time,80000.0,100000.0,"POSITION PURPOSE: Responsible for executing a full scale of customer service activities for company customers including customer service operations, process development, execution of business strategy, and customer & client interaction/business partnership.  This role primarily supports export customer service functions. This position will work closely with regional and global internal partners as well as external customers based in America and Asia Pacific. Responsibilities: 1.Customer Support Solves day-to-day problems by executing a full scale of customer service activities with some oversight (i.e. sales order processing / scheduling, customer complaints, payments, purchasing). Executes on fulfillment of customer orders/sample requests and customer related administration requests efficiently. Applies a comprehensive understanding of customer service practices and procedures to identify areas of improvement and cost management deficiencies to strengthen customer relationships. Ensures customer problems are resolved promptly and customers are satisfied. Prepares correspondence to secure additional customer information to resolve customer disputes. Accountable for order management for assigned geography and provides backup for colleagues, to include but not limited to taking orders, coordinating schedule with the plant, completing necessary documents, scheduling, and invoicing. Supports order entry for international orders including FCL, LCL and airfreight. Files and maintains customer records. Verifies order completeness and accuracy against purchase orders. Ensures compliance with contractual obligations including pricing agreements and letters of credit. Supports other team members as needed 2.Logistics Administration/ Order Management Coordinates logistic activities for both air, rail, and ground/water (LCL and FCL) to ensure order fulfillment goals are achieved. Coordinates load planning and allocation of product as directed using Enterprise System. Creates shipping documentation (proforma invoices, FedEx, and other documents). Provides necessary documents to forwarders/customers for shipments including invoice, packing list, and bill of lading. Monitors container shipment and shipping document status. Ensures customers orders are within the planned strategy provided to customer service by the commercial organization. Supports planning and execution of replenishment to international warehouses as applicable. Partners with external logistics and documentation business partners. 3.Additional Projects and Responsibilities Pricing & Analysis Buy Back / Diversions Customer Setups & Customer Accounts Warehouse Partnership Service Center Email 4.Environmental, Health & Safety Leadership Operates safely within company policies, procedures and governmental regulations and fully participates in and champions company Environmental, Health & Safety (EH&S) Programs. Ensures the EH&S Programs are being followed and provides a safe working environment to our employees and customers. Accountable for building a strong safety culture and actively pursues it on a daily basis; identifies unsafe behaviors and conditions and intervenes to mitigate incidents. QUALIFICATIONS: Bachelor’s degree with minimum 8 years experience in supply chain or logistics especially in customer service and logistics task. ์Native Thai, fluent in English and Mandarin language is required. Able to adapt working hour to America and Asia Pacific local time as well as hybrid work (Work from anywhere and work from the office is required). Proficient various computer programs including Microsoft Office Suite / SAP. Requires use of office equipment such as computers, fax machines, telephones, and copiers. Ability to develop and maintain customer relationships, understand our business and our customer's business, demonstrate intelligent flexibility and business judgment. Supports company vision and values through project / teamwork. Promotes cooperation within the team and between teams. Strong customer focus and service orientation with the ability to interact effectively with employees and vendors at all levels in a cross-cultural setting. Understands the plans for meeting the business strategy and objectives, and how it relates to daily activities. Demonstrates speed and flexibility as appropriate in responding and adapting to changes. Demonstrated ability to adapt to a challenging and developing environment; willingness to take on new responsibilities as our business evolves. Able to travel both domestic and oversea when required. Interested candidates please send your update resume, current and expected salary with contact details to: ManpowerGroup Thailand – Eastern Seaboard Branch 44/59 Room no.302 Moo 11, T.Nong-prue, A.Banglamung Chonburi 20150 Contact Khun Jaru Sritin (Professional and Executive Consultant) Telephone no. 033-049599 ext.3405 or 089-2739854 jaru.s @manpower.co.th Manpower recruitment license No.Chobor.03/2554 Ref: BH44313",Call Centre & Customer Service
Contacts Center (Supervisor/Team Lead) (Urgently Required),"T.C.C. Technology Co., Ltd.","Sathon, Bangkok",Supervisors/Team Leaders,Full time,,,"Customer service officers are mainly responsible for answering customer questions through a variety of means, such as online chats, email, or phone calls. When a customer contacts a company, customer service officers are usually their first point of contact. Manage team call center. Build sustainable relationships and trust with customer accounts through open and interactive communication. Provide accurate, valid and complete information by using the right methods/tools. Meet personal/customer service team sales targets and call handling quotas. Handle customer complaints, provide appropriate solutions and alternatives within the time limits; follow up to ensure resolution. Keep records of customer interactions, process customer accounts and file documents. Follow communication procedures, guidelines and policies. Requirements and skills Proven customer support experience or experience as a Client Service Representative Track record of over-achieving quota Strong phone contact handling skills and active listening Familiarity with CRM systems and practices Customer orientation and ability to adapt/respond to different types of characters Excellent communication and presentation skills Qualifications:- Bachelor's degree in Bachelor of Arts Program in Mass Communication./International. (or Related to field is preferable) Service-minded and decent person. Fast learner Excellent English communication. T.C.C. Technology Co., Ltd. Location: One Bangkok (Overlooking Lumphini Park at the corner of Rama IV Road Witthayu Rd, Lumphini, Pathum Wan, Bangkok.) MRT : Lumpini BTS : Saladeang",Call Centre & Customer Service
Inside Sales Representative,MARKEM-IMAJE LTD.,"Yan Nawa, Bangkok",Sales - Outbound,Full time,,,"Markem-Imaje is a trusted global manufacturer of product identification and traceability solutions. Our connected solutions help manufacturers to reduce waste, increase efficiency, achieve compliance and protect their brand. We offer the most complete range of market-leading marking and coding systems along with software, services and consumable solutions so you can streamline all your printing needs from one supplier. What you will do: · Works with complex or large territory/ account, products / services, sales, or account management processes and may serve as subject matter expert. · Responsible for creating a sales funnel that can support quota overall attainment. · Achieve and exceed quota targets and activity metrics within assigned accounts/territory. · Convert small starting opportunities to significant sized opportunities over time. · Provide regular sales performance and achievements related reports. · Undertake research to understand prospect organization structures and identify key players. · Effectively assess client needs, requirements and facts to adequately recommend satisfactory product solutions. · Works on problems of diverse scope where analysis of data requires evaluation of identifiable factors. · Develop technical knowledge needed for value proposition and solution selling. · Effectively collate and deliver certain level presentations. · Assess competitors by analyzing and summarizing competitor information and trends; identifying sales opportunities and leads. · Maintain the CRM to ensure all relevant data is captured in a timely manner. To be successful in this role you will need to have: • Bachelor’s Degree in Sales/ Marketing or related qualifications. • Possess relevant experience as Inside Sales Representative/ Aftersales/ Account Management/ similar sales role in industrial/ FMCG environment with B2B interactions in developing aftermarket sales business. • Good ability to engage clients, prospects, and proposals to gain in larger share of the market. • Goal-oriented and able to work in a target-driven environment. • Must be self-motivated, aggressive, and able to work independently as well as part of a dynamic team. • Install base management experience will be an added advantage. • Experience in Power BI, ERP & CRM (SAP, ACCPAC, and Salesforce) will be added advantage. • Reasonable English speaking and writing. You’ll only be the right candidate if you are aligned to our values and culture: Collaborative entrepreneurial spirit Winning through customers High ethical standards, openness and trust Expectations for results Respect and value people If you believe you match our values and have the experience we’re looking for, then apply! We can’t wait to hear from you.",Call Centre & Customer Service
Brand Ambassador (Chocolate) at Suvarnabhumi Airport (Yearly Contract) || TC,"PERSOLKELLY HR Services Recruitment (Thailand) Co., Ltd.",Samut Prakan,Supervisors/Team Leaders,Contract/Temp,20000.0,25000.0,"Type of Business:                  Retail Position:                                 Promoter Location:                                Duty Free Zone, Suvarnabhumi Airport Contract:                                1-Year Salary Range:                         Base Salary: 20,000 Baht + Travel Allowance: 5,000 Baht Working Days & Hours:        6 days per week, 9:00AM-6:00PM Responsibilities: Active Selling: Proactively approach shoppers to highlight current offers and novelties Organize tasting activities on a daily basis Inform shoppers about product features (example kosher, gluten free, vegan products) and benefits Recommend products to shoppers of complementary categories – cross category selling to increase basket size Promotion Supervision Co-ordinate installation of branded equipment for HPP slots Ensure proper stock replenishment Co-ordinate prudent use of sales materials and gifts with purchase to assist optimum utilization of resources Merchandising Ensure highest possible level of premium merchandising, position and visibility of our products in all defined stores. Ensure complete distribution and correct pricing for all listed products Support product availability and optimum stock level of products for daily business and under promotions in the shops and the warehouse. Pro-actively ensure best shelf positions and brand blocking opportunities as display second placements. Ensure safe handling and storage of brand personalization material and inform about any loss/damage of displays/POS for proactive refurbishment and replacement. Support promotion and tasting activity planning and implementation (product availability, 2nd placement, POS support material utilization) to achieve best results. Reporting Produce a report with relevant information on in-store developments according to a defined format. Qualifications: Bachelor’ Degree in any fields Good communicate in Thai and English. Good personality, polite, services-minded",Call Centre & Customer Service
Specialist Customer Support (Aftersales),BMW (Thailand) Company Limited,"Pathum Wan, Bangkok",Supervisors/Team Leaders,Full time,,,"Responsibilities: Service operation steering Prepare monthly operation reports to dealers and escalate issue (if any) Monitor and create new reports on Tableau Assist area manager to prepare dealer visit reports New project improvement Develop tools and manual to improve service operation Responsible to handle project on assignment (analyze data to find opportunity for improvement) Administrative tasks Prepare workshop arrangement, meeting, dealer contact list, etc. Collaboration with others Coordinate with suppliers upon assignment Be able to visit dealers upon assignment Qualifications: Preferred 3 years of work experiences, newly graduate is also welcome Good command in English (average level competency) IT literacy (Excel, PowerPoint, Words, Tableau, SAP, data analytics tools) High commitment, Multi-tasks, Can-do attitude, Willing to learn Customer-service oriented, Good communication & collaboration skill.",Call Centre & Customer Service
