Job_Title,Company,Location,Job_Position,Job_Type,Salary Min,Salary Max,Job_Description,Tag
General Manager,"Fill Good Group Co., Ltd.",Bangkok,General/Business Unit Manager,Full time,80000.0,120000.0,"Responsibility : Oversee overall operations of every business units and departments of the company Planning and Execution Develop and implement growth strategies Set revenue goal and budgets Plan and implement oversea markets expansion Management Develop key performance goals Ensure employees work productively toward the goals and develop professionally Improve internal processes for better productivity Marketing Oversee marketing team to deploy successful marketing campaigns Evaluate new product potential and market trends Set product positioning and pricing Analyze customers and set customer journey Participate in planning sales promotion and advertising Operation Provide category best practices and insight for business unit supervisors Prepare reports for upper management Evaluate and improve operations and financial performance Oversee human resources Oversee warehouse and stock management Provide solutions Qualifications: Visionary Outstanding organizational and leadership skills Growth mindset and goal oriented Strong analytical and decision-making ability Excellent communication, collaboration, and delegation skills Ability to motivate and lead employees, and hold them accountable Comfortable in a fast-paced or high-pressure environment Always in trends and stay current with technology Constantly learning and self-improving Excellent at managing and analyzing large amount of data Other Requirements : Age between 28 to 35 years Strong knowledge and insight of various online marketing tools, channels, and strategies Strong financial skills Good at Excel is a bonus Excellent at English including listening, speaking, reading, and writing At least 3 years experiences as a General Manager or similar executive role Experience in planning and budgeting",CEO & General Management
Golf Operation Manager,"Panya Properties Co., Ltd.","Khan Na Yao, Bangkok",General/Business Unit Manager,Full time,,,- มีความรู้ความเข้าใจเกี่ยวกับการบริหารจัดการกอล์ฟและการให้บริการสนามกอล์ฟ - หากมีประสบการในงานให้บริการสนามกอล์ฟจะพิจารณาเป็นพิเศษ - สามารถสื่อสารภาษาอังกฤษได้ดี - มีความเป็นผู้นำ - มีมนุษยสัมพันธ์ดี บริหารทีมงานได้ รักงานบริการ - ดูแลรับผิดชอบการให้บริการนักกอล์ฟในการออกรอบเล่นกอล์ฟ หรือ ไดร์ฟกอล์ฟ - ดูแลและฝึกสอนแค๊ดดี้ - ประสานงานฝ่ายที่เกี่ยวข้องและลูกค้าในการจัดแข่งขันกอล์ฟ,CEO & General Management
Executive Assistant to  CEO,"Future Makers Co., Ltd.","Khlong San, Bangkok",General/Business Unit Manager,Full time,30000.0,54999.0,งานออฟฟิตและการนัดหมาย: - จัดการตารางและปฏิทินหรือกิจกรรมที่เกี่ยวข้องกับการทำงานให้กับผู้บริหาร - รายงานและติดตามความคืบหน้าแต่ละโปรเจคของแต่ละแผนก หลังจากที่ได้แจ้งในการประชุม - การเตรียมและจัดการเอกสารที่สำคัญ เช่นจัดการเอกสารที่เกี่ยวข้องกับการประชุม เป็นต้น การสื่อสารและการประสานงาน: - การทำบันทึกข้อมูลการประชุม พร้อมแจ้งตารางนัดหมายกับแผนกอื่นๆในบริษัท - ประสานงานระหว่างแผนกต่างๆ และผู้ที่เกี่ยวข้องอื่น ๆ เพื่อให้ทุกคนทำงานร่วมกันได้และเข้าใจวัตถุประสงค์ของผู้บริหาร - กรองงานและบริหารข้อมูลที่เข้าถึง อื่นๆ: - สามารถทำงานภายใต้ความกดดันได้ - ยืดหยุ่นและสามารถปรับตัวตามการเปลี่ยนแปลงได้ - ทักษะในการประสานงานและการจัดการปัญหา - สามารถเรียนรู้ได้ไว สามารถจัดระเบียบงานได้ดีเยี่ยม,CEO & General Management
Executive Secretary,"King Power Click Co., Ltd.","Ratchathewi, Bangkok",General/Business Unit Manager,Full time,,,"Key responsibilities Receiving and sending documents, presenting documents for internal and external management signatures. Serving as the company's liaison to contact or handle various matters from the King Power group of companies, coordinating these with different departments. Scheduling both internal and external meetings within the organization, including sending out meeting invitations to all attendees. Compiling meeting agendas and delivering meeting documents to the executive team before the meeting, recording monthly company board meetings. Managing the reception of visitors contacting the management. Coordinating with the legal department regarding various company contracts as assigned. Assisting in tracking tasks from various departments to ensure timely task completion. Other ad-hoc tasks as assigned by the CEO and VPs. Qualification Honest and capable of maintaining the confidentiality of the organization and management. Self-management skills, ability to multitask efficiently. Proficient in communication in both Thai and English—listening, speaking, reading, and writing—at a level to communicate with international management. Skills in planning, communication, coordination, professionalism in duties, and familiarity with international customs. Strong skills in listening, summarizing points, excellent memory for details, and accurate spelling. Basic problem-solving skills for management. Ability to adapt and embrace changes in the company's new business.",CEO & General Management
Senior International Cooperation/เจ้าหน้าที่สร้างความร่วมมืออาวุโส,Electronic Transactions Development Agency / ETDA,Bangkok,General/Business Unit Manager,Full time,,,"ปฏิบัติงานตามแผนการดำเนินงานและแผนปฏิบัติการของงานสร้างความร่วมมือ โดยดำเนินการทั้งแผนรายปี เช่น การประชุม งานสัมมนา และงานฝึกอบรมนานาชาติ เป็นต้น บริหารจัดการการดำเนินโครงการ (project management) และตามแผนงานให้เป็นไปตามเป้าหมายที่กำหนดไว้ ประสานความร่วมมือกับหน่วยงาน องค์กรภายในประเทศ ต่างประเทศ และระหว่างประเทศ จัดทำรายงานความคืบหน้ารายสัปดาห์ รายไตรมาส และประจำปี เพื่อประกอบการรายงานต่อผู้บังคับบัญชาและประชาสัมพันธ์งานสร้างความร่วมมืออย่างต่อเนื่อง ค้นคว้าและศึกษาข้อมูลเปรียบเทียบกรอบความร่วมมือระดับประเทศ ภูมิภาค และองค์กรระหว่างประเทศ วิเคราะห์ข้อมูลและจัดทำข้อมูลสนับสนุนให้หน่วยงานภายในและภายนอก สนับสนุนการประชุมเวทีต่าง ๆ ตามที่ได้รับมอบหมาย บริหารจัดการการประชุมเชิงปฏิบัติการ งานอบรม งานสัมมนา ทั้งในประเทศและต่างประเทศ ประสาน ดำเนินการ และอำนวยความสะดวกในการประสานเจ้าหน้าที่และหน่วยงานที่เกี่ยวข้อง คุณสมบัติผู้สมัคร มีวุฒิการศึกษาไม่ต่ำกว่าปริญญาตรีหรือคุณวุฒิอื่นเทียบเท่ากัน ในสาขาวิชาความสัมพันธ์ระหว่างประเทศ นิติศาสตร์ เศรษฐศาสตร์ระหว่างประเทศ บริหารธุรกิจระหว่างประเทศ หรือสาขาวิชาที่เกี่ยวข้องกับหน้าที่ความรับผิดชอบ มีความสามารถในการปฏิบัติงานภายใต้ความกดดันได้เป็นอย่างดี มีทักษะในการบริหารจัดการ บริหารโครงการ โดยสามารถบริหารจัดการทำงานและบริหารเวลาได้ด้วยตนเอง มีทักษะในการอ่าน สรุปประเด็น วิเคราะห์ เขียนรายงานทางราชการ นำเสนอทั้งภาษาไทยและอังกฤษได้ มีความสามารถทางภาษาอังกฤษในระดับดีเยี่ยม ทั้งการสื่อสาร การเขียน และการอ่าน (TOEIC 800 / IELTS 5.5 / TOEFL-IBT 75 หรือ CEFR B2 ขึ้นไป) มีความสามารถในการใช้โปรแกรม Microsoft Office: Word, Excel, PowerPoint, Outlook หากมีความรู้หรือประสบการณ์การทำงานด้านการเจรจาข้อตกลง/ความร่วมมือด้านเศรษฐกิจดิจิทัล การค้าดิจิทัล ธุรกรรมทางอิเล็กทรอนิกส์ จะได้รับการพิจารณาเป็นพิเศษ สวัสดิการ กองทุนสำรองเลี้ยงชีพ ประกันกลุ่ม ทั้งพนักงานและครอบครัว ค่าทันตกรรม และการป้องกันโรค (วัคซีนต่าง ๆ) ตรวจสุขภาพประจำปี สวัสดิการกู้ยืม ทุนการศึกษา ทั้งระยะสั้นและระยะยาว Work from Anywhere",CEO & General Management
Purchasing Officer,"Aura Bangkok Clinic Co., Ltd.","Sathon, Bangkok",General/Business Unit Manager,Full time,25000.0,29999.0,"Overall values: Passionate in Aura. Strong passion in bringing a high-quality medical service to everyone at a reasonable price. Lead, inspire and motivate team member to always stay in a fast-paced, revenue-driven work environment. Always analyze and optimize on-the-go. We are bringing the aesthetic industry towards a new break through, there will be many obstacles. Persevere through all of them. Advice and coach team member. We value high-growth employees and reward them handsomely. Evaluate and give constructive feedback your team member to support her high-growth career path. Excellent presentation skill with strong logical thinking. Excellent management skill. Always plan ahead. Always have backup plan. Strong can-do attitude. Always strive only for the best. Always go beyond expectation. Always set an almost impossible goal. Never settle for an easy one. Purpose of the position: To operate purchasing operations and ensure that all procurement activities are carried out in accordance with the company's policies and regulations. Key Responsibilities: Coordinate with other teams on goods and services details that all teams request correctly. Sourcing new vendors and negotiate for suitable price, credit term and a reasonable delivered date. Create PR/PO and receive goods on TR cloud. Track the status of the delivery date to be on time. Check the product at the head office before deliver to the recipient. Coordinate the delivery date with the recipient. In the case of delivery outside the head office. Submit documents related to payment and purchase to the Finance team. Manage eligible products Fixed Asset on TR Cloud. Key Qualifications & Skills: Bachelor's Degree in business administration, supply chain management, or a related field. Proven experience in procurement or a similar role. Knowledge of procurement and supply chain processes, policies, and procedures. Strong negotiation and networking skills. Strong verbal and written communication skills. Life At Aura Semi-flexible Office hour: 9.30-18.30 Smart Casual Dress Code 2-min walk from BTS Chongnonsi (Sathon) Annual vaccination Premium Health and Life insurance with Family Benefits High yield, high pop up Provident Fund plan Child Education Benefits Travel allowance Clinic service for free or at great cost Extra Benefits to keep your Professional Look and Feel Fit Special member price with Fitness first and Virgin Active Thailand Free lunch Unlimited snacks, drinks and ice cream Positive-energetic teammates Monthly dinner party Annual company trip Entertainment zone; Nintendo switch, PS, Board games etc. Grab your favorite reading from our bookshelf Shower room with hotel amenities Luxury massage chair to keep office syndrome away Sleep box, take a rest and get up with fresher energy and much more! Explore us at IG: life.at.aura",CEO & General Management
Specialist Mall Business Strategy & Project,Big C Supercenter Public Company Limited,"Khlong Toei, Bangkok",General/Business Unit Manager,Full time,,,"- To conduct in-depth research and analysis of the location and competitors for the evaluation of the project's potential, both for the new branch and the renovated branch within the designated area of responsibility. - Develop a strategic plan tailored to the assigned area to maximize revenue generation for the organization. - Study and analyze trends in the retail market to plan the mixed and zoning layout of the shopping center in collaboration with the Design Concept and Leasing departments, segmented by the designated area. - Design and create a sales space guide (Sales Kit) for the new and renovated branches within the designated area. - Coordinate and manage project plans with relevant departments (Design Concept, Leasing, and Construction) within the assigned area. - Explore new business opportunities that enhance the company's shopping center business to meet the needs of customers to the fullest extent within the designated area.""",CEO & General Management
Gas Terminal Manager./ผู้จัดการคลังแก๊ส,Siamgas and Petrochemicals Public Company Limited,"Phra Pradaeng, Samut Prakan",General/Business Unit Manager,Full time,,,"รายละเอียดงาน :- ควบคุมบริหาร การบรรจุสินค้า การรับ-จ่ายสินค้า ตรวจสอบการปฏิบัติงานในการขนส่ง บริหาร สินค้าที่คงเหลือในคลัง และพื้นที่จัดเก็บ ประสานงานกับฝ่ายขาย, ฝ่ายบัญชีเพื่อทำการตรวจสอบสต๊อกสินค้า และรวบรวมเอกสารส่งและเบิกสินค้า ส่งให้แผนกบัญชี ควบคุมดูแลพัฒนาผู้ใต้บังคับบัญชาให้ปฏิบัติงานอย่างมีประสิทธิภาพอย่างต่อเนื่องและสม่ำเสมอ ตรวจสอบและดูแลรักษาสินค้าคงคลัง รายงานสรุปสต๊อกและการเบิกจ่ายสินค้าเข้า-ออก ประจำวัน เดือน ปี ของบริษัท รายงานต่อผู้บังคับบัญชา ตรวจรับ จัดเก็บ ทำบัญชีควบคุมปริมาณ วัตถุดิบและสินค้าสำเร็จรูป การจัดส่งสินค้าตามแผนการจัดส่ง ประสานงานกับหน่วยงานที่เกี่ยวข้อง, วางแผนเกี่ยวกับการขอซื้อ, การใช้วัตถุดิบในการผลิตบริหารพื้นที่และเก็บรักษาของวัตถุดิบ และสินค้าสำเร็จรูป ควบคุมและบริหารกระบวนการจัดเก็บให้เป็นไปตามแผน เป้าหมายที่กำหนด แก้ไขปัญหาในกระบวนการจัดเก็บตรวจสอบรายงานวัตถุดิบ สินค้าสำเร็จรูป และภาชนะบรรจุภัณฑ์ รับ-จ่าย และคงเหลือ กับแผนการขาย แผนการจัดซื้อแผนการผลิต และแผนการจัดส่ง ดูแลการขึ้นลงสินค้าให้มีความถูกต้อง รวดเร็ว บริหารและควบคุมการใช้พื้นที่ของฝ่ายคลังสินค้าให้เหมาะสม ดูแลสินค้าในคลังให้อยู่ในสภาพพร้อมส่งมอบแก่ลูกค้า ปฏิบัติงานอื่น ๆ ที่ได้รับมอบหมายจากผู้บังคับบัญชา คุณสมบัติ :- ระดับการศึกษา ปริญญาตรี ทุกสาขาวิชา หรือ สาขาที่เกี่ยวข้อง มีประสบการณ์ในการทำงานคลังสินค้า โรงงานอุตสาหกรรม มีประสบการในการบริหารจัดงานคลังสินค้า และสินค้าคงคลัง ไม่น้อยกว่า 3 ปี มีความรู้เรื่องการจัดส่ง สามารถใช้โปรแกรมคอมพิวเตอร์ได้ดี สามารถปฏิบัติ 6 วัน/สัปดาห์ ที่สาขาของบริษัททั่วประเทศ Interested candidates are invited to write in with full resume, stating present and expected salaries, and enclosing a recent photograph to the address below Siamgas and Petrochemics Public Company Limited 553 The Palladium Building, 30th Floor, Ratchaprarop Road, Makkasan, Ratchathewi, Bangkok 10400",CEO & General Management
Operation Manager/ผู้จัดการส่วนปฏิบัติการ,Rocks PC Limited,"Phaya Thai, Bangkok",General/Business Unit Manager,Full time,55000.0,69999.0,"Job Description: 1.   Business -    Ensure execution of operating standards that optimize returns on assets and increases sales and improves profits. -     Analyze and report weekly on controllable, sales and profits to ensure accurate and timely financial tracking. -     Must be competent in developing and recommending operating plan and budget in addition to ensuring meeting established budgetary guidelines. -     Ensure crisis management system is followed as requires to maintain efficient operations. -     Ensure good public relations efforts as requires enhancing and preserving a good company image. 2. Sales -     Set sales target of the responsible areas and drive sales to ensure achieve target. -     Evaluate sales trends and take appropriate action plan to close the sales gaps. 3. People -     With the agreement of the appropriate Human Resources Team, take appropriate employment actions to ensure quality of management and proper staffing levels. -     Lead the team to create, develop and update any related procedures/ systems and operational manual. -     Coach, counsel and develop Area Manager in the achievement of company standards and their personal development plans. -     Ensure proper training phases are successfully completed of all company storefront personnel in relation to their development. -     Utilize a communication process to ensure all staff is aware of expectations and performance standards. - Ensure that any government regulations are upheld by all management staff. 4. Customer -     Ensure 100% customer satisfaction at all time -     Ensure all storefront operate at a high quality level of Q.S.C. standard with emphasis on customer service while adhering to all health and safety company standards and procedures. -     Ensure Area Manager and Unit Manager resolves customer complaints in a proper and swift manner. -     Perform other duties as assigned by Operations Directors. -     Establish Annual Operation Plan and its budget. Qualifications & Experience: Age 35-40 Years old All fields of study related to administrative work Ability to work under pressure as well Ability to communicate in English as well Work experience in this field 5 years up",CEO & General Management
Personal Assistant/Personal Assistant,"PH Design & Engineering (Thailand) Co., Ltd.","Huai Khwang, Bangkok",General/Business Unit Manager,Full time,,,"Job Responsibilities: - Coordinating with subcontract related to the task. - Setup and coordinate meetings. - Follow up and ensure execution of task and assignment given - Multitask and supporting of internal and external work for company. - Provides confidential administrative support to executive. - Support the engineering department - Issue Quotation, PO - Other duties as assigned. Qualifications: - Bachelor's Degree or any fields. - Good command of English and Chinese Mandarin will be advantaged - Good communication skill - Good in MS office - Service-minded, positive thinking and self-motivated - Good computer skills (MS Word, Excel, PowerPoint) - Good personality & relationship.",CEO & General Management
