Job_Title,Company,Location,Job_Position,Job_Type,Salary Min,Salary Max,Job_Description,Tag
Civil Engineer (10 Positions),Thai Takenaka International Ltd.,"Bang Rak, Bangkok",Project Management,Full time,,,"We are looking to recruit Civil Engineer (10 Positions) Job Description Supervise all activities at job site. Coordinate with all concern party to get the final project achievement. Follow the corporate policy and implement properly at the assign job site. Control site work and sub-contractors to comply with company standards in safety, quality, schedule, and cost. Ensuring all construction activities comply with the industry standards, safety guidelines, and regulations. Documenting details and accurate construction records. Build good teamwork at the construction site. Another assign by supervisor. Qualification Bachelor’s Degree in Civil Engineer with Professional License. Good Command of English, computer literate. Communication, Analytical, Problem Solving, Decision Making, Coordination, Interpersonal. Construction site experience would be advantage 2D Drawing Skill (Auto CAD or related software) 3D Drawing Skill (Revit or related software) Fresh graduate are welcome. What you will get from Thai Takaneka: Health Insurance Life Insurance Dental fee Provident fund Annual Party Please apply with detailed resume (English only) and photo to: Thai Takenaka International Ltd. Human Resource Department 191 Silom Complex, 26th Fl., Silom Rd., Bangkok 10500 Tel: 02-266-2800 Fax: 02-266-2808-9 Website: https://www.takenaka.asia/thailand",Construction
Site Engineer (M&E) Officer-Manager/วิศวกรงานระบบ,Areeya Property Public Company Limited,Bangkok,Project Management,Full time,,,"Responsibilities: บริหารจัดการ วางแผน และติดตามการดำเนินงาน ด้านการวางระบบไฟฟ้า ประปา และสุขาภิบาลให้ได้คุณภาพ ตามมาตรฐานและเป็นไปตามแผนงานที่กำหนด Qualifications: ปริญญาตรีขึ้นไป สาขาวิศวกรรม / ไฟฟ้า หรือสาขาอื่นๆ ที่เกี่ยวข้อง มีความรู้เรื่องการงานวิศวกรรม การก่อสร้างและพัฒนาโครงการ มีประสบการณ์ด้านงานไฟฟ้า งานระบบสุขาภิบาล อย่างน้อย 3 ปี สามารถแก้ไขปัญหา วิเคราะห์และประเมินสถานการณ์, กำหนดแนวทางการดำเนินงาน สามารถสื่อสารได้อย่างประสิทธิภาพ Welfare & Benefits: Performance Bonus Provident Fund Group Insurance Dental Insurance Real Estate Purchase Discount Annual Health Checkup Buffet lunch at canteen Massage Therapy Maternity Allowance Hospital Gift Basket Funeral Allowance Housing Loan Nursing Room / Doctor / Nurse",Construction
Project Manager (2 Positions),Thai Takenaka International Ltd.,Eastern Region,Project Management,Full time,,,"We are looking to recruit Project Engineer (2 Positions) Bachelor's degree Civil Engineer with professional License Minimum 10 years’ experience in project management, construction, or related engineering field Project Management skills such as time management, project budgeting, resource management and project scheduling. Strong team management and leadership skills Knowledge of Project Management and Construction Management software Good analytical and problem-solving skills ability to offer customer satisfaction. Good command of spoken and written English Good command of computer programs Experience in Microsoft project or Primavera program is a plus Have ability to work under pressure 2D Drawing Skill (Auto CAD or related software) 3D Drawing Skill (Revit or related software) Responsibility: Define the project scope. Create a construction estimate based on a material take off. Create and manage a construction project budget. Create a construction project management plan. Negotiate with general contractors and subcontractors to obtain profitable construction contracts. Develop a construction schedule, with project deliverables and milestones. Manage resource such as construction material, construction workers and equipment. Allocate and manage resource logistics. Create status of reports for project stakeholders. Oversee the performance of the general contractor, site manager and other members of the construction team. Maintain health and safety standards. What you will get from Thai Takaneka: Health Insurance Life Insurance Dental fee Provident fund Annual Party If you would like to know more about us, please visit https://www.takenaka.asia/ Please apply with detailed resume (English only) and photo to: Thai Takenaka International Ltd. Human Resource Department 191 Silom Complex, 26th Fl., Silom Rd., Bangkok 10500 Tel: 02-266-2800 Fax: 02-266-2808-9 Website: https://www.takenaka.asia/thailand [link removed]",Construction
Technical Support,Private Advertiser,"Taling Chan, Bangkok",Project Management,Full time,20000.0,24999.0,"Job Description Measure the site, collect customer’s requirement onsite for interior design. Provide the electrical and plumbing system drawing. Coordinate with customers, suppliers and other related function, both internal and external parties in proper with the correct information. Work closely with installation team to ensure that all sustainable product s will be aligned with company standard and exceeded the customer expectations. Other work as assigned Qualifications: Excellent communication and presentation skills, ability to work independently, motivated and proactive attitude Strong in service mind background, multitasking skill and good attitude Fluency in English and Thai Bachelor’s degree in Architecture, Interior design, Civil Engineer or related fields AutoCAD / Illustrator / Photoshop Know and understand the construction problems and building assembly system on site 1-2 years’ experience in related field On the job training Own car and driving license",Construction
Senior engineer / Assist Manager (Structural/Civil engineer)/วิศวกรอาวุโส/...,Asia Sermkij Leasing Public Company Limited,"Vadhana, Bangkok",Project Management,Full time,,,"We are developing “high quality products” in Thailand. Our initial project Grade-A office building, “JLK Tower located at Sukhumvit soi 7” is aimed to provide a workplace designed for inspiration and success in the upcoming 2024. Duties & Responsibilities : Prepare program and control the schedule. (design, authority submission, construction) related to “the structural works”. Seek, tender, appoint, manage all consultants (designers, QS, CM, etc.), and direct contract and suppliers. Prepare, negotiate the scope of service agreement for all consultants and the scope of the contract for suppliers & contractors. Develop and review (code, technical) the design of the structure, construction method, etc. Control cost according to the budget received, including assessing, evaluation payment claim of contractors, consultants and cost variations from the contract. Control the construction progress, safety, including the qualities of works. Ensure all material used and work performed are as specifications. Manage and monitor the construction documents. Follow up to all permissions from an authority, all site issues. Hand over the project to the customer. Prepare presentation and report. Coordinate with other relevant departments Qualification : Bachelor/Master's degree in Structural/Civil engineering. 8-10 years of experience. Skillful in AutoCAD, other design programs, MS project, MS office. Experience in designing, contractor (e.g. hi-rise & low-rise office, condominium) and in property developer will be an advantage. speaking in Thai, proficient in English with TOEIC 650 or above. Good command of Chinese is a plus. Experience in Construction Management or Project Management Interest applicants please submit full resume with current salary, expect salary and recent photograph to Human Resources Department Asia Sermkij Leasing Public Company Limited Bangkok Grand Pacific Lease Public Company Limited Sathorn City Tower, 24th Floor, South Sathorn Road Thungmahamek, Sathorn, Bangkok 10120 Contact   Khun Pornpim at 02-6796262 Ext 1419 , Line ID : poysamasiri1368 Website : www.ask.co.th",Construction
Project Manager (เปิดรับสมัครเพิ่ม)/ผู้จัดการโครงการ,"State Construction Co., Ltd.",Chon Buri,Project Management,Full time,,,"บริษัทฯ เปิดรับสมัคร ตำแหน่ง Project Manager เพิ่ม เนื่องจากบริษัทฯ มีการเติบโตในธุรกิจมากขึ้น รายละเอียดงาน วางแผนภาพรวมการบริหารโครงการ กำหนดแผนงานก่อสร้าง, วางแผนการสั่งซื้อวัสดุก่อสร้าง, วางแผนการใช้เครื่องมือและเครื่องจักร อย่างมีประสิทธิภาพ จัดสรรบุคลากรอย่างเหมาะสม ให้สอดคล้องกับเป้าหมาย ภายใต้แผนงบประมาณที่บริษัทกำหนด ศึกษาและจัดหาวัสดุ อุปกรณ์ที่เหมาะสมกับการก่อสร้าง ควบคุมตรวจสอบคุณภาพงาน และมาตรฐานงานโดยรวมทั้งหมด และทันเวลาที่กำหนด ประสานงานกับผู้ควบคุมงาน และเจ้าของงาน จัดหาผู้รับเหมา คุณสมบัติ วุฒิการศึกษา ปริญญาตรี สาขาวิศวกรรมโยธา (วศ.บ.วิศวกรรมโยธา หรือ ก่อสร้าง) มีประสบการณ์ด้านการบริหารโครงการ, ก่อสร้างโรงงานอุตสาหกรรม, ตึกสูงที่เกี่ยวกับอุตสาหกรรม 10 ปีขึ้นไป สามารถใช้โปรแกรม Ms Office , Autocad ได้ดี มีความรู้เรื่องระบบ ISO 9001:2015 สามารถประจำ Site งานในพื้นที่ชลบุรี ,ระยอง หรือที่อื่นๆได้ มีใบอนุญาตประกอบวิชาชีพ (กว.) หากสามารถเริ่มงานได้ทันที จะได้รับการพิจารณาเป็นพิเศษ มีความเป็นผู้นำ และมีความรู้เกี่ยวกับมาตรฐานงานก่อสร้างและระบบสาธารณูปโภค รายได้ : ตามโครงสร้างบริษัท สวัสดิการ ประกันสังคม / ชุดฟอร์มพนักงาน ค่าเช่าบ้าน หรือบ้านพักที่บริษัทฯ จัดหาให้ ค่าน้ำมันรถ (เฉพาะตำแหน่งผู้จัดการโครงการ) /รถยนต์ประจำตำแหน่ง ฯลฯ กองทุนเงินออม ค่าคลอดบุตร, ค่าช่วยเหลือกรณี บิดา/มารดาเสียชีวิต งานเลี้ยงสังสรรค์ปีใหม่ โบนัสประจำปี (ตามผลประกอบการ) ปรับเงินประจำปี ติดต่อ ฝ่ายทรัพยากรมนุษย์และธุรการ บริษัท สเตท คอนสตรัคชั่น จำกัด, เครือสเตทกรุ๊ป (State Construction Co.,Ltd. / State Group) 163/8 ม.9 ต.หนองขาม อ.ศรีราชา จ.ชลบุรี Tel : 038-343-872-4 www.state.co.th",Construction
Site Engineer,Origin Property Public Company Limited,Bangkok,Project Management,Full time,16000.0,29999.0,วางแผนงานและจัดลำดับขั้นตอนงานให้สามารถก่อสร้างได้อย่างมีประสิทธิภาพ สอดคล้องกับแผนงานหลัก ติดตามความก้าวหน้าการก่อสร้างของผู้รับเหมา และเร่งรัดงานเพื่อให้แล้วเสร็จตามแผนงาน ให้คำปรึกษาในเรื่องแบบก่อสร้างและเทคนิคงานก่อสร้างกับผู้ควบคุมงานและผู้รับเหมา ตรวจสอบความสมบูรณ์และคุณภาพของการก่อสร้าง ควบคุมขั้นตอนการส่งมอบห้องให้ลูกค้าได้รับความพึงพอใจทั้งในเรื่องคุณภาพห้องและระยะเวลาส่งมอบ ให้บริการลูกค้า โดยให้ข้อมูลในงานวิศวกรรมและให้คำแนะนำงานที่เกี่ยวข้อง ควบคุมต้นทุนการก่อสร้างของโครงการให้เป็นไปตามงบประมาณที่ได้รับอนุมัติ จัดหาและควบคุมวัสดุก่อสร้างที่ใช้ในโครงการ ดูแลเครื่องมือภายในโครงการให้เพียงพอต่อการดำเนินงาน และตรวจสอบความพร้อมก่อนการปฏิบัติงาน ปฎิบัติงานอื่นๆตามที่ได้รับมอบหมาย,Construction
Project Manager | Project Architect/**English applications only**,Mister Loo (Thailand) Ltd.,"Vadhana, Bangkok",Project Management,Full time,55000.0,89999.0,"Requirements & qualifications: 10 - 15 years working experience in Architecture, Construction and/or Engineering in order to plan, execute new Mister Loo facilities (i.e. design/plan new facilities, prepare construction (BoQ, supplier selection, specifications) and supervise construction) Technical knowledge both theoretical and practical with a focus on civil work, MEP, interior fittings and equipment as well as design Good computer skills such as Microsoft Office, Auto CAD and/or Sketch-Up Project management experiences in construction to drive project execution Independent, strong problem-solving skills and a consistent approach to address technical topics Eager to learn, motivated, positive attitude and excellent interpersonal skills Own vehicle and possess valid driving license Bachelor degree in engineering, architecture or related areas Fluent knowledge in English communication (written and spoken) Office location: Ekkamai, Bangkok Responsibilities: Design (AutoCAD, Sektch-Up), plan & execute new Miser Loo facilities across Thailand together with the in-house team and 3rd party construction contractors Prepare the budget, BoQs and timeline for any new projects as well as negotiate with suppliers and contractors the pricing Instruct and assignment related suppliers, contractors and stakeholders for their work scope for both, new construction projects as well as any maintenance & repairs Control, manage and inspect sites (i.e. onsite inspection required!) as well as monitor suppliers and their work delivered Any maintenance & repair work needs to be coordinated with our in-house technician through the leadership of you and the team. Conduct periodic evaluations of the performance and quality of contractors and supplier If you also have excellent people skills, business acumen and are highly motivated to work in a dynamic team, we would like to meet you.",Construction
Civil Engineer / วิศวกรโครงการ (โยธา),"Yearrakarn Co., Ltd.",Samut Sakhon,Estimating,Full time,,,หน้าที่หลัก ออกแบบ และเขียนแบบงานโยธา สถาปัตย์ ระบบคอนโทรล งานระบบท่อ จัดทำแบบ เอกสารประกอบแบบ และรายละเอียดเกี่ยวกับรายการวัสดุสำหรับโครงการที่ได้รับมอบหมาย เขียนแบบ และจัดทำวัสดุอุปกรณ์ เพื่อใช้ประกอบการทำโครงการ เขียนแบบ แก้ไขแบบ งานโยธา ไฟฟ้า เครื่องกล และอื่นๆ ที่เกี่ยวข้อง ศึกษาถึงกฎหมาย และข้อกำหนดการควบคุมของหน่วยงานราชการเพื่อให้ทำแบบได้ถูกต้องตามกฎหมาย จัดทำ และรวบรวมแบบ As built ให้ความร่วมมือในการจัดหาระบบมาตรฐานต่างๆ ภายในโรงงานเช่น ระบบ GHP / HACCP และ FSSC22000 ให้ความสำคัญกับนโยบายความปลอดภัย และปฏิบัติตามข้อแนะนำของเจ้าหน้าที่ความปลอดภัยประจำโรงงาน ปฏิบัติงานอื่นๆ ตามที่ได้รับมอบหมายจากผู้บังคับบัญชา คุณสมบัติ ปริญญาตรี วิศวกรรมโยธา ประสบการณ์การทำงาน 2 ปี สามารถอ่านแบบ วางระบบท่อ ระบบไฟฟ้า และคุมงานได้,Construction
Office Engineer M&E,Origin Property Public Company Limited,Bangkok,Project Management,Full time,20000.0,34999.0,หน้าที่ความรับผิดชอบ ติดต่อประสานงานกับบริษัทร่วมในการทำงานแต่ละโครงการ ติดต่อประสานงานลูกค้าและนัดคิวเข้าติดตั้งงาน Solar rooftop บ้านเดี่ยว/คอนโด ถอด BOQ ของหลังจากการเสนอราคาของผู้รับเหมา ทำแผนการเข้างานและการดำเนินการต่างๆ ของบริษัท ติดตาม PR PO ของทีมงานจัดซื้อเพื่อให้สามารถสอดคล้องกับแผนการเข้างาน เคลียร์แบบเบื้องต้นและพูดคุยกับลูกค้าก่อนดำเนินส่งเรื่องให้ Draftsman เข้าประชุมกรรมการและเข้าเสนองานลูกค้าตามวันที่ลูกค้านัดหมาย ทำสรุปความคืบหน้าประจำสัปดาห์และรายการต่อที่ประชุมประจำสัปดาห์ได้ ทำ Presentation ให้สอดคล้องกับงานที่เสนอขายของโครงการต่างๆ และเข้าเสนองานกับลูกค้า PPA / ไฮบริด/ออฟบริด/ออนบริด คุณสมบัติ วุฒิปริญญาตรีสาขา วิศวกรไฟฟ้าหรือสาขาที่เกี่ยวข้อง มีประสบการณ์ด้านงานติดตั้งระบบ Solar rooftop และ งานระบบไฟฟ้าภายในอาคาร อ่านแบบสถาปัตย์และงานระบบไฟฟ้าได้ สามารถจัดทำ Presentation และนำเสนอได้,Construction
