Job_Title,Company,Location,Job_Position,Job_Type,Salary Min,Salary Max,Job_Description,Tag
IGCSE_AS_A Level Science Teachers,Thai Singapore International School,"Mueang Samut Prakan, Samut Prakan",Teaching - Secondary,Full time,70000.0,90000.0,"(SG or MY) IGCSE/AS-A -Science Teachers For Academic Year 2024-2025 Basic Salary: THB 80,000 Housing: THB 10,000 Least Total Monthly Salary: THB 90,000 Health and Accident Insurance Free lunch meals during workdays Free Document processing 25 students or below 20 Teaching Hours per week Free stationery Rooms equipped with AC, Computer, Projector, Speaker and Internet connection. One year contract Paid holidays Leave Credits Yearly increase Requirements: Teaching Experience Diploma and Transcript of Bachelor’s Degree (Authenticated and Legalized by the Thai Government) Passport with enough pages Police Background check About Thai Singapore International School Thai Singapore International School is a Tri-Lingual (English, Thai, Chinese) International School in Samut Prakan, offering basic Education from Nursery-Kindergarten, Primary (Singapore Curriculum), and Secondary (Cambridge Curriculum). A two-time Silver Mark Awardee of Education Development Trust (EDT), with 1,700+ students (90% Thai Nationals) and around 300 teaching staff of different nationalities, it is a continuously growing International school seated on a 45,000+sqm of property along Srinakarin Road. Join us! Send your application to humanresource@tsis.ac.th",Education & Training
"Primary Phase, Classroom Teacher",Amnuay Silpa School,"Ratchathewi, Bangkok",Teaching - Primary,Full time,,,"หน้าที่ที่รับผิดชอบ ทำหน้าที่ครูประจำชั้นในระดับประถมศึกษาปีที่ 2 - 5 วางแผน และดำเนินการ จัดการเรียนการสอนในวิชาหลักตามหลักสูตรของโรงเรียน สอนในวิชาอื่น ๆ ตามหลักสูตรของโรงเรียน พัฒนาแรงจูงใจให้นักเรียนมีความชอบและสนใจต่อการศึกษา ให้ความรู้นักเรียนในด้านของทักษะการแก้ไขปัญหาและการบูรณาการ สาธิตและสอนนักเรียนเพื่อพัฒนาให้นักเรียนมีความรู้ความเข้าใจในบทเรียน ประสานงานกับครูท่านอื่นเพื่อพัฒนาการเรียนการสอนให้เหมาะสมกับนักเรียน คุณสมบัติ จบปริญญาตรี สาขาครุศาสตร์บัณฑิต, ศึกษาศาสตร์บัณฑิต, การศึกษาบัณฑิต หรือ สาขาอื่นๆ ที่เกี่ยวข้อง - เอกปฐมศึกษา หากจบปริญญาโท หรือปริญญาเอกในสาขาที่เกี่ยวข้อง จะพิจารณาเป็นพิเศษ ยินดีพิจารณานักศึกษาจบใหม่ หากมีประสบการณ์ด้านงานสอนในตำแหน่งครูประจำชั้นระดับประถมศึกษาปีที่ 2-5 อย่างน้อย 2 ปี หรือมีประสบการณ์สอนในหลักสูตร English Program (EP.) จะพิจารณาเป็นพิเศษ มีใบประกอบวิชาชีพครู จะพิจารณาเป็นพิเศษ มีความคิดริเริ่มสร้างสรรค์ และสามารถทำงานร่วมกับผู้อื่นได้ดีภายใต้ความแตกต่างทางด้านวัฒนธรรม หากมีข้อสอบถามเพิ่มเติมสามารถเพิ่มเพื่อนใน Line Official ได้ที่ @hramnuaysilpa ******************* โรงเรียนยึดมั่นในหลักการสรรหาบุคลากรที่ปลอดภัย และการคุ้มครองสวัสดิภาพนักเรียน ผู้สมัครทุกคนจะต้องผ่านการตรวจประวัติอาชญากรรมและกรอกแบบฟอร์มยินยอมในการเปิดเผยข้อมูลส่วนบุคคล",Education & Training
"Foundation Phase, Classroom Teacher",Amnuay Silpa School,"Ratchathewi, Bangkok",Teaching - Early Childhood,Full time,,,"หน้าที่ที่รับผิดชอบ ทำหน้าที่ครูประจำชั้นในระดับประอนุบาล วางแผน และดำเนินการ จัดการเรียนการสอนในวิชาหลักตามหลักสูตรของโรงเรียน สอนในวิชาอื่น ๆ ตามหลักสูตรของโรงเรียน พัฒนาแรงจูงใจให้นักเรียนมีความชอบและสนใจต่อการศึกษา ให้ความรู้นักเรียนในด้านของทักษะการแก้ไขปัญหาและการบูรณาการ สาธิตและสอนนักเรียนเพื่อพัฒนาให้นักเรียนมีความรู้ความเข้าใจในบทเรียน ประสานงานกับครูท่านอื่นเพื่อพัฒนาการเรียนการสอนให้เหมาะสมกับนักเรียน คุณสมบัติ จบปริญญาตรี สาขาครุศาสตร์บัณฑิต, ศึกษาศาสตร์บัณฑิต, การศึกษาบัณฑิต หรือ สาขาอื่นๆ ที่เกี่ยวข้อง - เอกประถมวัย หากจบปริญญาโท หรือปริญญาเอกในสาขาที่เกี่ยวข้อง จะพิจารณาเป็นพิเศษ ยินดีพิจารณานักศึกษาจบใหม่ หากมีประสบการณ์ด้านงานสอนในตำแหน่งครูประจำชั้นระดับอนุบาล อย่างน้อย 2 ปี หรือมีประสบการณ์สอนในหลักสูตร English Program (EP.) จะพิจารณาเป็นพิเศษ มีใบประกอบวิชาชีพครู จะพิจารณาเป็นพิเศษ มีความคิดริเริ่มสร้างสรรค์ และสามารถทำงานร่วมกับผู้อื่นได้ดีภายใต้ความแตกต่างทางด้านวัฒนธรรม หากมีข้อสอบถามเพิ่มเติมสามารถเพิ่มเพื่อนใน Line Official ได้ที่ @hramnuaysilpa ******************* โรงเรียนยึดมั่นในหลักการสรรหาบุคลากรที่ปลอดภัย และการคุ้มครองสวัสดิภาพนักเรียน ผู้สมัครทุกคนจะต้องผ่านการตรวจประวัติอาชญากรรมและกรอกแบบฟอร์มยินยอมในการเปิดเผยข้อมูลส่วนบุคคล",Education & Training
English Teacher for Lower Primary (Grade1-3)/ครู ESL (ครูภาษาอังกฤษ ป.1-ป.3),Plearnpattana  School,"Thawi Watthana, Bangkok",Teaching - Primary,Full time,,,"We need full time English teachers to teach in the lower primary level (Grade 1-3) to start immediately. Work hours: 7:45 a.m. to 4:45 p.m., Mondays-Fridays Teaching periods per week: not more than 20 periods Class size: around 30 students Salary: Depends on qualifications and teaching experience Requirements: Must have at least a Bachelor's Degree in Education, English Language/Linguistics, or any related field Has excellent command of English in all skills: Speaking, Listening, Reading, Writing Has at least two years teaching experience in a regular classroom (inside Thailand is preferable) Thai and Non Thai all welcome Has excellent classroom management skills Can work in a team Has a TEFL/TOEIC/IELTS certificate Only a short list of qualified candidates will be contacted for an interview. Interested applicants should send their resume with details of educational background, teaching experience, expected salary, as well as a copy of school transcript to: Plearnpattana School 33/39-40 Moo 17, Suangphak Road, Salathammasop, Thawiwatthana, Bangkok 10170 Tel No. 02-885-2670-5 ext. 511; Fax No. 02-8852670-5 ext.525 URL: www.plearnpattana.ac.th",Education & Training
Learning & Development Manager - IKEA Bang Yai,Ikano (Thailand) Limited / IKEA (Thailand),"Bang Yai, Nonthaburi",Other,Full time,,,"About the job This role takes the Leadership for Learning and Development activities in the Store to develop highly performing, knowledgeable people. Ensure all competence development initiatives grow our business and support the sustaining of long- term profitability, always considering the impact on our co-workers, and ultimately leading to customer satisfaction. Your assignment • Promote and safeguard the IKEA culture by being a role model who expresses the IKEA Values in all L&D operational matters and people agenda. • Be an active contributor in the formulation, communication and implementation of competence development strategies, tools and programs in close co-operation with store HR generalist. • Actively promote the implementation of the store training calendar in close co-operation with the regional competence HUB and the functions. • Support the implementation of a local and regional pool of trainers of programs in the training calendar. • Secure the on boarding process for new-workers is carried out as well as a well-functioning buddy system, basic job knowledge. • Maintain training module database and produce reports as necessary. • Take the lead in the store to build training programs that are aligned to the need of business as well as adapted to the co-workers way of learning for today and tomorrow needs. • Support all managers in the store in the learning & development process by being the expert on learning & development of co-workers and managers; pro-actively lead the learning & development process. • Ensure investment and budget for all learning activities with clear goal setting and follow up. Your profile • 3 to 5 years of relevant working experience, retail preferred. • Excellent presentation and facilitation skills. • Ability to communicate across organisation with effective influencing skills. • Understand and buy into company culture and values. • Computer literature in MS Office. • Ability to work as part of a team as well as independently. • Require to travel from time to time across the IKEA stores in Bangkok.",Education & Training
Information Systems Officer,International Christian School Nonthaburi,"Mueang Nonthaburi, Nonthaburi",Other,Full time,25000.0,34999.0,"JOB DESCRIPTION Information Systems Officer KEY OBJECTIVES OF THE POSITION To carry out the professional duties of an ICSN employee as circumstances may require and in accordance with the school’s policies under the direction of the School Administrators via the ICT Director. The role of the Information Systems Officer is to help the ICT Director identify, understand and address the needs of the academic information systems of the school. The Information Systems Officer has a commitment to organize academic information and demonstrates the knowledge, skills, and attributes necessary to improve how it is managed, used, integrated and presented. This involves working with the School Administrators, ICT Director, office staff, vendors and other stakeholders offering support, ideas, assistance and guidance to the planning, development, and implementation of academic systems at the school. The Information Systems Officer will spend the majority of his/her time planning, collaborating with staff and implementing academic systems. This may involve: ● Staying abreast of new developments in technology by accessing job-specific training, participating in online educational communities, reading current technical literature, reading system documents, and testing software. ● Providing support for the implementation and maintenance of academic systems (systems include: FACTS SIS / RenWeb, Blogs, Clever, Seesaw, G Suite, Apple School Manager, Turnitin, Grammarly, RAZ kids, Cialfo, Library Systems, ConnectEd, ThinkCentral and any other academic systems ) ● Coordinating and managing change / update requests for academic systems ● Coordinating with external vendors for academic systems ● Where appropriate or when required, leading whole-school, departmental or small group training(new features, standards, etc.) ● Developing and delivering support staff training ● Developing standard operating procedures and best practices, including providing written protocols/instructions and guidance to IT staff and end-users (these are in the form of training videos, blog posts and knowledgebase articles regarding academic systems) ● Making data queries, policies, and procedures to ensure data integrity in all systems ● Attending technology conferences, summits, training, or meetings ● Accomplishing related tasks/results as needed. Personal Specification SKILLS, QUALIFICATION, AND TRAINING ● A degree or higher in IT or related fields ● Experience with or knowledge of School Management Systems (FACTS SIS / RenWeb, PowerSchool, Veracross, etc ), LMS (Class Dojo, Seesaw, etc), G Suite Admin, Apple School Manager and other academic systems ● Proficient in spreadsheets (pivot, vlookup, query, functions, awesometable and more) ● Excellent English communication skills both written and verbal ● Evidence of continued relevant professional development ● Organized and detail-oriented by nature",Education & Training
English Learning Support Assistant (EAL),"St. Andrews International School Sukhumvit Campus Co., Ltd.","Vadhana, Bangkok",Tutoring,Full time,,,"""Our mission is to provide an inclusive, international education in a safe, happy, supportive and stimulating environment where all the needs of the individual learner are met. Students are inspired to be the best they can be, enabling them to become responsible global citizens."" English Learning Support Assistant (EAL) English Learning Support Assistants are full or part-time members of the English as an Additional Language Department (EAL).  Their role is to work alongside classroom, subject and EAL teachers to ensure that the student’s learning needs are met and they are able to access the curriculum as fully as possible. Even though individual identified students might be the focus of an ELSA’s attention, they are in classes to support learning generally as well as specifically.  The role also involves working with the Learning S­­­­­upport department to support some children with specific needs. It is a demanding role that involves: Establishing a caring and nurturing relationship with students Establishing effective working relationships with class / subject teachers. Developing professional relationships and effective communication with parents. Developing a broad knowledge of different curriculum areas. Being aware of the needs of individual students and anticipating the implications of these needs in a variety of teaching and learning situations. English Learning Support Assistants assist teachers to meet students’ needs by: Being punctual to all timetabled lessons and participating fully, at the direction of the EAL coordinator or the class teacher. Accessing mainstream planning in advance and adapting tasks and activities appropriately. Grading language and using a range of communicative teaching techniques e.g. picture cues, word mats, hand and facial gestures. Clarifying or explaining content and instructions, both written and orally. Assisting with reading tasks, so as to improve skills and increase motivation to read. Teaching small group phonics sessions. Facilitating positive behaviour and interactions between students. Encouraging students to develop responsibility for their own learning. Liaising with class teachers and EAL teachers to discuss the needs and progress of the children with EAL. Planning and leading interventions with small groups of students. Accompanying and assisting students and staff on community involvement experiences.  School trips, work experience and whole school activities such as cultural celebrations, productions and inter-school events. Participating in other school or departmental duties and activities, including the development of teaching materials and displays, as directed by EAL Coordinator, Head of Phase or Head of School. Ideally an EAL Learning Support Assistant will: Be proficient in English: CEFR Level C1, IELTS Band 6.5+ or equivalent. Have experience in teaching English as an Additional Language or English as Foreign Language. Good understanding of how to teach phonics and experience of using the Letters and Sounds phases. All teachers are also expected to contribute positively to the extra-curricular programme, which runs after school, offering an extracurricular activity that either supports or extends the students’ learning, or from another area of interest. Our school has a good reputation of supporting children with special educational needs and experience of teaching children with ADHD, mild autism, dyslexia etc. would be very good prior experience for a teacher wishing to join our team. St Andrews is committed to ensuring the safety of all our students, and expects all staff to share the same commitment (see our  [link removed]Child Protection Code of Conduct [link removed]). No teacher will be appointed without at least    two references, including one from the most recent employer, a ten year criminal record check and relevant regional Prohibition Order/DBS checks. The closing date for application is Monday 29th January 2024. If you would like to apply for a position at our school please complete the application process through Jobtrain, accessible via the Careers page on the Nord Anglia Education website:  [link removed]http://www.nordangliaeducation.com/careers/ [link removed]. If you require any further information, please email recruitment๑standrews.ac.th. Human Resources St. Andrews International School Bangkok, Primary School 9 Pridi Banomyong 20/1, Sukhumvit Soi 71 Watthana, Bangkok 10110 Thailand",Education & Training
Higher Level Teaching Assistant (EAL),"St. Andrews International School Sukhumvit Campus Co., Ltd.","Vadhana, Bangkok",Tutoring,Full time,,,"""Our mission is to provide an inclusive, international education in a safe, happy, supportive and stimulating environment where all the needs of the individual learner are met. Students are inspired to be the best they can be, enabling them to become responsible global citizens."" Higher Level Teaching Assistant (EAL) A Higher Level Teaching Assistant works collaboratively as an integral part of the EAL team at St Andrews. The HLTA role presents an excellent opportunity for individuals with experience in teaching EAL who are seeking to advance their careers. This role carries greater responsibilities, including teaching and intervention work, to further enrich your professional experience. Additionally, you will collaborate closely with classroom teachers, ensuring that students' learning needs are met and that they can fully access the curriculum."" An HLTA will have an extensive range of relevant experience with a proven track record and/or recognised higher level teaching qualifications. The LSA will be expected to take on additional responsibilities, which includes teaching small groups of children who are New to English (EAL1) under the supervision of the EAL coordinator.  LSA’s may also be expected to take on line management responsibilities as well as mentoring and training other LSA’s. Responsibilities Ensuring the safety of children at all times, by adhering to school safeguarding and health and safety policies. Establishing and raising pupil achievement by developing outstanding practice, by supporting both in the mainstream classroom and in withdrawal lessons. Under the supervision of the EAL coordinator or an EAL teacher, plan and deliver the EAL 1 programme and interventions sessions for children who are New to English. Establishing a caring and nurturing relationship with children and to promote positive behaviour patterns so as to raise self-esteem and independence. Maintaining good order and discipline in small groups (using appropriate behaviour strategies) to ensure student’s safety and access to learning. Establishing effective and collaborative working relationships with classroom teachers and actively participating in co-teaching opportunities, to provide inclusive and differentiated instruction to students. Co-planning and co-implementing lessons with classroom teachers, incorporating appropriate accommodations and modifications to meet the diverse learning needs of students Actively participating in team planning meetings, collaborating with teachers and other support staff to contribute ideas and strategies that promote effective classroom management and student engagement. Providing valuable insights and suggestions during team planning sessions to ensure the seamless integration of support strategies for students with diverse learning needs. Working closely with the teaching team to align classroom management techniques and intervention plans with the overall curriculum and learning objectives. Working with the EAL Coordinator with observation and monitoring of the progress of students, maintaining accurate records of the child are met. Assisting the EAL coordinator when reporting to parents (both in termly reports and parent consultation sessions). Showing ability and willingness to work with all children with EAL, including those with other needs e.g. learning support or behavioural needs. Supervising students during unstructured times, including at least two duties per week. Accompanying and assisting students and staff on School trips (including residential trips) and whole school activities such as cultural celebrations, productions and inter-school events. Assisting with the implementation of Individual Education/Behaviour Plans and Personal Care Programmes where necessary Assisting the EAL Coordinator with line management of other EAL LSAs, if required. Establishing positive relationships with students, parents, and colleagues to create a supportive and cooperative learning community. Personal Qualities Aptitude to develop knowledge of the role within an education environment Flexible, adaptable and positive attitude to working in a structured environment Ability to work on own initiative, including recognition of the appropriate level at which to refer issues elsewhere for effective resolution Ability to maintain confidentiality Ability to reflect on lessons and think critically in order to improve teaching practice. Demonstrates a professional and respectful demeanour in all interactions with parents, fostering positive relationships and promoting effective home-school partnerships. An English level of CEFR C1+ (IELTS 7.5) or above. All teachers are also expected to contribute positively to the extra-curricular programme, which runs after school, offering an extracurricular activity that either supports or extends the students’ learning, or from another area of interest. Our school has a good reputation of supporting children with special educational needs and experience of teaching children with ADHD, mild autism, dyslexia etc. would be very good prior experience for a teacher wishing to join our team. St Andrews is committed to ensuring the safety of all our students, and expects all staff to share the same commitment (see our Child Protection Code of Conduct [link removed]). No teacher will be appointed without at least  two references, including one from the most recent employer, a ten year criminal record check and relevant regional Prohibition Order/DBS checks. The closing date for application is Monday 29nd January 2024. If you would like to apply for a position at our school please complete the application process through Jobtrain, accessible via the Careers page on the Nord Anglia Education website: http://www.nordangliaeducation.com/careers/ [link removed]. If you require any further information, please email recruitment๑standrews.ac.th. Human Resources St. Andrews International School Bangkok, Primary School 9 Pridi Banomyong 20/1, Sukhumvit Soi 71 Watthana, Bangkok 10110 Thailand",Education & Training
Teacher Assistant (Educational Service Coach),"Wall Street English (Thailand) Co., Ltd.",Bangkok,Tutoring,Full time,,,"Job Location: - Silom Center (Ur gently required!) - Central World (Urgently required!) - Central Rama2 (Urgently required!) - Mega Bangna (Urgently required!) - Central Chaengwattana (Urgently required!) - Fashion Island (Urgently required!) - Future Park Rangsit Center Roles & Responsibilities Oversee students' learning progress Coach students toward reaching their educational goals Motivate and encourage students to acquire English throughout the course Create a fun, all-English learning environment throughout the centre Manage class schedules and related administrative tasks Provide excellent customer service and manage student courses 5 days works including weekends and 2 days off which are weekday only Qualifications: Fluent English of spoken and written English University Degree Computer literate Excellent interpersonal skills – patient, responsible, and empathetic Willingness to learn and develop professionally Inspiring and supportive to Students Willingness to work a flexible schedule and on weekend Background within the service/hospitality/educational sector Fluent English of spoken and written English English-speaking applicants from any industry are also welcome Welfare & Benefit for successful candidate as follows: Before pass probation (probation period 119 days) Salary THB 19,000 / month Free Wall Street English Course Social Security 3 Long Sleeve Shirts Additional after pass probation Salary THB 19,000 + THB 2,000 (Allowance) / month 10 vacation days Health & Life Insurance, Including Dental Care Interested applicants, please submit your recent photo and CV, stating qualifications, experience with current and expected salary. VIA APPLY NOW Wall Street English (Thailand) Co., Ltd. 2445/20, 22 Tararom Business Tower, 14th floor, New Petchaburi Road, Kwaeng Bangkapi, Khet Huai Khwang, Bangkok 10310 Thunchanok.w๑wallstreetenglish.in.th Tel. 082 537 7969",Education & Training
Purchasing Officer/เจ้าหน้าที่จัดซื้อ,"Regent's International School, Bangkok","Wang Thonglang, Bangkok",Other,Full time,,,"Purchasing Officer Job Descriptions and Responsibilities Responsibilities Liaison with teacher and stafff for the purchasing of learning resources Negotiate prices and discount terms Resolve problems regarding undelivered goods Coordinate with English teacher and suppliers Find the best supplier both locally and internationally Keep stock and control stock Communicate in English Qualifications Bachelor's degree in related field Strong Service Minded Good in written and spoken English Computer literacy in MS office and other software Ability to work well under pressure, high level of initiative and strong time management skills Please apply in writing with a covering letter and full CV with recent photo, how your experience matches the requirements of the vacancy and your expected salary.",Education & Training
