Job_Title,Company,Location,Job_Position,Job_Type,Salary Min,Salary Max,Job_Description,Tag
Process Engineer (Tire Product) Junior Staff,"Bridgestone Tire Manufacturing (Thailand) Co., Ltd.","Mueang Chonburi, Chon Buri",Mechanical Engineering,Full time,31000.0,35000.0,"Qualifications & experience Bachelor degree in Mechanical, Electrical, Chemical Engineering or Chemical Science or other related field Preferable to have experience 0- 3 years in Manufacturing field. Good command of both spoken and written in English Toeic >450 Can use Excel for summary & analysis Can use Powerpoint for summary&presentation Able to work under pressure, Enthusiastic, Fast learner, Good working as a team, Anlytical thinking, Probluem soving, Logical thinking Tasks & responsibilities Undertake the development and design of truck and bus tires. Enhance process capability within the tire assembly process. Implement measures to reduce waste and scrap in the tire assembly process. Engage in collaboration with the Bridgestone Asia Pacific technical center to innovate new products and enhance manufacturing processes at the plant. Benefits ค่าล่วงเวลา ค่าเช่าบ้าน เงินสนันสนุนค่าภาษา รถรับส่ง ข้าวเปล่าฟรี ค่ารักษาพยาบาลประกันกลุ่ม",Engineering
Sales Officer/เจ้าหน้าที่แผนกขาย,UNIPRES (THAILAND) COMPANY LIMITED,"Vadhana, Bangkok",Automotive Engineering,Full time,22000.0,26000.0,"Responsibilities : Making sale quotation as company price structure. Price compared with cost validate margin. Cost saving calculation as part structure changed. In-charge cooperate to CR activity with internal & external. Cost reduction progress report to Sales & Purchase Superior Updated & Download data and price input on internal system and customer systems. Other Presentation or report or document as superior assignment. Response to customer requirement, Survey, Submit document. Maintain relationship with customer for making of good satisfaction. Qualifications : Bachelor's degree in Industrial Engineering, Economics, Management Business Administration or other related fields 1 years’ experience in filed Sales or Purchase automotive business experience will be an advantage. Good command in English Good interpersonal and communication skills Good team player, highly organized and can work under pressure and time limit. Self-motivated and flexible good attitude. Good computer skills especially Excel, Word and Power Point Especially Excel Formula   A: Basic calculation SUM, Average, Count, Subtotal etc. B: Basic rearranged data V lookup and Pivot table function. Have knowledge of automotive body parts / the order system of Nissan will be advantage",Engineering
(Jr./Sr.) Quality Engineer- Pathumthani,"Fabrinet Co., Ltd.","Khlong Luang, Pathum Thani",Electrical/Electronic Engineering,Full time,40000.0,54999.0,"Responsibility : Plan, control, and ensure product and process quality in an ISO development and manufacturing environment in accordance with business system/quality principles; Conduct employee business system and quality training Assist with communication to customers on quality matters, Interface with customer quality representatives Drive product reductions proactively in the product development process Collect and analyze data to assess product and customer specific levels for improvement programs Work with Engineering and Production to handle non-conforming material, root cause analysis and mistake proofing Conduct periodic quality system and process audits to ensure conformance to processes and procedures Conduct/facilitate continuous improvement events ***Knowledge of Wire bond or Die bond will be advantage*** *** Urgently*** Qualification : Bachelor's degree or higher in Engineer field At least 3 years experience in Quality Engineer or related field. Manufacturer of Electronics for Automotive is preferable or SMT Process . Knowledge of  ISO 9001, IATF 16949 Requirement, Internal Audit, FMEA, APQP, PPAP, SPC, Control Plan, 8D, Acceptance Sampling Plan, Minitab and IPC-A-600 is prefer. Good command of English.We offer attractive compensation, benefits packages and career opportunities to the successful candidates. Interested applicants, please share your resumes in English via click ""Quick Apply"" Human Resources Department Fabrinet Company Limited Human Resources Department Fabrinet Company Limited 5/6 Moo 6 Soi Khunpra, Phaholyothin Road, Klongnung, Klongluang, Patumthani 12120, Thailand. Tel. (662) 524-9600 ext. 6471 Website : www.fabrinet.com [link removed]  [link removed]",Engineering
Technical Engineer,Berli Jucker Cellox Limited,"Bang Phli, Samut Prakan",Mechanical Engineering,Full time,,,"หน้าที่และความรับผิดชอบ วิจัย และพัฒนาปรับปรุงคุณภาพ และกระบวนการผลิตผลิตภัณฑ์ ให้ดี ยิ่งขึ้น ประสานงานในการพัฒนาผลิตภัณฑ์โดยร่วมมือทดลองกับพนักงานฝ่ายต่างๆที่เกี่ยวข้อง วิเคราะห์ข้อมูลที่เกี่ยวข้องกับกระบวนการผลิต สเปคสินค้า วิธีปฏิบัติงาน และวัตถุดิบเพื่อลดความสูญเสีย นำเสนอการพัฒนาสินค้าจากการศึกษานวัตกรรมใหม่ นำเสนอแนวทางลดต้นทุนโดยการปรับปรุงกระบวนการผลิต และแสวงหาผู้จัดหาใหม่ สรุปผลและวิเคราะห์ข้อมูลการผลิต สื่อสารผลการพัฒนากระบวนการผลิตและสินค้าให้ฝ่ายผลิตและผู้เกี่ยวข้องนำไปปฏิบัติได้อย่างถูกต้อง จัดทำจัดเก็บข้อมูลที่เกี่ยวข้องกับกระบวนการผลิตสินค้าใหม่ จัดทำเอกสารและรายงานต่าง ๆ ที่เกี่ยวข้องกับกระบวนการผลิตและงานด้านวิศวกรรม คุณสมบัติ วุฒิการศึกษา สาขา วิศวกรรมศาสตร์ และ ที่เกี่ยวข้อง มีประสบการร์ในการวางแผนการผลิตในโรงงานอุตสาหกรรม 1- 5 ปี มีความรู้ในระบบคุณภาพ เช่น ISO 9001, ISO 14001 ,ISO 45001, GMP, HACCP etc. มีทักษะในการใช้งานคอมพิวเตอร์ โดยเฉพาะ Microsoft Excel และ SAP เป็นอย่างดี อ่าน พูด และเขียนภาษาอังกฤษได้ดี มีทักษะในการคำนวณที่ดี มีมนุษยสัมพันธ์ และสามารถทำงานกับหน่วยงานที่เกี่ยวข้องรวมทั้งเจรจาต่อรองได้ดี สามารถวิเคราะห์ข้อมูลและแก้ไขปัญหาได้ดี สามารถลำดับความคิดเป็นขั้นตอนได้ดี มีความอดทนและรอบคอบในการปฏิบัติงาน ประจำที่โรงงานบางพลี ถนนบางนา-ตราด กม.19",Engineering
Engineer - Paint Material,"TOYOTA DAIHATSU ENGINEERING & MANUFACTURING CO., LTD.","Bang Bo, Samut Prakan",Mechanical Engineering,Full time,,,"Job Description : Paint/finishing design for Mass production vehicle New plant color development Localize material development Qualifications : Any gender ( Thai National only ) Age not over 32 years old Bachelor’s degree or higher in Automotive, Chemical, Industrial, Mechnical, Material Engineering and related field GPA not less than 2.5 Good command Thai and English communication (TOEIC score at least 600) 1-8 years of working experience in automotive material engineering field, paint/organic material technology would be an advantage. Experience in PowerBI, Macro, Powerautomate, Powerapp etc. Good analytical and problem-solving skills with teamwork Good attitude and willing to learn new things wtth self motivation Let us find you easier by apply on our website: https://www.toyota.co.th/career/career",Engineering
Process Engineer,Autoliv (Thailand) Ltd.,Chon Buri,Industrial Engineering,Full time,,,"Responsibilities :- •Responsible for standardized methods of working /planning in the process engineering within the MC. •Support APS (Autoliv Production System) implementation, active participation in APS workshop activity •Support the APDS process. •Responsible for process documentation preparation and revision (Flow chart, PFMEA, Control plan, work instruction) •Ensure new launch on time and within budget. •Responsible for process release and trial build •Responsible for new jig and fixture implementation •Support new line set up. Candidate Qualifications :- •Minimum bachelor degree or equivalent (Engineering related) •3-5 years work experience (Preferably Automotive) •Mechanical/ Electrical/ Manufacturing/ Industrial Engineering background •PLC preferable •Good English – Oral and Written •Good command in English both written and verbal (Minimum 550 TOEIC score). •Knowledge of lean manufacturing preferable. Please send your applications together with a comprehensive resume ,expected salary and resent photo to: HUMAN RESOURCES DEPARTMENT AUTOLIV (THAILAND) LTD.  . 700/415 Moo7 Tambon Donhualoh, Amphure Muang,Chonburi 20000 Tel. 038-456000 Fax. 038-456006 Contact Us : https://lin.ee/myWuOYp [link removed]",Engineering
R&D Process Engineer (Paper and Pulp),deSter Company Limited ,Prachin Buri,Mechanical Engineering,Full time,,,"Responsibilities Research and develop new sustainable materials and products which is business related develop requirements with help of Operations manager and HGS R&D team. Improve existing products manufacturing with better production efficiency and cost reduction and maximum levels of profitability for the company. Implements new process technology in terms of process and materials and products in line with expectations of company and guideline from operations Manager which is already in the pipeline. Initiative to find out new technics and materials to support the factory and overall deSter products range with proper coordinate actions together external supplier and internal team With cooperation with Operations Manager proposes and objectives for the new development and investment program in line with cost saving program implementation. Responsible to manage the project each time with proper time frame and target. Qualifications Bachelor or above in pulp and paper technology, engineering or related fields. Minimum 1 years of R&D experience in paper and pulp for Food packaging service industry. Strategy and leading the project. Good communication & Presentation skill. Different paper and pulp materials knowledge. Engineering and R&D skill. Word, Excel, PowerPoint. Good communication in English both orally and in writing with excellent communication. Working 5 days per week.",Engineering
Vehicle Design Engineer (TDEM Head Office: Bang Bo),"TOYOTA DAIHATSU ENGINEERING & MANUFACTURING CO., LTD.","Bang Bo, Samut Prakan",Industrial Engineering,Full time,,,"Job Description: Design and development of Upper Body and Chassis. Study for current model VA and warranty Support new business study Qualifications: Bachelor Degree in Engineering ( Automotive, Mechatronics, Aerospace, Mechinical ) or related field GPA not less than 2.50 [for engineer] Good command in English (TOEIC score at least 600 is a must ) Experience in CATIA would be an advantage Self-Motivation, Adaptive and Positive personality JP languages skill would be an advantage Let us find your resume easier: https://www.toyota.co.th/career/career",Engineering
Mechanical Engineer (Waste to Energy),Kaeng Khoi Power Generation Company Limited,Bangkok,Other,Full time,,,"Job Responsibilities: Design and develop mechanical components and systems for diverse power plant types (e.g., fossil fuel, nuclear, renewable). Analyze plant power generation requirements and perform mechanical load calculations. Review evaluates for selecting and specifying mechanical equipment for turbines, boilers, condensers, and auxiliary systems. Develop detailed mechanical drawings, layouts, and piping diagrams for construction and operation. Perform thermal analysis of power plant components, including heat transfer calculations and optimization. Review design and analyze fluid flow systems for water, steam, and other working fluids. Conduct piping stress analysis and ensure compliance with pressure vessel codes. Job Qualifications: Bachelor’s Degree or higher in Mechanical Engineering or a related field. At least 5 years’ experience in power plant design, electrical system engineering, or power system analysis. Strong understanding of power plant mechanical systems, including turbines, boilers, condensers, piping systems, and auxiliary equipment. Proficient in using mechanical engineering software tools (e.g., SolidWorks, Creo, ANSYS Fluent, Flow master). Experience with relevant mechanical engineering codes and standards (e.g., ASME Boiler and Pressure Vessel Code, ASME Piping Codes). Fluent in English verbal, written, computer, and technical communication and presentation skills, including proficiency in Microsoft Office. Experience in power generation, renewable energy, solar, hydropower, gas and infrastructure & utilities would be an advantage. Ability to travel/ work upcountry and abroad for unusual. Fluent in English both written and verbal (Minimum 750 TOEIC score) Goal–Oriented, Unity, Learning, Flexible.",Engineering
Procurement Engineer,"Sure Filter (Thailand) Co., Ltd.",Samut Sakhon,Other,Full time,20000.0,29999.0,"รายละเอียดงาน พัฒนาสินค้าตามที่ฝ่ายการตลาดของบริษัทต้องการ พัฒนาสินค้าร่วมกับวิศวกรของบริษัทแม่ ประสานงานกับ Supplier ต่างประเทศที่เกี่ยวกับอุปกรณ์หรือชิ้นส่วนสำหรับสินค้า ติดตามปัญหาเรื่องคุณภาพของผลิตภัณฑ์ร่วมกับวิศวกรคุณภาพ ติดต่อประสานงานกับลูกค้ากลุ่ม OE สำหรับการพัฒนาสินค้า จัดทำคู่มือการทำงาน Procedure,WI,Flow Chart การพัฒนาสินค้า ปฏิบัติงานตามนโยบายและคำสั่งของ GM",Engineering
Process Engineer / Manufacturing Engineer,Kimball Electronics (Thailand) Ltd.,Chon Buri,Process Engineering,Full time,,,"Responsibilities Support PCBA manufacturing process: Wave Soldering, Selective Wave Soldering, Conformal Coating, Ultrasonic Welding, Box Build, etc. Process & Yield improvement & optimization with using Six Sigma tools e.g. DOE or other statistical techniques. Provide technical expertise to support product Design For Manufacturing (DFM). Work with customer for technical items/issues. Prepare changes, additions and modifications which will facilitate manufacturing process. Design tooling, fixture e.g. Stencil, Wave Pallets, Assembly fixtures, etc. Prepare process validation document to customer. Create/maintain documentation (Process Flow FMEA, Control Plan & Work Instruction) to support production. Productivity Improvment Qualifications Bachelor's degree in engineering. 2-10 years’ experience in PCBA and Box Build process e.g. Wave soldering, Selective wave soldering, conformal coating, Ultrasonic Welding, Box build, etc. Experience in Plastic assembly, Mechanical Assembly, Box Build are advantage. Good attitude. Six Sigma knowledge is an advantage. Experience in Automotive & Medical Device requirement is an advantage Good command of both spoken and written English. Able to use Minitab. Able to work under pressure. Successful candidates will receive an attractive salary package commensurate with experience. Please send your application together with resume of career to date, present salary and recent photo with contact telephone number by clicking on ""Apply Now"" Human Resources Manager Kimball Electronics (Thailand) Ltd. 49/45 Moo 5 Laemchabang Industrial Estate, Sukhumvit Road., Thungsukla, Sriracha, Chonburi 20230 Tel. 0-3840-1566 Ext 151 Fax. 0-3840-1566 Ext 193 Visit us at Homepage : https://www.facebook.com/kimballelectronicsthailand [link removed] , http://www.kess.keint.com/scripts/index_global.asp (Only English Resume Required!) * All applications will be accepted by mail or attached in MS. Word or PDF only.",Engineering
Electrical Engineer (Solar Farm),Kaeng Khoi Power Generation Company Limited,Bangkok,Project Management,Full time,,,"Job Responsibilities: Technical discussion, negotiation, direction with Consultant/Contractor/Supplier and coordinate with internal other discipline. Review and Calculation Check various detailed design engineering deliverables (drawings and calculations of Solar BOP) with consideration of project schedule/budget, availability, reliability and performance of the Plant. Evaluate and selection of Major equipment and Solar /Solar+ battery Project performance. Review typical detailed installation and BOQ, Vendor document review and evaluation including specification/data, shop inspection and test procedure including witness test at Factory of Electrical Solar BOP equipment. Provide mitigation plan for engineering issue raised during construction and commissioning activities. Job Qualifications: Bachelor’s or higher in Electrical Engineering. Minimum 3 years’ experience in work experience on engineering firm (Renewable Project design would be advantage). Experience in Grid interconnection would be advantage. Ability to travel/ work upcountry and abroad. Fluent in English both written and verbal (Minimum 750 TOEIC score). Goal-Oriented, Unity, Learning, Flexible.",Engineering
Control & Instrument Engineer (Solar Farm),Kaeng Khoi Power Generation Company Limited,Bangkok,Maintenance,Full time,,,"Job Responsibilities: Technical discussion with Consultant/Contractor/Supplier and coordinate with internal other discipline. Review various detailed design deliverables on monitoring and control system for Solar PV, Battery Energy Storage System with consideration of project schedule/budget, availability, reliability and performance of the Plant. Review specification and review detailed design document including system architecture diagram, I/O points list, IP lists, logic diagram and HMI screen. Review typical detailed installation and BOQ. Vendor document review including specification/data configuration of PV controller, RTU and IT equipment including shop inspection, test procedure. Review software programming, testing and commissioning of PV controller including witness test at Factory. Provide mitigation plan for control engineering issue raised during construction and commissioning activities. Job Qualifications: Bachelor’s degree or higher in Control and Instrument Engineering, or related fields. Minimum 3 years’ experience in SCADA, PV controller, Engineering experience (preferable in Renewable Project would be advantage). Ability to travel/ work upcountry and abroad. Fluent in English both written and verbal (Minimum 750 TOEIC score). Goal-Oriented, Unity, Learning, Flexible.",Engineering
Control & Instrument Engineer (Waste to Energy),Kaeng Khoi Power Generation Company Limited,Bangkok,Systems Engineering,Full time,,,"Job Responsibilities: Technical discussion with Consultant/Contractor/Supplier and coordinate with internal other discipline. Review various detailed design deliverables on monitoring and control system for Solar PV, Battery Energy Storage System with consideration of project schedule/budget, availability, reliability and performance of the Plant. Review specification and Review detailed design document including system architecture diagram, I/O points list, IP lists, logic diagram and HMI screen. Review typical detailed installation and BOQ. Vendor document review including specification/data configuration of PV controller, RTU and IT equipment including shop inspection, test procedure. Review software programming, testing and commissioning of PV controller including witness test at Factory. Provide mitigation plan for control engineering issue raised during construction and commissioning activities. Job Qualifications: Bachelor’s degree or higher in Control and Instrument Engineering, or related fields. Minimum 3 years’ experience in SCADA, PV controller, Engineering experience (preferable in Renewable Project would be advantage). Ability to travel/ work upcountry and abroad. Fluent in English both written and verbal (Minimum 750 TOEIC score) Goal–Oriented, Unity, Learning, Flexible.",Engineering
Assistant maintenance manager/ผู้ช่วยผู้จัดการแผนกซ่อมบำรุง,บริษัท สแกน อินเตอร์ จำกัด (มหาชน),Pathum Thani,Environmental Engineering,Full time,30000.0,44999.0,"Job Description: Manage, inspect and analyze operation maintenance natural gas station maintenance (Preventive Maintenance) to ensure that the system meets legal safety requirements. Respond to maintenance, fees, and contract renewals for existing customers. Manage and control process of gas filling at the mother station. Checking used parts and inventory parts. Sending gas consumption data to customers. Qualification: Bachelor's degree or Higher in Engineering or related field. At least 2 years' experience in Maintenance Engineer or related. Experience in industry energy (Gas) is an advantage. Responsible and can work under pressure well. Good presentation, communication, negotiation and interpersonal skills. Good command of verbal and written in English. Have a driver's license. Work Location :  บริษัท เครือข่ายก๊าซ ไทย ญี่ปุ่น จำกัด สถานีก๊าซธรรมชาติหลักเอกชน (สามโคก) ต. บางกระบือ อ.สามโคก จ.ปทุมธานี https://maps.app.goo.gl/UyeoEcRJXBiwwTwg9 Working Day: 6 Days per week",Engineering
Electrical Engineer (Waste to Energy),Kaeng Khoi Power Generation Company Limited,Bangkok,Electrical/Electronic Engineering,Full time,,,"Job Responsibilities: Analyze plant power generation requirements and perform electrical load calculations. Review design for select and specify electrical equipment for generators, transformers, switchgear, and control systems. Develop detailed electrical schematics, layouts, and single-line diagrams for construction and operation. Review design load flow and short-circuit studies to optimize power plant performance and stability. Review design and coordinate protective relay settings for various power plant components. Analyze fault currents and conduct time-current coordination studies to ensure selective tripping of relays. Collaborate effectively with other engineers, and project managers to ensure project success. Job Qualifications: Bachelor’s Degree or higher in Electrical Engineering or a related field. At least 5 years’ experience in power plant design, electrical system engineering, or power system analysis. Strong understanding of power plant electrical systems, including generators, transformers, switchgear, and control systems. Proficient in using electrical engineering software tools (e.g., ETAP, Power World, AutoCAD). Experience with relevant electrical codes and standards (e.g., IEC, IEEE Standards, National Electrical Code) Fluent in English verbal, written, computer, and technical communication and presentation skills, including proficiency in Microsoft Office. Experience in power generation, renewable energy, solar, hydropower, gas and infrastructure & utilities would be an advantage. Ability to travel/ work upcountry and abroad for unusual. Fluent in English both written and verbal (Minimum 750 TOEIC score). Goal–Oriented, Unity, Learning, Flexible.",Engineering
Electrical Engineer (Solar PV system)/วิศวกรไฟฟ้า,"PRIME POWER CONSTRUCTION CO., LTD.","Pak Kret, Nonthaburi",Environmental Engineering,Full time,,,"ออกแบบงานระบบไฟฟ้า ระบบผลิตไฟฟ้าจากพลังงานแสงอาทิตย์ Solar Cell จัดทำตารางปริมาณงาน ปริมาณวัสดุสำหรับเสนอราคา (BOM) จัดทำ Proposal เพื่อเสนอโครงการ สำรวจพื้นที่โครงการ และนำเสนอโครงการได้ สามารถสำรวจพื้นที่โครงการ โซนปริมณฑล หรือ ต่างจังหวัดได้ คุณสมบัติผู้สมัคร จบปริญญาตรี – ปริญญาโท วิศวกรรมไฟฟ้า สาขาไฟฟ้ากำลัง หรือที่เกี่ยวข้อง มีพื้นฐานความรู้ด้านวิศวกรรม และมีความเข้าใจในมาตราฐานทางด้านวิศวกรรมไฟฟ้า เป็นอย่างดี มีความรู้ ความเข้าใจในออกแบบ และคำนวณระบบไฟฟ้าระดับ Low Voltage, Medium Voltage and High Voltage และระบบผลิตไฟฟ้าจากพลังงานแสงอาทิตย์ ซึ่งเป็นระบบไฟฟ้ากระแสตรง (DC) เป็นอย่างดี มีประสบการณ์ด้านการออกแบบ ระบบผลิตไฟฟ้าจากพลังงานแสงอาทิตย์ จะพิจารณาเป็นพิเศษ สามารถเดินทางออกไปสำรวจ โครงการ หรือ ไซต์งานต่างจังหวัดได้ มีความละเอียดรอบคอบ กระตือรือร้น มุ่งมั่น และใฝ่รู้ในงาน สามารถทำงานในสภาวะกดดันเเละทำงานเป็นทีมได้ ขับรถยนต์ได้ และมีใบอนุญาตขับขี่ ยืดหยุ่นในการทำงาน มีมนุษยสัมพันธ์ที่ดี และเข้ากับผู้อื่นได้",Engineering
