Job_Title,Company,Location,Job_Position,Job_Type,Salary Min,Salary Max,Job_Description,Tag
นักวิชาการสาธารณสุข,Central Medic Clinic Ratchada,"Din Daeng, Bangkok","Nursing - Midwifery, Neo-Natal, SCN & NICU",Full time,,,"เซ็นทรัลเมดิก คลินิก กําลังมองหาตําแหน่งงานนักวิชาการสาธารรสุขจํานวน 1 คน เพื่อมาช่วยงานด้านบริการของ เซ็นทรัลเมดิก คลินิกเวชกรรม สาขาดินแดง ซึ่งเป็นสาขาหนึ่งของเซ็นทรัลเมดิก คลินิก ที่มีความเชี่ยวชาญด้านเวชกรรม ผู้สมัครที่ได้รับคัดเลือกจะได้รับ ประกันสังคม ,ค่าทํางานล่วงเวลา สวัสดิการอื่นๆ และมีโอกาสเติบโตในหน้าที่การงาน รายละเอียดงาน • ส่งเสริมสุขภาพและการสุขาภิบาล เช่น การส่งเสริมสุขภาพ การเฝ้าระวังโรค การปฏิบัติงานด้านสุขาภิบาลและการกําหนดมาตรฐานงานสุขาภิบาล การควบคุม ป้องกันโรคและภัยสุขภาพ • พัฒนาองค์ความรู้คุณภาพมาตรฐานเกี่ยวกับงานด้านสาธารณสุข และระบบบริการสุขภาพ • ให้บริการเยี่ยมบ้านตรวจสุขภาพร่างกาย แนะนําช่วยเหลือ ส่งเสริม สุขภาพอนามัยแก่ผู้รับบริการในพื้นที่รับผิดชอบ • รับผิดชอบงานอื่นๆ ตามที่ได้รับมอบหมาย คุณสมบัติ • อายุ 25 - 35 ปี • จบการศึกษาในระดับปริญญาตรีสาขาสาธารณสุขศาสตร์ • สามารถสื่อสารได้อย่างคล่องแคล่ว • มีประสบการณ์ทํางาน เป็นเวลา 0-1 ปีขึ้นไป • สามารถทํางานในวันหยุดสุดสัปดาห์ได้ • สามารถใช้คอมพิวเตอร์ได้ • บุคลิกภาพดีและมนุษยสัมพันธ์ดี",Healthcare & Medical
Lead Medical & Scientific Project Specialist I (Healthcare),"Clinixir Co., Ltd.",Bangkok,Pharmaceuticals & Medical Devices,Full time,,,"The biggest opportunity in the first research organization by Thai startups. 🌈 Clinixir looking for outstanding candidates to be a part in building and driving CRO to grow globally. Responsibilities · Lead cross-functional project teams by developing, maintaining, and executing project plans, timelines, and milestones. · Ensure adherence to project objectives and timelines, coordinating activities among team members and stakeholders. · Collaborate with pharmaceutical and government clients to comprehend project requirements and expectations. · Provide regular updates and reports on project progress, acting as the primary point of contact for client inquiries. · Oversee Medical Affairs projects, focusing on coordination and facilitation rather than direct task execution. · Collaborate with medical professionals to uphold scientific rigor and integrity in project deliverables. · Work closely with biostatisticians and data management teams to ensure appropriate study design and execution. · Provide coordination and oversight to maintain data quality, accuracy, and integrity without direct involvement in data tasks. · Oversee and conduct Pharmacovigilance activities, including the monitoring and reporting of adverse events. · Ensure compliance with regulatory requirements in safety reporting without direct involvement in reporting processes. · Identify potential risks in project execution and develop strategies for mitigation. · Coordinate risk management efforts without direct engagement in risk resolution tasks. Qualifications · Bachelor’s degrees in pharmaceutical science, Health science, medical science or related fields are preferable (Health Science Degree. PharmD is minimum). · Over 4 years of proven experience in project management and comparable within a CRO or pharmaceutical setting. · Strong understanding of medical science and real-world evidence methodologies. · Excellent communication and interpersonal skills for effective client and team engagement. · Leadership experience with a track record of successful team management. Familiarity with regulatory requirements and quality standards in the pharmaceutical industry Experience working in the pharmaceutical, CRO or healthcare industry is advantageous. Good Benefit Annual Leave 15 days Birthday Leave 1 day Medical Insurance ** Hybrid work & Flexible working Hour** Clinixir Office, 173/18 Asia Centre Building (BTS Chongnonsi)",Healthcare & Medical
Sales Supervisor (Northeast)/หัวหน้าทีมขาย (ภาคตะวันออกเฉียงเหนือ),IDS Medical Systems (Thailand) Company Ltd.,Northeastern Region,Sales,Full time,,,"Job Responsibilities Supervise, Training, motivating subordinates as Senior Sales Representative to make a team to achieve Sales target. Develop Sales in the assigned area. Summarized work information, Sales Prospect as well as coordinate with Product Managers. Responsible for building and managing the relationship with an assigned set of customers in order to achieve the goals and objectives identified by the company and meeting / exceeding sales target. Ensures that customers have a positive experience; commits to meet or exceed customer expectations. Actively developing new account relationships in the Zone / Area to enhance customer penetration. Proactively identify opportunities/new sales lead, understand customer requirements, prepare quotation, follow up and monitor closely to win deals. Apply SPARKS methodology meticulously and timely input and update status of all leads in SPARKS app. Provide timely support to ensure high level of customer satisfaction. Provide customer’s credit and payment data to manage purchase orders. Work closely with Product Management team to organize product demo and facilitate customer training. Prepare regular reports, call plans, customer visit schedule as required by team Manager. Occasional weekend and evening trade show and/or meeting participation are a must. Submit any required administrative paperwork in a timely manner. Proactively learning features of new products and understand new service offering developed by the Company. Any other duties and responsibilities as and when assigned by immediate superior or management. Work Experience & Qualification Candidates must possess at least a Degree in Biomedical or equivalents. At least 4-6 year working experience in Sales & Marketing role in the Healthcare industry or Biomedical Engineering field. Able to travel outstation or oversea when required. Possess own transport. Experienced in Medical Consumable Products Benefits Competitive salary based on experience A fixed 13th month bonus (pro-rated where appropriate) Annual performance based bonus 15 days annual leave Medical insurance Provident Fund Long Service Award Transport Allowance, Fleet Card Communication Allowance Work with a great team Insurance: Group Term Life, Personal Accident Travel: For overseas business travel. Covers luggage/cash/documents loss/medical coverage and repatriation Health focused office environment Annual company trips, and frequent company events Because we cultivate intelligence and learning culture that help you grow beyond potentials.",Healthcare & Medical
Senior Quality Assurance Specialist,Fresenius Medical Care Ltd.,Bangkok,Pharmaceuticals & Medical Devices,Full time,,,"Goal of function: The Senior Quality Assurance (QA) Specialist is responsible for maintaining quality operations and systems compliant to applicable local and global regulations and FME internal requirements to ensure product safety, quality and customer satisfaction. Duties include maintaining the Quality Management System (QMS), oversight of product supply, warehousing, distribution and service providers, vigilance of Post Market Surveillance activity and liaising with Supply Chain Management (SCM), Regulatory Affairs and Commercial partners to support local business activities. Job Responsibilities: Maintain the Quality Management System and associated documentation in accordance with local standards and regulations, FME internal requirements and Global quality management system. Responsible for vigilance of Post Market activity of products supplied to market including handling of device complaints and non-conforming product, product recalls/FSCAs, QA product hold & release for sale in accordance with local regulations and FME internal requirements. Primary contact as Quality Responsible Person for quality related events such as recalls/FSCAs including coordination & implementation of recall/mock recall in accordance with FME requirements and local regulations. Primary contact as Quality Responsible Person for QMS related audits by local regulator and other applicable regulatory bodies. Responsible for ensuring contract manufacturer’s, OEM, 3PL, suppliers/service providers are qualified, onboarded and comply to local regulations, applicable global quality standards (e.g. ISO13485, GMP, GDP) and FME internal requirements, including receipt, storage, handling, redressing and distribution of FME compliant product. Maintain GDPMDS, GDP and associated documentation in accordance with applicable local regulations and FME internal requirements. Perform QMS/GMP/GDP/GDPMDS audits and CAPA follow up of contract manufacturers, 3PL, OEMs, suppliers as required locally and associated territories as required to ensure compliance with applicable regulations and in country requirements. Escalate quality issues potentially impacting the business, commercial activity and local QMS to Manager and regional QMR leads where required. Provide QMS training across the business. Liaise with local authorities (TFDA, MOPH, etc.) on regulation updates and QMS related changes likely to impact commercial activity and the local business. Work across CMLT sub-cluster (Cambodia, Myanmar, Laos) affiliates as in country (Thailand) Quality Responsible Person and participate in regional quality meetings and initiatives. Provide knowledge and assistance as QMS Auditor to sub-cluster (Cambodia, Myanmar, Laos) affiliates as requested. Work across Regulatory Affairs team. Liaise with local technical and advocacy associations and organizations such THAIMED, PREMA, etc. as a FME representative on quality related matters. Act as Pharmacist on Duty as required according to Drug Act B.E. 2510 (A.C 1967) & in liaison with Regulatory Affairs team. Miscellaneous tasks: Assist the QRA Manager with other sub-cluster (Cambodia, Myanmar, Laos) affiliates related tasks as assigned. Business Interface Management (SC Ops, SysQaRa team, M&SC team, 3PL, OEM, suppliers, country organization) Job Qualifications: Bachelor of Pharmacy with Pharmacist license. Minimum of 5 years in quality assurance with solid knowledge in regulations and applicable standards to pharmaceutical/medical device industry. GDP responsible person experience preferred but not essential. Quality Assurance in pharmaceutical/medical device industry such as GMP, GDP & GDPMDS, ISO 9001 & ISO 13485. English literacy and communication Important personal qualities: Good interpersonal communication skills and understanding of cultural differences in communication Strong analytical and problem solving skills Strong time management skills and attention to detail Business acumen & proactive spirit to continuously improve Quality Operations and productivity Collaborative and a team player across internal and external teams Ability to train and coach others. IT skills: MS Office suite of software & Adobe Professional Document control, complaint handling & SCM software including QDOK/Windchill, Trackwise systems, SAP and interfaces for SCM (receipt, warehousing/storage/distribution control) Fresenius Medical Care Ltd. 62 The Millennia Building, Room no. 2401-2403, 24 th Floor, Langsuan Road, Lumpini, Pathumwan, Bangkok 10330 Tel 02 650-5355 ext. 403",Healthcare & Medical
Medical Physicist (นักฟิสิกส์การแพทย์) (สถานที่ : โรงพยาบาลกรุงเทพสิริโรจน์),Bangkok Dusit Medical Services Public Company Limited,Phuket,Medical Specialists,Full time,,,"Responsibilities: ปฏิบัติงานการวางแผนการรักษาด้วยรังสีร่วมกับรังสีแพทย์ ปฏิบัติงานการตรวจสอบความถูกต้องของปริมาณรังสีและเครื่องมือทางรังสีรักษา ตรวจสอบความปลอดภัยจากรังสีของหน่วยงานและหน่วยงานอื่นเพื่อให้ผู้รับบริการรักษาด้วยรังสีให้ได้รับความปลอดภัยจากรังสี ประสานงานและรับผิดชอบเรื่องการขอใบอนุญาตสำหรับสถานประกอบการด้านรังสีรักษาตามที่กฎหมายกำหนดและมาตรฐานคุณภาพตามที่กำหนด Qualifications: วุฒิ ป.โท สาขาฟิสิกส์การแพทย์ มีใบอนุญาตประกอบโรคศิลปะ มีประสบการณ์ทำงานอย่างน้อย 2 ปีขึ้นไป มีใบอนุญาตเป็นเจ้าหน้าที่ความปลอดภัยทางรังสี (RSO) ระดับสูง จะพิจารณาเป็นพิเศษ Interested applicants are invited to write in with full resume, stating present and expected salaries, and enclosing a recent photograph to the address below: Bangkok Dusit Medical Services PCL. Corporate HR Division 2 Soi Soonvijai 7, New Petchburi Rd., Bangkapi, Huaykwang Bangkok 10320 Tel: 076-361-888 Ext.2228 Please see the company information as http://www.bdms.co.th",Healthcare & Medical
MEDICAL SALES EXECUTIVE / PRODUCT SPECIALIST (Medical Device - BANGKOK)...,"BEAMED CO., LTD.","Sathon, Bangkok",Pharmaceuticals & Medical Devices,Full time,,,"Main responsibilities :- Execute and develop sales strategic plans as per KPI to achieve sales targets and company objectives. Manage the sales and customer relationship in a modern and partnership oriented way. Prepare regular sales reports and analyses. Use data-driven insights to evaluate customers and competitors in order to implement the suitable sales strategy. Search and stay updated with market trends, product knowledges, competitors activities, customer activities, customer’s persona and share to sales team. Collaborate with cross-functional teams to support or improve sales initiatives and customer needs. Qualifications:- Bachelor’s degree in Physical Therapy, Nurse,  Biomedical Engineering or any related fields. At least 3 years sales experience in the field of Physiotherapy, Dermatology/Plastic Surgery or Medical fields will be preferably. Service-minded, Excellent communication and negotiation skills, team player and hard working. Excellent command of English and computer literacy. Own transportation is essential. An attractive remuneration package and fringe benefit such as overseas training will be offered. This is an excellent opportunity to be part of a dynamic teamwork on complex and rewarding business initiatives. Salary is negotiable based on qualifications and abilities.  Only short-listed candidates will be contacted for interview.  Interested persons, please send application with resume, current and expected salary, contact phone number and recent photo to the company by e-mail as below:Beamed Co., Ltd [link removed] . Contact person : K. Kesinee Nanthakosilpkul 43 Thai CC Tower, Room 274, 27th Floor, South Sathorn Road, Yannawa, Sathorn, Bangkok 10120 Tel.: 02-673-9750 Ext.13 www.beamed.co.th",Healthcare & Medical
เภสัชกร,"Bangpakok Hospital Group Co., Ltd.","Chom Thong, Bangkok",Pharmaceuticals & Medical Devices,Full time,,,งานตามสายวิชาชีพ - จ่ายยาผู้ป่วยนอกและผู้ป่วยใน - ควบคุมติดตามผลการใช้ยา - ให้คำปรึกษาและคำแนะนำเกี่ยวกับการใช้ยาในผู้ป่วยมะเร็ง - งานผสมยาเคมีบำบัดให้กับผู้ป่วยเฉพาะราย งานด้านวิชาการ - งานให้บริการด้านเภสัชสนเทศ - งานฝึกอบรมและพัฒนา - งานพัฒนาคุณภาพและวิจัยทางเภสัชกรรม งานอื่น ๆ ตามที่ได้รับมอบหมาย - วางแผนการจัดซื้อยาให้เป็นไปตามงบประมาณ และจัดซื้อยาได้ถูกต้องตามระเบียบโรงพยาบาล กำกับดูแลการตรวจรับยาจากการจัดซื้อให้ถูกต้อง - ประเมินสถานการณ์การใช้ยาในโรงพยาบาล ประสานงานกับคลังและจัดซื้อเพื่อจัดเตรียมให้มียาสำรองในปริมาณเพียงพอ และเหมาะสม - กำกับดูแลผู้ช่วยเภสัชกรให้ดำเนินการจัดเก็บยาในแผนกให้ถูกต้องตามคุณสมบัติยาแต่ละชนิด เพื่อป้องกันปัญหายาเสื่อมหรือหมดอายุ - มีความรู้เกี่ยวกับระบบบัญชียาแห่งชาตินโยบายการใช้ยาในโรงพยาบาลเพื่อควบคุม กำกับ การใช้ยาในโรงพยาบาลให้ถูกต้องตามระเบียบและส่งเสริมการใช้ยาอย่างสมเหตุสมผล - ดำเนินการตามขั้นตอนของโรงพยาบาลกรณีแพทย์สั่งใช้ยานอกบัญชียาโรงพยาบาลเพื่อให้ผู้ป่วยได้รับยาที่จำเป็นอย่างทันท่วงที,Healthcare & Medical
School Nurse,NIST International School,"Vadhana, Bangkok",Nursing - General Medical & Surgical,Full time,,,"Job Summary This role will be responsible for providing health services to students and staff at school. The School Nurse will ensure the best possible medical care is available on an emergency care basis. Responsibilities Assists in the daily operation of the nurse offices Provides nursing care and health advice to students and staff including dispensing medications according to parental request and assessing students to be sent home or to a medical facility due to illness or injury. Ensuring the best possible medical care is available to students and staff on an immediate and an emergency care basis. Be available past normal working hours to bring students or staff to the emergency room, if necessary Notifies parents in cases that are beyond basic illness or injury Be aware of students with communicate disease and inform Head Nurse or Senior Nurse to provide standard notification to the relevant parties for sending to parents of other students in the class Assist to maintain the operational status of the nursing offices, ensuring adequate supplies including first aid kits for use in and away from school, availability of current and proper medications, cleanliness, and monitoring equipment for proper function Works together with others members of school’s Support Services Team Maintain a record of students’ visits to the nurse offices and dispensed medication in the school’s database program Accompanies students on day trips and overnight field trips as request Encourages the maintenance of good health and well-being amongst the school community, providing information as needed and requested Supervises the work, delegate functions and schedule shifts of part time nurses Assists the Head Nurse and Senior Nurse in all areas In the case of the absence of the Head Nurse or Senior Nurse deputies in in charge position for short periods Attends professional development courses to ensure the most up to date knowledge and practice is being used Rotate on duty at the main nurses’ office, playground nurses’ office and offsite as assigned Assists coordinate with the corporate team of the hospital in case sending the students injured cases to the hospital and require using the school insurance Assist to follow up the student with illness or injury cases who was sent or admitted to the hospital and report to all concerned, if requested Qualification Bachelor’s degree in Nursing Science Having a valid Registered Nurse License 3 - 5 years experience in nursing field Good command in English communication skills A team player with excellent communication and interpersonal skills Willing to work additional hours where needed in case of event Service Minded and Able to work under pressure",Healthcare & Medical
Product Manager or Assistant Product Manager,"ADI Resourcing Co., Ltd.","Phra Khanong, Bangkok",Pharmaceuticals & Medical Devices,Full time,90000.0,119999.0,"Position : Product Manager/ Asst Product Manager Work Location : Phrakhanong, Bangkok 10260, Thailand Salary/Budget : Up to 120K/Month (Excluding Incentive) Working days and hours – 5 working days/ 9 to 6 (with flexi hours :1 Hrs) Direct reporting structure – Country Manager Work Mode : 100% onsite at office Key Responsibilities: To develop and implement the product strategy to ensure the achievement of objectives in accordance with the plan. To deep understanding of the brand, the specialty care industry, how to effectively engage HCPs, and identify market opportunities for the product. To lead and collaborate with other functions to ensure new product launch excellence and to drive cross functional alignment. To monitor, analyze, and evaluate product performance and customers’ feedback to generate new product ideas, to meet customers’ needs and unmet needs. To work with Medical Affairs and Training Managers to ensure sales team are capable to execute case-based approach and other specialty care skill set. To execute Multi Channel Marketing (MCM) as part of better sales force effectiveness and HCPs’ engagement. Manages product portfolio and contributes to the implement of marketing strategies towards both new and existing products Organizes and plans marketing activities including launching new product, promotion, or communication aspects to raise brand awareness and leverage sales Assists in the preparation of pricing strategy and handles issues related to product specifications, quality and delivery schedule Involves in planning and execution of products and business-related events and training Identifies market requirements for current and future products by conducting market research/competitive analysis (including trend awareness, price points, new product concepts, global packaging, etc.) Arranges special events e.g. seminar, booth exhibition for making understanding about drug information to customer. Provides product knowledge consultation, product presentation and product training to customer and sales team. Builds and maintains good relations with opinion leader and key customer. Supports sales team to achieve sales target. Qualifications: Graduated in Pharmacy Plus MBA would be an advantage. At least 3-4 years of experience in pharmaceutical experience in Generic Industry. Specifically in Neurology, Psychiatric and Cardiology segment Impressive good communication and interpersonal skill Experience to leverage Have strong leadership and people management skill. Able to work independently with result-oriented and collaborate effectively. Equally strong is strategic thinking and product management. Strong execution of work and proven collaborative working (Internal & External stakeholders) for results. Benefits & Allowances : Annual leave policy – 13 Leave + 17 Holiday List Business leave policy – N/A Insurance Incentive Health checkup Mobile allowance Fleet card",Healthcare & Medical
R&D Pharmacist (Manager / Supervisor / Senior Officer / Officer)...,"A.N.B. Laboratories Co., Ltd.","Khan Na Yao, Bangkok",Pharmaceuticals & Medical Devices,Full time,,,"Responsible for all activities of product and process development to meet customer needs and company goals. Develop new products to meet the needs of customers. Planning trials on new products. Summary of reports, analysis of experimental results. Prepare product specifications and standards for each product accordingly. Take care and be responsible for the regulation of new raw materials Coordinate with other relevant departments and participate in the pre-production and production line trial to ensure product quality. Management of ingredient preparation which is the raw material that the RD department controls enough for the experiment Solving problems and finding solutions to develop new products to increase customer satisfaction. Qualification Bachelor’s degree in Pharmaceutical Sciences Experienced in drug research and development Able to communicate and coordinate well",Healthcare & Medical
