Job_Title,Company,Location,Job_Position,Job_Type,Salary Min,Salary Max,Job_Description,Tag
Bar Back @ Blue By Alain Ducasse [ICONSIAM],"Siam Paragon Development Co., Ltd.","Khlong San, Bangkok",Bar & Beverage Staff,Full time,,,"SUMMARY: As Sommelier for Blue by Alain Ducasse, you will be responsible for the wine service in a section working closely with the Management and waiters. You will enhance the guest experience by providing exceptional service and be knowledgeable in all aspects of the menu and Alain Ducasse’s philosophy imparting this to both. PRIMARY RESPONSIBILITIES: As Barback for Blue by Alain Ducasse, you will be responsible for the drinks service for the restaurant and lounge. You will be supervised by the Sommelier and Wine Director. You will enhance the guest experience by providing exceptional service and be knowledgeable in all aspects of the drinks menu and Alain Ducasse- s philosophy imparting this to both customers and staff. To maintain bar floor standard operating procedures To ensure a high level of customer satisfaction To ensure the beverage service practices adhere to the Alain Ducasse philosophy To prepare correct drinks ordered according to recipes and quality standard To maintain a clean beverage service area, cleaning of materials, surfaces, glassware & chinaware Assisting in the deliveries and bar maintenance Ensure open/close duties are performed to the required standard To maintain the highest standards of personal hygiene, dress and punctuality To maintain stock levels which are appropriate in order to deliver the highest levels of service To maintain proper dining-room etiquette and operations of the partner To communicate with superiors regarding any changes or problems with service To ensure the alcohol policies are followed through Other duties as assigned by superiors QUALIFICATIONS: Thai nationality Previous experience in similar establishment (same standing) 1 - 2 years Customer care skills Attention to detail Ability to work under pressure Autonomy & initiative Ability to handle a complex and multi-faceted role Fluent in English Motivational skill Efficient & Creative Beverage knowledge (wine, spirit, cocktail, coffee, tea, water) Legal obligation (Alcohol licensee) Conversational English Interested person may send your resume and a copy of transcript of Records via APPLY NOW or address below: Phone: 084-438-3279 (K.Pilailak)",Hospitality & Tourism
Food & Beverage Manager,"Sala Phuket Co., Ltd.",Phuket,Management,Full time,,,"Qualifications & experience Excellent communication skills and leadership qualities. Creative analysis for all events, functions. Able to work on a flexible schedule including evenings and weekends. Experience minimum 5 year in a similar role. Tasks & responsibilities Supervise the function of all Food& Beverage employees ,facilities ,outlets ,sales and costs to ensure maximum departmental profit is achieved Co-ordinate and supervise the preparation, presentation and service of food & beverage products to ensure highest quality at all times. Supervise and co-ordinate pricing and preparation of menus, beverage and wine lists. Prepare and submit to the General Manger monthly report as defined in the Food& Beverage operations manual. Keep aware of trend, system, practice and equipment in food & beverage preparation and service in the Hotel and restaurant field through trade literature and actual vests. Benefits Housing Allowance Service Charge Public Holiday 16 days. Group Insurance Staff Uniform Annual Vacation Staff Transportation",Hospitality & Tourism
Customer Service (English Speaking) - Hotel/Airline,"transcosmos (Thailand) Co., Ltd.","Din Daeng, Bangkok",Travel Agents/Consultants,Contract/Temp,20000.0,24999.0,"Responsibilities: Manage any issue/cases from hotels/partners directly and find solutions Handle inquiries/complaints of customers from many channels Coordinate with partners for voucher/ticket/transportation issues Other as assigned Skills/Qualifications: Bachelor degree in any fields Experience in Customer Service field with Hotel/Airline business is a must Good Communication in English TOEIC is above 500 (Required) Computer literacy and good in Microsoft office Be honest, service mind and good interpersonal skill Can start working immediately Compensation and Benefits: Attractive salary Social Security, Group Insurance Good environment and Good employee relations Location / Working day - time Place: Near MRT Rama 9 Working day: 5 days per week with 2 days off Time: Rotating shifts (24/7) earliest shift is 7AM and last shift finish at 11PM+ night shift 10PM-7 AM Please submit your English resume, recent photograph and expect salary by ""Apply Now""",Hospitality & Tourism
Reservation Executive (Bangkok),"Khiri Travel Co., Ltd.","Mueang Nonthaburi, Nonthaburi",Management,Full time,20000.0,24999.0,"Join a dynamic team Creativity and a genuine passion for responsible travel are at the core of all we do at Khiri Travel. We’re real specialists in each of our destinations, living up to our reputation, we share our passion for discovery. We love what we do and that shows in the team spirit. Dream destinations are our place of work, and we take it as our responsibility to care for and ensure they remain fabulous to visit for generations to come. We truly believe tourism can be a force for good. Position: Reservation Executive Reporting to: Reservation Manager, Khiri Travel Thailand Key Responsibilities: Managing supplier reservations Managing supplier data entry Meticulously updating client files, booth online and hard copies. Coordinating efforts with Sales, Flight Reservations and Assignment Departments Use Khiri IT systems as per instructions, consistently and precisely Translate your passion for “destination Thailand” in all your communications Taking pride in managing efficient work Who are we looking for Thai National Bachelor degree, preferably in Tourism, Business or Communications At least 2 years’ work experience in Tourism or Hospitality Open to learn new systems Good English communication skills, in particular in writing Positive attitude and sincere desire to learn on the job Responsible team player What we offer Full time, 5 days a week, with flexible scheduling (office is open 6 days a week and open on public holidays) Based at our Nonthaburi office, close to MRT Purple Line A friendly and outgoing team, that celebrates successes frequently Career advancement opportunities in the Khiri Travel Thailand organization 12 holidays per year, additional days for each year of employment to a maximum of 16 holidays per year Annual discretionary bonus",Hospitality & Tourism
Customer Care Professional,"American Express (Thai) Co., Ltd.","Phaya Thai, Bangkok",Travel Agents/Consultants,Full time,,,"You Lead the Way. We’ve Got Your Back. With the right backing, people and businesses have the power to progress in incredible ways. When you join Team Amex, you become part of a global and diverse community of colleagues with an unwavering commitment to back our customers, communities and each other. Here, you’ll learn and grow as we help you create a career journey that’s unique and meaningful to you with benefits, programs, and flexibility that support you personally and professionally. At American Express, you’ll be recognized for your contributions, leadership, and impact—every colleague has the opportunity to share in the company’s success. Together, we’ll win as a team, striving to uphold our company values [link removed] and powerful backing promise to provide the world’s best customer experience every day. And we’ll do it with the utmost integrity, and in an environment where everyone is seen, heard and feels like they belong. Join Team Amex and let's lead the way together. How will you make an impact in this role? Deliver world-class customer service, while responding to Customer inquiries and concerns via telephone call channel Build meaningful relationships with our Customers through a consultative approach, understanding their current and future needs, providing first contact resolution and negotiating a positive outcome for the Customer and American Express Enhance our customers’ experience by identifying opportunities to offer products based on our Cardmembers’ needs Meet and exceed quality goals, compliance regulations and productivity targets Navigate computer systems and applications to service our Customers, and enable them to get the most from our online and mobile platforms Document necessary information, such as payment details, Customers change of details, change of address and travel notifications Re-prioritize and adapt to an ever-changing environment Preferred Skills: Unique career journey shaped by your talent and curiosity Demonstrate personal excellence by remaining positive in difficult situations Display a passion to serve by delivering outstanding service in every interaction with our Customers The ability and resilience to work in a fast-paced and dynamic environment as well as multitask, using multiple systems and digital tools to service our Customers Strong interpersonal, communication, verbal and written skills Assertiveness to handle difficult conversations Excellent negotiation, influencing and resourcefulness skills Critical, analytical and forward thinking with problem-solving skills, and strong attention to detail Confidence to work in a different environment e.g. actual and virtual Minimum Qualifications At least 2 years of customer service experience in a contact center environment with a passion for building customer loyalty through exceptional listening, relationship building, and strong written and verbal communication Ability to work in a fast paced metric driven environment with proficient multitasking and navigation Demonstrated consultative experience, ability to influence, resourceful Creative problem-solving, eager to find customized solutions Experience in banking/financial services a plus Bachelor’s degree, associate’s degree and college undergrads may apply Additional Details: We are now working in hybrid model and may be adjusted at anytime. The training is required to be onsite. Workplace Flexibility: Full time. Shift flexibility requirements American Express offers a fantastic and diverse working environment. High performance is rewarded with target driven incentives Offer of employment with American Express is conditioned upon the successful completion of a background verification check, subject to applicable laws and regulations Work From Home Requirements: Must have at least 25MBPS internet connection plan / speed Must have a private & quiet area to work at home Offer of employment with American Express is conditioned upon the successful completion of a background verification check, subject to applicable laws and regulations.",Hospitality & Tourism
Travel Planner Executive (Product Coordinator),East West Siam Holidays (ATH) Ltd.,"Khlong Toei, Bangkok",Travel Agents/Consultants,Full time,25000.0,29999.0,"Travel Planner Executive (Product Coordinator) Daily routine: • Work closely with clients about all new enquiries and amendments until be able to turn proposal as a booking with expected profit. • Coordinate all round-trip bookings and ensure that all components/segments are secured in advance with receipt of confirmation and convey the pre-payments processed to accounting /timely. • Action any advance payments required by suppliers in accordance with company policy. • Ensure all client itineraries and documentations are complete and correct at least 14 days prior to round trips. However, timeline is possibly flexible as case by case which it’s understandable • Work closely with Contracting and Operation for the accurate and timely review of tariffs in packages. • Keep eyes closely on assigned accounts and promptly report supervisor about any interesting update. • Other jobs as per assignment from supervisor Our final candidate: • Minimum 2 years relevant working experience • Excellent computing skills in MS Office and email programs • Very good command in Thai and English both writing and speaking skill. • Extremely well organized, maturely and skillful to solve problems related to booking and ongoing tour • Be able to on site has inspection regularly • Able to work under pressure, both independently and as part of our multinational team • Have a flexible attitude and eye for details including a service-minded attitude What do we offer you? • Become a member of our professional and flexible team • Friendly working environment • Be able to work remotely from anywhere (after probation period) • A competitive salary • Favorable secondary conditions • A chance to learn and develop yourself and your potential including your career path",Hospitality & Tourism
Lifestyle Executive,Quintessentially Lifestyle,"Vadhana, Bangkok",Other,Full time,,,"Quintessentially Lifestyle is a private members' club with a 24-hour global concierge service, and part of the world's leading luxury lifestyle group. With offices in almost every major destination and thousands of suppliers worldwide, QT Lifestyle is your passport to the very best that life has to offer. Whether it be travel, music, art, food, drink, hotels, clubs, spas, restaurants or – most particularly – service, we are committed to the notion that quality matters. No matter where you are in the world, 24 hours a day, 365 days a year, QT Lifestyle is here to help with all your needs, however extraordinary or difficult they may be. We can not only solve some of your most pressing practical problems (where to find presents in a hurry, a good nanny, the best gym in town) and save you money, we can also help you make the most of your precious time. From front row seats at fashion shows to spur-of-the-moment chartered yachts, impossible-to-book theatre tickets, dinner reservations, film premieres, charity galas and VIP after-parties... You name it; QT Lifestyle can almost certainly sort it. LIFESTYLE EXECUTIVE Quintessentially Lifestyle executives handle the lifestyle requests (mostly leisure related) from Quintessentially members – both local and international, help the team solve a lot of problems, co-ordinate with various service providers, take plenty of phone calls, answer questions, offer specialist advice, sell services provided by Quintessentially global group and our affiliated companies. As a Lifestyle Executive, a typical day might include the following: researching and arranging travel bookings: itineraries, hotels, flights, cars, etc. for a member suggesting a gift for a member’s spouse on her birthday talking to a colleague in another country to arrange a member’s kid to be picked up from a boarding school in that country helping a colleague to have a three course meal from the member’s favorite restaurant delivered to them within next 2 hours making restaurant/club reservation for a member finding the best dermatologist for a member around her office negotiating with the event organizer for a ticket to a concert which is sold out brainstorming with colleagues about new ideas for making Quintessentially Lifestyle work better This job might be for you if: You enjoy solving problems and helping people You like learning new things and you can learn quickly You pay attention to details and think on your feet You communicate clearly, write well and speak fluently You are comfortable communicating in writing and on the phone You like to work in a team You like to have fun and explore the best life has to offer You are always confident and cool under pressure You are a Thai national It will be awesome if you: Have background in customer service, personal assistance, concierge or luxury travel and leisure Working knowledge of luxury travel destinations Passionate about  gaining knowledge about luxury lifestyle brands",Hospitality & Tourism
Transport Coordinator,"Euro-Center (Thailand) Co., Ltd.","Ratchathewi, Bangkok",Travel Agents/Consultants,Full time,,,"Purpose of the Job: Transport coordinator’s main task is to handle, coordinate and assist with flight repatriation, medical evacuation and ground ambulance transport cases. The main purpose is to find and offer the most efficient and adequate travel solutions including its cost evaluation for the clients of the customers that Euro Center serves. The proposals must be always in accordance with medical team transport recommendation. Once the solution is chosen, transport coordinator process with necessary arrangements and coordinates communication between providers and among the involved teams/parties. Job Description: Finding of optimal and cost effective solutions of travel, based on given task from respective teams and transport recommendation from medical team. Searching of relevant travel options in GDS Amadeus and from other sources (directly from airlines, from web portals, via selected travel travel agencies etc.) Registering of found options (transport scenarios) in Travel planner including its cost evaluation. Notifying particular teams about found options via tasks + describing possible advantages and disadvantages of each options including option’s characteristic if required. Creating of reservations in GDS Amadeus, including all necessary special requests (i.g. wheelchair, extra seats, oxygen, stretcher, medically escorted transports). Inserting MEDIF into reservations – communication with the airline. Communication with issuing travel agents (Flight tickets issuing). Controlling of cancellation and rebooking conditions. Registering of handling processes in Travel planner tool in real time. Registering and adjustment of reserves for services requested, up to the authorized financial limit. Communication with involved transport providers (medical escort’s companies, ground ambulance providers, air ambulance providers, airlines, involved travel agencies, hospitals). Coordination of communication with the client (Provided that transport coordinator is not able to perform communication with client directly as well (due to language skills or other reasons, then transport coordinator must task colleagues from particular teams and ensure that other team coordinators can help with it). Preparation of travel documents for medical escorts in complex repatriation cases. Monitoring of ongoing transport cases. Transport coordinator must be able to react quickly on unexpected changes and come with prompt solution. Qualifications: Proficiency in English language Bachelor's Degree or Higher Knowledge of GDS (Amadeus) - at least basic level Organised, detailed and willing to take responsibility Team player with good communication skills Good geographical and political knowledge Benefits: Competitive Monthly Salary. Fun multinational working environment. Annual paid leave. Group health insurance and dental. Office location at Ratchathevi, Bangkok. **We regret that only shortlisted candidates will be notified** Interested candidates are invited to apply with a full CV/Resume (Word / PDF file), stating present and expected salary as well as a recent photograph. Euro-Center (Thailand) Co., Ltd. • Thailand Human Resources Department Spring Tower Building, 22nd floor, Unit 6-10 Phayathai Road, Ratchathevi, TH - 10400 Bangkok",Hospitality & Tourism
Operations Support (Administration),Global Compass (Thailand) Ltd.,Bangkok,Management,Full time,,,"Job description and responsibilities Allocates the tours details from Sales Checks the tours details after Operations has performed their check and records any errors for future training; Daily monitoring update all tours details: option and cancellation deadlines, confirmations, Etc.; Provide high quality and timely communication, manifests and other documentation; Checking Operations staff for clients rooming list; Manage proper reports as requests; Flexible working time to cover task include WFH after working hour and holiday when necessary; Adopt company policies; Job requirements Bachelor’s Degree onward; Hospitality, Tourism, Business will be benefit to candidate; Experience 1-5 years  in Tour Operator business, specializing in group business will be prioritized; Welcome experience gained within a travel agency; Strong proficiency in English (Writing, Reading, Listening & Speaking); Skilled in the use of Microsoft office & Excel, other programs will be valuable; Logic communication skills, basic presentation and strong negotiation skills; Well known problem-solving capabilities based on reasonable; Excellent time management skills especially Supervisor Level; A preparedness to work outside; Attention to detail and a high level of numeracy;",Hospitality & Tourism
Sales Assistant Manager (Hospitality/F&B),"The Thai Silk Co., Ltd.","Pathum Wan, Bangkok",Management,Full time,,,"Scope of Work: Responsible for acquisition of new groups, completes or updates sales form in a neat and clear manner with full details. Provides administrative support to the Hospitality Senior Sales Manager and ensures the implementation of company policies, standards, and procedures as they apply to administrative functions. MAIN RESPONSIBILITIES: Operational: Responsible for the acquisition of new members completing or updating sales forms in a neat and clear manner with full details. Maintain a great relationship with the customers as a Jim Thompson ambassador Distributes F & B promotions to prospective customers Upsells and promote F&B products and promotion in order to maximize revenue Assists members who need help with Restaurant bookings or any other requests Responsible to sell honestly and truthfully the company F&B offers Cross-sell any other available product from the company to the interested party. Customer Service: Establishes rapport with guests maintaining good customer relationships and handle all guest complaints, requests and enquiries on food and beverage and service Verifies that guests are receiving the best possible service Interacts with guests to ensure their satisfaction, promote services and facilities of the complex in all positive ways Listens to guests’ feedback to improve services Liaises with department concerned to see that customer’s needs are met and satisfied Financial: Exercises efficient Payroll Management/Resource allocation through the establishment of a flexible workforce throughout the Division. Directs subordinates to ensure productivity meets standards given in accordance with Company Design Standards and Criteria and Food and Beverage Operations Manual. Focuses attention on improving productivity levels and the need to prudently manage utility/payroll costs within acceptable guidelines ensuring optimum deployment and energy efficiency of all equipment In charges of sales and performance of Banqueting department, ensures that goals and profits are met. Ensure that prescribed cash-handling procedures are followed. Administration Assists with development and maintenance of a detailed Operations Manual that reflects policies and procedures, work processes and standards of performance within the Division. Ensures annual review to accurately reflect any changes. Prepares outlet yearly marketing plan which is part of annual Food and Beverage Business Plan. Prepares and updates outlet budget, in close cooperation with Director of Food and Beverage. Plays significant role in planning and forecasting future business for an outlet Monitors and analyses activities and trends of competitive Banqueting and Events. People Management: Supervises employees in the performance of their duties in accordance with policies Delegates appropriately, duties and responsibilities to equipped and resourced employees, nurturing and developing them whilst ensuring standards of operation and safety is maintained Supports training activities focused on improving skills, knowledge and attitude Ensures employees have a complete understanding of rules and regulations, and that behavior complies Monitors employee morale and provide mechanisms for performance feedback and development Conducts annual performance appraisals providing rational feedback Communicates guiding principles and core values to all levels of employees Ensures employees provide a courteous and professional service at all times General Is knowledgeable in statutory legislation in employee and industrial relations, understanding and strictly adhering to rules and regulations established in Employee Handbook and company policies concerning fire, hygiene, health, and safety Handles guest and employee enquiries in a courteous and efficient manner, reporting complaints or problems if no immediate solution can be found whilst feeding back a prompt follow-up. Takes an active involvement in welfare, safety, development, and well-being of employees providing advice, counseling, and truthful, diplomatic feedback Ensures high standards of personal presentation and grooming Exercises responsible management and behavior at all times and positively represents the hotel management team. Attends and contributes to all meetings and training as required Plans and conducts department monthly meetings Maintains positive colleague interactions with good working relationships. ADDITIONAL RESPONSIBILITIES: To carry out any other reasonable duties and responsibilities as assigned by the supervisor. Interested candidates should apply with your updated resume via JobsDB Apply or contact Jim Thompson Talent Acquisition Team at 02 700 2000 ext.2908 , 2909",Hospitality & Tourism
