Job_Title,Company,Location,Job_Position,Job_Type,Salary Min,Salary Max,Job_Description,Tag
Health Insurance Data and Audit Officer,"APRIL Assistance (Thailand) Co., Ltd.","Pathum Wan, Bangkok",Claims,Full time,,,"For over 30 years, APRIL International Care has been specializing in international health insurance solutions. We design, distribute, and manage insurance plans and assistance services for individuals and businesses. With teams across Asia, Europe, and the Americas, we look after our members wherever they are to make sure they have access to the best care. We are part of the APRIL Group, a global insurance specialist with 2,300 staff in 16 countries. To sustain our growth, we are looking for a Data Quality and Audit Officer. YOUR ROLE Cleaning and monitoring of data Reviewing and analysing pending cases to ensure accuracy and compliance. Conducting audits on claims to identify any discrepancies or fraudulent activities. Collaborating with internal teams, such as claims processors and underwriters, to resolve issues or concerns. Creating reports and summaries based on the claims data and highlighting areas for improvement. Developing and implementing audit procedures to enhance the efficiency and effectiveness of the claims process. Providing guidance and training to staff members on proper claims handling procedures and compliance requirements. Identifying and implementing process improvements to streamline the claims audit process and reduce errors. PROFILE A Bachelor's degree in a relevant field such as Business Administration, Statistics, or Data Analytics. Proficient in English, both written and spoken. Exceptional skills in Excel, demonstrating a high level of proficiency in utilizing its features. Meticulous attention to detail, ensuring accuracy in data analysis and reporting. A passion for reconciliation, demonstrating a keen interest and expertise in maintaining data integrity. Previous experience in Health Insurance Claims will be considered a valuable asset, though not mandatory. If you possess these qualifications and are eager to contribute to a growing and innovative environment, we encourage you to apply. Join us in shaping the future of our organization through your expertise in data quality and audit processes.",Insurance & Superannuation
Major claim assessor - Assistant Manager,Prudential Life Assurance (Thailand) Public Company Limited,Bangkok,Claims,Full time,,,"Role and responsibilities: Decide to pay major and death claim within authority limit and make suggestion for case over authority. Investigates suspicious claims or complex claims for further details. Reviews, examines and directs processing of unusual or difficult major and death claim case. Answer questions from agents, clients and involved parties regarding policy provision, coverage, claim decision, service problems in order to resolve outstanding issues. Qualification: 4-5 years of experienced in claim assessment and claim function. Bachelor’s degree in medical background and understanding of general insurance operations. Knowledge of claim decision procedures, medical terminology, and policy contract, investigation claim.",Insurance & Superannuation
Junior Marketing Analys (Base Bangkok),"VANA NAVA CO., LTD.",Bangkok,Brokerage,Full time,,,รายละเอียดการทำงาน ( ยินดีรับนักศึกษาจบใหม่) ประสานงานเพื่อดึงข้อมูลออกจากฐานระบบ ทำความเข้าใจการเก็บข้อมูลระบบ centaman เชื่อมโยงข้อมูลเพื่อนำมาใช้ จัดลำดับ แยกหมวดหมู และประเภทของข้อมูล ติดตาม และรายงานสถานการณ์การท่องเที่ยว ติดตามข้อมูลด้านการขายภายในองค์กร คู่เเข่ง พฤติกรรม และความต้องการของลูกค้า ตามระยะเวลาการท่องเที่ยว วิเคราะห์ และรายงานแนวโน้มผู้เข้าใช้บริการ และรายได้ภายในสวนน้ำตามแผนก และหน่วยต่างๆ นำเสนอการหาโอกาสในการเพิ่มยอดขาย พิจารณพิเศษ ความรู้ด้าน Google Analytics 4 หรือ Power Bi คุณสมบัติผู้สมัคร วุฒิการศึกษาระดับปริญญาตรีขึ้นไป มีทักษะด้าน Microsolf Office ยินดีรับนักศึกษาจบใหม่,Insurance & Superannuation
Sales Training,Generali Insurance (Thailand) Public Company Limited,Bangkok,Other,Full time,,,"Job Summary To deliver excellent and engaging development program and training experiences to sales team for the best financial outcomes while ensure full capability and capacity being utilized. Main Responsibility 1. Sales training strategy & roadmap Develop and execute comprehensive sales training strategy and roadmap including training approach forEndowment and Investment related products with the aim to achieve both financial and non-financial the company's goals and objectives 2. Sales training Curriculum development Coordinate with the relevant parties (e.g. distribution channels, business partners) to perform sales training needs analysis, identify training gaps and design new sales training courses or training initiatives to address them and review the existing training programs to improve the quality and performance of training programs Be a subject matter expert to develop and deliver comprehensive and effective Endowment and Investment products training programs that cover various aspects of the sales process, product knowledge, services, and sales techniques for sales team in a timely manner 3. Sales training delivery & execution •     Conduct regular training sessions, workshops, and seminars to enhance the sales team's skills and knowledge. Proactively seek feedback on the existing training course and curriculum, define any opportunities for improvement, provide recommendations related to sales training program. Work closely with sales team to provide on field coaching and development to ensure their productivity improvement Review the accuracy and completeness of training contents and ensure that the contents support the training objectives defined as well as monitor and evaluate the effectiveness of training programs through assessments and 360 feedback •     Stay up-to-date with industry trends, best practices, and new sales methodologies as well as insurance market landscape to continuously improve the training programs and training materials 4. Sales training evaluation •     Drive for continuous improvement and enhancement of the quality of training and development programs with the aim of driving sales performance •     Track and monitor to ensure that all training development activities are performed in an accurate and timely manner and delivered with quality according to plan. •     Collaborate with other departments, such as marketing, product development and operation, to ensure sales training materials are accurate and up-to-date •     Provide advice and coaching for sales team both internal and external parties to ensure the development result achieve the target •     Undertakes other projects assigned by the company Qualification • Bachelor's degree in business, marketing, or a related field. • Minimum of five years of experience in sales training & development role or leading sales/distribution team in the banking or insurance industries • Strong knowledge of life insurance and investment linked products and related regulation, sales techniques. A knowledge in financial planning would be a plus. • Proven track record in designing and delivering successful sales training programs and sales productivity results • Excellent presentation and communication skill with good interpersonal skills • Ability to inspire and motivate sales teams and able to mentor and lead • Proficient computer skills in Microsoft Office application (Word, PowerPoint, Outlook, and Excel), and instructional software",Insurance & Superannuation
Product Development & Underwriting Specialist,Sompo Insurance (Thailand) Public Company Limited,"Bang Rak, Bangkok",Actuarial,Full time,,,"Roles & Responsibilities To assist managers in leading and managing the team to achieve the goals set by the team or company as well as on time. To monitor product performance i.e. sales volume, profitability. To understand customer needs, market position and competition and identify opportunity for non-life insurance. To support and control end-to-end process starting from product design, approval process, process design and operating manual, pricing, pilot cases, communication & training, marketing campaign, until launch. To co-develop IT system, if necessary, for the new product starting from providing business requirement, UAT and until go live. To gather issues to further improve product feature and stabilize process. To control a team and support the gathering and coordination with the working team to prepare the policy wording, premium rating & statistics of new product and renewal product to support OIC submission to get approval on time. Ad-hoc support on various new projects. Perform other related duties as assigned. Candidate Specifications Bachelor’s degree in Statistics, Actuarial sciences or related field At least 5 years’ experience working in the underwriting, product development, or pricing team is preferable Ability to work independently and handle multiple projects Good command of spoken and written English Preferably good knowledge of Microsoft Office, Microsoft Visual Basic, SAS, R or similar statistical tools",Insurance & Superannuation
Product Development  Sr. Officer/ Specialist,Ocean Life Insurance Public Company Limited,"Khlong Toei, Bangkok",Actuarial,Full time,,,"หน้าที่รับผิดชอบ มีความเข้าใจกระบวนการพัฒนาสินค้าและสามารถให้คำแนะนำทีมงาน และผู้บริหารช่องทางการขายในการจัดทำ Product Request เพื่อขอพัฒนาสินค้าใหม่หรือขอปรับปรุงสินค้าเดิม กำหนด Product Concept ที่เหมาะสม เปรียบเทียบข้อมูลจุดเด่นจุดด้อยกับคู่แข่งขันในตลาด จัดการประชุม Execution Sub Product Committee และเตรียมข้อมูลขออนุมัติผลิตภัณฑ์ในการประชุม  PGC รวมทั้งบริหารจัดการการพัฒนาสินค้าและบริการให้เป็นไปตามเป้าหมายและ Timeline ที่กำหนดไว้ พัฒนาระบบการจัดทำเอกสารเสนอขายภายใต้กฎระเบียบข้อบังคับที่เกี่ยวข้องอาทิ เช่น Market Conduct ในส่วนที่เกี่ยวข้องกับเอกสารเสนอขาย โดยนำเสนอเทคโนโลยีเข้ามาช่วยสนับสนุนช่องทางการขายในการจัดทำเอกสารเสนอขายให้ถูกต้องครบถ้วนและสะดวกในการใช้งาน กำหนด Requirement ในการพัฒนาร่วมกับทีมกลยุทธ์และผู้บริหารช่องทางการขาย ทดสอบระบบและขออนุมัติผลการทดสอบจากฝ่ายที่เกี่ยวข้อง มีความเข้าใจตลาดและคู่แข่งขันในแต่ละประเภทสินค้าตามความต้องการของลูกค้า(Segmentation) ติดตามความเคลื่อนไหวของธุรกิจประกันชีวิตร่วมกับทีมวิเคราะห์และวิจัย ฝ่ายการตลาด เพื่อมองหาโอกาสในการวางแผนการพัฒนาสินค้าที่เหมาะสม ติดตามผลการขายผ่านช่องทางขาย และสามารถให้คำแนะนำกับผู้บริหารช่องทางการขายในการพัฒนาหรือปรับปรุงสินค้าให้เหมาะสม จัดทำสื่อประชาสัมพันธ์สินค้า เช่น โบรชัวร์สินค้า, เอกสารแนะนำสินค้า (Presentation) เพื่อดำเนินการ Train The Trainer ร่วมจัดทำกิจกรรมทางการตลาด ให้คำแนะนำทีมงานในการจัดทำสื่อประชาสัมพันธ์ และวางแผนการสื่อสารประชาสัมพันธ์ข้อมูลสินค้าผ่านทางช่องทางการสื่อสารที่เกี่ยวข้อง ลงพื้นที่ร่วมกับฝ่ายขาย และร่วมกิจกรรมอื่นๆ ที่เกี่ยวข้อง จัดฝึกอบรมให้ความรู้แบบประกันใหม่หรือการเปลี่ยนแปลงเงื่อนไขแบบประกันเดิม และบริการต่างๆ กับวิทยากรผู้ฝึกอบรมตัวแทน และผู้ที่เกี่ยวข้อง มีทักษะการเจรจาต่อรองหรือการโน้มน้าวกับส่วนงานที่เกี่ยวข้องในการบริหารโครงการที่รับผิดชอบให้บรรลุเป้าหมาย มีทักษะความเป็นผู้นำในการนำเสนอ การบรรยาย กล้าแสดงออก ในที่ประชุมเป็นอย่างดี คุณสมบัติ วุฒิปริญญาตรี/ปริญญาโท สาขาคณิตศาสตร์, คณิตศาสตร์ประกันภัย, สถิติ, เศรษฐศาสตร์ การตลาด หรือ สาขาที่เกี่ยวข้อง สามารถใช้ Microsoft Office ได้เป็นอย่างดี มีประสบการณ์ทางด้านธุรกิจประกันชีวิตอย่างน้อย 3 - 5 ปี จะได้รับการพิจาณาเป็นพิเศษ มี IC Licenseจะได้รับการพิจาณาเป็นพิเศษ มีความมุ่งมั่น ความคิดสร้างสรรค์ ละเอียดรอบครอบ มีความสามารถทางด้านภาษาอังกฤษ",Insurance & Superannuation
Regulations & Complaint Handling Officer,"Siam Commercial Bank Public Co., Ltd.","Chatuchak, Bangkok",Other,Full time,,,"Job Summary: The regulations & complaint handling officer is mainly responsible for providing advice to clients and stakeholders, overviewing and monitoring the regulations and complaint issues to ensure the bank’s policies to be compliance with the standards of BOT, OIC, SEC regulations and audit requirements. Job Descriptions: Provide the advice to clients and stakeholders as well as responsible for overall process and complaint issues to ensure that all business requirements and developments comply with applicable standard BOT, OIC, SEC regulations and audit requirements by coordinating with related parties both internal and external units. Coordinate with Legal division for reviewing the contractual agreements between SCB and business partners. Provide advice on Personal Data Protection Act matter. Coordinate all the operational risk activities with operation risk team. Qualification: Bachelor’s degree or higher in Finance, Business Administration, Legal, or related fields. Minimum 3 year of working experience in Compliance, Legal, Auditor or Insurance Firm Regulations is preferable. Strong knowledge in local regulations (BOT, SEC, OIC). Result-oriented, positive attitude, be a self-starter. Good communication and interpersonal skills.",Insurance & Superannuation
Client Relations Executive (Tele-Communicative Sales),Alliance International Servicing (Thailand) Ltd.,"Sathon, Bangkok",Brokerage,Full time,,,"Join Our Team as a Client Relations Executive! Are you a passionate and driven individual looking to make a mark in the sales industry? If so, we have an exciting opportunity for you at Alliance! As a Client Relations Executive, your main focus will be tailored towards catering to the International community in different parts of the world, providing them with the best insurance products, services, and prices. You'll play a crucial role in establishing contact with inbound inquiries and connecting with clients, all while working closely with our Client Relations Managers. This role is a fast-track on becoming the next Client Relations Manager at Alliance! Duties & Responsibilities Consultative Selling: Uncover needs, present solutions and address objections whilst dealing with prospective and existing clients. Results Oriented: Ability to deliver results by converting leads into solid opportunities for Client Relations Managers. Ability to identify and develop sales opportunities. Relationship Management: Establish, develop and maintain relationships with prospective and existing client as well as the external providers. The Client Relations Executive role is a training ground for seasoned or aspiring sales professionals to enter a new realm of sales in the insurance industry. What We Are Looking For Excellent Communication Skills: Excellent proficiency in English, both written and verbal, enabling you to express ideas persuasively. Passion for Sales: Passion, Persistence, Perseverance, and Professionalism are the four pillars to be successful in this role. Solution-Oriented: Ability to uncover needs, present solutions, and handle objections while nurturing prospective and existing international client relationships. Time Management: Exceptional time management skills, energetic and highly skilled in accomplishing the goals. Microsoft Proficiency: Experience with Word, Excel, PowerPoint, and Outlook to enhance your daily tasks. What's in it for you: Career Progression Comprehensive Benefits Diverse and multicultural environment Work-Life Balance Competitive but also a nurturing environment At Alliance, we believe in empowering our team members to thrive and excel in their roles. Join us and be a part of a supportive environment that values your growth and contribution.",Insurance & Superannuation
Bancassurance Product Development : Assistant Manager - Manager...,Kiatnakin Phatra Bank Public Company Limited,"Vadhana, Bangkok",Other,Full time,,,"สมัครงานตำแหน่ง Bancassurance Product Development จะมีหน้าที่รับผิดชอบในการพัฒนาผลิตภัณฑ์ประกันชีวิต ประกันภัย เพื่อขยายขนาดของธุรกิจหน้าที่สำคัญคือการพัฒนาผลิตภัณฑ์ใหม่และปรับปรุงผลิตภัณฑ์เดิม, การกำหนดราคาที่เหมาะสม, กำหนดความคุ้มครองที่เหมาะสม, การกำหนด Campaign และดำเนินการกรรมทางการตลาด และการบริหารความสัมพันธ์คู่ค้าและพัฒนาช่องทางการขาย Role and Responsibilities / หน้าที่ความรับผิดชอบ: พัฒนาผลิตภัณฑ์ใหม่และปรับปรุงผลิตภัณฑ์เดิม ให้มีความคุ้มครองที่เหมาะสม แยกตาม Segment ลูกค้าที่มีความต้องการและพฤติกรรมต่างกัน ให้สามารถขยายธุรกิจและทำอัตรากำไรได้มากขึ้น พัฒนากระบวนการขายและทำรายการขาย ( Acquisition Process) ใหม่มีประสิทธิภาพรวมถึงพัฒนา Service Model และ End-to-End Process ของผลิตภัณฑ์ กำหนดรูปแบบและราคาที่เหมาะสมกับผลิตภัณฑ์ในแต่ละ Segment ซึ่งมีพฤติกรรมต่างกัน กำหนด Campaign สนับสนุนการขาย และดำเนินการกิจกรรมการตลาด กำหนดความเหมาะสม และสอบทานการใช้งบประมาณทั้งงบ OPEX และ Marketing Cost ทบทวนค่า Commission ที่ได้จากบ.ประกัน ในแต่ละผลิตภัณฑ์ใหม่มีความเหมาะสม ควบคุมสัดส่วนการรับงานของบ.ประกันต่างๆเพื่อให้ธนาคารได้ผลตอบแทนสูงสุด Qualifications / คุณสมบัติ: วุฒิปริญญาตรีขึ้นไป สาขาบริหารธุรกิจ หรือสาขาที่เกี่ยวข้อง มีประสบการณ์ในการทำงานธนาคาร โดยเฉพาะด้าน ประกันชีวิต มีใบอนุญาตนายหน้าประกันชีวิต มีทักษะในการประสานงานและทำงานร่วมกับผู้อื่นได้เป็นอย่างดี ความสามารถในการใช้ภาษาอังกฤษ  ทั้งการพูด  อ่าน  และเขียน ภาษาอังกฤษอยู่ในระดับที่ดี Specific knowledge and skill / ความรู้เฉพาะตำแหน่ง: การบริหาร Portfolio ตามผลิตภัณฑ์และบ.ประกัน มีทักษะการนำเสนอ, การวิเคราะห์เชิงตัวเลข และการเจรจาต่อรอง มีทักษะในการใช้คอมพิวเตอร์และการโปรแกรมประยุกต์พื้นฐาน",Insurance & Superannuation
Assistance Coordinator,"Euro-Center (Thailand) Co., Ltd.","Ratchathewi, Bangkok",Other,Full time,,,"EURO-CENTER (THAILAND) is looking for an Assistance Coordinator to join an international team of coordinators providing medical assistance to leisure and business travellers worldwide. Purpose of the job: Assistance coordinator’s main task is to handle a customer service orientation and independent decision-making skills to assess and interpret the needs of the customers and to deliver efficient, cost-effective solutions to meet customer’s needs. Main Responsibilities: Answer incoming calls from policyholders, hospitals, agents and customers (insurance companies) on a 24/7 shift rotation basis s well as create case files; Log in telephone call information correctly and in the right place in the internal computer; program, in an efficient and standardized way; Communicate with policyholder, provider or customer (insurance company) to request additional information; Check policyholder’s details as per the first call procedure; Assist other team members, including the claims department, as necessary, for phone call, e-mail, and case handling needing specific language expertise; Participate in orientation programs for customers and new products; Identify missing documents, and be able to address the relevant party to organize the missing documents; Participate in cost containment by performing review of cases if it is required by Assistance management; Provide summary of activities during weekly meetings; Coordinate logistic arrangements locally and internationally to assist policyholders with medical and other claims; Work closely with medical professionals internally and externally. Key Qualifications: Thai Speaking and full professional fluency in the English language will be essential for effective communication; Fluency in a third language such as German speaking, French speaking, Spanish speaking, Scandinavian languages or Asian languages will be an advantage; Previous work experience in medical assistance or in tourism will be an advantage; Pro-active and performing well under pressure; Bachelor's Degree or higher; Good computer user skills in Microsoft Office tools; Service-minded, positive and flexible; Must be able to work in rotating shifts including weekends and some nights per month. **We regret that only shortlisted candidates will be notified** Interested candidates are invited to apply with a full CV/Resume (Word / PDF file), stating present and expected salary as well as a recent photograph. Euro-Center (Thailand) Co., Ltd. • Thailand Human Resources Department Spring Tower Building, 22nd floor, Unit 6-10 Phayathai Road, Ratchathevi, TH - 10400 Bangkok",Insurance & Superannuation
