Job_Title,Company,Location,Job_Position,Job_Type,Salary Min,Salary Max,Job_Description,Tag
Immigration Manager - Assistant Manager,"Deloitte Touche Tohmatsu Jaiyos Co., Ltd.","Sathon, Bangkok",Generalists - Law Firm,Full time,,,"Responsibilities: Advice on the expatriates staying and working in Thailand for multinational companies both Immigration law and Labor law. Assist the expatriates to obtain/ renew work permit, extend visa under the entity in Thailand e.g. company limits, representative office, branch office, BOI company, IEAT company etc. Providing outbound service e.g. Exit permit, Consular service, notarization, legalization, consular services. Contact the stakeholders and authorities e.g. Immigration Bureau, Ministry of Labor, Revenue Department, BOI, IEAT, Royal Thai Embassy/Consulate, Ministry of Foreign Affairs, all Embassy in Thailand and other relevant authorities. Requirements: Bachelor’s degree or equivalent qualification in Business Administration, English, or other related field. At least 5 years working experience in related field, especially in immigration (visa and work permit). Experience in leading and managing a team. Highly effective in multi-task and works well with multiple deadlines. High responsibility and commitment to providing quality service to clients. Excellent command of English (both writing and speaking) and computer skill. Flexible and can travel or be in the office as required",Legal
Legal Manager - Corporate & Commercial,Mazars Holding (Thailand) Ltd.,"Sathon, Bangkok",Corporate & Commercial Law,Full time,,,"Job Description: All aspects of legal works i.e. giving legal advice to clients, drafting and reviewing various agreements and various legal documents. All company secretarial and corporate works Legal research, monitoring updates in the laws and regulations Attend the meetings and manage the correspondences with clients and external persons Supervising and training junior and senior lawyer in the team Manage team resources and economic aspect of the assignment Qualifications: Bachelor of law or higher At least 5 years experiences in corporate and commercial with the international law or legal consulting firm Possesses business acumen, leadership ability and knowledge of key legal and economic trends Service-minded and able to work independently; Ability to multi-task; strong analytical and problem solving skills Strong time management and project/case management skills Excellent drafting, communication, and research skills Fluent in English and excellent English writing skills Able to work under the pressure Good command of computer literacy especially in MS Office and the internet",Legal
Legal Officer (TMT- Head Office: Samrong),"TOYOTA DAIHATSU ENGINEERING & MANUFACTURING CO., LTD.","Phra Pradaeng, Samut Prakan",Corporate & Commercial Law,Full time,,,"บริษัท โตโยต้า มอเตอร์ ประเทศไทย จำกัด (สำนักงานใหญ่สำโรง) Toyota Motor Thailand Co., Ltd. (Head Office: Samrong) Research and summarize new and existing laws Review and comment on contracts matter Provide laws training and consulting to user and related stakeholders Qualifications: Bachelor’s degree or higher in Law GPA not less than 2.75 TOEIC score at least 550 *MUST* Good computer literacy ( M.S.Office ) Strong communication & interpersonal skill Willing to learn new things, Positive thinking Experience in related field ( 2 - 3 years )",Legal
เลขานุการบริษัท กลต นักกฎหมาย (Lawyer company Secretary),Private Advertiser,"Khlong Toei, Bangkok",Generalists - In-house,Full time,,,ความรับผิดชอบ: ดูแลการประชุมคณะกรรมการบริษัท คณะกรรมการบริหาร คณะกรรมการอื่นๆ ดูแลการจัดประชุมผู้ถือหุ้น ดูแลทะเบียนผู้ถือหุ้น การรายงานต่างๆ ให้ตลาดหลักทรัพย์แห่งประเทศไทย สำนักงานคณะกรรมการกำกับหลักทรัพย์และตลาดหลักทรัพย์ การจัดทำรายงานประจำปี การจัดทำคำอธิบายและการวิเคราะห์ฐานะการเงินและผลการดำเนินงาน (MD&A) ดูแลการให้ข้อมูลนักลงทุน การดูแลความเคลื่อนไหวของราคาหุ้น สนับสนุนหน่วยงานต่างๆ เพื่อให้งานสำเร็จลุล่วง ให้คําแนะนําเบื้องต้นแก่คณะกรรมการบริษัทและผู้บริหารในข้อกฎหมาย ระเบียบ และข้อบังคับต่าง ๆ ของบริษัทที่บริษัทต้องปฏิบัติตาม ดูแลให้การดําเนินกิจการของคณะกรรมการบริษัทเป็นไปอย่างราบรื่น และมีประสิทธิภาพสอดคล้องกับกฎหมายและข้อกําหนดต่าง ๆ ที่เกี่ยวข้อง รับผิดชอบในการจัดการประชุมผู้ถือหุ้น และประชุมคณะกรรมการบริษัทให้เป็นไปตามกฎหมาย และข้อบังคับของบริษัท บันทึกรายงานการประชุมผู้ถือหุ้น และการประชุมคณะกรรมการบริษัท รวมทั้งติดตามให้มีการปฏิบัติตามมติที่ประชุมผู้ถือหุ้น และที่ประชุมคณะกรรมการบริษัท จัดทําและเก็บรักษาทะเบียนกรรมการบริษัท รายงานประจําปีของบริษัท หนังสือนัดประชุมผู้ถือหุ้น หนังสือนัดประชุมคณะกรรมการบริษัท รายงานการประชุมผู้ถือหุ้น และรายงานการประชุมคณะกรรมการบริษัท เก็บรักษารายงานการมีส่วนได้เสียที่รายงานโดยกรรมการบริษัทหรือผู้บริหาร พร้อมทั้งจัดส่งสําเนารายงานการมีส่วนได้เสียให้ประธานกรรมการบริษัทและประธานกรรมการตรวจสอบภายใน 7 วันทําการ นับแต่วันที่บริษัทได้รับรายงานนั้น คําเนินการอื่น ๆ ตามที่คณะกรรมการกํากับตลาดทุนประกาศกําหนด คําเนินการอื่น ๆ ตามที่คณะกรรมการบริษัทมอบหมาย ทำหน้าที่กำกับดูแลให้บริษัทฯ และคณะกรรมการมีการปฏิบัติที่สอดคล้อง และเป็นไปตามกฎหมาย ข้อบังคับที่เกี่ยวข้องตลอดจนมติที่ประชุมคณะกรรมการ/ ผู้ถือหุ้น และหลักการกำกับดูแลกิจการที่ดี สนับสนุนการจัดให้กรรมการ / ผู้บริหารได้รับความรู้และเข้าอบรมหลักสูตรต่างๆ ที่เกี่ยวข้องกับการปฏิบัติหน้าที่กรรมการและกรรมการเฉพาะเรื่อง จัดอบรม/ปฐมนิเทศตลอดจนให้ข้อมูลที่จำเป็นต่อการปฏิบัติหน้าที่แก่กรรมการปัจจุบันและที่ได้รับแต่งตั้งใหม่ ให้คำแนะนำเกี่ยวกับข้อกำหนดกฎเกณฑ์ต่างๆ ที่คณะกรรมการบริษัทฯ และผู้บริหารควรรับทราบ จัดให้มีการประเมินผลการปฏิบัติงานของคณะกรรมการบริษัทฯ ทำหน้าที่จัดทำ และจัดเก็บรักษาเอกสารสำคัญของบริษัทฯ ได้แก่ ทะเบียนกรรมการ หนังสือ นัดประชุม และรายงานการประชุมคณะกรรมการบริษัทฯ และ ผู้ถือหุ้น รายงานประจำปี รายงานการมีส่วนได้เสียของกรรมการและผู้บริหาร คุณสมบัติ : ปริญญาตรีขึ้นไป สาขาทางด้านกฎหมาย สาขาบัญชีการเงิน และสาขาอื่นที่เกี่ยวข้อง มีประสบการณ์ทำงานด้านเลขานุการบริษัทจดทะเบียนในตลาดหลักทรัพย์แห่งประเทศไทย หรืองานด้านนักลงทุนสัมพันธ์ รวมถึงงานด้านกฎหมาย งานด้านบัญชีการเงิน หรืออื่นๆ ที่เกี่ยวข้อง มีความรู้ความเข้าใจ พระราชบัญญัติ ข้อกำหนด กฎหมายและประกาศต่าง ๆ ที่เกี่ยวข้องกับธุรกิจการเงินการธนาคาร มีทักษะสื่อสารภาษาอังกฤษดี ทั้งการพูด อ่าน เขียน,Legal
Contract Manager,"Thai Bauer Co., Ltd.","Khlong Toei, Bangkok",Corporate & Commercial Law,Full time,,,"Job Description: Contract Manager A Contract Manager for the Construction Business of Thai BAUER Co., Ltd. manages all aspects of the company's contracts, from negotiation and execution to administration and closeout. This includes developing and implementing contract strategies, reviewing and approving contractual terms and conditions, overseeing the performance of contracts, and managing any disputes or claims that may arise. Responsibilities Develop and implement contract strategies Negotiate and administrate. Review and approve contractual terms and conditions Oversee the performance of contracts Manage any disputes or claims that may arise Ensure compliance with all applicable laws and regulations Keep the company's management team informed of the status of all contracts Qualifications Bachelor’s degree in Law. 5 -10years of experience in contract management for construction projects, including building and infrastructure projects. Strong understanding of construction contracts and procurement procedures Excellent communication and negotiation skills Fluency in Thai and English Additional Skills Experience with FIDIC condition is a plus Ability to work independently and as part of a team Work Location : BTS Nana Why Work as a Contract Manager for Thai BAUER Co., Ltd.? Thai BAUER Co., Ltd. is a leading special foundation contractor and provides the market with solutions and services at the highest international standards. Our team operates a fleet of modern special foundation equipment in Thailand. The company offers a variety of challenging and rewarding projects, and it provides its employees with opportunities to develop and grow their careers. If you are interested in a career as a Contract Manager for Thai BAUER Co., Ltd., you should have a strong understanding of construction contracts and procurement procedures. You should also be able to work independently and as part of a team and have excellent communication and negotiation skills.",Legal
Legal Senior Specialist,AIRA & AIFUL Public Company Limited,"Huai Khwang, Bangkok",Legal Practice Management,Full time,50000.0,55000.0,"Job description - Draft and review contract or legal document. - Legal research and assist to follow and study announcement, regulation, measurement and legal concern in relation to the business. - Support Managements and Data Protection Officer (DPO) in creation and advise the organizations and its employees of the data protection law. - Review and monitor internal business activities and processes to ensure that the Company processes personal data in compliance with laws and regulations. Qualification Bachelor's degree in law or related field. 3-5 years of experience with background in law Communication skills in English writing, speaking. Lawyer license",Legal
Legal Professional,Baker & McKenzie Ltd.,"Bang Rak, Bangkok",Corporate & Commercial Law,Full time,,,"Baker McKenzie (Bangkok office) is seeking enthusiastic people who are driven and willing to seize opportunities to join our dynamic legal professional team including: Corporate & Commercial Practice Group; Dispute Resolution Practice Group; Intellectual Property Practice Group; Financial Services Division (Banking & Finance; Capital Markets; Family Governance); and Tax Practice Group. The successful candidate should have the following: LL.B. degree or higher with outstanding academic credentials. Excellent in Thai and English communication, especially in written and drafting skills are required. Proficiency in Microsoft Office, especially in Word and PowerPoint; Outlook; and Internet Explorer. Highest working standards with strong service orientation and service mind. Uncompromising with quality and ability to deliver work within set timeline. Ability to collaborate well with others as well as to work individually. Good interpersonal skills, driven, highly organized with good planning skill, problem-solving, good analytical and critical thinking, and attention to details. To apply, please click 'APPLY NOW' For more information, please contact HR at 02 636 2000 Ext. 8782 Only shortlisted candidates will be contacted. Visit https://bmcknz.ie/3tIzPCB to read the data privacy statement",Legal
Legal Administrative Officer (1-year contract),Adecco New Petchburi Ltd. (NP1),Bangkok,Generalists - In-house,Full time,25000.0,30000.0,"Responsibilities Support and assist Legal Team on legal and administrative work. Handle day-to-day general legal and administrative works and basic legal corporate documents. Prepares legal documents, including summonses, complaints, and subpoenas. Liaison with internal parties, external parties, government authorities or private organizations related to the company business. Any other duties as assigned by Legal Team members. Qualifications Bachelor’s degree in any field. An interest in law would be an advantage. 1-3 years of relevant administrative or coordination experience. Would be a plus if used to work in a Law Firm or in fields related to law. Focused and productive, good communication skills, relationship-building skills, ability to coordinate documentation, and ability to work well under pressure. Possess the ability to multitask, meet tight deadlines, is proactive, flexible and able to work independently. Possess effective organizational and follow-up skills, paying attention to detail. Good English communication skills, both verbally and written.",Legal
Legal Affairs Officer/เจ้าหน้าที่ฝ่ายกฎหมาย,"BioNet-Asia Co., Ltd.","Phra Khanong, Bangkok",Corporate & Commercial Law,Full time,,,"Job Responsibilities Drafting, reviewing, negotiating, and managing legal and commercial contracts: confidentiality disclosure agreement, distribution agreement, supply agreement etc. Drafting and finalizing corporate related documents (including the minutes of board of directors' meeting and shareholders' meeting.) Coordinating with all internal departments, government authorities, and external counsels with regard to legal matters. Conducting legal research to support decision-making and ensure compliance. Job Qualifications Bachelor's degree in Law (Having Lawyer's License is preferable). 3-5 years of experience in the legal field with strong background in corporate transactions and contract drafting & reviewing, preferably work experience as a legal counsel in Biotech or Pharmaceutical industry. Possesses strong communication skills as well as the ability to work both as a team and independently under pressure in complex situation. Good attitude and personality with proactive and growth mindset. Good command in spoken and written English. TOEIC 750 or equivalent English proficiency is required. Proficient in using MS Office tools, e.g., Word, Excel, Outlook, and PDF software.",Legal
Legal Officer,G J Steel Public Company Limited,"Bang Rak, Bangkok",Corporate & Commercial Law,Full time,,,"Job Description - Preliminary drafting, reviewing and commenting on Contracts/ Power of Attorney/ Legal documents. - Researching on laws update and news. - Filing Legal documents and necessary documents relating to Legal Area. - Other assignments as assigned by Supervisor. Requirements - Bachelor’s degree in law - At least 2 years working in Legal Area for Officer. - Good command of written and spoken English. (TOEIC 550+) - Can use Microsoft Office programs such as Word, Excel, Power Point at a good level. - Good communication, negotiation, relationship building and interpersonal skills.",Legal
