Job_Title,Company,Location,Job_Position,Job_Type,Salary Min,Salary Max,Job_Description,Tag
Merchandising / Brand Manager - Senior Manager (New Balance / Rookie USA),MAP Active Adiperkasa Ltd.,"Sathon, Bangkok",Buying,Full time,,,"Key responsibilities: Responsible for managing the respective brands by providing the right products and services that meet with the market requirements, and lead the team to achieve KPI targets (Net Sales, Margin %, Inventory, Growth %, Shipment Flow) Developing and executing M-Plan/OTB budget in line with company business target, including plan the product buying every season with merchandising team, review the plan with Merchandise Planner to get the management’s approval, placing orders, and do periodic forecasting & updates Managing Category assortment with each Category-in-charge, Manage/Review Price & Margin structure, Distribution plan Maintain and Manage business relationship with Principal. Communicating, coordinating & collaborating in scope of Brand & Product performance, from buying/order selection to delivering and marketing/selling in the country on regular basis to meet expectations and mutual targets Do analysis on sales, markdown, sell through %, market trends, competitive landscape, economic condition, competitor, and customer insight. Daily/weekly manage and monitor Sales Performance, Stock, Allocation Plan, Inventory Level, and Incoming Goods and taking action when needed. M-Plan and Markdown review with the team to control future buying, margin, and ensure of sales achievement (monthly) Evaluating/monitoring implementation of existing plans according to current state of business, and adapting/adjusting/re-forecast in-season or future planning as needed in order to achieve optimum result Reviewing & providing reports and analysis for both internal and external (principal)in order to ensure that we have the right product and the right price for the consumer – pricing activities, OTB, yearly marketing plan, M-planning Working closely with other related department (marketing, visual merchandising, operation) for better coordination & arrangements. Managing Wholesale business/ E-commerce as necessary (wherever brand applicable) Qualifications: Bachelor's or Master's Degree majoring in Management Business, Economics, Merchandising, Marketing, or related field At least 5 years’ experience as Merchandiser in sports, fashion retail business is preferable Has good skills in buying, merchandising, planning and budgeting / OTB, brand management, marketing coordination, market trends, and retail system Strong in leadership, conflict management, and business orientation. Good sense of fashion, footwear and sports knowledge and market trends Organizational, Interpersonal, People skill, Business acumen, analytical skill Being accustomed to working with multiple departments and international operators Good command of English",Retail & Consumer Products
ฝ่ายจัดซื้อ/Procurement,"HD.DIGITAL.CCTV CO., LTD.","Phra Nakhon, Bangkok",Buying,Full time,,,"Qualifications & experience มีทักษะด้านการสื่อสารที่ดี มีทักษะการคิดวิเคราะห์ ประสบการณ์ 1-3 ปี Tasks & responsibilities จัดทำรายการของคงคลัง พร้อมดูแลและเตรียมจัดซื้อหากของใกล้หมด เปิด PO และ ขอ PR การหาสินค้าให้ตรงกับความต้องการขององค์กร
โดยต้องมีคุณภาพและราคาที่เหมาะสม (ต่อรองราคา) เป็นไปตามนโยบาย และไม่ขัดต่อผลประโยชน์ขององค์กร ติดตามสินค้า ให้ดีลเข้าตรงกับวันที่กำหนด ดูแล จัดการเอกสาร สัญญาต่าง ๆ ในระหว่างจัดซื้อได้อย่างมีประสิทธิภาพ ตรวจสอบ และพิจารณาการสั่งซื้อโดยละเอียด รอบคอบ",Retail & Consumer Products
Procurement Manager,"Abbra Co., Ltd.","Phaya Thai, Bangkok",Buying,Full time,55000.0,65000.0,Job Descriptions: การหาผู้ขายใหม่ ในประเทศและต่างประเทศ -หาข้อมูลของผู้ขายรายใหม่ -เจรจาต่อรองราคาและเงื่อนไขการชำระเงิน -เสนอขออนุมัติเข้า Approved Vendor List การดำเนินการจัดซื้อ ในประเทศและต่างประเทศ -ประสานงานกับหน่วยงานผู้ขอซื้อ -ควบคุม ตรวจสอบเอกสารการจัดซื้อ -เจรจาต่อรองราคาและเงื่อนไขกับผู้ขาย -ทำสัญญา หรือ ข้อตกลงกับผู้ขาย การส่งมอบสินค้า ในประเทศและต่างประเทศ -วางแผนการส่งมอบสินค้า -ตรวจสอบและควบคุมการติดตามการส่งมอบสินค้า -ควบคุมการประสานงานกับหน่วยงานที่เกี่ยวข้องในการรับและตรวจสอบสินค้า Job Requirement ปริญญาตรี ไม่จำกัดสาขา มีประสบการทำงานด้านจัดซื้อใน - ต่างประเทศ 7 ปีขึ้นไป มีความรู้ด้านกระบวนการจัดซื้อด้านธุรกิจอาหาร มีความรู้เรื่องระบบ ISO ผ่านการใช้ระบบ ERP หรือโปรแกรมสำเร็จรูป ใช้ภาษาอังกฤษได้ดี มีทักษะการเจรจาต่อรองราคา,Retail & Consumer Products
Sales Advisor,BOONLAPO COMPANY LIMITED,"Pathum Wan, Bangkok",Retail Assistants,Full time,18000.0,22000.0,"หน้าที่ เป็นพนักงานฝ่ายขาย แบรนด์ Bang & Olufsen (B&O) ประจำสาขาที่ได้รับมอบหมายที่ ไอคอนสยาม หรือ เอ็มโพเรียม หรือ สยามพารากอนหรือ เซ็นทรัลเวิลด์ หรือ เซ็นทรัลอีสต์วิลล์ หรือ เซ็นทรัลแอมบาสซี่ ดูแลร้านประจำสาขาที่รับผิดชอบ เช่น จัดเรียงสินค้า การขายสินค้า ดูแลความสะอาดภายในร้าน และ บริการลูกค้าหลังการขาย ติดต่อประสานงานสื่อต่าง ๆ ตามห้าง คุณสมบัติ ทำงานสัปดาห์ละ 5 วัน (วันหยุดไม่ตรง เสาร์-อาทิตย์) เริ่มงานได้ทันที และ มีใจรักงานด้านการบริการ สนใจเทคโนโลยี หรือ เสียงเพลง มนุษย์สัมพันธ์ดี, ทักษะการสื่อสารดี, บุคลิกภาพดี มี commission ให้เป็นค่าสวัสดิการ หลังจากปิดการขายได้ ต่อ 1 การขาย",Retail & Consumer Products
!ผู้จัดการฝ่ายสนับสนุนระบบจัดซื้อ (CP Retailink),CP ALL PUBLIC COMPANY LIMITED,"Lak Si, Bangkok",Buying,Full time,,,"ลักษณะงาน : -วางแผน และให้ Requirement สำหรับพัฒนาระบบการทำงานใหม่เช่น กระบวนการบริหาร Stock คงเหลือ/กระบวนการเปิด PO ให้รวดเร็วและมีประสิทธิภาพมากขึ้น เพื่อจัดทำปรับปรุงแก้ไข กระบวนการทำงานภายในหน่วยงานจัดซื้อ(ใน/ต่างประเทศ) ในเรื่องการบริหาร Supply ให้เพียงพอ เพื่อตอบสนองความต้องการของลูกค้า-จัดทำรูปแบบรายงานต่างๆ เช่น สินค้าคงเหลือ, PR คงค้าง,PO รอส่ง เพื่อให้สามารถติดตามงานได้ทันเวลาที่กำหนด -สรรหาระบบ IT ใหม่ๆ มาให้ User ใช้ในการทำงาน (แทน Manual)เพื่อให้ User สามารถทำงานได้อย่างรวดเร็ว ถูกต้อง ครบถ้วนตรงตามเวลาที่กำหนด เพื่อสนับสนุน Core Business  และ New Business  ขององค์กร -ติดตาม ประสานงาน ประชุมร่วมกับส่วนงานที่เกี่ยวข้องเพื่อร่วมกันป้องกันปัญหาที่อาจจะเกิดขึ้น -งานอื่น ๆ ที่เกี่ยวข้อง คุณสมบัติ : -ปริญญาตรี สาขาสารสนเทศ หรือสาขาที่เกี่ยวข้องกับการพัฒนากระบวนการทำงาน -อายุ 30-45 ปี -มีประสบการณ์ในการพัฒนาระบบ SAP / เขียน RPA / เขียนกระบวนการ ไม่น้อยกว่า 5 ปี -สามารถเขียนสูตรการคำนวณ Excel ได้ในระดับดี-ดีมาก -มีความสามารถในการวิเคราะห์ตัวเลขเพื่อนำเสนอผู้บริหารเพื่อใช้ในการตัดสินใจได้ -มีเทคนิคในการเจรจาต่อรองและทำงานร่วมกับผู้อื่นได้ดี - สถานที่ปฏิบัติงานหลัก ซอยวิภาวดีรังสิต 62 (ศรีรับสุข)",Retail & Consumer Products
Assistant Procurement Manager/ผู้ช่วยผู้จัดการฝ่ายจัดซื้อ,T.A.C. Consumer PCL.,"Suan Luang, Bangkok",Other,Full time,,,"Responsibilities Tracking and controlling the procurement of Raw materials and Packaging Materials to be on time Developing procurement strategies that are inventive and cost-effective Sourcing and engaging reliable suppliers and vendors. Perform cost and scenario analysis, and benchmarking. Issue terms and agreements of sales/services as well as the selection of suppliers/contractors Reviewing and maintaining the database of the ordering system including distributor list information Overseeing and managing procurement team, evaluating team performance Supervise quality systems such as GMP, HACCP, HALAL, ISO 22000, FSSC22000 and other quality systems Estimate risks and apply risk minimizing techniques. Performing risk assessments of supplier and preparing annual audit report QUALIFICATIONS Bachelor’s degree or higher in Business Administration,Economics, or related field. Experienced in Foodor Beverage Industries for more than 5 years. Experienced in managerial role for more than 3 years. Fluent in English (TOEIC 550). Skilled in general Microsoft Office Programs Ability to work under pressure and dynamic working style. Strong project management and leadership skills. Communication and presentation skill. Collaborative with other involved teams",Retail & Consumer Products
Sourcing Manager  (Import Product),"THE MALL GROUP CO., LTD. ( HEAD OFFICE )","Bang Kapi, Bangkok",Buying,Full time,,,"Key Responsibilities Deliver Import product Sourcing activities to deliver the budgets -Top line sales, profit, stock , Mark 0 as well as other agreed KPI's by working closely with Merchandising teams on product selection and category management Source and Develop Import Product category (New Assortments,  Pricing strategy,  Trade & Consumer Promotions , Events, House brands, Space utilization) according to merchandising concept and market trends.  Maximize sales & margin per SQ.M. as well as  perform competitor & market analysis and provide approaches to deliver the KPI targets Strengthen suppliers/partners/Growers/Farmers partnerships by co-developing category management, business plan, Value chain approach (End-to-End process development for category and productivity) Manage proper stock levels by co-ordinating with cross functional teams (SC/Merchandise/DC/Planogram/Trade/Operation) Working with import team to set sourcing process and procedure for Import product Explore market (Domestic and International) and compeitors to seek for new opportunities for company. Strengthen company's import category in term of Variety, Quality and Uniqueness. Qualification: Bachelor or Master Degree in any field (Prefer Business Administrator, Marketing or Economics) More than 5 years of experience in Sourcing Import products business from Hypermarket/Supermarkets either Retailer or Suppliers will be advantage Good in developing the import product merchandising or category analysis Very Good in operation & process & Product knowledge Familiarity with sourcing and vendor management and relevant software Understanding of market dynamics and sound business judgement Ability to negotiate and sustain networking relationships Comfortable with figures and in collecting, analyzing and interpreting data Solid judgement with the ability to make good decisions",Retail & Consumer Products
Oversea Purchasing/เจ้าหน้าที่จัดซื้อ,"International Laboratories Corp.,Ltd.","Bang Phli, Samut Prakan",Other,Full time,25000.0,44999.0,"Location:  Bangna Trad Rd KM.18 Office hours: Monday - Friday Responsibilities: Sourcing and negotiating the supply of goods and service. Proceeds of purchase orders through the purchase order system. Qualifications: Bachelor’s degree or higher in business administration or related field Minimum 1-5 years experience in oversea purchasing Good command of English  (both Speaking, Writing) Computer Literacy (E-mail, Word, Excel, Power point) Hard working and can work under pressure Keen to learn new things Applications will be accepted by mail or in Ms. Word format o nly. We cannot consider a Resume by using ' APPLY NOW ' button Interested Candidates please send resume to For further information please contact, Attn: Lakkana ILC International Labortories Corp.,LTD 62 Moo 8 Bangna Trad Rd, Bangplee Samuptakarn 10540 Tel: 02- 346-8222 ext 7309 , 7308 Fax: 02 - 346-8247 Website: http://www.ilc-cosmetic.com",Retail & Consumer Products
Purchasing staff,"Mitsubishi Electric Consumer Products (Thailand) Co., Ltd.",Chon Buri,Other,Full time,,,"Job Scope: 1. Purchasing of Miscellaneous ext. Budget control (Fix Asset & Expense) & PR, PO and cost reduction. 2. Control process of Miscellaneous rule. 3. Follow up delivery schedule on Purchase Order. 4. Control price and document. 5. Co-operation with Suppliers. 6. Purchasing new suppliers for compares and negotiate. 7. Reporting. Qualification: Bachelor degree or related field. Experience 2 years up in purchasing from manufacturing business. Good command in English. Computer basic to middle skills. Product: Air conditioner “Mitsubishi Electric Mr. Slim” MCP WAY : Respect Responsibility Speed & Accuracy Teamwork Innovation Working Location: Amata City Chonburi Industrial Estate, Phase 4 700/406 Moo7 Tambol Don Hua Roh Amphur Muang Chonburi 20000 Working conditions: Working day – hours: Monday – Friday 07.40 – 17.00 (245 working Day/Year approximately) Monthly gross salary: Open for discussion or based on company policy. Benefits & Welfare: (Not limited as the below statements) Variable bonus (6 – 7 Months) Overtime pay Uniform and Transportation service Diligent allowance Medical allowance and life insurance (including family) Travel allowance Provident fund Saving cooperative Oversea training program All position is required minimum GPA 2.50 and TOEIC score minimum 400 point. The successful candidate will receive generous remuneration package and fringe benefits. Interested persons please apply in person of send application letter with resume, Transcript and a recent photo to: Personnel Section, Human Resources Department Mitsubishi Electric Consumer Products (Thailand) Co., Ltd. Amata City Chonburi Industrial Estate 700 / 406 Moo 7  Tambon Don Hua Roh Amphur Muang Chonburi 20000 Tel : 0-3826-5800 Ext . 2233,2256 URL: www.mitsubishi-mcp.co.th [link removed]",Retail & Consumer Products
Oversea Purchasing Officer/เจ้าหน้าที่จัดซื้อต่างประเทศ,KCG Corporation Public Company Limited,"Phra Khanong, Bangkok",Buying,Full time,,,1. ด้านการวางแผนและการควบคุม - พิจารณาเปิดคำสั่งซื้อตามที่ได้รับร้องขอ - พิจารณาคัดเลือก Supplier กรณีสินค้าใหม่และนำส่งผู้บังคับบัญชาอนุมัติ -เปิด รหัสสินค้า รหัส Vendor และทำเอกสาร ระบบ ภายในต่างๆ 2. ด้านการปฏิบัติการ - ทบทวนการขึ้นทะเบียนรายชื่อผู้ขายก่อนอนุมัติ ASR/AVL - จัดทารายงาน Supplier Performance ประจำปี - จัดทำข้อมูลสรุปผลการดำเนินงานประจำเดือน - ดำเนินการสั่งซื้อสินค้าต่างประเทศและติดตามการสั่งซื้อจากผู้ขายให้สินค้าเข้าตามกำหนด - ติดต่อขอตัวอย่าง และเอกสารสนับสนุนต่างๆ ที่ลูกค้าร้องขอ - ตรวจสอบเอกสารนาเข้าก่อนส่งให้ทาง RA - คำนวณต้นทุนสินค้าตามโครงสร้างราคาของบริษัทและนาส่ง Head BU และฝ่ายการเงิน - ประสานงานการทำเรื่องร้องเรียนกรณีสินค้าไม่ตรงคุณภาพ - ตำแหน่งนี้ใช้ภาษาอังกฤษในการทำงาน เนื่องจากต้องพูดคุยกับลุกค้าต่างประเทศ,Retail & Consumer Products
